latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.2812,35.6335,300.4,1.1,1.1,2018-01-09,1041,Aqua,MODIS,36,6.03,290,2.7,D,0
33.3524,35.5872,306.4,1.1,1,2018-02-09,0822,Terra,MODIS,43,6.03,293.7,5.4,D,0
34.5053,36.0066,310.8,1,1,2018-03-21,1048,Aqua,MODIS,50,6.03,298.2,5.2,D,0
34.5272,36.1135,321.8,1,1,2018-05-16,0822,Terra,MODIS,54,6.03,306,10,D,0
34.584,36.1231,331.3,1.7,1.3,2018-05-20,1112,Aqua,MODIS,78,6.03,310.1,29.8,D,0
34.5864,36.1158,327,1.2,1.1,2018-06-23,1100,Aqua,MODIS,66,6.03,310.4,9.7,D,0
34.3003,35.8702,326.8,1.1,1.1,2018-06-23,1100,Aqua,MODIS,56,6.03,306.9,13.4,D,0
34.3018,35.882,336.2,1.1,1.1,2018-06-23,1100,Aqua,MODIS,82,6.03,307.5,29.9,D,0
33.7947,35.889,322.8,1,1,2018-06-24,0829,Terra,MODIS,39,6.03,308.2,6.7,D,0
33.8386,35.9767,339.3,1,1,2018-07-02,1053,Aqua,MODIS,81,6.03,320,20,D,2
33.9885,36.0855,326.4,3.4,1.7,2018-07-12,1130,Aqua,MODIS,71,6.03,312.8,45.3,D,0
33.9898,36.0556,325.9,3.4,1.7,2018-07-12,1130,Aqua,MODIS,58,6.03,313.6,47,D,0
33.2519,35.4978,338.2,1,1,2018-07-18,1053,Aqua,MODIS,77,6.03,316.8,20,D,0
33.2504,35.4872,332,1,1,2018-07-18,1053,Aqua,MODIS,57,6.03,315.8,10.9,D,0
33.7901,35.5688,329.5,1.1,1,2018-07-25,1100,Aqua,MODIS,67,6.03,311.2,15.2,D,0
33.7995,35.7217,340.3,1.1,1.1,2018-07-25,1100,Aqua,MODIS,84,6.03,312.8,32,D,0
33.2194,35.331,305,1,1,2018-07-28,2334,Aqua,MODIS,63,6.03,293.6,5.8,N,0
33.507,35.4095,329.2,2,1.4,2018-07-31,1023,Aqua,MODIS,68,6.03,300.2,51.2,D,0
33.8741,35.7206,326.9,1,1,2018-08-11,0829,Terra,MODIS,60,6.03,306.7,14.7,D,0
34.5184,36.2708,353.4,1,1,2018-08-12,1048,Aqua,MODIS,96,6.03,305.6,60.5,D,0
34.5169,36.2601,329.8,1,1,2018-08-12,1048,Aqua,MODIS,69,6.03,304.1,18.9,D,0
33.7496,35.9598,328.9,1.2,1.1,2018-08-13,0817,Terra,MODIS,67,6.03,307.9,18,D,0
34.2929,35.6989,331.3,2,1.4,2018-08-15,1119,Aqua,MODIS,66,6.03,305.7,57.4,D,0
34.297,35.7137,331.1,2.1,1.4,2018-08-15,1119,Aqua,MODIS,70,6.03,306,55,D,0
33.8944,35.9676,327,1.2,1.1,2018-08-25,0841,Terra,MODIS,57,6.03,310.9,13.5,D,0
33.8967,35.9542,327,1.2,1.1,2018-08-25,0841,Terra,MODIS,57,6.03,312.2,13.7,D,0
33.9046,35.8223,324.9,1,1,2018-09-03,0835,Terra,MODIS,58,6.03,313.4,11.8,D,0
33.2228,35.3234,324.7,1,1,2018-09-20,1053,Aqua,MODIS,28,6.03,309.7,9.2,D,0
33.2317,35.3216,329,1,1,2018-09-20,1053,Aqua,MODIS,66,6.03,309.2,14.1,D,0
33.4151,35.447,332.8,1,1,2018-09-20,1053,Aqua,MODIS,76,6.03,311.5,18.7,D,0
34.1665,35.7523,321.2,1,1,2018-09-29,1047,Aqua,MODIS,61,6.03,303.1,11.2,D,0
34.1681,35.7631,319.8,1,1,2018-09-29,1047,Aqua,MODIS,55,6.03,303.1,10,D,0
34.329,35.7504,318.9,3.2,1.7,2018-09-30,1130,Aqua,MODIS,53,6.03,300.8,45.2,D,0
33.6355,35.4595,321.9,1,1,2018-10-06,1053,Aqua,MODIS,74,6.03,295.2,13.9,D,0
33.634,35.4488,319.2,1,1,2018-10-06,1053,Aqua,MODIS,70,6.03,292.8,10.8,D,0
33.3579,35.3595,311.7,1.5,1.2,2018-10-27,1111,Aqua,MODIS,61,6.03,298,11.9,D,0
33.3595,35.3754,311.7,1.5,1.2,2018-10-27,1111,Aqua,MODIS,61,6.03,298.5,11.8,D,0
34.5005,36.2854,311,1,1,2018-10-30,0828,Terra,MODIS,62,6.03,295.1,9,D,0
