latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-30.5224,27.7962,320.8,1.1,1,2018-01-02,1156,Aqua,MODIS,30,6.03,307.3,7.3,D,0
-29.1831,28.1099,323.9,1.5,1.2,2018-01-08,0839,Terra,MODIS,49,6.03,306.9,13.8,D,0
-30.5093,27.8803,326.8,1.4,1.2,2018-01-14,0802,Terra,MODIS,63,6.03,309.7,17,D,0
-29.8964,29.0872,303.2,2.4,1.5,2018-05-07,0846,Terra,MODIS,52,6.03,290.8,16.6,D,0
-28.7871,28.6244,312.7,1.1,1.1,2018-05-08,1209,Aqua,MODIS,68,6.03,294.7,12.6,D,0
-29.8215,28.627,304.9,1.6,1.2,2018-05-22,1221,Aqua,MODIS,34,6.03,289.7,9.6,D,0
-29.0499,28.3905,303,1.1,1,2018-05-24,1209,Aqua,MODIS,16,6.03,290.8,5.5,D,0
-30.3967,28.1962,305.2,1,1,2018-05-27,0822,Terra,MODIS,61,6.03,284,8.6,D,0
-30.4387,28.005,314.6,1.2,1.1,2018-06-16,1215,Aqua,MODIS,75,6.03,283.9,17.5,D,0
-29.643,28.4128,307,1.1,1.1,2018-06-20,1150,Aqua,MODIS,65,6.03,287.3,9.9,D,0
-29.4853,29.1899,300.7,1,1,2018-06-21,0816,Terra,MODIS,35,6.03,286,4.7,D,0
-29.6229,28.3988,314.9,2.5,1.5,2018-06-21,1233,Aqua,MODIS,75,6.03,287,51.7,D,0
-29.6092,28.3963,338.8,2.5,1.5,2018-06-21,1233,Aqua,MODIS,91,6.03,288.8,155.5,D,0
-29.6145,28.3709,307.9,2.5,1.5,2018-06-21,1233,Aqua,MODIS,62,6.03,288.4,28.9,D,0
-29.8681,29.1296,302.1,1.5,1.2,2018-06-22,1138,Aqua,MODIS,40,6.03,290.9,7.5,D,0
-29.8681,29.135,304.3,1.5,1.2,2018-06-22,1138,Aqua,MODIS,49,6.03,291.6,9.1,D,0
-29.5958,28.468,302.7,1.3,1.1,2018-06-23,0803,Terra,MODIS,53,6.03,284.2,9.4,D,0
-29.7656,28.5089,303.3,1,1,2018-07-04,1202,Aqua,MODIS,46,6.03,292.1,4.7,D,0
-29.0328,27.6638,302,1,1,2018-07-04,1203,Aqua,MODIS,48,6.03,289.7,3.5,D,0
-29.6046,28.409,302.8,1.1,1.1,2018-07-05,0828,Terra,MODIS,54,6.03,283.6,7.8,D,0
-29.0526,28.7453,302,1.1,1,2018-07-06,1150,Aqua,MODIS,47,6.03,286.5,6.2,D,0
-28.7171,28.6541,301.8,1.1,1,2018-07-06,1150,Aqua,MODIS,43,6.03,285.3,5.7,D,0
-29.7688,27.8743,306,1.2,1.1,2018-07-06,1150,Aqua,MODIS,54,6.03,291.2,9.3,D,0
-28.9118,28.723,324.2,1.1,1,2018-07-22,1151,Aqua,MODIS,81,6.03,294,24.1,D,0
-28.9103,28.7343,313.3,1.1,1,2018-07-22,1151,Aqua,MODIS,69,6.03,293.2,13,D,0
-30.0603,28.6438,300.6,1,1,2018-07-23,0816,Terra,MODIS,39,6.03,286.8,3.9,D,0
-29.6622,29.0647,305.8,1.7,1.3,2018-07-25,1221,Aqua,MODIS,40,6.03,294.1,8,D,0
-29.6619,29.053,307.1,1.7,1.3,2018-07-25,1221,Aqua,MODIS,56,6.03,294.3,11.6,D,0
-30.1346,28.3717,307.8,2.8,1.6,2018-07-26,1126,Aqua,MODIS,60,6.03,294.4,26.9,D,0
-28.7034,28.6678,310.2,2.5,1.5,2018-07-26,1126,Aqua,MODIS,62,6.03,293.5,32.5,D,0
-30.1372,28.3796,305.1,2.8,1.6,2018-07-26,1126,Aqua,MODIS,39,6.03,294.3,18.9,D,0
-28.7111,28.6618,307.1,2.5,1.5,2018-07-26,1126,Aqua,MODIS,49,6.03,290.4,23,D,0
-30.4473,27.8563,315.1,1,1,2018-07-27,1209,Aqua,MODIS,73,6.03,291.7,13.8,D,0
-29.3492,27.9219,308.2,1.1,1,2018-07-27,1209,Aqua,MODIS,41,6.03,294.8,7.4,D,0
-30.3621,28.1802,304.8,1.1,1,2018-07-27,1209,Aqua,MODIS,50,6.03,288.8,6.9,D,0
-28.6814,28.3443,304.9,1.3,1.1,2018-07-28,0834,Terra,MODIS,58,6.03,292.9,6.2,D,0
-28.6778,28.3445,305.6,4.4,1.9,2018-07-28,1114,Aqua,MODIS,54,6.03,294.1,29.2,D,0
-30.018,27.652,309.9,1.1,1,2018-07-29,1157,Aqua,MODIS,46,6.03,288.2,10.2,D,0
-28.8502,28.4835,304.6,1,1,2018-07-29,1157,Aqua,MODIS,20,6.03,289.5,4.7,D,0
