latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.5908,83.4063,335.2,2.1,1.4,2018-01-01,0811,Aqua,MODIS,89,6.03,285.7,109.1,D,0
28.5891,83.3878,304.7,2.1,1.4,2018-01-01,0811,Aqua,MODIS,56,6.03,283.9,20.9,D,0
29.5972,82.1746,301.9,1.8,1.3,2018-01-01,0811,Aqua,MODIS,27,6.03,288.9,10.8,D,0
29.9617,80.6651,303.3,1.3,1.1,2018-01-02,0542,Terra,MODIS,47,6.03,292.1,10.4,D,0
26.9113,87.6326,304.8,1.2,1.1,2018-01-02,0715,Aqua,MODIS,60,6.03,293.3,7.3,D,0
27.463,87.55,300.3,1.2,1.1,2018-01-02,0715,Aqua,MODIS,33,6.03,279.6,9.4,D,0
27.4634,86.9477,315.2,1.3,1.1,2018-01-02,0715,Aqua,MODIS,75,6.03,277.6,25.1,D,0
29.0808,82.2182,300.4,2.5,1.5,2018-01-02,0716,Aqua,MODIS,28,6.03,280.1,26.2,D,0
27.0959,87.6791,308.5,1.1,1.1,2018-01-03,0447,Terra,MODIS,67,6.03,292,9.5,D,0
29.9753,81.9729,300.7,1.2,1.1,2018-01-03,0759,Aqua,MODIS,24,6.03,282.7,7.9,D,0
29.6906,82.0617,300,1.1,1,2018-01-04,0529,Terra,MODIS,17,6.03,282.3,8.5,D,0
28.4806,83.6395,302.6,1.4,1.2,2018-01-04,0530,Terra,MODIS,53,6.03,288,10.4,D,0
28.3835,84.4899,303.6,2.9,1.6,2018-01-04,0703,Aqua,MODIS,56,6.03,279.8,38.3,D,0
28.3826,84.4946,309,2.9,1.6,2018-01-04,0703,Aqua,MODIS,68,6.03,279.8,53,D,0
29.8546,80.615,304.3,1.1,1,2018-01-05,0747,Aqua,MODIS,38,6.03,291.8,9.2,D,0
29.6352,82.0794,333.7,1,1,2018-01-05,0747,Aqua,MODIS,85,6.03,291.2,34.8,D,0
29.8094,81.8854,306.4,1,1,2018-01-05,0747,Aqua,MODIS,35,6.03,280.8,8.8,D,0
29.7175,82.0782,312.4,1,1,2018-01-05,0747,Aqua,MODIS,57,6.03,289.3,12.6,D,0
