latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.3587,70.1802,307.9,2.4,1.5,2018-01-01,0638,Terra,MODIS,43,6.03,293.4,21.8,D,0
28.791,70.5934,306.7,1.8,1.3,2018-01-01,0811,Aqua,MODIS,32,6.03,295,12.4,D,0
29.0882,70.8676,318,1.7,1.3,2018-01-01,0811,Aqua,MODIS,73,6.03,295.2,29.4,D,0
29.0851,70.8508,317.5,1.7,1.3,2018-01-01,0811,Aqua,MODIS,72,6.03,294.8,28.7,D,0
32.4478,73.2827,305.8,1.1,1,2018-01-01,0812,Aqua,MODIS,60,6.03,292.6,6.2,D,0
32.5728,73.3675,303.2,1.1,1,2018-01-01,0812,Aqua,MODIS,50,6.03,292.6,4.5,D,0
32.2971,73.3174,309.4,1.1,1,2018-01-01,0812,Aqua,MODIS,67,6.03,294.1,8.3,D,0
30.1601,73.0156,314.1,1.2,1.1,2018-01-01,0812,Aqua,MODIS,74,6.03,293.4,15.1,D,0
32.297,73.4949,305.3,1.1,1,2018-01-01,0812,Aqua,MODIS,59,6.03,292.8,5.4,D,2
32.4497,73.2942,306.3,1.1,1,2018-01-01,0812,Aqua,MODIS,61,6.03,293.1,6.5,D,0
31.107,71.0336,310.4,1.5,1.2,2018-01-01,0812,Aqua,MODIS,64,6.03,293.9,14.6,D,0
29.8859,72.2633,304.4,1.3,1.1,2018-01-01,0812,Aqua,MODIS,52,6.03,294.1,5.7,D,0
29.9287,72.8157,305.4,1.2,1.1,2018-01-01,0812,Aqua,MODIS,58,6.03,293.6,6.3,D,0
31.7473,73.0875,303.9,1.1,1.1,2018-01-01,0812,Aqua,MODIS,47,6.03,293.1,4.9,D,0
31.4819,72.5556,307.1,1.2,1.1,2018-01-01,0812,Aqua,MODIS,59,6.03,293.9,7.5,D,0
31.6754,73.2677,307.7,1.1,1.1,2018-01-01,0812,Aqua,MODIS,62,6.03,294,7.4,D,0
31.5767,72.6816,304.9,1.2,1.1,2018-01-01,0812,Aqua,MODIS,51,6.03,294.3,5.4,D,0
32.8322,74.1875,303.4,1,1,2018-01-01,0812,Aqua,MODIS,56,6.03,292.1,3.5,D,0
30.2288,70.8215,307,1.6,1.2,2018-01-01,0812,Aqua,MODIS,53,6.03,293.5,10.9,D,0
31.8201,72.9655,305.3,1.1,1.1,2018-01-01,0812,Aqua,MODIS,34,6.03,293.9,4.9,D,0
31.7604,72.8111,306.8,1.2,1.1,2018-01-01,0812,Aqua,MODIS,59,6.03,294.4,7.1,D,0
32.444,73.1998,334.6,1.1,1,2018-01-01,0812,Aqua,MODIS,89,6.03,295.4,39.3,D,0
32.4458,73.2113,325.5,1.1,1,2018-01-01,0812,Aqua,MODIS,83,6.03,293.7,25.7,D,0
31.5216,73.4584,305.3,1.1,1,2018-01-01,0812,Aqua,MODIS,57,6.03,293.6,5.8,D,0
30.767,71.937,303.8,1.3,1.1,2018-01-01,0812,Aqua,MODIS,48,6.03,293.4,5.6,D,0
31.8296,72.9633,307.7,1.1,1.1,2018-01-01,0812,Aqua,MODIS,61,6.03,293.1,7.1,D,0
31.2372,73.5109,305.5,1.1,1.1,2018-01-01,0812,Aqua,MODIS,60,6.03,293.3,6,D,0
32.4118,71.563,311.5,1.3,1.1,2018-01-01,0812,Aqua,MODIS,67,6.03,296.4,11.7,D,0
32.4142,71.5766,319.5,1.3,1.1,2018-01-01,0812,Aqua,MODIS,77,6.03,295.3,20.7,D,0
31.8276,72.9514,305.9,1.1,1.1,2018-01-01,0812,Aqua,MODIS,57,6.03,293.1,5.8,D,0
32.2953,73.3059,306.8,1.1,1,2018-01-01,0812,Aqua,MODIS,62,6.03,293.8,6.3,D,0
30.2285,70.8166,304.8,1.6,1.2,2018-01-01,0812,Aqua,MODIS,49,6.03,292.8,9.1,D,0
31.7623,73.0595,304.1,1.1,1.1,2018-01-01,0812,Aqua,MODIS,48,6.03,293.3,5.1,D,0
31.6791,72.9357,303.9,1.2,1.1,2018-01-01,0812,Aqua,MODIS,46,6.03,293,4.9,D,0
33.4339,73.2631,303.5,1.1,1,2018-01-01,0813,Aqua,MODIS,56,6.03,293.4,4.4,D,0
34.188,73.0514,302.2,1.1,1,2018-01-01,0813,Aqua,MODIS,50,6.03,287.7,5.6,D,0
33.4321,73.2517,308.1,1.1,1,2018-01-01,0813,Aqua,MODIS,66,6.03,294.3,7.5,D,0
33.3466,70.8969,311.1,1.4,1.2,2018-01-01,0813,Aqua,MODIS,57,6.03,292.2,13.5,D,0
34.2808,72.7179,301.4,1.1,1,2018-01-01,0813,Aqua,MODIS,38,6.03,289.5,5.2,D,0
