latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
35.3636,129.2225,310.5,1.7,1.3,2018-01-01,1657,Aqua,MODIS,80,6.03,271.1,35.5,N,0
35.922,128.8989,307.2,1.1,1,2018-01-03,0443,Aqua,MODIS,53,6.03,279.2,11.3,D,0
36.0027,129.3967,300.7,1.7,1.3,2018-01-15,0152,Terra,MODIS,0,6.03,287,12.1,D,2
35.4596,129.3258,309,2.2,1.4,2018-01-24,0146,Terra,MODIS,0,6.03,271.2,41.4,D,2
35.4975,129.3357,301.1,1.2,1.1,2018-01-25,0229,Terra,MODIS,44,6.03,273.1,9.8,D,2
35.8477,126.7701,304.6,1.1,1,2018-01-28,0437,Aqua,MODIS,59,6.03,277,9.7,D,0
35.3064,127.3217,313.9,1,1,2018-01-28,0437,Aqua,MODIS,74,6.03,279.2,15.9,D,0
35.1476,128.4707,309.5,1,1,2018-01-28,0437,Aqua,MODIS,52,6.03,278.2,12.9,D,0
36.9807,126.7292,301.6,1,1,2018-01-28,0437,Aqua,MODIS,42,6.03,277.7,7.3,D,2
36.9936,126.6981,307.4,1,1,2018-02-01,0234,Terra,MODIS,0,6.03,277.7,9.3,D,2
36.0374,126.9319,304.9,1.1,1,2018-02-01,0235,Terra,MODIS,47,6.03,279.6,8.5,D,0
35.9647,127.0427,303.1,1.1,1,2018-02-01,0235,Terra,MODIS,48,6.03,279.4,8,D,0
36.1139,127.0307,304.6,1.1,1,2018-02-01,0235,Terra,MODIS,59,6.03,278.9,8.9,D,0
35.603,126.9282,303.1,1.1,1,2018-02-01,0235,Terra,MODIS,55,6.03,278.1,8.8,D,0
36.7053,127.281,316,1.2,1.1,2018-02-02,0456,Aqua,MODIS,76,6.03,275.9,23.9,D,0
35.3397,129.2865,307.7,1.1,1,2018-02-04,0443,Aqua,MODIS,50,6.03,277.4,12.1,D,0
37.5561,127.1398,302.3,1.1,1.1,2018-02-06,0431,Aqua,MODIS,42,6.03,271.6,10.9,D,2
35.9586,129.0745,305.7,1,1,2018-02-06,0431,Aqua,MODIS,62,6.03,271.5,12,D,0
37.2856,129.2058,300.8,1,1,2018-02-12,0216,Terra,MODIS,41,6.03,269.2,8.7,D,0
37.915,126.9398,305.1,2.1,1.4,2018-02-13,0259,Terra,MODIS,60,6.03,273.9,30.1,D,0
35.3086,128.3081,301.4,1,1,2018-02-13,0437,Aqua,MODIS,28,6.03,286.7,5.4,D,0
34.9997,126.9098,305,1.1,1,2018-02-13,0437,Aqua,MODIS,60,6.03,281.7,9.8,D,0
35.2972,128.4173,323.9,1,1,2018-02-13,0437,Aqua,MODIS,83,6.03,283.6,22.7,D,0
35.2956,128.4064,316.3,1,1,2018-02-13,0437,Aqua,MODIS,77,6.03,285.7,15,D,0
36.0017,129.3965,304.2,1.2,1.1,2018-02-14,0204,Terra,MODIS,44,6.03,288.4,7.8,D,2
35.9939,129.3936,302.9,1.1,1,2018-02-15,0425,Aqua,MODIS,54,6.03,288.3,5.2,D,2
36.9849,126.6899,301.2,1,1,2018-02-17,0234,Terra,MODIS,18,6.03,279.4,5.7,D,2
35.1532,126.8242,310,1.1,1,2018-02-17,0235,Terra,MODIS,69,6.03,280.7,13,D,2
35.1979,126.3942,302.4,1.1,1,2018-02-17,0235,Terra,MODIS,52,6.03,276.9,9.6,D,0
36.1964,127.1509,321,1.1,1,2018-02-17,0235,Terra,MODIS,61,6.03,279.5,24.5,D,0
35.1512,126.836,313.9,1.1,1,2018-02-17,0235,Terra,MODIS,74,6.03,281.1,16.5,D,2
35.5684,127.3727,303.5,2.1,1.4,2018-02-17,0413,Aqua,MODIS,56,6.03,276,24.6,D,0
36.2472,126.8738,301.5,1,1,2018-02-19,0222,Terra,MODIS,35,6.03,282.8,5.4,D,0
34.978,128.3613,302.5,1,1,2018-02-19,0223,Terra,MODIS,52,6.03,276.9,7.9,D,0
36.9848,127.7633,309.8,1,1,2018-02-20,0444,Aqua,MODIS,69,6.03,283.5,9.6,D,0
36.9938,127.7675,300.6,1,1,2018-02-20,0444,Aqua,MODIS,40,6.03,283.7,4.8,D,0
36.9923,127.7562,303.6,1,1,2018-02-20,0444,Aqua,MODIS,56,6.03,283.4,6.2,D,0
36.9809,126.684,303.2,1,1,2018-02-20,0444,Aqua,MODIS,35,6.03,284.2,5.3,D,2
36.2329,127.2252,307.7,1.9,1.3,2018-02-22,0253,Terra,MODIS,66,6.03,279.6,27.1,D,0
35.7738,126.8979,301.8,1.2,1.1,2018-02-22,0431,Aqua,MODIS,45,6.03,280.3,7.7,D,0
35.8168,126.9137,314,1.2,1.1,2018-02-22,0431,Aqua,MODIS,74,6.03,279.7,18.1,D,0
35.6564,126.7366,301.3,1.3,1.1,2018-02-25,0502,Aqua,MODIS,37,6.03,278.3,6.1,D,0
36.363,128.423,304.8,1.1,1,2018-02-26,0228,Terra,MODIS,60,6.03,280.7,6.9,D,0
36.4266,126.6548,304,1,1,2018-02-26,0228,Terra,MODIS,58,6.03,284.5,7.6,D,0
36.3019,128.6776,309.4,1.1,1,2018-02-26,0228,Terra,MODIS,69,6.03,284.8,12,D,0
36.3649,128.4113,300,1.1,1,2018-02-26,0228,Terra,MODIS,17,6.03,281.5,4.2,D,0
35.2597,128.2476,302.3,1.1,1,2018-02-26,0229,Terra,MODIS,48,6.03,287.9,6.3,D,0
35.3127,128.3152,305,1.1,1,2018-02-26,0229,Terra,MODIS,52,6.03,289.9,5.6,D,0
34.7171,126.7136,302.8,1,1,2018-02-26,0229,Terra,MODIS,53,6.03,288.5,5.2,D,0
34.9375,126.6628,312.4,1,1,2018-02-26,0229,Terra,MODIS,72,6.03,289.3,10.4,D,0
34.9464,126.6647,309.8,1,1,2018-02-26,0229,Terra,MODIS,69,6.03,289.8,8.2,D,0
33.2924,126.3587,324.2,1,1,2018-02-26,0229,Terra,MODIS,77,6.03,290.1,21.9,D,2
35.6798,128.4546,307.2,1.1,1,2018-02-26,0229,Terra,MODIS,63,6.03,289.9,8.2,D,0
35.3942,127.1192,303.1,1,1,2018-02-26,0229,Terra,MODIS,55,6.03,283.7,6.2,D,0
35.1239,128.178,300.2,1.1,1,2018-02-26,0229,Terra,MODIS,26,6.03,289.4,4.8,D,0
35.7161,128.0039,301.9,1.1,1,2018-02-26,0229,Terra,MODIS,22,6.03,288.4,5,D,0
36.174,127.0767,303.3,2.6,1.6,2018-02-26,0407,Aqua,MODIS,56,6.03,286.4,22.8,D,0
36.9843,126.6867,300.3,1.1,1,2018-02-26,1332,Terra,MODIS,20,6.03,272.4,9.1,N,2
33.3368,126.8257,348.3,1,1,2018-02-27,0449,Aqua,MODIS,89,6.03,293.4,56.9,D,0
33.3354,126.815,335.6,1,1,2018-02-27,0449,Aqua,MODIS,87,6.03,292.5,34.6,D,0
35.3653,128.7729,301.8,1,1,2018-03-01,0437,Aqua,MODIS,20,6.03,288.1,4.5,D,0
