latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-21.2461,55.6931,315.4,1,1,2018-04-27,2145,Aqua,MODIS,88,6.03,277.6,16.7,N,1
-21.2629,55.6943,310,1,1,2018-04-27,2145,Aqua,MODIS,15,6.03,279.3,11.9,N,1
-21.2553,55.6919,374.3,1,1,2018-04-27,2145,Aqua,MODIS,100,6.03,281.6,141.4,N,1
-21.2643,55.7043,318.5,1,1,2018-04-27,2145,Aqua,MODIS,86,6.03,282.3,19.4,N,1
-21.2567,55.7018,502.3,1,1,2018-04-27,2145,Aqua,MODIS,100,6.03,400.1,1764.6,N,1
-21.2475,55.7028,439.8,1,1,2018-04-27,2145,Aqua,MODIS,100,6.03,303.1,626.3,N,1
-21.2581,55.7119,413,1,1,2018-04-27,2145,Aqua,MODIS,100,6.03,295,362.3,N,1
-21.2488,55.7127,358,1,1,2018-04-27,2145,Aqua,MODIS,100,6.03,283.3,87.3,N,1
-21.2796,55.7287,315.1,3.3,1.7,2018-04-28,0711,Terra,MODIS,40,6.03,298.1,62.1,D,1
-21.2647,55.7002,424.7,3.3,1.7,2018-04-28,0711,Terra,MODIS,100,6.03,315.2,2397.7,D,1
-21.2608,55.6928,417,3.3,1.7,2018-04-28,0711,Terra,MODIS,100,6.03,315,2049.6,D,1
-21.2763,55.6925,353.2,3.3,1.7,2018-04-28,0711,Terra,MODIS,97,6.03,299,376.8,D,1
-21.2641,55.7297,368.1,3.3,1.7,2018-04-28,0711,Terra,MODIS,75,6.03,302.7,592.5,D,1
-21.249,55.6987,357.8,3.3,1.7,2018-04-28,0711,Terra,MODIS,99,6.03,306.2,424.2,D,1
-21.2795,55.6903,369.8,1.2,1.1,2018-04-28,0955,Aqua,MODIS,100,6.03,308,138.8,D,1
-21.2699,55.6887,433,1.2,1.1,2018-04-28,0955,Aqua,MODIS,100,6.03,335.6,633.6,D,1
-21.2685,55.6995,424,1.2,1.1,2018-04-28,0955,Aqua,MODIS,100,6.03,323.5,524.9,D,1
-21.2588,55.6985,477.2,1.2,1.1,2018-04-28,0955,Aqua,MODIS,100,6.03,334.9,1398.9,D,1
-21.2603,55.6873,376.4,1.2,1.1,2018-04-28,0955,Aqua,MODIS,100,6.03,313.9,160.6,D,1
-21.2599,55.7003,446.1,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,305.6,1404.9,N,1
-21.2652,55.6793,329.1,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,284.2,60.8,N,1
-21.2628,55.6843,380.6,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,288.4,332.2,N,1
-21.2741,55.6866,350.3,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,289.1,137.2,N,1
-21.2624,55.6954,426.9,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,306.9,969.8,N,1
-21.2512,55.6923,339.4,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,281.5,96,N,1
-21.2487,55.7068,321.1,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,280,46.3,N,1
-21.2711,55.7035,340.5,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,287.8,98.5,N,1
-21.2597,55.7114,365.9,1.7,1.3,2018-04-28,1921,Terra,MODIS,100,6.03,287.4,225.2,N,1
-21.2743,55.6928,312,1.6,1.2,2018-04-29,0616,Terra,MODIS,46,6.03,287.4,19.8,D,1
-21.2632,55.6947,396.1,1.6,1.2,2018-04-29,0616,Terra,MODIS,94,6.03,296.7,439.7,D,1
-21.2629,55.7005,413.7,1.6,1.2,2018-04-29,0616,Terra,MODIS,100,6.03,297.1,656.4,D,1
-21.2604,55.6861,347.4,1.6,1.2,2018-04-29,0616,Terra,MODIS,94,6.03,296,100.9,D,1
-21.2524,55.6978,364.6,1.6,1.2,2018-04-29,0616,Terra,MODIS,100,6.03,304.3,181.1,D,1
-21.255,55.7126,348.1,1.6,1.2,2018-04-29,0616,Terra,MODIS,71,6.03,296.6,99.9,D,1
-21.2521,55.7042,368.9,1.6,1.2,2018-04-29,0616,Terra,MODIS,100,6.03,302.7,207.5,D,1
-21.2658,55.709,357.8,1.6,1.2,2018-04-29,0616,Terra,MODIS,0,6.03,287.7,149.1,D,1
-21.2722,55.6968,369,2.8,1.6,2018-04-29,1038,Aqua,MODIS,0,6.03,303.8,464.7,D,1
-21.2584,55.6925,377.8,2.8,1.6,2018-04-29,1038,Aqua,MODIS,87,6.03,310,610.7,D,1
-21.2584,55.688,310.6,3,1.7,2018-04-29,1826,Terra,MODIS,71,6.03,280.6,67.3,N,1
-21.2574,55.6949,314.8,3,1.7,2018-04-29,1826,Terra,MODIS,86,6.03,280.4,84,N,1
-21.253,55.7005,422.6,1.1,1,2018-04-29,2133,Aqua,MODIS,100,6.03,297.4,467.9,N,1
-21.2546,55.7107,381.6,1.1,1,2018-04-29,2133,Aqua,MODIS,100,6.03,292.4,181,N,1
-21.2638,55.7086,327.4,1.1,1,2018-04-29,2133,Aqua,MODIS,100,6.03,285,31.3,N,1
-21.2622,55.6985,369.6,1.1,1,2018-04-29,2133,Aqua,MODIS,100,6.03,288.5,131.1,N,1
-21.2587,55.7014,406.6,1.9,1.4,2018-04-30,0658,Terra,MODIS,100,6.03,309.6,763.7,D,1
-21.2603,55.7045,379.3,1.8,1.3,2018-04-30,0943,Aqua,MODIS,100,6.03,301,348.5,D,1
-21.2676,55.6927,391.8,1.8,1.3,2018-04-30,0943,Aqua,MODIS,100,6.03,310,491,D,1
-21.2623,55.6873,372.2,1.8,1.3,2018-04-30,0943,Aqua,MODIS,100,6.03,308,286.9,D,1
-21.2517,55.6977,324.4,1.1,1,2018-04-30,1909,Terra,MODIS,100,6.03,279.7,29.4,N,1
-21.2594,55.7104,322.8,1.1,1.1,2018-04-30,1909,Terra,MODIS,100,6.03,282.4,27.1,N,1
-21.2721,55.6908,317.9,1.1,1,2018-04-30,1909,Terra,MODIS,94,6.03,287.5,20.8,N,1
-21.261,55.6998,447.5,1.1,1,2018-04-30,1909,Terra,MODIS,100,6.03,312.6,793.5,N,1
-21.2704,55.7018,306,1.1,1,2018-04-30,1909,Terra,MODIS,39,6.03,284.5,11.1,N,1
-21.2627,55.6892,378.4,1.1,1,2018-04-30,1909,Terra,MODIS,100,6.03,290.4,173.1,N,1
-21.2608,55.6967,363.3,1.6,1.3,2018-05-01,1026,Aqua,MODIS,87,6.03,288.3,186.8,D,1
-21.2537,55.7063,313.1,1,1,2018-05-02,1856,Terra,MODIS,81,6.03,279.6,15.2,N,1
-21.255,55.6964,348.4,1,1,2018-05-02,1856,Terra,MODIS,100,6.03,280.9,64.4,N,1
-21.2641,55.6977,323.5,1,1,2018-05-02,1856,Terra,MODIS,100,6.03,282,25.7,N,1
-21.2655,55.7161,316,1.9,1.3,2018-05-02,2204,Aqua,MODIS,90,6.03,282.3,45.7,N,1
-21.2566,55.7082,362,1.9,1.3,2018-05-02,2204,Aqua,MODIS,100,6.03,293,244.1,N,1
-21.2547,55.69,349.4,1.9,1.3,2018-05-02,2204,Aqua,MODIS,100,6.03,283.9,163.9,N,1
-21.253,55.715,335.3,1.9,1.3,2018-05-02,2204,Aqua,MODIS,100,6.03,283.3,102.6,N,1
-21.2633,55.6967,353.4,1.9,1.3,2018-05-02,2204,Aqua,MODIS,100,6.03,287,187.7,N,1
-21.251,55.6968,364.2,1.9,1.3,2018-05-02,2204,Aqua,MODIS,100,6.03,287.1,260.6,N,1
-21.2655,55.6866,355.7,3.6,1.8,2018-05-03,1939,Terra,MODIS,100,6.03,285.4,503.1,N,1
-21.2581,55.7232,335.9,3.6,1.8,2018-05-03,1939,Terra,MODIS,100,6.03,282.2,261.1,N,1
-21.2579,55.6901,368.7,3.6,1.8,2018-05-03,1939,Terra,MODIS,100,6.03,284.9,736.6,N,1
-21.25,55.728,309.4,3.6,1.8,2018-05-03,1939,Terra,MODIS,66,6.03,280.8,78.9,N,1
-21.2625,55.7225,324.8,2.6,1.6,2018-05-03,2109,Aqua,MODIS,100,6.03,278.9,108.1,N,1
-21.2503,55.6842,307.4,2.7,1.6,2018-05-03,2109,Aqua,MODIS,54,6.03,277.2,46.9,N,1
-21.258,55.7,369.3,2.6,1.6,2018-05-03,2109,Aqua,MODIS,100,6.03,285.4,486,N,1
