latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
45.5509,13.7446,312.2,1,1,2018-04-19,1016,Terra,MODIS,41,6.03,297.5,5.5,D,2
45.6553,14.8613,312.9,1.2,1.1,2018-04-21,1147,Aqua,MODIS,67,6.03,300.3,9.8,D,0
46.2246,14.1743,306.3,1.2,1.1,2018-05-12,1023,Terra,MODIS,48,6.03,292.6,7.5,D,0
45.5508,13.7453,325.1,1.2,1.1,2018-05-28,1023,Terra,MODIS,70,6.03,300.7,17.6,D,2
45.8855,13.9103,314,1.1,1,2018-06-06,1017,Terra,MODIS,47,6.03,300.5,7.7,D,2
45.5494,13.7451,318.6,1.1,1,2018-06-06,1017,Terra,MODIS,26,6.03,299.2,7.8,D,2
45.5553,13.7533,314.6,1.4,1.2,2018-07-06,1029,Terra,MODIS,48,6.03,296.5,9.9,D,2
45.5495,13.7416,311.2,1.9,1.4,2018-07-12,1134,Aqua,MODIS,36,6.03,296.9,14.2,D,2
45.5492,13.7513,312.5,1.4,1.2,2018-07-22,1029,Terra,MODIS,32,6.03,295.5,9,D,2
45.5491,13.7426,323.4,1.2,1.1,2018-07-31,1023,Terra,MODIS,46,6.03,303.2,10.7,D,2
45.7421,14.726,311.3,1.1,1.1,2018-08-09,1017,Terra,MODIS,14,6.03,296.6,6,D,0
45.5519,13.7506,315.2,1.2,1.1,2018-08-16,1023,Terra,MODIS,43,6.03,300.8,6.1,D,2
45.5514,13.7461,310.2,1.3,1.1,2018-08-27,1147,Aqua,MODIS,45,6.03,297.8,7,D,2
