latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
8.2251,47.2756,325.1,1.1,1,2018-01-04,1015,Aqua,MODIS,61,6.03,313.6,8,D,0
2.5171,45.5071,334.8,1,1,2018-01-09,1032,Aqua,MODIS,79,6.03,308.4,21.9,D,0
2.4021,45.3255,328.4,1.6,1.2,2018-01-14,1051,Aqua,MODIS,53,6.03,308,16,D,0
2.1396,45.136,320.7,1.2,1.1,2018-01-16,0741,Terra,MODIS,32,6.03,302.5,8.1,D,0
2.5437,45.5113,327.8,1.1,1,2018-01-18,1026,Aqua,MODIS,51,6.03,309.2,11.7,D,0
1.9954,42.3006,335.3,1.1,1,2018-01-30,1051,Aqua,MODIS,64,6.03,317.1,12.5,D,0
1.1127,42.5178,328.2,1,1,2018-02-01,0741,Terra,MODIS,70,6.03,309.2,8.7,D,0
-1.584,41.5564,326.6,1.6,1.2,2018-02-04,1108,Aqua,MODIS,66,6.03,301.9,23.2,D,0
-1.5931,41.5724,324.6,1.6,1.2,2018-02-04,1108,Aqua,MODIS,48,6.03,303,16.4,D,0
-1.5952,41.5581,327.8,1.6,1.2,2018-02-04,1108,Aqua,MODIS,68,6.03,303.1,24.7,D,0
1.1185,42.5079,323.4,2.1,1.4,2018-02-05,0717,Terra,MODIS,64,6.03,305.2,20.7,D,0
1.1157,42.5265,323.4,2.1,1.4,2018-02-05,0717,Terra,MODIS,64,6.03,304.9,21.2,D,0
1.1189,42.5148,328.1,2.1,1.4,2018-02-05,0717,Terra,MODIS,74,6.03,305.2,37.3,D,0
10.9931,49.0526,300.7,1.1,1,2018-02-05,2232,Aqua,MODIS,33,6.03,285.2,5.7,N,0
10.9916,49.0625,317.8,1.1,1,2018-02-05,2232,Aqua,MODIS,96,6.03,287.4,18.7,N,0
1.1147,42.5162,346.3,1.1,1,2018-02-08,0747,Terra,MODIS,91,6.03,314.1,40.2,D,0
1.1161,42.5067,389,1.1,1,2018-02-08,0747,Terra,MODIS,100,6.03,317.3,194.9,D,0
1.1092,42.507,337.8,1,1,2018-02-08,1045,Aqua,MODIS,76,6.03,313.6,15.9,D,0
1.1079,42.4981,334.8,1,1,2018-02-08,1045,Aqua,MODIS,69,6.03,311.5,11.4,D,0
1.9121,44.8544,327.8,1,1,2018-02-10,0735,Terra,MODIS,72,6.03,307.2,11.2,D,0
3.3034,45.8815,330.3,1.1,1,2018-02-12,0722,Terra,MODIS,75,6.03,307.6,11.6,D,0
3.3047,45.8719,336.2,1.1,1,2018-02-12,0722,Terra,MODIS,82,6.03,307.5,20.6,D,0
3.3126,45.8828,330,1.1,1,2018-02-12,0722,Terra,MODIS,74,6.03,307.8,11.5,D,0
3.283,45.8432,326.9,1.1,1,2018-02-12,0722,Terra,MODIS,68,6.03,307.3,8,D,0
3.6802,44.5159,326.1,1.1,1,2018-02-17,0740,Terra,MODIS,66,6.03,303.2,12.3,D,0
-1.1085,41.4394,328.8,1.3,1.1,2018-02-17,1038,Aqua,MODIS,40,6.03,305.4,22.2,D,0
-1.1068,41.4508,328.1,1.3,1.1,2018-02-17,1038,Aqua,MODIS,39,6.03,305.2,21.5,D,0
1.7965,44.5803,334.1,1,1,2018-02-17,1039,Aqua,MODIS,77,6.03,306.2,13.9,D,0
4.8108,47.7517,324.8,1.1,1,2018-02-19,0728,Terra,MODIS,64,6.03,304.9,13.3,D,0
-1.1189,41.4121,325.7,2.2,1.4,2018-02-19,1026,Aqua,MODIS,53,6.03,300.1,48.6,D,0
-1.3518,41.6889,333.2,1.1,1,2018-02-22,1056,Aqua,MODIS,77,6.03,307.8,15.3,D,0
1.7644,42.5782,327.7,1.6,1.2,2018-02-28,0723,Terra,MODIS,52,6.03,302.7,17.2,D,0
2.8027,45.5215,337,1.2,1.1,2018-02-28,1021,Aqua,MODIS,74,6.03,312.2,21,D,0
-1.4089,41.6386,320,2.1,1.4,2018-03-07,1026,Aqua,MODIS,65,6.03,299.2,18.3,D,0
4.0251,41.9485,329.6,2.3,1.5,2018-03-08,0811,Terra,MODIS,74,6.03,310,25.5,D,0
-1.4402,41.6148,366.2,1.1,1,2018-03-10,1056,Aqua,MODIS,100,6.03,304.9,101.1,D,0
-1.4388,41.6243,363.1,1.1,1,2018-03-10,1056,Aqua,MODIS,94,6.03,301.3,91.3,D,0
0.7812,42.6598,333.8,1.3,1.1,2018-03-10,1057,Aqua,MODIS,66,6.03,312.7,16.8,D,0
0.7828,42.6711,340.8,1.3,1.1,2018-03-10,1057,Aqua,MODIS,81,6.03,313.9,31,D,0
10.4644,45.8108,302.9,3.4,1.7,2018-03-10,1846,Terra,MODIS,52,6.03,291.5,34.9,N,0
2.9427,42.5187,324.6,2,1.4,2018-03-17,0805,Terra,MODIS,69,6.03,302.3,18.9,D,0
3.2388,43.8733,324.7,1.5,1.2,2018-03-19,0753,Terra,MODIS,68,6.03,305.5,19.8,D,0
-1.4432,41.6228,334.4,1,1,2018-03-19,1050,Aqua,MODIS,84,6.03,296.4,23,D,0
3.1694,45.5831,334.7,1.7,1.3,2018-03-19,1051,Aqua,MODIS,65,6.03,302.6,44.6,D,0
2.1424,42.166,350.8,1.1,1,2018-03-19,1051,Aqua,MODIS,93,6.03,312.8,41.4,D,0
2.5702,44.2562,336.5,1,1,2018-03-21,1039,Aqua,MODIS,41,6.03,311.6,18.8,D,0
0.5451,42.6924,316.5,3.1,1.7,2018-03-24,0812,Terra,MODIS,48,6.03,290.3,42.5,D,0
0.7883,43.2113,315.4,3.4,1.7,2018-03-24,0812,Terra,MODIS,25,6.03,289.8,38.4,D,0
-0.3263,42.0743,317.2,1.6,1.3,2018-03-26,0800,Terra,MODIS,28,6.03,295,18.6,D,0
-1.4438,41.6174,323.9,1.1,1,2018-03-26,1056,Aqua,MODIS,62,6.03,301.1,7.1,D,0
2.3496,44.7853,321.7,3.2,1.7,2018-03-27,1002,Aqua,MODIS,42,6.03,298.2,64.9,D,0
-1.5373,41.5648,324.2,2.1,1.4,2018-03-31,1115,Aqua,MODIS,66,6.03,301.4,29.8,D,0
2.6012,45.4651,346.9,1.1,1,2018-04-01,0723,Terra,MODIS,90,6.03,307.9,37.5,D,0
1.9313,43.7584,316.7,2.7,1.6,2018-04-02,0806,Terra,MODIS,35,6.03,295,32.7,D,0
1.5134,43.999,319.3,2.9,1.6,2018-04-02,0806,Terra,MODIS,9,6.03,295.3,38.9,D,0
5.9454,46.4508,323.3,2.1,1.4,2018-04-04,0752,Terra,MODIS,36,6.03,299.5,36.6,D,0
3.2377,45.7391,317.9,2.1,1.4,2018-04-04,0753,Terra,MODIS,19,6.03,296.6,27,D,0
3.0877,45.8582,324.8,2.1,1.4,2018-04-04,0753,Terra,MODIS,33,6.03,300.6,34.7,D,0
3.3701,46.328,319.3,2.3,1.5,2018-04-04,0753,Terra,MODIS,43,6.03,298.1,32,D,0
2.7826,45.1983,321.6,1.9,1.4,2018-04-04,0753,Terra,MODIS,39,6.03,297.7,28,D,0
4.015,45.7914,319.4,2,1.4,2018-04-04,0753,Terra,MODIS,50,6.03,297.8,30,D,0
3.2154,45.521,318.7,3,1.6,2018-04-05,0658,Terra,MODIS,30,6.03,296.3,38.8,D,0
1.3163,43.8272,330.6,1.1,1,2018-04-06,0741,Terra,MODIS,73,6.03,306.7,16.3,D,0
0.1416,42.8699,325.5,1,1,2018-04-06,0742,Terra,MODIS,36,6.03,302.9,15.8,D,0
4.1392,42.1043,314.1,4.3,1.9,2018-04-07,0824,Terra,MODIS,47,6.03,290.4,52,D,0
1.3186,43.8299,315.9,1.1,1,2018-04-08,0729,Terra,MODIS,29,6.03,285.7,5.5,D,0
1.6569,44.3398,333.3,1,1,2018-04-08,0729,Terra,MODIS,73,6.03,305.4,15.9,D,0
1.6555,44.349,339.2,1,1,2018-04-08,0729,Terra,MODIS,86,6.03,304.4,24.5,D,0
0.7042,43.0573,325.9,1.5,1.2,2018-04-08,1026,Aqua,MODIS,19,6.03,301.3,20.9,D,0
2.6474,42.7718,314.6,2.9,1.6,2018-04-09,0812,Terra,MODIS,19,6.03,291.1,29.9,D,0
3.0669,43.1068,316.6,3,1.7,2018-04-09,0812,Terra,MODIS,37,6.03,293.3,44.1,D,0
2.8478,42.9468,321,3,1.6,2018-04-09,0812,Terra,MODIS,41,6.03,295.6,49.4,D,0
0.753,43.0843,323.1,1.8,1.3,2018-04-10,0717,Terra,MODIS,37,6.03,298,27.8,D,0
4.0655,43.2771,318.4,2.2,1.4,2018-04-10,1015,Aqua,MODIS,26,6.03,295.2,28.2,D,0
3.7839,45.3828,330.4,1.5,1.2,2018-04-10,1015,Aqua,MODIS,50,6.03,306.4,31.2,D,0
0.4541,41.6097,307.8,1.5,1.2,2018-04-11,0800,Terra,MODIS,0,6.03,285.2,7.6,D,0
1.3099,42.5907,316.8,1.7,1.3,2018-04-11,0800,Terra,MODIS,43,6.03,295.1,18,D,0
-0.103,42.6779,316.8,1.8,1.3,2018-04-11,0800,Terra,MODIS,33,6.03,291.1,15.7,D,0
0.7847,43.247,310.3,1.9,1.4,2018-04-11,0800,Terra,MODIS,20,6.03,279.5,11,D,0
0.549,42.9033,315.6,1.8,1.3,2018-04-11,0800,Terra,MODIS,25,6.03,291.3,16.8,D,0
