latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
38.855,60.5136,302.2,1.4,1.2,2018-01-01,0635,Terra,MODIS,36,6.03,286.5,6.9,D,0
38.8614,60.5043,305.5,1.4,1.2,2018-01-01,0635,Terra,MODIS,62,6.03,286.4,10.5,D,0
38.1242,65.5289,301.6,1,1,2018-01-01,0635,Terra,MODIS,48,6.03,287.7,4.9,D,0
37.4719,66.0078,304.2,2.2,1.4,2018-01-01,0814,Aqua,MODIS,54,6.03,291.6,17.2,D,0
37.4704,66.0036,313.5,2.2,1.4,2018-01-01,0814,Aqua,MODIS,68,6.03,292,36.6,D,0
38.8488,54.2329,304.2,1.5,1.2,2018-01-01,0953,Aqua,MODIS,58,6.03,291,6.9,D,2
36.9634,61.3828,353.6,1.5,1.2,2018-01-01,1739,Terra,MODIS,100,6.03,282,131.9,N,0
36.9665,61.3991,437,1.5,1.2,2018-01-01,1739,Terra,MODIS,100,6.03,298.8,1004.5,N,0
36.9633,61.4005,350.4,1,1,2018-01-01,2153,Aqua,MODIS,100,6.03,276.6,68.5,N,0
36.9722,61.4025,319,1,1,2018-01-01,2153,Aqua,MODIS,98,6.03,277.7,21.6,N,0
38.8048,59.7746,311.7,1.5,1.2,2018-01-02,0718,Terra,MODIS,71,6.03,288.9,16.8,D,0
37.7732,63.0821,328.7,2.4,1.5,2018-01-02,0718,Terra,MODIS,85,6.03,290,91.8,D,0
37.1199,60.8906,309.6,1.8,1.3,2018-01-02,0718,Terra,MODIS,66,6.03,295.5,14.6,D,0
37.1158,60.9107,313.8,1.9,1.3,2018-01-02,0718,Terra,MODIS,72,6.03,295.4,22.6,D,0
37.4617,66.0917,310.1,3.8,1.8,2018-01-02,0718,Terra,MODIS,67,6.03,290.7,59,D,0
37.4164,60.8771,304.4,1.8,1.3,2018-01-02,0718,Terra,MODIS,56,6.03,292.5,10.4,D,0
37.4279,60.8808,304,1.8,1.3,2018-01-02,0718,Terra,MODIS,55,6.03,292.4,9.5,D,0
37.5705,61.688,301.5,2,1.4,2018-01-02,0718,Terra,MODIS,26,6.03,289.1,8.6,D,0
37.4079,61.8113,302.4,2.1,1.4,2018-01-02,0718,Terra,MODIS,37,6.03,289.7,8.6,D,0
37.11,60.4246,303.8,1.7,1.3,2018-01-02,0718,Terra,MODIS,29,6.03,290.6,8.6,D,0
37.9483,62.1132,318.7,2.1,1.4,2018-01-02,0718,Terra,MODIS,78,6.03,290.8,45.7,D,0
37.9478,62.1063,316.8,2.1,1.4,2018-01-02,0718,Terra,MODIS,76,6.03,290.7,40.9,D,0
37.4549,61.0244,305,1.8,1.3,2018-01-02,0718,Terra,MODIS,58,6.03,293.1,11.7,D,0
37.6966,62.4629,304.8,2.2,1.4,2018-01-02,0718,Terra,MODIS,55,6.03,293.1,10.9,D,0
38.7975,59.7789,308.2,1.5,1.2,2018-01-02,0718,Terra,MODIS,65,6.03,289.5,12.4,D,0
37.4532,66.0935,314.5,3.8,1.8,2018-01-02,0718,Terra,MODIS,73,6.03,291.7,77.8,D,0
37.7757,62.0412,311.6,2.1,1.4,2018-01-02,0718,Terra,MODIS,70,6.03,288,29.1,D,0
38.5727,61.3626,302.2,1.8,1.3,2018-01-02,0718,Terra,MODIS,32,6.03,290,9.1,D,0
38.5768,61.3425,306.3,1.8,1.3,2018-01-02,0718,Terra,MODIS,59,6.03,289.5,14.1,D,0
38.5714,61.3464,311.4,1.8,1.3,2018-01-02,0718,Terra,MODIS,69,6.03,289.7,21.3,D,0
37.7673,63.1084,306.8,2.4,1.5,2018-01-02,0718,Terra,MODIS,62,6.03,290.8,19,D,0
37.4842,65.974,312,3.7,1.8,2018-01-02,0718,Terra,MODIS,68,6.03,291.3,62.6,D,0
37.8004,61.9282,302.1,2.1,1.4,2018-01-02,0718,Terra,MODIS,38,6.03,288.8,11,D,0
37.0392,61.0094,310.6,1.9,1.3,2018-01-02,0718,Terra,MODIS,67,6.03,294,17,D,0
37.5247,61.1395,309.1,1.9,1.3,2018-01-02,0718,Terra,MODIS,67,6.03,291.8,18.9,D,0
37.3527,61.0057,314.3,1.9,1.3,2018-01-02,0718,Terra,MODIS,74,6.03,292.7,27.4,D,0
37.1537,61.059,330,1.9,1.3,2018-01-02,0718,Terra,MODIS,86,6.03,293.1,67.9,D,0
37.4919,65.972,305.9,3.7,1.8,2018-01-02,0718,Terra,MODIS,56,6.03,290.1,38.5,D,0
37.7482,61.8557,302.6,2,1.4,2018-01-02,0718,Terra,MODIS,44,6.03,288.1,11.1,D,0
37.1494,61.0795,310.1,1.9,1.3,2018-01-02,0718,Terra,MODIS,67,6.03,291.4,19.2,D,0
37.1489,61.0518,325,1.9,1.3,2018-01-02,0718,Terra,MODIS,83,6.03,293.5,51.7,D,0
37.1704,60.8856,308.1,1.8,1.3,2018-01-02,0718,Terra,MODIS,63,6.03,294.1,12.9,D,0
37.1447,61.0723,315.6,1.9,1.3,2018-01-02,0718,Terra,MODIS,74,6.03,292.2,28.9,D,0
37.4591,61.0042,306.4,1.8,1.3,2018-01-02,0718,Terra,MODIS,62,6.03,292.7,13.7,D,0
37.7752,62.0344,313.3,2.1,1.4,2018-01-02,0718,Terra,MODIS,72,6.03,288,33.5,D,0
37.4346,62.1229,311.1,2.2,1.4,2018-01-02,0718,Terra,MODIS,69,6.03,289.4,28.8,D,0
37.1645,60.8894,306.9,1.8,1.3,2018-01-02,0718,Terra,MODIS,61,6.03,294,10.6,D,0
37.2016,61.0092,303.8,1.9,1.3,2018-01-02,0718,Terra,MODIS,50,6.03,293.2,8.8,D,0
37.9731,61.9999,305.3,2.1,1.4,2018-01-02,0718,Terra,MODIS,58,6.03,289.9,15.8,D,0
37.5752,62.1583,302.7,2.1,1.4,2018-01-02,0718,Terra,MODIS,46,6.03,288.7,12.5,D,0
37.1747,61.1987,303.3,1.9,1.4,2018-01-02,0718,Terra,MODIS,40,6.03,292.3,8.9,D,0
37.5756,62.1519,305.1,2.1,1.4,2018-01-02,0718,Terra,MODIS,57,6.03,288.6,15.8,D,0
37.9719,61.9928,308.8,2.1,1.4,2018-01-02,0718,Terra,MODIS,65,6.03,289.7,22.8,D,0
37.618,60.8083,304.3,1.8,1.3,2018-01-02,0718,Terra,MODIS,56,6.03,292.5,9.5,D,0
37.9143,58.7582,303.7,1.3,1.1,2018-01-02,0718,Terra,MODIS,57,6.03,284.7,10.3,D,0
37.3569,60.9855,321.4,1.8,1.3,2018-01-02,0718,Terra,MODIS,80,6.03,293.5,43,D,0
36.1666,62.6923,330.6,2.5,1.5,2018-01-02,0719,Terra,MODIS,87,6.03,290,105.2,D,0
36.1533,62.682,327.9,1,1,2018-01-02,0856,Aqua,MODIS,83,6.03,289.8,24,D,0
36.146,62.6952,325.6,1,1,2018-01-02,0856,Aqua,MODIS,77,6.03,290.8,20.1,D,0
36.155,62.6931,322.4,1,1,2018-01-02,0856,Aqua,MODIS,79,6.03,290.6,17.4,D,0
