latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
49.3729,23.4927,306,1.7,1.3,2018-01-06,1153,Aqua,MODIS,63,6.03,281.4,20.9,D,0
48.1664,30.6173,334.1,1,1,2018-01-09,0901,Terra,MODIS,89,6.03,275,40,D,2
48.1603,30.6199,325,1.1,1,2018-01-09,1045,Aqua,MODIS,83,6.03,276.2,31.2,D,2
48.1579,30.6057,300.3,1.1,1,2018-01-09,1045,Aqua,MODIS,35,6.03,275.3,9.3,D,2
47.954,37.847,309.6,1,1,2018-01-10,1915,Terra,MODIS,78,6.03,266.5,16.7,N,2
47.8611,33.449,329.5,1,1,2018-01-11,0848,Terra,MODIS,78,6.03,268.8,34.5,D,2
46.6252,33.1257,301.3,1.2,1.1,2018-01-11,1032,Aqua,MODIS,46,6.03,270.3,9.6,D,0
48.5997,35.6359,308.4,1.6,1.3,2018-01-14,1103,Aqua,MODIS,48,6.03,270.9,24.2,D,0
47.3914,31.0748,308.4,1.1,1,2018-01-14,1103,Aqua,MODIS,67,6.03,272.4,14.7,D,0
45.4203,29.6821,330.6,1,1,2018-01-14,1103,Aqua,MODIS,82,6.03,270.4,32.3,D,0
48.6129,35.6559,305,1.6,1.3,2018-01-14,1103,Aqua,MODIS,58,6.03,269.5,21.9,D,0
48.611,35.6338,323.7,1.6,1.3,2018-01-14,1103,Aqua,MODIS,83,6.03,269.8,53.1,D,0
45.4221,29.6947,324.2,1,1,2018-01-14,1103,Aqua,MODIS,75,6.03,267.6,25,D,0
49.5806,34.2747,311.5,1.4,1.2,2018-01-14,1104,Aqua,MODIS,71,6.03,270.2,27,D,0
49.5825,34.2948,307.6,1.4,1.2,2018-01-14,1104,Aqua,MODIS,66,6.03,270,22.5,D,0
49.7153,24.3189,304.6,1.7,1.3,2018-01-31,1002,Terra,MODIS,59,6.03,276,19.8,D,0
49.2156,24.4752,316.6,1.7,1.3,2018-01-31,1002,Terra,MODIS,77,6.03,278.2,42.2,D,0
49.72,24.2972,302.7,1.6,1.3,2018-01-31,1002,Terra,MODIS,53,6.03,276.7,17.3,D,0
49.5445,24.5789,310.1,1.6,1.3,2018-01-31,1147,Aqua,MODIS,70,6.03,278,27.7,D,0
48.168,30.6157,330.6,1.2,1.1,2018-01-31,1933,Terra,MODIS,100,6.03,268.7,49,N,2
49.3812,23.8394,310.3,1.6,1.3,2018-02-01,1052,Aqua,MODIS,70,6.03,281.5,25.8,D,0
49.2771,27.3547,302.4,1.2,1.1,2018-02-01,1052,Aqua,MODIS,52,6.03,276.8,10.5,D,0
49.3766,23.818,312,1.6,1.3,2018-02-01,1052,Aqua,MODIS,72,6.03,280.7,28.7,D,0
49.2677,27.3588,306.6,1.2,1.1,2018-02-01,1052,Aqua,MODIS,64,6.03,276.4,14,D,0
47.8652,33.4493,311.6,1,1,2018-02-06,0000,Aqua,MODIS,83,6.03,269.2,16.8,N,2
47.0981,37.604,308,1,1,2018-02-07,0830,Terra,MODIS,0,6.03,277.2,12.2,D,2
48.4926,34.9798,305.1,1,1,2018-02-07,1939,Terra,MODIS,63,6.03,271,13,N,2
47.8645,33.434,300,1,1,2018-02-07,1939,Terra,MODIS,2,6.03,266.5,9.2,N,2
47.8804,35.1658,307.1,1.6,1.2,2018-02-11,0019,Aqua,MODIS,70,6.03,271.8,26,N,2
48.1679,30.6206,329.5,1.2,1.1,2018-02-15,0919,Terra,MODIS,62,6.03,268.1,40.4,D,2
48.1641,30.6247,315.8,1,1,2018-02-17,0907,Terra,MODIS,64,6.03,273.3,18.2,D,2
47.8633,33.4589,315.9,1.6,1.2,2018-02-18,0025,Aqua,MODIS,92,6.03,270.5,38.6,N,2
48.1659,30.6179,302.9,1.2,1.1,2018-02-18,0025,Aqua,MODIS,52,6.03,265.5,14.4,N,2
47.6306,34.3284,307.2,1,1,2018-02-19,0855,Terra,MODIS,65,6.03,280.1,11.2,D,2
47.1477,37.5259,304,1,1,2018-02-21,1027,Aqua,MODIS,58,6.03,275.1,8.4,D,2
49.1207,33.5074,303.8,1.6,1.2,2018-02-22,1110,Aqua,MODIS,57,6.03,274.5,18.6,D,0
49.1189,33.4861,302.3,1.6,1.2,2018-02-22,1110,Aqua,MODIS,52,6.03,275,16.8,D,0
49.7394,32.7298,338.2,1.7,1.3,2018-02-23,1015,Aqua,MODIS,89,6.03,273.8,96.5,D,0
48.7061,34.5999,305,1.5,1.2,2018-02-23,1015,Aqua,MODIS,46,6.03,267.9,17.8,D,0
49.0183,34.6208,304.8,1.4,1.2,2018-02-23,1015,Aqua,MODIS,60,6.03,270.4,17.8,D,0
48.7021,34.5809,303.9,1.5,1.2,2018-02-23,1015,Aqua,MODIS,50,6.03,268.4,16.8,D,0
49.7191,33.3005,323.2,1.6,1.2,2018-02-23,1015,Aqua,MODIS,76,6.03,271.3,48.6,D,0
49.7147,33.2796,335.4,1.6,1.2,2018-02-23,1015,Aqua,MODIS,82,6.03,270.9,79.3,D,0
48.9491,34.4732,301.3,1.5,1.2,2018-02-23,1015,Aqua,MODIS,46,6.03,271.9,14.9,D,0
49.1748,33.7759,335.6,1.6,1.2,2018-02-23,1015,Aqua,MODIS,0,6.03,267.2,79.3,D,0
49.7414,32.736,341.2,1.7,1.3,2018-02-23,1015,Aqua,MODIS,90,6.03,274.3,105.7,D,0
48.6361,34.0968,308.5,1.5,1.2,2018-02-23,1015,Aqua,MODIS,55,6.03,267,25.9,D,0
48.5715,35.9251,300.7,1.4,1.2,2018-02-24,1058,Aqua,MODIS,36,6.03,267.1,14.7,D,0
49.4497,34.2652,320.6,1.2,1.1,2018-02-24,1058,Aqua,MODIS,73,6.03,270.3,31.9,D,0
48.2518,33.9112,314.3,1.2,1.1,2018-02-24,1058,Aqua,MODIS,75,6.03,271.7,21.8,D,0
49.4496,34.2725,341.1,1.2,1.1,2018-02-24,1058,Aqua,MODIS,90,6.03,270.5,66.8,D,0
49.4515,34.2823,317.4,1.2,1.1,2018-02-24,1058,Aqua,MODIS,68,6.03,269.6,27.8,D,0
49.0129,34.4593,341.2,2,1.4,2018-02-25,1003,Aqua,MODIS,92,6.03,272.8,140.5,D,0
49.0068,34.433,305,2,1.4,2018-02-25,1003,Aqua,MODIS,60,6.03,271.4,29.1,D,0
48.3501,33.3741,306.8,2.4,1.5,2018-02-25,1003,Aqua,MODIS,64,6.03,271.7,42.3,D,0
48.3576,33.4041,322,2.4,1.5,2018-02-25,1003,Aqua,MODIS,81,6.03,272.9,87.3,D,0
48.3555,33.3754,311.1,2.4,1.5,2018-02-25,1003,Aqua,MODIS,43,6.03,271.9,46.2,D,0
48.3628,33.4055,314.9,2.4,1.5,2018-02-25,1003,Aqua,MODIS,55,6.03,272.8,56.7,D,0
49.0723,32.7322,316.7,1,1,2018-02-26,0900,Terra,MODIS,73,6.03,268,19.2,D,0
49.0744,32.7187,401.1,1,1,2018-02-26,0900,Terra,MODIS,94,6.03,279.4,266.9,D,0
48.4464,33.2708,308.1,1,1,2018-02-26,0901,Terra,MODIS,66,6.03,271.5,12.9,D,0
47.8717,33.4495,312.2,1,1,2018-02-26,1045,Aqua,MODIS,68,6.03,272.4,15.2,D,2
47.9189,36.0874,301.3,1.1,1,2018-02-26,1045,Aqua,MODIS,46,6.03,275.2,8.8,D,0
48.6091,33.8144,304.7,1,1,2018-02-26,1045,Aqua,MODIS,45,6.03,267,10.1,D,0
48.1055,34.0521,303.6,1,1,2018-02-26,1045,Aqua,MODIS,57,6.03,276.9,8,D,0
48.093,34.0283,326.7,1,1,2018-02-26,1045,Aqua,MODIS,85,6.03,277.1,28.2,D,0
48.0948,34.0416,315.2,1,1,2018-02-26,1045,Aqua,MODIS,75,6.03,276.9,16.5,D,0
47.8468,36.099,315.2,1.1,1,2018-02-26,1045,Aqua,MODIS,75,6.03,272.9,18.6,D,0
48.618,33.8115,328.2,1,1,2018-02-26,1045,Aqua,MODIS,0,6.03,267.4,30.3,D,0
48.3567,33.2125,316.6,1,1,2018-02-26,1045,Aqua,MODIS,77,6.03,272.7,17.8,D,0
47.845,36.0847,317,1.1,1,2018-02-26,1045,Aqua,MODIS,77,6.03,272.9,20.5,D,0
49.123,33.3853,301.8,1,1,2018-02-26,1046,Aqua,MODIS,47,6.03,271.2,7.9,D,2
49.1537,34.8482,318.1,1,1,2018-02-26,1046,Aqua,MODIS,78,6.03,270.6,21.1,D,0
49.4472,34.7553,300.8,1,1,2018-02-26,1046,Aqua,MODIS,42,6.03,271.2,8.8,D,0
49.5253,35.1733,302.4,1.1,1,2018-02-26,1046,Aqua,MODIS,31,6.03,270.7,9,D,0
48.9841,35.4635,309.6,1.1,1,2018-02-26,1046,Aqua,MODIS,69,6.03,270.3,14.4,D,0
48.0342,23.4378,311.5,1.1,1,2018-03-01,1116,Aqua,MODIS,71,6.03,275.9,15.8,D,0
