latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.2603,168.1139,328.7,1.6,1.3,2018-01-01,1354,Aqua,MODIS,100,6.03,290.3,57.2,N,2
-16.2578,168.0993,313.9,1.6,1.3,2018-01-01,1354,Aqua,MODIS,84,6.03,286.9,26.3,N,2
-19.5278,169.4612,305.7,1.2,1.1,2018-01-01,1355,Aqua,MODIS,36,6.03,292,8.5,N,1
-19.526,169.4498,336,1.2,1.1,2018-01-01,1355,Aqua,MODIS,100,6.03,293.8,48.2,N,1
-19.5324,169.4522,316.4,1.6,1.2,2018-01-01,2320,Terra,MODIS,52,6.03,298.5,18.1,D,1
-19.5365,169.447,312.7,1.9,1.3,2018-01-02,0206,Aqua,MODIS,24,6.03,287.6,24.9,D,1
-16.2621,168.0916,313.3,2.2,1.4,2018-01-02,0207,Aqua,MODIS,43,6.03,290.9,23.8,D,2
-19.5254,169.4527,311.4,1.1,1,2018-01-02,1131,Terra,MODIS,75,6.03,292.6,11,N,1
-19.5269,169.4428,317.8,1.1,1,2018-01-02,1131,Terra,MODIS,94,6.03,292.9,16.8,N,1
-15.2889,166.6724,308.6,1,1,2018-01-02,1132,Terra,MODIS,61,6.03,294.1,6.7,N,0
-15.2979,166.6738,311.3,1,1,2018-01-02,1132,Terra,MODIS,74,6.03,294.3,8.5,N,0
-16.2584,168.1028,364,1,1,2018-01-02,1132,Terra,MODIS,100,6.03,291.4,102.8,N,2
-16.2598,168.0933,310.8,1,1,2018-01-02,1132,Terra,MODIS,72,6.03,289.9,10.8,N,2
-15.2914,166.6731,315.9,1.5,1.2,2018-01-02,1437,Aqua,MODIS,90,6.03,294.9,22.2,N,0
-16.2504,168.1494,306.2,2,1.4,2018-01-02,1437,Aqua,MODIS,42,6.03,288.9,20.6,N,2
-15.2949,166.6799,319.3,1.5,1.2,2018-01-02,1437,Aqua,MODIS,98,6.03,294.4,28.3,N,0
-15.2931,166.6864,309.8,1.5,1.2,2018-01-02,1437,Aqua,MODIS,68,6.03,293.7,14.6,N,0
-16.2481,168.1299,312.4,2,1.4,2018-01-02,1437,Aqua,MODIS,79,6.03,289.9,31.9,N,2
-16.2561,168.1077,328.8,1,1,2018-01-03,2307,Terra,MODIS,69,6.03,297.7,18.4,D,2
-19.5338,169.4413,318.3,1,1,2018-01-04,1119,Terra,MODIS,96,6.03,292.9,15.9,N,1
-19.5232,169.4499,313.8,1,1,2018-01-04,1119,Terra,MODIS,83,6.03,292.7,11.7,N,1
-19.5324,169.4515,327.9,1,1,2018-01-04,1119,Terra,MODIS,100,6.03,293.4,27,N,1
-16.2541,168.115,337.3,1.2,1.1,2018-01-04,1425,Aqua,MODIS,100,6.03,290,51.8,N,2
-16.2457,168.1277,314.1,1.2,1.1,2018-01-04,1425,Aqua,MODIS,84,6.03,289.5,16.4,N,2
-16.2624,168.1024,312.8,1.2,1.1,2018-01-04,1425,Aqua,MODIS,80,6.03,290.7,15.2,N,2
-16.2473,168.1393,361.4,1.2,1.1,2018-01-04,1425,Aqua,MODIS,100,6.03,291.9,120.8,N,2
-16.2526,168.1038,386.8,1.2,1.1,2018-01-04,1425,Aqua,MODIS,100,6.03,292.6,243.2,N,2
-19.5271,169.4533,313,1.1,1,2018-01-06,1413,Aqua,MODIS,81,6.03,285.5,14.3,N,1
