latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
41.0099,45.1699,300.6,2.5,1.5,2019-01-12,1043,Aqua,MODIS,33,6.03,288,16.8,D,0
40.8566,45.3845,301.1,1.1,1,2019-01-13,0807,Terra,MODIS,45,6.03,276.4,8.9,D,0
41.1614,44.2576,326.7,3.4,1.7,2019-01-14,1818,Terra,MODIS,100,6.03,268.3,174.7,N,0
41.1518,44.2206,313.3,3.4,1.7,2019-01-14,1818,Terra,MODIS,87,6.03,268,100.7,N,0
41.1415,44.2318,321.3,3.4,1.7,2019-01-14,1818,Terra,MODIS,91,6.03,269.3,0,N,0
41.151,44.2689,324,3.4,1.7,2019-01-14,1818,Terra,MODIS,100,6.03,268.1,157.5,N,0
40.9098,45.4338,300,1.2,1.1,2019-01-16,1018,Aqua,MODIS,18,6.03,286.2,6.2,D,0
41.037,44.3246,301,1.3,1.1,2019-01-27,0819,Terra,MODIS,36,6.03,281,8.9,D,0
41.0613,44.3549,331.7,1.3,1.1,2019-01-27,0819,Terra,MODIS,66,6.03,282.4,48,D,0
41.0522,44.3539,304.2,1.8,1.3,2019-02-06,1037,Aqua,MODIS,54,6.03,292.2,12,D,0
41.1989,44.3257,303.9,1.8,1.3,2019-02-06,1037,Aqua,MODIS,55,6.03,288.3,12.6,D,0
39.8923,44.5782,310.9,1.1,1,2019-02-12,0959,Aqua,MODIS,71,6.03,289.3,11.4,D,0
40.9922,44.3102,308,1.1,1,2019-02-12,1000,Aqua,MODIS,58,6.03,282,11,D,0
41.0013,44.307,326.6,1.1,1,2019-02-12,1000,Aqua,MODIS,85,6.03,286.1,28.9,D,0
41.1366,44.0872,300.1,2.1,1.4,2019-02-13,1043,Aqua,MODIS,19,6.03,285.6,10.6,D,0
40.8568,44.4283,303.4,1.5,1.2,2019-02-14,0947,Aqua,MODIS,55,6.03,278.6,14.1,D,0
40.043,44.338,301.7,2.5,1.5,2019-02-17,0838,Terra,MODIS,36,6.03,283,22,D,0
40.0952,44.1153,311.1,2.4,1.5,2019-02-17,0838,Terra,MODIS,71,6.03,282.8,40.3,D,0
40.0758,44.1376,307.5,2.5,1.5,2019-02-17,0838,Terra,MODIS,65,6.03,283,30,D,0
40.0497,44.3356,305.2,2.5,1.5,2019-02-17,0838,Terra,MODIS,57,6.03,283.1,29,D,0
40.0876,44.1071,304.7,2.4,1.5,2019-02-17,0838,Terra,MODIS,42,6.03,283.2,23.1,D,2
40.0813,44.1346,307.7,2.5,1.5,2019-02-17,0838,Terra,MODIS,60,6.03,282.8,29.8,D,0
39.7259,44.8108,300.2,2.8,1.6,2019-02-17,0838,Terra,MODIS,27,6.03,281.8,21.7,D,2
39.736,44.8098,308.5,2.8,1.6,2019-02-17,0838,Terra,MODIS,58,6.03,281.2,44.7,D,0
40.0396,44.3386,345.7,1.1,1,2019-02-17,1018,Aqua,MODIS,71,6.03,273.8,60,D,0
40.038,44.3263,327.8,1.1,1,2019-02-17,1018,Aqua,MODIS,85,6.03,276.8,29.8,D,0
40.0591,44.2714,313.9,1.1,1,2019-02-17,1018,Aqua,MODIS,74,6.03,284.9,14.2,D,2
40.106,44.2178,315,1.1,1,2019-02-17,1018,Aqua,MODIS,75,6.03,285,15.1,D,0
40.2244,44.2732,304.2,1.1,1,2019-02-17,1018,Aqua,MODIS,58,6.03,289.6,4.8,D,2
41.1389,44.2229,310.3,1.3,1.1,2019-02-18,1848,Terra,MODIS,80,6.03,268.5,21.8,N,0
39.8922,44.5631,306.1,1.7,1.3,2019-02-19,0826,Terra,MODIS,63,6.03,285.1,17.5,D,0
39.8881,44.5827,307,1.7,1.3,2019-02-19,0826,Terra,MODIS,65,6.03,285.4,19,D,0
39.7979,44.7342,357.5,1,1,2019-02-19,1006,Aqua,MODIS,86,6.03,287.2,82.1,D,0
39.9263,44.5437,316.5,1,1,2019-02-19,1006,Aqua,MODIS,77,6.03,286.4,15.1,D,0
40.0773,44.3213,305.6,1,1,2019-02-19,1006,Aqua,MODIS,62,6.03,286.6,6.8,D,0
40.0917,44.3541,302.8,1,1,2019-02-19,1006,Aqua,MODIS,54,6.03,285.6,5,D,0
40.0898,44.3424,304.1,1,1,2019-02-19,1006,Aqua,MODIS,46,6.03,285.9,5.5,D,2
40.0584,44.0805,305.9,1,1,2019-02-19,1006,Aqua,MODIS,38,6.03,285.3,5.9,D,2
40.0692,44.09,312.9,1,1,2019-02-19,1006,Aqua,MODIS,73,6.03,285.2,11,D,0
40.0673,44.0781,303.2,1,1,2019-02-19,1006,Aqua,MODIS,39,6.03,285.7,4.6,D,2
40.1017,44.0004,300.2,1,1,2019-02-19,1006,Aqua,MODIS,30,6.03,287.9,3.6,D,0
40.3301,43.7393,304.5,1,1,2019-02-19,1006,Aqua,MODIS,59,6.03,285.3,7,D,0
40.3282,43.7273,301,1,1,2019-02-19,1006,Aqua,MODIS,43,6.03,284.8,5.1,D,0
40.9861,44.8225,313.5,1.2,1.1,2019-02-21,0813,Terra,MODIS,74,6.03,283.8,17.8,D,0
40.1295,44.2866,309,1.3,1.1,2019-02-21,0953,Aqua,MODIS,68,6.03,292.7,9.7,D,0
40.9843,44.8277,318.2,1.2,1.1,2019-02-21,0954,Aqua,MODIS,74,6.03,284.7,24.2,D,0
40.7059,45.196,308.6,1.2,1.1,2019-02-21,0954,Aqua,MODIS,60,6.03,280.7,13.1,D,0
40.7034,45.1821,311.3,1.2,1.1,2019-02-21,0954,Aqua,MODIS,71,6.03,282.1,14.9,D,0
41.2345,44.9631,309.2,1.2,1.1,2019-02-21,0954,Aqua,MODIS,66,6.03,294,8.6,D,0
41.1493,44.3945,309.4,1.8,1.3,2019-02-22,1037,Aqua,MODIS,68,6.03,280.5,23.6,D,0
41.1629,44.4144,353.3,1.8,1.3,2019-02-22,1037,Aqua,MODIS,97,6.03,284.7,168.5,D,0
41.1611,44.3933,360.1,1.8,1.3,2019-02-22,1037,Aqua,MODIS,100,6.03,285.7,208.1,D,0
41.1708,44.1603,300.4,1,1,2019-02-23,0801,Terra,MODIS,35,6.03,280.7,4.9,D,0
39.6502,45.4534,312.7,1,1,2019-02-23,0801,Terra,MODIS,73,6.03,288.4,12.4,D,0
41.1876,44.2581,303.4,1.8,1.3,2019-02-23,0942,Aqua,MODIS,17,6.03,283.9,11.2,D,0
41.1963,44.3142,321,1.8,1.3,2019-02-23,0942,Aqua,MODIS,81,6.03,281.5,42.8,D,0
41.1831,44.2523,300.7,1.8,1.3,2019-02-23,0942,Aqua,MODIS,28,6.03,284.6,9.3,D,0
40.0201,44.4427,306.4,1.2,1.1,2019-02-24,1024,Aqua,MODIS,61,6.03,292.8,5.6,D,0
40.1118,44.2765,320.1,1.2,1.1,2019-02-24,1024,Aqua,MODIS,80,6.03,294,18.4,D,2
40.1086,44.1642,316,1.2,1.1,2019-02-24,1024,Aqua,MODIS,76,6.03,294.3,13.4,D,2
40.107,44.1505,308.2,1.2,1.1,2019-02-24,1024,Aqua,MODIS,62,6.03,294.8,5.8,D,2
40.8426,44.4449,305.6,1.2,1.1,2019-02-24,1024,Aqua,MODIS,54,6.03,290,7.3,D,0
40.1191,44.1772,313.1,2.9,1.6,2019-02-25,0929,Aqua,MODIS,57,6.03,290.7,44.7,D,0
40.1204,44.1694,315.5,2.9,1.6,2019-02-25,0929,Aqua,MODIS,64,6.03,290.6,50.7,D,0
40.0879,44.1296,306,2,1.4,2019-02-26,0832,Terra,MODIS,63,6.03,290,13.7,D,0
39.4542,46.1366,303.8,1.1,1,2019-02-26,1012,Aqua,MODIS,50,6.03,285.8,6.7,D,0
40.1249,44.1286,302.6,3.6,1.8,2019-03-06,0923,Aqua,MODIS,53,6.03,291,18.3,D,2
40.1808,44.4486,303,1.2,1.1,2019-03-09,0813,Terra,MODIS,54,6.03,287.5,4,D,2
40.0947,44.1576,309.2,1.3,1.1,2019-03-09,0954,Aqua,MODIS,66,6.03,296,7.9,D,0
41.003,45.2356,307,2,1.4,2019-03-10,1037,Aqua,MODIS,63,6.03,284.2,20.2,D,0
40.8943,45.416,308.8,1,1,2019-03-11,0801,Terra,MODIS,47,6.03,292.8,5.5,D,0
40.8394,45.5311,305.6,1,1,2019-03-11,0801,Terra,MODIS,35,6.03,294.5,3.8,D,0
40.1285,44.0608,308.6,1,1,2019-03-11,0801,Terra,MODIS,64,6.03,295.7,4,D,2
39.4621,46.1296,317.2,1.6,1.2,2019-03-11,0941,Aqua,MODIS,71,6.03,291.9,29.1,D,0
39.4591,46.114,317.7,1.6,1.2,2019-03-11,0941,Aqua,MODIS,75,6.03,289.5,29.3,D,0
41.0294,45.1613,311.9,1.6,1.2,2019-03-11,0942,Aqua,MODIS,67,6.03,300.7,11.4,D,0
41.1507,44.2688,312.9,1.8,1.3,2019-03-11,0942,Aqua,MODIS,73,6.03,291.3,21.1,D,0
41.0331,44.8216,307.8,1.4,1.2,2019-03-16,0819,Terra,MODIS,50,6.03,284.2,11.8,D,0
39.9686,44.4763,309.5,1.1,1,2019-03-21,1018,Aqua,MODIS,55,6.03,296.3,4.8,D,0
39.9173,44.5429,311.8,1,1,2019-04-05,0755,Terra,MODIS,61,6.03,295.2,6.5,D,0
39.5376,46.1019,315.2,1.4,1.2,2019-04-13,1024,Aqua,MODIS,45,6.03,299.8,11.7,D,0
39.7382,45.1821,316.1,1.3,1.1,2019-04-13,1024,Aqua,MODIS,68,6.03,299.9,12,D,0
40.6431,44.9179,314.2,1.3,1.1,2019-04-13,1024,Aqua,MODIS,52,6.03,294.7,11.9,D,0
39.418,46.0237,306.6,1.5,1.2,2019-04-26,0814,Terra,MODIS,28,6.03,290.4,9.1,D,0
40.205,44.5047,315.7,1,1,2019-04-28,0801,Terra,MODIS,40,6.03,299.5,5.1,D,2
40.6352,45.1375,344.5,1.5,1.2,2019-05-03,0819,Terra,MODIS,94,6.03,297.6,87.3,D,0
40.6321,45.1531,326.5,1.5,1.2,2019-05-03,0819,Terra,MODIS,84,6.03,295,39.2,D,0
40.6244,45.1353,340.5,1.5,1.2,2019-05-03,0819,Terra,MODIS,92,6.03,297.6,74.6,D,0
40.6213,45.1513,353.3,1.5,1.2,2019-05-03,0819,Terra,MODIS,97,6.03,298.2,120.6,D,0
40.1743,44.4321,314.8,1.1,1,2019-05-05,0807,Terra,MODIS,36,6.03,294,7.5,D,2
40.0643,44.421,308.5,1.1,1,2019-05-05,0807,Terra,MODIS,59,6.03,294,5.9,D,2
40.6308,44.5797,319.4,1.1,1,2019-05-08,1018,Aqua,MODIS,68,6.03,299.9,13.6,D,0
40.6872,44.8849,317,1.1,1.1,2019-05-08,1018,Aqua,MODIS,61,6.03,297.8,11.3,D,0
40.0623,44.4121,322.5,1,1,2019-05-26,1006,Aqua,MODIS,44,6.03,308.9,8.1,D,2
40.1654,44.4978,325.8,1.1,1.1,2019-06-01,0749,Terra,MODIS,35,6.03,309.5,7.9,D,2
40.1848,44.5733,325.5,1.1,1,2019-06-06,0807,Terra,MODIS,54,6.03,308.8,6.6,D,2
40.2595,44.4078,335.7,1.1,1,2019-06-09,1018,Aqua,MODIS,84,6.03,315.6,15.1,D,0
38.891,46.2204,323.6,1.1,1,2019-06-15,0801,Terra,MODIS,55,6.03,309.2,7.6,D,0
40.1808,44.4421,327,1.1,1,2019-06-22,0807,Terra,MODIS,55,6.03,306.7,5.3,D,2
40.1278,44.5918,327.6,1.1,1,2019-06-22,0807,Terra,MODIS,63,6.03,309.1,9.7,D,2
39.7532,45.1575,335.5,1,1,2019-06-24,0755,Terra,MODIS,72,6.03,312.8,15.5,D,0
39.7443,45.1554,334.9,1,1,2019-06-24,0755,Terra,MODIS,81,6.03,315.6,15.4,D,0
40.2276,44.4519,340.3,1.1,1,2019-06-25,1018,Aqua,MODIS,85,6.03,314.1,19.3,D,2
40.0636,44.4166,328.7,1,1,2019-06-27,1005,Aqua,MODIS,65,6.03,309.1,11.9,D,2
40.2824,44.5891,336.1,1.3,1.1,2019-06-29,0953,Aqua,MODIS,86,6.03,308.8,28.7,D,2
40.2799,44.575,329.7,1.3,1.1,2019-06-29,0953,Aqua,MODIS,81,6.03,309.6,16.3,D,2
38.8718,46.1536,324,1,1,2019-07-03,0749,Terra,MODIS,38,6.03,305.4,9.9,D,0
38.8761,46.1589,325.8,2.4,1.5,2019-07-03,0928,Aqua,MODIS,59,6.03,303.2,49.3,D,0
40.1908,44.5808,342.1,1.1,1,2019-07-06,0959,Aqua,MODIS,89,6.03,312.2,29.2,D,2
40.1652,44.2351,338.4,2.1,1.4,2019-07-07,1042,Aqua,MODIS,86,6.03,307.2,68.6,D,2
40.241,44.3018,341.1,1,1,2019-07-08,0807,Terra,MODIS,88,6.03,314.2,28.2,D,0
40.3131,44.3291,328.3,1.5,1.2,2019-07-08,0947,Aqua,MODIS,67,6.03,309.3,22.4,D,0
40.2059,44.3114,301.8,1.4,1.2,2019-07-08,2325,Aqua,MODIS,45,6.03,288.2,8.8,N,0
40.2342,44.3897,336.8,1,1,2019-07-10,0755,Terra,MODIS,86,6.03,314.8,18.5,D,0
40.1015,44.4574,334.3,1.1,1,2019-07-11,1018,Aqua,MODIS,78,6.03,315.7,13.1,D,2
40.2605,44.5634,336.9,1.1,1,2019-07-11,1018,Aqua,MODIS,83,6.03,314.2,17.3,D,0
40.2589,44.5507,346.5,1.1,1,2019-07-11,1018,Aqua,MODIS,91,6.03,319.6,36.2,D,0
40.2107,44.5556,321.9,1.7,1.3,2019-07-13,0825,Terra,MODIS,41,6.03,306.5,9.3,D,2
40.1226,44.5791,352.8,1,1,2019-07-13,1005,Aqua,MODIS,96,6.03,318.4,42.4,D,2
40.1311,44.0301,337.4,1,1,2019-07-13,1005,Aqua,MODIS,77,6.03,312.9,20.1,D,2
40.1486,44.2047,335.4,1.3,1.1,2019-07-15,0953,Aqua,MODIS,83,6.03,315.5,24,D,0
39.6062,45.1688,309.6,1.3,1.1,2019-07-15,1918,Terra,MODIS,78,6.03,290.9,12.2,N,0
39.6162,45.1673,307.1,1.3,1.1,2019-07-15,1918,Terra,MODIS,70,6.03,290.5,9.6,N,0
39.86,44.6413,329,1,1,2019-07-17,0801,Terra,MODIS,40,6.03,310.3,10.5,D,0
40.2506,43.9721,351.4,1.2,1.1,2019-07-18,1024,Aqua,MODIS,94,6.03,329,35.3,D,0
40.1181,44.4545,332.1,1.1,1.1,2019-07-19,0749,Terra,MODIS,79,6.03,314.9,12.3,D,2
40.9601,44.553,329.9,1.1,1,2019-07-22,0959,Aqua,MODIS,75,6.03,306.9,17.8,D,0
39.9127,44.6312,336.8,1.1,1,2019-07-24,0807,Terra,MODIS,81,6.03,309.3,24.8,D,0
40.2878,44.5946,302.9,3.4,1.7,2019-07-25,1817,Terra,MODIS,52,6.03,292.2,28.3,N,2
40.2832,44.5917,304.4,3.4,1.7,2019-07-25,1817,Terra,MODIS,60,6.03,292.3,33.1,N,2
