latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
20.6812,-76.1552,309.4,2.5,1.5,2019-01-01,0352,Terra,MODIS,77,6.03,292.6,34.1,N,0
20.6857,-76.1497,328.2,1.4,1.2,2019-01-01,0637,Aqua,MODIS,100,6.03,292.2,42.2,N,0
20.6769,-76.1642,303.7,1.4,1.2,2019-01-01,0637,Aqua,MODIS,56,6.03,291.4,9.6,N,0
20.6873,-76.1627,324.3,1.4,1.2,2019-01-01,0637,Aqua,MODIS,100,6.03,291.9,35.2,N,0
20.6816,-76.161,318.4,1.4,1.2,2019-01-01,1602,Terra,MODIS,74,6.03,293.9,14.6,D,0
20.6878,-76.1534,325.1,1.4,1.2,2019-01-01,1602,Terra,MODIS,80,6.03,297.1,26.8,D,0
20.8437,-77.8236,312.1,3.3,1.7,2019-01-01,1910,Aqua,MODIS,45,6.03,294.6,36.8,D,0
21.9045,-79.0338,315.7,2.7,1.6,2019-01-01,1910,Aqua,MODIS,70,6.03,297.3,37.2,D,0
20.2562,-77.0212,323.8,1.4,1.2,2019-01-02,1814,Aqua,MODIS,73,6.03,305,18.1,D,0
20.2274,-77.1285,318,1.5,1.2,2019-01-02,1814,Aqua,MODIS,65,6.03,302.7,13,D,0
20.1293,-77.1597,312.8,1.5,1.2,2019-01-02,1814,Aqua,MODIS,50,6.03,301.3,7.9,D,0
20.2937,-74.2738,311.8,1,1,2019-01-02,1814,Aqua,MODIS,60,6.03,298.8,7.2,D,0
20.2921,-74.2838,310.4,1.1,1,2019-01-02,1814,Aqua,MODIS,52,6.03,298.1,6.1,D,0
20.1486,-76.9794,317.2,1.4,1.2,2019-01-02,1814,Aqua,MODIS,69,6.03,302.2,12.4,D,0
20.4855,-76.917,321.3,1.4,1.2,2019-01-02,1815,Aqua,MODIS,73,6.03,304.9,15.6,D,0
20.708,-77.0132,346.2,1.4,1.2,2019-01-02,1815,Aqua,MODIS,88,6.03,300.7,80.1,D,0
20.7058,-77.0265,325.1,1.4,1.2,2019-01-02,1815,Aqua,MODIS,71,6.03,298.3,28.1,D,0
21.1977,-77.6824,330.2,1.5,1.2,2019-01-02,1815,Aqua,MODIS,84,6.03,295,42,D,0
21.2144,-77.7157,320.7,1.5,1.2,2019-01-02,1815,Aqua,MODIS,75,6.03,296.9,24.4,D,0
21.2898,-78.4779,314,1.7,1.3,2019-01-02,1815,Aqua,MODIS,55,6.03,301.2,14,D,0
21.9182,-78.7172,318.1,1.7,1.3,2019-01-02,1815,Aqua,MODIS,73,6.03,298.3,23.8,D,0
21.9148,-78.7234,312.6,1.7,1.3,2019-01-02,1815,Aqua,MODIS,65,6.03,296.6,14.3,D,0
20.2624,-77.0137,326.3,1.4,1.2,2019-01-02,1815,Aqua,MODIS,60,6.03,304.2,25,D,0
20.5129,-75.6352,319.6,1.2,1.1,2019-01-02,1815,Aqua,MODIS,70,6.03,295.7,15.7,D,0
20.2788,-77.0448,321.2,1.4,1.2,2019-01-02,1815,Aqua,MODIS,73,6.03,303.9,15.9,D,0
20.5226,-75.6368,313.6,1.2,1.1,2019-01-02,1815,Aqua,MODIS,42,6.03,294.8,9.3,D,0
20.4722,-76.5756,319.2,1.3,1.1,2019-01-02,1815,Aqua,MODIS,70,6.03,303.4,12.3,D,0
20.4566,-76.7975,316.1,1.4,1.2,2019-01-02,1815,Aqua,MODIS,48,6.03,304.2,7.4,D,0
20.4144,-77.0498,338.7,1.4,1.2,2019-01-02,1815,Aqua,MODIS,89,6.03,305.8,54.5,D,0
20.4122,-77.0634,328.4,1.4,1.2,2019-01-02,1815,Aqua,MODIS,81,6.03,304,30.9,D,0
20.425,-77.0519,319.3,1.4,1.2,2019-01-02,1815,Aqua,MODIS,62,6.03,306.8,15.3,D,0
20.4549,-77.002,315.7,1.4,1.2,2019-01-02,1815,Aqua,MODIS,57,6.03,303.1,9.6,D,0
20.4773,-76.9018,319,1.4,1.2,2019-01-02,1815,Aqua,MODIS,47,6.03,303.7,10.9,D,0
20.4614,-76.9948,316.8,1.4,1.2,2019-01-02,1815,Aqua,MODIS,65,6.03,302.4,12.5,D,0
