latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
59.404,25.8336,307.6,1.4,1.2,2019-04-06,1024,Aqua,MODIS,66,6.03,286,15.5,D,0
59.4138,25.8252,307,1.4,1.2,2019-04-06,1024,Aqua,MODIS,65,6.03,285.4,14.9,D,0
59.1895,24.3313,300.2,1.6,1.3,2019-04-06,1024,Aqua,MODIS,31,6.03,287.9,9.4,D,0
59.2658,25.9322,343,1.1,1.1,2019-04-24,0959,Terra,MODIS,93,6.03,298.3,54.5,D,0
59.2623,25.9509,326.4,1.1,1.1,2019-04-24,0959,Terra,MODIS,83,6.03,297.5,25.2,D,0
59.2598,25.9568,309.4,1.8,1.3,2019-04-24,1012,Aqua,MODIS,65,6.03,295.9,14.3,D,0
59.2526,25.9275,324.8,1.8,1.3,2019-04-24,1012,Aqua,MODIS,83,6.03,295.3,47.8,D,0
58.238,26.7922,303.9,1.4,1.2,2019-04-28,1125,Aqua,MODIS,57,6.03,291.6,7.9,D,0
58.2412,25.0649,310.6,1.3,1.1,2019-04-28,1125,Aqua,MODIS,70,6.03,289.2,13.5,D,0
58.2512,25.0614,315.4,1.3,1.1,2019-04-28,1125,Aqua,MODIS,76,6.03,289.8,19,D,0
59.3761,28.1722,307.2,1,1,2019-05-30,0935,Terra,MODIS,46,6.03,296,5.6,D,2
59.3224,25.3173,300.3,1.3,1.1,2019-05-30,1125,Aqua,MODIS,18,6.03,287.8,5,D,0
58.4302,26.9739,313.5,1,1,2019-06-08,0929,Terra,MODIS,65,6.03,299.7,6.4,D,0
59.4972,26.5245,304,1,1,2019-06-15,0935,Terra,MODIS,58,6.03,293.8,4.7,D,0
58.3805,26.4679,305.1,1.4,1.2,2019-06-19,0910,Terra,MODIS,0,6.03,287,8.5,D,0
57.754,27.2609,302.1,1.1,1,2019-06-23,2000,Terra,MODIS,46,6.03,284.3,7.9,N,0
58.9728,26.3793,307,1.1,1,2019-06-24,0929,Terra,MODIS,36,6.03,294.5,5.6,D,0
58.9804,26.3809,306.1,1.3,1.1,2019-06-24,1119,Aqua,MODIS,50,6.03,294.9,6.5,D,0
58.7538,24.299,305.7,1.2,1.1,2019-07-01,1125,Aqua,MODIS,32,6.03,293.7,5.5,D,0
58.3445,26.7283,305.2,1,1,2019-07-15,0947,Terra,MODIS,22,6.03,292.6,4.5,D,2
59.2817,24.4017,313,1,1,2019-07-21,1100,Aqua,MODIS,44,6.03,300.4,5.7,D,0
59.4631,24.9959,308,2.1,1.4,2019-07-23,0858,Terra,MODIS,50,6.03,293.2,14.8,D,0
58.3789,26.458,305,2.8,1.6,2019-07-24,0953,Aqua,MODIS,45,6.03,290.8,17.4,D,0
58.3806,26.4529,303.2,2.8,1.6,2019-07-24,0953,Aqua,MODIS,39,6.03,288.9,13.3,D,0
59.476,25.0802,318,1.1,1,2019-07-29,0959,Terra,MODIS,77,6.03,294.2,15.3,D,0
