latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
60.3118,25.5327,304.1,1,1,2019-04-03,0941,Terra,MODIS,0,6.03,284,8.1,D,2
63.2606,22.8462,309.9,1,1,2019-04-06,1011,Terra,MODIS,69,6.03,279.4,13,D,0
60.6502,26.2537,308.3,1,1,2019-04-18,1049,Aqua,MODIS,40,6.03,298,6.2,D,0
60.8294,26.4761,300.6,3.6,1.8,2019-04-21,1106,Terra,MODIS,39,6.03,284.7,35,D,0
60.8232,26.5045,301.7,1.4,1.2,2019-04-21,1119,Aqua,MODIS,48,6.03,288,7.2,D,0
60.8209,26.4798,312.7,1.4,1.2,2019-04-21,1119,Aqua,MODIS,73,6.03,289.5,18.4,D,0
60.7069,26.3572,307.3,2.6,1.5,2019-04-24,1150,Aqua,MODIS,63,6.03,296.6,18.6,D,0
60.7567,26.5928,314.7,2.6,1.6,2019-04-24,1150,Aqua,MODIS,74,6.03,297.1,43.2,D,0
60.7551,26.544,306.9,2.6,1.6,2019-04-24,1150,Aqua,MODIS,58,6.03,296.6,18.3,D,0
60.8088,26.6911,322.1,1,1,2019-04-27,1043,Aqua,MODIS,80,6.03,295.5,17.4,D,0
60.7305,26.5053,309.5,1,1,2019-04-27,1043,Aqua,MODIS,63,6.03,296.3,5.4,D,0
60.8116,26.709,315.5,1,1,2019-04-27,1043,Aqua,MODIS,74,6.03,298,11.1,D,0
60.817,26.6995,304.4,2.4,1.5,2019-04-28,0948,Aqua,MODIS,59,6.03,287,26.6,D,0
60.8229,26.6887,303.8,2.4,1.5,2019-04-28,0948,Aqua,MODIS,57,6.03,286.5,23.5,D,0
60.626,26.2936,305.6,1.2,1.1,2019-04-29,1030,Aqua,MODIS,39,6.03,290.6,8.3,D,0
60.4271,22.5385,312.9,1.2,1.1,2019-05-01,0040,Aqua,MODIS,86,6.03,271.7,23.6,N,0
60.8078,26.7184,304,1.2,1.1,2019-05-01,1005,Terra,MODIS,55,6.03,287.4,7.5,D,0
60.8127,26.7041,303.2,1.2,1.1,2019-05-01,1005,Terra,MODIS,42,6.03,287,6,D,0
60.8086,26.7246,301.5,1.2,1.1,2019-05-01,1005,Terra,MODIS,30,6.03,287.1,4.8,D,0
60.4471,24.2231,309.6,1,1,2019-05-09,1107,Aqua,MODIS,63,6.03,290.5,7.4,D,0
60.4535,24.2144,315,1,1,2019-05-09,1107,Aqua,MODIS,57,6.03,292.4,12,D,0
61.3185,22.4478,305,1,1,2019-05-09,1107,Aqua,MODIS,57,6.03,290.1,5.4,D,0
61.0332,28.588,306.6,2.1,1.4,2019-05-13,1029,Terra,MODIS,64,6.03,288.1,22.1,D,0
64.6485,24.4365,305.5,1.1,1,2019-05-18,0122,Aqua,MODIS,65,6.03,277.1,12.9,N,0
61.742,24.3222,305.3,1.9,1.4,2019-05-19,1144,Aqua,MODIS,49,6.03,286,15.1,D,0
