latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.707,22.676,301,1,1,2019-01-01,0921,Terra,MODIS,44,6.03,277.3,7.7,D,0
40.6804,22.6829,311.8,1.1,1,2019-01-02,1144,Aqua,MODIS,72,6.03,283.4,13.7,D,0
40.6867,22.7333,303,1.1,1,2019-01-02,1144,Aqua,MODIS,37,6.03,284.4,6.4,D,0
40.679,22.7479,308,1.1,1,2019-01-02,1144,Aqua,MODIS,66,6.03,284.8,10,D,0
40.6883,22.7459,300.7,1.1,1,2019-01-02,1144,Aqua,MODIS,21,6.03,283.7,5,D,0
40.5869,22.8266,303.7,1.1,1,2019-01-02,1144,Aqua,MODIS,0,6.03,283.3,7.7,D,0
38.5657,23.3004,303.4,1,1,2019-01-08,0928,Terra,MODIS,0,6.03,277.1,10.1,D,0
37.9095,21.3417,303.5,1,1,2019-01-27,1138,Aqua,MODIS,35,6.03,287.7,6.5,D,0
41.4718,26.5878,300.5,1.2,1.1,2019-02-05,1132,Aqua,MODIS,37,6.03,289,4.5,D,0
41.224,23.2575,301.8,1.2,1.1,2019-02-07,1120,Aqua,MODIS,49,6.03,281.4,7.2,D,0
39.9993,20.6703,306.3,1.3,1.1,2019-02-08,1203,Aqua,MODIS,59,6.03,287.1,12.9,D,0
39.9977,20.6548,301.9,1.3,1.1,2019-02-08,1203,Aqua,MODIS,45,6.03,288,8.7,D,0
38.875,21.033,300.8,1,1,2019-02-09,0928,Terra,MODIS,41,6.03,284.6,5.9,D,0
37.8388,21.5387,301.2,1,1,2019-02-10,1150,Aqua,MODIS,33,6.03,287.1,4.8,D,0
40.5107,21.1673,319.3,1.1,1,2019-02-10,1151,Aqua,MODIS,79,6.03,288,18.5,D,0
40.4597,21.198,302.9,1.1,1,2019-02-10,1151,Aqua,MODIS,54,6.03,289.3,5,D,0
40.5123,21.1798,300.6,1.1,1,2019-02-10,1151,Aqua,MODIS,38,6.03,287.3,3.5,D,0
35.335,23.8181,302.6,1,1,2019-02-11,0917,Terra,MODIS,53,6.03,289.2,5.8,D,0
40.9627,23.6136,305.8,1.5,1.2,2019-02-14,0946,Terra,MODIS,62,6.03,281.5,13.6,D,0
40.8261,22.8737,353.4,1.4,1.2,2019-02-14,0946,Terra,MODIS,97,6.03,283.4,111.8,D,0
40.8231,22.8893,313.9,1.4,1.2,2019-02-14,0946,Terra,MODIS,74,6.03,281.6,21.7,D,0
40.8303,22.8686,334.6,1.4,1.2,2019-02-14,0946,Terra,MODIS,89,6.03,283.1,56.7,D,0
40.8274,22.8842,330.7,1.4,1.2,2019-02-14,0946,Terra,MODIS,87,6.03,282.7,48.5,D,0
41.0862,23.4942,300.8,1.4,1.2,2019-02-14,0946,Terra,MODIS,42,6.03,284.8,8.5,D,2
39.6772,20.5288,309.2,1.1,1.1,2019-02-14,0946,Terra,MODIS,68,6.03,284.8,12.6,D,0
40.9979,23.839,301.6,1,1,2019-02-14,1126,Aqua,MODIS,48,6.03,289.9,3.7,D,0
