latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
66.2276,-49.9055,302.1,1.1,1.1,2019-05-12,1442,Terra,MODIS,46,6.03,285.5,6.8,D,0
67.1479,-51.1763,306.8,1,1,2019-05-29,1525,Terra,MODIS,0,6.03,294,3.9,D,0
67.842,-51.6015,306.5,1,1,2019-05-31,1529,Aqua,MODIS,0,6.03,295,5.3,D,0
71.8545,-27.9176,304.6,1.1,1,2019-06-07,1338,Terra,MODIS,0,6.03,290.9,12,D,0
66.996,-50.4289,305.6,1.1,1,2019-06-11,1454,Terra,MODIS,0,6.03,293,4.8,D,0
73.6472,-26.6246,305.1,1.1,1,2019-06-13,1439,Terra,MODIS,29,6.03,292.6,7.2,D,0
73.6457,-26.6089,302.4,1,1,2019-07-05,1402,Terra,MODIS,44,6.03,290.2,6.9,D,0
71.7267,-52.2307,301.4,1,1,2019-07-07,1529,Terra,MODIS,22,6.03,289.1,6.2,D,0
66.9901,-53.1917,315.5,2.1,1.4,2019-07-10,1440,Aqua,MODIS,66,6.03,286.3,40,D,0
69.9367,-50.5591,306.8,1.2,1.1,2019-07-10,1600,Terra,MODIS,0,6.03,294.8,4.6,D,0
66.9848,-53.2041,343.5,1.2,1.1,2019-07-10,1617,Aqua,MODIS,0,6.03,295.6,64.2,D,0
73.1202,-26.1558,300.4,1,1,2019-07-12,1408,Terra,MODIS,21,6.03,288.3,7.7,D,0
66.9784,-53.1905,312.7,1.2,1.1,2019-07-12,1549,Terra,MODIS,53,6.03,291,12.4,D,0
66.9822,-53.1984,333,1.1,1,2019-07-12,1605,Aqua,MODIS,0,6.03,296.9,32.3,D,0
66.9733,-53.1916,324,1.1,1,2019-07-12,1605,Aqua,MODIS,69,6.03,291.4,21.7,D,0
66.995,-53.1465,352.2,1.1,1,2019-07-14,1537,Terra,MODIS,97,6.03,298.8,70.5,D,0
66.9865,-53.1562,368,1.1,1,2019-07-14,1537,Terra,MODIS,87,6.03,302,116.8,D,0
66.9824,-53.1341,357.8,1.1,1,2019-07-14,1537,Terra,MODIS,93,6.03,297.2,84.9,D,0
66.9793,-53.1961,322.1,1,1,2019-07-14,1553,Aqua,MODIS,74,6.03,296.3,18,D,0
66.9802,-53.1227,314.5,1,1,2019-07-14,1553,Aqua,MODIS,65,6.03,292.5,10.7,D,0
66.9771,-53.1444,352.5,1,1,2019-07-14,1553,Aqua,MODIS,84,6.03,299,64.9,D,0
66.9906,-53.1377,318.7,3.7,1.8,2019-07-14,1714,Terra,MODIS,0,6.03,288,105.8,D,0
66.989,-53.135,304.1,1.3,1.1,2019-07-15,0118,Terra,MODIS,58,6.03,281.7,13.2,N,0
72.1724,-26.6715,303.2,1.2,1.1,2019-07-15,1439,Terra,MODIS,38,6.03,291.5,12.3,D,0
