latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.4225,114.0221,319.4,1,1,2019-05-14,0310,Terra,MODIS,38,6.03,294.8,8,D,2
22.4151,113.9337,317.1,1,1,2019-08-18,0309,Terra,MODIS,67,6.03,294.2,7.5,D,2
22.4194,113.9318,316.8,1,1,2019-09-28,0303,Terra,MODIS,55,6.03,303.2,8.1,D,0
22.5025,114.0773,315.4,2.1,1.4,2019-09-28,0612,Aqua,MODIS,49,6.03,299.5,15.3,D,2
22.4317,113.9545,312.3,1,1,2019-10-30,0303,Terra,MODIS,47,6.03,282.2,8.6,D,0
22.5479,114.1663,323.6,1.4,1.2,2019-11-14,0529,Aqua,MODIS,80,6.03,294.6,29.3,D,2
22.5494,114.1572,303.5,1.3,1.1,2019-11-30,1453,Terra,MODIS,55,6.03,287.7,10,N,0
22.5421,114.1579,301.4,1,1,2019-12-02,1441,Terra,MODIS,40,6.03,284.9,6.5,N,2
22.4854,114.0867,302.3,1.4,1.2,2019-12-03,0251,Terra,MODIS,52,6.03,285.7,7.4,D,0
22.4837,114.1,302.6,1.4,1.2,2019-12-03,0251,Terra,MODIS,53,6.03,285.9,8.1,D,0
22.4399,113.9961,305.9,1.3,1.1,2019-12-06,0321,Terra,MODIS,58,6.03,292.3,7.6,D,2
