latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
53.2057,-6.3441,311.4,1,1,2019-02-25,2215,Terra,MODIS,82,6.03,277.6,13.9,N,0
52.2446,-10.2061,302.9,1,1,2019-02-26,1146,Terra,MODIS,54,6.03,288.1,5.4,D,0
53.1844,-6.3481,302.9,1,1,2019-02-26,1146,Terra,MODIS,54,6.03,285.9,6.5,D,0
51.963,-10.2451,307.3,1,1,2019-02-26,1146,Terra,MODIS,57,6.03,283.9,10.8,D,0
53.22,-6.3372,302.7,1.2,1.1,2019-02-26,1333,Aqua,MODIS,26,6.03,290.7,6.3,D,0
53.036,-6.5414,306.7,1.2,1.1,2019-02-26,1333,Aqua,MODIS,64,6.03,288.8,9.3,D,0
53.0474,-6.5269,306.2,1.2,1.1,2019-02-26,1333,Aqua,MODIS,63,6.03,288.3,8.8,D,0
53.1587,-6.4444,302.9,1.2,1.1,2019-02-26,1333,Aqua,MODIS,54,6.03,289.3,7,D,0
53.1795,-6.3452,302.2,1.2,1.1,2019-02-26,1333,Aqua,MODIS,51,6.03,287.4,6.4,D,0
53.1891,-6.3478,300.3,1.2,1.1,2019-02-26,1333,Aqua,MODIS,29,6.03,287.2,4.9,D,0
53.2296,-6.3401,317.6,1.2,1.1,2019-02-26,1333,Aqua,MODIS,78,6.03,290.6,20.7,D,0
53.1857,-6.3411,300.1,2.5,1.5,2019-02-26,2258,Terra,MODIS,19,6.03,277.3,29.7,N,0
53.1919,-6.346,300.3,2.5,1.5,2019-02-26,2258,Terra,MODIS,25,6.03,277.4,29.9,N,0
53.1431,-6.435,308.2,1.2,1.1,2019-02-27,0304,Aqua,MODIS,74,6.03,275.1,16.5,N,0
53.1524,-6.4296,303.8,1.2,1.1,2019-02-27,0304,Aqua,MODIS,57,6.03,276.1,13,N,0
53.2265,-6.2678,308.8,1.2,1.1,2019-02-27,0304,Aqua,MODIS,75,6.03,276.5,17.7,N,0
53.2243,-6.2964,305.9,2.6,1.6,2019-02-27,1051,Terra,MODIS,62,6.03,287.2,35.8,D,0
53.2291,-6.2902,309.4,2.6,1.6,2019-02-27,1051,Terra,MODIS,69,6.03,286.3,45.3,D,0
53.2226,-6.2597,306.1,2.6,1.5,2019-02-27,1051,Terra,MODIS,63,6.03,286.1,36.2,D,0
53.4945,-10.0166,301.6,1.7,1.3,2019-02-27,1229,Terra,MODIS,42,6.03,285.1,13.7,D,0
53.2154,-6.2721,304.3,2.5,1.5,2019-02-27,1229,Terra,MODIS,59,6.03,286.4,29.2,D,0
53.2201,-6.2594,306.2,2.5,1.5,2019-02-27,1229,Terra,MODIS,53,6.03,285,32.4,D,0
53.2299,-6.2959,309.1,2.5,1.5,2019-02-27,1229,Terra,MODIS,65,6.03,285.6,39.6,D,0
