latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.9856,47.9962,304,2.1,1.4,2019-01-03,1833,Terra,MODIS,58,6.03,284.5,24.3,N,2
29.0224,47.9865,303.9,2.1,1.4,2019-01-03,1833,Terra,MODIS,58,6.03,284.5,24,N,0
29.0239,47.9798,302.2,2.1,1.4,2019-01-03,1833,Terra,MODIS,47,6.03,284.3,20.6,N,0
28.9815,47.9757,303.2,2.1,1.4,2019-01-03,1833,Terra,MODIS,54,6.03,284.3,23.2,N,2
29.0278,47.9921,331.9,1.1,1.1,2019-01-03,2251,Aqua,MODIS,100,6.03,284.9,41.4,N,0
29.0344,47.9874,323.6,1.1,1.1,2019-01-03,2251,Aqua,MODIS,100,6.03,283.4,29,N,0
29.0325,47.9988,326.3,1.1,1.1,2019-01-03,2251,Aqua,MODIS,100,6.03,283.7,32.7,N,0
29.0245,47.9756,313.8,3.4,1.7,2019-01-04,0816,Terra,MODIS,71,6.03,290.6,56.5,D,0
29.0171,48.0092,310.8,3.4,1.7,2019-01-04,0816,Terra,MODIS,67,6.03,290.4,44.8,D,0
29.0243,47.9918,334.5,1.3,1.1,2019-01-04,0950,Aqua,MODIS,87,6.03,293.9,46.8,D,0
29.0293,47.9921,337.7,1.3,1.1,2019-01-04,1915,Terra,MODIS,100,6.03,283.5,66.3,N,0
29.0277,47.9784,315.2,1.3,1.1,2019-01-04,1915,Terra,MODIS,91,6.03,282.3,25.8,N,0
29.0036,48.0191,303,1.3,1.1,2019-01-05,0721,Terra,MODIS,46,6.03,289.7,4.7,D,0
28.9327,47.9408,306.5,2.1,1.4,2019-01-05,1033,Aqua,MODIS,48,6.03,293.2,8.7,D,0
29.029,47.9887,314.9,2.1,1.4,2019-01-05,1033,Aqua,MODIS,71,6.03,290.6,28.7,D,0
29.0276,47.9837,318.7,2.1,1.4,2019-01-05,1033,Aqua,MODIS,75,6.03,291.1,40.8,D,0
29.0318,47.9892,324.2,1,1,2019-01-05,2239,Aqua,MODIS,100,6.03,278.1,26,N,0
29.0304,47.9994,309.1,1,1,2019-01-05,2239,Aqua,MODIS,76,6.03,278.5,12.6,N,0
28.8874,47.7346,300.1,1.3,1.1,2019-01-07,2227,Aqua,MODIS,17,6.03,272.8,13,N,0
28.9386,47.952,314,1,1,2019-01-09,1008,Aqua,MODIS,68,6.03,294.5,8.2,D,0
29.8655,47.7262,304.4,1,1,2019-01-10,0739,Terra,MODIS,40,6.03,280.6,7.5,D,0
28.9968,48.0174,307.2,1.6,1.3,2019-01-10,1839,Terra,MODIS,71,6.03,268.1,24.9,N,0
29.0311,47.9939,341.6,1.3,1.1,2019-01-10,2257,Aqua,MODIS,100,6.03,280.2,77.7,N,0
29.0062,48.0248,322.1,1.3,1.2,2019-01-10,2257,Aqua,MODIS,100,6.03,279.4,37.6,N,0
28.9993,48.0142,319.7,1.1,1,2019-01-11,0956,Aqua,MODIS,78,6.03,286.4,18.5,D,0
29.0011,48.0253,314.1,1.1,1,2019-01-11,0956,Aqua,MODIS,72,6.03,287.9,12.7,D,0
28.9988,48.0256,321.5,1.7,1.3,2019-01-11,1921,Terra,MODIS,100,6.03,279.5,49.3,N,0
28.9971,48.0086,307.1,1.7,1.3,2019-01-11,1921,Terra,MODIS,70,6.03,278.5,24.2,N,0
29.0296,47.987,337,1.7,1.3,2019-01-11,1921,Terra,MODIS,100,6.03,278.9,90.8,N,0
29.0009,48.0319,300.6,1.7,1.3,2019-01-11,1921,Terra,MODIS,30,6.03,278.4,17.1,N,0
28.9991,48.0149,320.3,1.7,1.3,2019-01-11,1921,Terra,MODIS,100,6.03,279.5,47.3,N,0
29.8834,47.7971,302.1,3.6,1.8,2019-01-11,2202,Aqua,MODIS,47,6.03,274.4,62.5,N,2
28.9928,47.9865,318.8,1.1,1.1,2019-01-13,1909,Terra,MODIS,97,6.03,271.2,24.2,N,2
29.0225,47.9933,301.5,1.1,1.1,2019-01-13,1909,Terra,MODIS,42,6.03,271.7,9.5,N,0
29.032,47.9917,333.6,1.1,1.1,2019-01-13,1909,Terra,MODIS,100,6.03,270.8,43.8,N,0
29.0305,47.9803,323.2,1.1,1.1,2019-01-13,1909,Terra,MODIS,100,6.03,270.4,28.5,N,0
29.8814,47.7919,307.8,1.5,1.2,2019-01-15,0758,Terra,MODIS,62,6.03,287.1,12.6,D,2
29.8799,47.7857,303.8,1.5,1.2,2019-01-15,0758,Terra,MODIS,48,6.03,286.9,8.7,D,2
29.8842,47.7901,303.1,1,1,2019-01-15,1857,Terra,MODIS,53,6.03,285.5,8.5,N,2
