latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
28.9085,19.7805,336.5,1,1,2019-01-01,0925,Terra,MODIS,90,6.03,289.3,37,D,2
29.2273,19.7015,300.3,2.2,1.4,2019-01-01,2024,Terra,MODIS,25,6.03,277.9,22.6,N,2
28.9107,19.7806,300.7,2.2,1.4,2019-01-01,2024,Terra,MODIS,31,6.03,278.6,26,N,2
29.2263,19.6966,302.6,2.2,1.4,2019-01-01,2024,Terra,MODIS,50,6.03,277.8,27.8,N,2
28.9156,19.7777,325.8,1.1,1,2019-01-02,0042,Aqua,MODIS,100,6.03,278.9,32,N,2
28.9046,20.9528,303.9,1.2,1.1,2019-01-02,0042,Aqua,MODIS,57,6.03,278.1,13.2,N,2
29.2331,19.7043,320.2,1.1,1,2019-01-02,0042,Aqua,MODIS,100,6.03,277.9,24.8,N,2
29.2348,19.6934,307,1.1,1,2019-01-02,0042,Aqua,MODIS,70,6.03,277.2,13,N,2
28.9023,20.9519,311.4,1.5,1.2,2019-01-02,2107,Terra,MODIS,82,6.03,279,26.4,N,2
29.2299,19.6973,316.7,1.3,1.1,2019-01-02,2107,Terra,MODIS,94,6.03,276.8,27.3,N,2
28.9135,19.7706,330.5,1.3,1.1,2019-01-02,2107,Terra,MODIS,100,6.03,279.4,47.9,N,2
29.2319,19.6938,304.4,1,1,2019-01-04,0030,Aqua,MODIS,60,6.03,277.2,10.7,N,2
29.2304,19.7043,308,1,1,2019-01-04,0030,Aqua,MODIS,73,6.03,278,13.1,N,2
28.904,20.9588,316.5,1,1,2019-01-04,0030,Aqua,MODIS,93,6.03,278.4,19,N,2
28.9017,20.9588,309.2,1.8,1.3,2019-01-04,1129,Aqua,MODIS,50,6.03,292,13.4,D,2
29.2309,19.6963,324.7,1,1,2019-01-04,2054,Terra,MODIS,100,6.03,279,26.8,N,2
27.9894,22.3277,300.1,1.2,1.1,2019-01-04,2054,Terra,MODIS,14,6.03,279.2,10,N,2
28.9046,20.9524,316.5,1.1,1,2019-01-04,2054,Terra,MODIS,93,6.03,279.3,20.3,N,2
28.911,19.7798,304.6,1,1,2019-01-04,2054,Terra,MODIS,61,6.03,277.9,10.9,N,2
28.9096,19.7697,317.1,1,1,2019-01-04,2054,Terra,MODIS,94,6.03,279.3,20,N,2
28.9085,19.7603,305.7,4.2,1.9,2019-01-05,2137,Terra,MODIS,65,6.03,274.8,94.6,N,2
28.9116,19.7552,302.3,4.2,1.9,2019-01-05,2137,Terra,MODIS,48,6.03,274.6,79,N,2
28.9127,19.7762,322.7,1.4,1.2,2019-01-06,0018,Aqua,MODIS,88,6.03,277.4,38.6,N,2
28.9163,19.7839,307.3,1.4,1.2,2019-01-06,0018,Aqua,MODIS,54,6.03,276.4,19,N,2
29.2389,19.6984,301.9,1.4,1.2,2019-01-06,0018,Aqua,MODIS,45,6.03,274.6,15,N,2
27.9901,22.3322,300.5,1,1,2019-01-06,0018,Aqua,MODIS,30,6.03,276.3,9.6,N,2
28.9708,15.7484,308,1,1,2019-01-06,0943,Terra,MODIS,66,6.03,289.1,7.5,D,0
28.9126,19.7741,325.1,1.2,1.1,2019-01-06,2042,Terra,MODIS,100,6.03,279.3,34.7,N,2
27.9885,22.3245,305,1,1,2019-01-06,2042,Terra,MODIS,63,6.03,271.1,11.6,N,2
28.9084,20.9485,302.1,1,1,2019-01-06,2042,Terra,MODIS,46,6.03,277.6,9.3,N,2
28.9096,19.781,312.5,1.2,1.1,2019-01-06,2042,Terra,MODIS,85,6.03,279,19.8,N,2
28.9077,19.7695,324.7,1.2,1.1,2019-01-06,2042,Terra,MODIS,100,6.03,278.7,33.9,N,2
29.2272,19.7004,305.7,1.2,1.1,2019-01-06,2042,Terra,MODIS,65,6.03,275.8,13.5,N,2
29.2361,19.7086,305.3,1.9,1.4,2019-01-07,0101,Aqua,MODIS,64,6.03,274.7,30,N,2
28.9181,19.7753,310.3,2,1.4,2019-01-07,0101,Aqua,MODIS,80,6.03,277,41.1,N,2
28.9162,19.7762,306.6,2.5,1.5,2019-01-07,2125,Terra,MODIS,69,6.03,277.6,46.9,N,2
28.9086,19.7702,314.1,2.5,1.5,2019-01-07,2125,Terra,MODIS,89,6.03,278,68.9,N,2
28.9125,19.7683,311.3,1,1,2019-01-08,0931,Terra,MODIS,66,6.03,288.6,7.8,D,2
28.911,19.7785,317.2,1,1,2019-01-08,0931,Terra,MODIS,74,6.03,288.1,12.5,D,2
27.9871,22.322,302.8,1.3,1.1,2019-01-08,2029,Terra,MODIS,52,6.03,276.9,14.3,N,2
28.9051,20.9546,308.1,1.5,1.2,2019-01-08,2030,Terra,MODIS,74,6.03,278.5,22.3,N,2
