latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
4.1721,73.5076,317.5,1,1,2019-02-15,0841,Aqua,MODIS,68,6.03,299.3,10.5,D,3
4.1811,73.442,310.4,1,1,2019-02-15,0841,Aqua,MODIS,38,6.03,296.9,5.6,D,3
4.1725,73.5157,312.5,1.1,1.1,2019-02-17,0530,Terra,MODIS,49,6.03,297.2,8.5,D,3
4.1707,73.5051,313.2,1.8,1.3,2019-03-08,0900,Aqua,MODIS,39,6.03,300.5,17.2,D,3
4.175,73.5053,317.8,1,1,2019-03-19,0842,Aqua,MODIS,45,6.03,300.6,9.4,D,3
4.2071,73.5376,318.8,1,1,2019-03-19,0842,Aqua,MODIS,26,6.03,301.8,9.6,D,3
4.173,73.5183,312.8,1.1,1,2019-03-21,0531,Terra,MODIS,52,6.03,299.5,7.7,D,3
4.2084,73.541,311.7,1.7,1.3,2019-03-23,0518,Terra,MODIS,23,6.03,296.4,11.7,D,3
4.172,73.5074,320.9,1.1,1.1,2019-03-26,0848,Aqua,MODIS,71,6.03,305.3,15.8,D,3
4.177,73.5093,317.8,1.1,1,2019-04-06,0531,Terra,MODIS,54,6.03,301.4,11.7,D,3
4.2306,73.544,310.9,1.3,1.1,2019-04-15,0524,Terra,MODIS,30,6.03,296.3,7.5,D,3
4.1824,73.4389,311.9,1.4,1.2,2019-04-15,0525,Terra,MODIS,52,6.03,297.2,9.3,D,3
4.1807,73.4511,310.9,1.4,1.2,2019-04-15,0525,Terra,MODIS,45,6.03,296.9,8.2,D,3
4.1725,73.5136,310.3,1.3,1.1,2019-05-01,0525,Terra,MODIS,20,6.03,291.6,8.1,D,3
4.1758,73.5077,314.9,1,1,2019-05-06,0543,Terra,MODIS,45,6.03,300.1,6.9,D,3
4.1803,73.4461,310.3,1,1,2019-05-06,0842,Aqua,MODIS,33,6.03,297.2,4.8,D,3
4.2367,73.5495,313.3,1.1,1,2019-05-08,0531,Terra,MODIS,42,6.03,298.3,7.4,D,3
4.1824,73.443,314.6,1,1,2019-05-15,0537,Terra,MODIS,62,6.03,299.3,7.6,D,3
4.1703,73.5023,311.8,1.4,1.2,2019-05-20,0854,Aqua,MODIS,49,6.03,296.8,9.6,D,3
4.1751,73.5077,310.7,1.4,1.2,2019-07-04,0524,Terra,MODIS,38,6.03,296.5,8.5,D,3
4.1702,73.5019,312.2,1.5,1.2,2019-07-04,0823,Aqua,MODIS,43,6.03,299.1,10.3,D,3
4.1726,73.5068,310.9,1,1,2019-07-25,0841,Aqua,MODIS,43,6.03,293.1,6.1,D,3
4.171,73.5061,314.1,1.4,1.2,2019-09-09,0853,Aqua,MODIS,41,6.03,298.9,12,D,3
4.1717,73.5126,311,1.5,1.2,2019-10-27,0555,Terra,MODIS,43,6.03,293.1,9.7,D,3
4.1744,73.5069,313.3,1,1,2019-12-25,0536,Terra,MODIS,58,6.03,297.7,7.8,D,3
4.1731,73.5158,311.6,1,1,2019-12-25,0536,Terra,MODIS,49,6.03,296.8,6.5,D,3
4.1722,73.5042,313.9,1,1,2019-12-25,0835,Aqua,MODIS,59,6.03,298.1,8,D,3
