latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.2755,-8.0118,320.7,1,1,2019-01-01,1108,Terra,MODIS,65,6.03,305.5,8,D,0
11.2491,-7.7107,315,1,1,2019-01-01,1108,Terra,MODIS,34,6.03,299.9,4.1,D,0
12.8485,-7.9317,316.1,1,1,2019-01-01,1108,Terra,MODIS,25,6.03,297.6,5.4,D,0
12.9104,-8.4193,324.7,1,1,2019-01-01,1108,Terra,MODIS,57,6.03,305.7,11.1,D,0
12.6307,-8.2067,320.2,1,1,2019-01-01,1108,Terra,MODIS,60,6.03,301,9,D,0
12.1955,-7.8776,319.2,1,1,2019-01-01,1108,Terra,MODIS,60,6.03,302.1,7.1,D,0
12.1942,-7.8685,321.1,1,1,2019-01-01,1108,Terra,MODIS,66,6.03,300.9,9.1,D,0
12.1553,-7.7909,324.9,1,1,2019-01-01,1108,Terra,MODIS,73,6.03,301.8,12.8,D,0
12.7716,-7.2269,321.4,1,1,2019-01-01,1108,Terra,MODIS,66,6.03,304.5,7.3,D,0
11.2791,-7.9743,324.7,1,1,2019-01-01,1108,Terra,MODIS,73,6.03,306.5,12,D,0
11.3072,-7.9794,324.5,1,1,2019-01-01,1108,Terra,MODIS,69,6.03,305,10.9,D,0
11.965,-8.1902,345.3,1,1,2019-01-01,1108,Terra,MODIS,92,6.03,303.5,42.2,D,0
11.9636,-8.1811,343.9,1,1,2019-01-01,1108,Terra,MODIS,91,6.03,305.1,39.8,D,0
11.3794,-7.9068,316.5,1,1,2019-01-01,1108,Terra,MODIS,42,6.03,302.5,5,D,0
11.2741,-8.0028,319.6,1,1,2019-01-01,1108,Terra,MODIS,62,6.03,305.4,7,D,0
11.0818,-7.8868,342.2,1,1,2019-01-01,1108,Terra,MODIS,90,6.03,305.8,36.5,D,0
11.0804,-7.8778,325.7,1,1,2019-01-01,1108,Terra,MODIS,75,6.03,305.8,13.1,D,0
11.059,-7.9179,330.9,1,1,2019-01-01,1108,Terra,MODIS,81,6.03,304.1,19.9,D,0
