latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
46.3948,114.1299,329.7,1.1,1,2019-03-03,0535,Aqua,MODIS,86,6.03,287.5,31.4,D,0
46.4041,114.1275,306.8,1.1,1,2019-03-03,0535,Aqua,MODIS,47,6.03,287.3,7.5,D,0
44.9031,110.191,329,1,1,2019-03-03,0535,Aqua,MODIS,86,6.03,290,26.3,D,0
46.3931,114.1157,332.7,1.1,1,2019-03-03,0535,Aqua,MODIS,88,6.03,287.4,35.9,D,0
46.4058,114.1416,304.9,1.1,1,2019-03-03,0535,Aqua,MODIS,48,6.03,285.7,6.3,D,0
46.4335,94.1087,300.2,1.5,1.2,2019-03-14,0512,Terra,MODIS,15,6.03,285.2,4.1,D,0
49.8089,114.3105,356.6,1.7,1.3,2019-03-17,0403,Terra,MODIS,98,6.03,293.1,163,D,0
49.8248,114.2943,319.1,1.7,1.3,2019-03-17,0403,Terra,MODIS,40,6.03,292.1,30.3,D,0
49.8124,114.3058,358.7,1.7,1.3,2019-03-17,0403,Terra,MODIS,99,6.03,294.2,177,D,0
49.8015,114.2998,315,1.7,1.3,2019-03-17,0403,Terra,MODIS,69,6.03,289.6,25,D,0
49.7985,114.3025,305.7,4.7,2,2019-03-17,0411,Aqua,MODIS,62,6.03,287.5,61.7,D,0
49.7971,114.2948,305.7,4.7,2,2019-03-17,0411,Aqua,MODIS,62,6.03,287.5,62.1,D,0
49.7388,114.3682,333.9,1.7,1.3,2019-03-17,0549,Aqua,MODIS,89,6.03,293.7,63.9,D,0
49.7501,114.3657,339.5,1.7,1.3,2019-03-17,0549,Aqua,MODIS,91,6.03,294,80.7,D,0
49.7615,114.3634,334.5,1.7,1.3,2019-03-17,0549,Aqua,MODIS,71,6.03,294.1,63.3,D,0
49.7824,114.3356,334.3,1.7,1.3,2019-03-17,0549,Aqua,MODIS,89,6.03,293.4,65.6,D,0
49.7805,114.3124,319.8,1.7,1.3,2019-03-17,0549,Aqua,MODIS,67,6.03,293.1,29.3,D,0
49.7906,114.3286,320.2,1.7,1.3,2019-03-17,0549,Aqua,MODIS,80,6.03,292.3,31.7,D,0
48.9663,89.9551,300.6,1.1,1,2019-03-21,0518,Terra,MODIS,25,6.03,283.5,2.9,D,2
48.0133,106.92,304.5,1,1,2019-03-24,0555,Aqua,MODIS,31,6.03,288.1,5.2,D,0
48.0115,106.9066,309.4,1,1,2019-03-24,0555,Aqua,MODIS,68,6.03,288,8.4,D,0
49.3863,115.3759,313.2,1,1,2019-04-01,0321,Terra,MODIS,72,6.03,285.4,11.5,D,0
51.2814,101.5138,311.9,1.8,1.3,2019-04-01,0459,Terra,MODIS,72,6.03,285.8,26.2,D,0
51.2703,101.5081,309.2,1.8,1.3,2019-04-01,0459,Terra,MODIS,68,6.03,285.6,21.7,D,0
49.3603,115.4158,407.9,1.1,1,2019-04-01,0506,Aqua,MODIS,100,6.03,303.5,325.4,D,0
49.3265,115.4444,391.5,1.1,1,2019-04-01,0506,Aqua,MODIS,75,6.03,299.2,219.7,D,0
49.3242,115.4301,351.9,1.1,1,2019-04-01,0506,Aqua,MODIS,91,6.03,296.8,66.2,D,0
