latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.3499,145.6837,314.7,1,1,2019-03-28,0342,Aqua,MODIS,38,6.03,299.9,6.1,D,1
15.2546,145.7839,322.4,1,1,2019-04-18,0056,Terra,MODIS,57,6.03,302.4,11.2,D,0
15.0498,145.6113,323.2,1,1,2019-04-29,0342,Aqua,MODIS,63,6.03,299.7,9.6,D,0
15.0602,145.6191,335.2,1,1,2019-04-29,0342,Aqua,MODIS,82,6.03,302.3,22.5,D,0
15.0588,145.6098,365.7,1,1,2019-04-29,0342,Aqua,MODIS,75,6.03,304.8,90.8,D,0
20.5424,144.9037,310.8,1.7,1.3,2019-05-06,0042,Terra,MODIS,43,6.03,296.6,14.5,D,3
14.1857,145.2781,325.2,1.1,1,2019-05-29,0050,Terra,MODIS,0,6.03,304.8,12,D,0
16.352,145.6853,317.6,1.2,1.1,2019-05-29,0354,Aqua,MODIS,24,6.03,298.4,11,D,1
16.3506,145.674,320,1.2,1.1,2019-05-29,0354,Aqua,MODIS,30,6.03,300.2,14.7,D,1
14.1667,145.1854,317.1,1.5,1.2,2019-06-10,0114,Terra,MODIS,16,6.03,299.1,16,D,0
14.1633,145.1788,338.6,1.5,1.2,2019-06-10,0114,Terra,MODIS,58,6.03,299.6,64.9,D,0
14.1612,145.1917,317.9,1.5,1.2,2019-06-10,0114,Terra,MODIS,54,6.03,296.5,20.3,D,0
14.1866,145.2798,314.7,1,1,2019-06-21,0056,Terra,MODIS,0,6.03,293.9,5.4,D,0
16.3525,145.6752,311.7,1,1,2019-08-03,0342,Aqua,MODIS,34,6.03,289.9,6.9,D,1
