latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
18.015,-66.2154,325.9,1.2,1.1,2019-01-04,1801,Aqua,MODIS,77,6.03,305.1,19.6,D,0
18.0969,-66.7375,306.4,1.4,1.2,2019-01-06,0231,Terra,MODIS,68,6.03,290.7,11.5,N,0
18.0594,-66.4147,329.7,1,1,2019-01-06,1749,Aqua,MODIS,84,6.03,304.7,20.4,D,0
17.9963,-67.0653,325.6,1.4,1.2,2019-01-11,1807,Aqua,MODIS,51,6.03,300.5,19.8,D,0
17.9933,-67.0576,319.2,1.4,1.2,2019-01-11,1807,Aqua,MODIS,53,6.03,300.6,10.8,D,0
17.9917,-67.0704,322.9,1.4,1.2,2019-01-11,1807,Aqua,MODIS,76,6.03,300.3,16.9,D,0
18.0067,-66.4814,376.6,1,1,2019-01-13,1755,Aqua,MODIS,82,6.03,301.3,141,D,0
18.0097,-66.4698,318.6,1.1,1,2019-01-15,1743,Aqua,MODIS,66,6.03,304.3,7.1,D,0
18.3213,-67.2171,305.4,1.1,1,2019-02-03,0256,Terra,MODIS,64,6.03,292.2,7.4,N,0
17.9841,-66.1328,322.8,1,1,2019-02-03,1507,Terra,MODIS,77,6.03,299.4,14.1,D,0
17.9827,-66.1234,346.4,1,1,2019-02-03,1507,Terra,MODIS,94,6.03,299,49.1,D,2
18.0216,-66.2845,333.2,1.1,1,2019-02-10,1514,Terra,MODIS,87,6.03,300.9,28.6,D,0
18.02,-66.2742,335.6,1.1,1,2019-02-10,1514,Terra,MODIS,88,6.03,299.3,32.2,D,0
18.0123,-66.286,338.7,1.1,1,2019-02-10,1514,Terra,MODIS,90,6.03,302.3,38.4,D,0
18.0107,-66.2757,343.9,1.1,1,2019-02-10,1514,Terra,MODIS,93,6.03,302.2,48.6,D,0
18.0261,-66.5123,324.7,1.1,1,2019-02-16,1743,Aqua,MODIS,78,6.03,302.9,12.6,D,0
18.2054,-66.6542,312.4,1.1,1,2019-02-16,1743,Aqua,MODIS,61,6.03,296,7.6,D,0
18.2902,-66.7598,317.3,1.1,1.1,2019-02-16,1743,Aqua,MODIS,69,6.03,297.5,11.7,D,0
18.3947,-66.6905,312.1,1.7,1.3,2019-02-18,1731,Aqua,MODIS,52,6.03,298.6,13,D,0
18.1066,-66.8403,313.3,1,1,2019-02-19,1507,Terra,MODIS,64,6.03,298.5,7.1,D,0
18.1052,-66.831,323.7,1,1,2019-02-19,1507,Terra,MODIS,79,6.03,299,16.9,D,0
18.1038,-66.8216,311.5,1,1,2019-02-19,1507,Terra,MODIS,57,6.03,298.3,5.4,D,0
18.041,-66.2954,317.5,1.3,1.1,2019-02-23,0231,Terra,MODIS,94,6.03,293.6,21.2,N,0
18.01,-66.9007,322.1,1.4,1.2,2019-02-25,1737,Aqua,MODIS,68,6.03,301,16.2,D,2
18.0147,-66.9131,367.4,2.3,1.5,2019-02-27,1725,Aqua,MODIS,100,6.03,299.1,336.1,D,0
18.0108,-66.9346,329.1,2.3,1.5,2019-02-27,1725,Aqua,MODIS,82,6.03,297.2,63.4,D,0
18.0163,-66.8979,323.5,2.3,1.5,2019-02-27,1725,Aqua,MODIS,62,6.03,296.5,46.3,D,0
18.0123,-66.9195,367.5,2.3,1.5,2019-02-27,1725,Aqua,MODIS,100,6.03,300,337,D,2
18.0055,-66.3991,323.6,1.5,1.2,2019-02-28,1808,Aqua,MODIS,69,6.03,297.9,15.9,D,0
18.0167,-66.2964,307.5,1.1,1,2019-03-02,0237,Terra,MODIS,54,6.03,292.2,8.4,N,2
18.0614,-66.7997,318.4,1,1,2019-03-02,1755,Aqua,MODIS,64,6.03,302.4,8.3,D,0
17.9593,-66.1481,322.1,1.1,1,2019-03-04,1743,Aqua,MODIS,60,6.03,303.8,7.8,D,2
18.0226,-66.3483,324.3,1.6,1.2,2019-03-06,1731,Aqua,MODIS,76,6.03,302.3,23,D,0
18.02,-66.3638,332.3,1.6,1.3,2019-03-06,1731,Aqua,MODIS,85,6.03,302.6,41.9,D,0
18.4305,-65.9094,311.1,1,1,2019-03-07,1507,Terra,MODIS,46,6.03,298.6,4.8,D,0
18.0461,-66.5411,322.4,1,1,2019-03-07,1508,Terra,MODIS,76,6.03,299.7,10.2,D,2
18.0447,-66.5317,328.8,1,1,2019-03-07,1508,Terra,MODIS,82,6.03,301.2,16.9,D,0
18.0008,-66.3958,316.4,4.7,2,2019-03-08,1550,Terra,MODIS,53,6.03,297.5,53.9,D,0
18.0014,-66.4008,316.1,4.7,2,2019-03-08,1550,Terra,MODIS,62,6.03,297.5,54,D,0
18.0598,-66.3733,322.2,2.7,1.6,2019-03-08,1719,Aqua,MODIS,75,6.03,294.8,52.5,D,2
18.0057,-66.2106,342.6,1.1,1,2019-03-16,0250,Terra,MODIS,100,6.03,293.3,51.5,N,0
18.0043,-66.2203,307.3,1.1,1,2019-03-16,0250,Terra,MODIS,53,6.03,291.5,7.9,N,0
17.9839,-66.1388,326.7,1,1,2019-03-16,1501,Terra,MODIS,48,6.03,307.7,13.4,D,0
17.9914,-66.3087,322.1,3.5,1.8,2019-03-17,1713,Aqua,MODIS,61,6.03,300.7,57.6,D,0
18.0038,-66.3078,329.8,1,1,2019-03-18,1756,Aqua,MODIS,74,6.03,303.5,15.8,D,0
18.0025,-66.3176,331,1,1,2019-03-18,1756,Aqua,MODIS,70,6.03,307.1,17.9,D,0
18.0247,-66.2173,328.7,1.1,1,2019-03-18,1756,Aqua,MODIS,35,6.03,306.6,17.4,D,0
18.0124,-66.2993,325.9,2.6,1.6,2019-03-30,1820,Aqua,MODIS,47,6.03,299.9,46.1,D,2
18.0139,-66.3754,308.1,1.2,1.1,2019-04-08,0256,Terra,MODIS,73,6.03,290.1,10.5,N,0
18.0483,-66.2768,335.6,1,1,2019-04-08,1508,Terra,MODIS,55,6.03,312.3,21.6,D,0
17.9955,-66.3512,325.7,2,1.4,2019-04-08,1814,Aqua,MODIS,70,6.03,304,23.2,D,0
17.9934,-66.3696,327.5,2,1.4,2019-04-08,1814,Aqua,MODIS,81,6.03,304.1,29,D,0
18.0112,-67.0185,332,1.1,1,2019-04-17,1502,Terra,MODIS,84,6.03,306.1,18.9,D,0
18.0676,-66.39,338.1,1,1,2019-04-19,1756,Aqua,MODIS,87,6.03,308.3,25.3,D,0
18.0663,-66.3998,341,1,1,2019-04-19,1756,Aqua,MODIS,89,6.03,309.2,31.5,D,2
18.0767,-66.3914,332.8,1,1,2019-04-19,1756,Aqua,MODIS,73,6.03,307.7,18.7,D,0
18.0754,-66.4013,349.2,1,1,2019-04-19,1756,Aqua,MODIS,94,6.03,308.4,49.1,D,0
17.9843,-67.1979,328.7,1,1,2019-04-19,1756,Aqua,MODIS,49,6.03,308.2,14.3,D,2
17.9841,-67.1264,341.7,1,1,2019-04-28,1749,Aqua,MODIS,91,6.03,304.2,31,D,0
17.9827,-67.136,355.5,1,1,2019-04-28,1749,Aqua,MODIS,98,6.03,306.2,59.6,D,0
18.4528,-66.1958,315.4,1.1,1,2019-05-05,0238,Terra,MODIS,91,6.03,293.6,13,N,0
18.4513,-66.2057,324,1.1,1,2019-05-05,0238,Terra,MODIS,100,6.03,292.9,22.2,N,0
18.3355,-65.9188,321,1,1,2019-05-14,1749,Aqua,MODIS,69,6.03,302.5,7.5,D,0
18.2884,-67.1404,321.5,1,1,2019-05-14,1749,Aqua,MODIS,36,6.03,304.8,8.9,D,2
18.3217,-65.9068,318,1.2,1.1,2019-05-16,1737,Aqua,MODIS,60,6.03,301.4,7.6,D,0
18.3199,-65.9178,320,1.2,1.1,2019-05-16,1737,Aqua,MODIS,72,6.03,302.4,9.7,D,0
18.4095,-66.3225,320,1.3,1.1,2019-05-16,1737,Aqua,MODIS,43,6.03,302.1,11.1,D,2
18.0103,-66.9411,305.6,1,1,2019-05-19,0250,Terra,MODIS,65,6.03,288.5,5.9,N,0
18.009,-66.9505,302.3,1,1,2019-05-19,0250,Terra,MODIS,48,6.03,288.4,4.1,N,0
18.0248,-66.3883,302.2,1,1,2019-05-22,0607,Aqua,MODIS,47,6.03,280.8,5.9,N,0
18.4599,-66.6434,315.4,1.3,1.1,2019-06-01,1737,Aqua,MODIS,49,6.03,296.9,7.3,D,0
18.2014,-67.1383,315.5,1.5,1.2,2019-06-16,1526,Terra,MODIS,33,6.03,299.4,12.3,D,2
18.0216,-66.7973,334.7,1.1,1.1,2019-06-22,0237,Terra,MODIS,100,6.03,295.5,39.9,N,2
18.0311,-66.7989,316.8,1.1,1.1,2019-06-22,0237,Terra,MODIS,94,6.03,295,15.1,N,2
18.0221,-66.7956,324,1,1,2019-06-22,1755,Aqua,MODIS,67,6.03,303.3,10,D,2
18.0503,-66.5526,311.8,1,1,2019-06-30,0613,Aqua,MODIS,83,6.03,295.5,9,N,2
18.29,-67.1362,315.8,1.4,1.2,2019-07-02,1526,Terra,MODIS,52,6.03,302.5,11.5,D,2
18.4503,-66.3171,317.9,1.3,1.1,2019-07-03,1737,Aqua,MODIS,63,6.03,301.3,7.3,D,0
18.2425,-65.957,321.7,1.6,1.3,2019-07-06,1807,Aqua,MODIS,65,6.03,282.9,27.8,D,0
18.0186,-66.4995,308.2,1.1,1,2019-07-08,0237,Terra,MODIS,74,6.03,293.2,7.9,N,2
17.9831,-66.437,328.2,1,1,2019-07-17,1749,Aqua,MODIS,59,6.03,308.4,8.6,D,2
18.0138,-66.3962,351,1.5,1.2,2019-07-22,1807,Aqua,MODIS,96,6.03,304.5,83,D,0
18.0121,-66.4102,329.6,1.5,1.2,2019-07-22,1807,Aqua,MODIS,82,6.03,305.1,17.9,D,0
18.0364,-66.3557,318.4,1.1,1,2019-07-24,0237,Terra,MODIS,97,6.03,294.7,16.2,N,0
18.0423,-66.3989,337.7,1.3,1.1,2019-07-27,1520,Terra,MODIS,88,6.03,303.2,37.7,D,2
18.0403,-66.3865,325.7,1.3,1.1,2019-07-27,1520,Terra,MODIS,21,6.03,305.1,12.9,D,0
18.0346,-66.448,302.6,1.2,1.1,2019-07-29,0256,Terra,MODIS,50,6.03,281.3,5.8,N,0
18.199,-67.1381,316.8,1.5,1.2,2019-08-03,1526,Terra,MODIS,27,6.03,302,12.2,D,2
18.4645,-66.6,321.3,1,1,2019-08-18,1749,Aqua,MODIS,47,6.03,299.5,7.8,D,0
18.4631,-66.6094,329.9,1,1,2019-08-18,1749,Aqua,MODIS,63,6.03,299.8,17.6,D,0
18.4748,-66.3584,325,1,1,2019-09-03,1749,Aqua,MODIS,74,6.03,301.9,12.8,D,0
18.2367,-66.0179,315.1,1.7,1.3,2019-09-04,1525,Terra,MODIS,19,6.03,298.8,18.3,D,2
18.229,-66.0385,309.6,3.8,1.8,2019-09-09,1544,Terra,MODIS,37,6.03,291.7,43.3,D,2
18.1984,-67.1339,314.3,1.9,1.3,2019-09-11,1532,Terra,MODIS,17,6.03,298.2,14.9,D,2
