latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.5399,30.5535,325.7,1,1,2019-02-03,1133,Aqua,MODIS,34,6.03,305.8,9,D,0
-1.5501,30.5459,328.4,1,1,2019-02-03,1133,Aqua,MODIS,31,6.03,306,13.2,D,0
-1.5412,30.5446,327.8,1,1,2019-02-03,1133,Aqua,MODIS,63,6.03,303.5,13.5,D,0
-2.3101,30.8403,313.2,1.1,1,2019-03-18,0819,Terra,MODIS,35,6.03,297.4,5,D,0
-2.3135,30.8429,313.1,1.1,1,2019-04-19,0819,Terra,MODIS,47,6.03,297.9,5.3,D,0
-1.5359,30.4257,316.4,1.5,1.2,2019-06-18,0843,Terra,MODIS,71,6.03,296.5,15.7,D,0
-1.5377,30.4385,318.7,1.5,1.2,2019-06-18,0843,Terra,MODIS,74,6.03,296.3,19.9,D,0
-1.5671,30.4892,318.2,1.5,1.2,2019-06-18,0843,Terra,MODIS,66,6.03,296.7,16.8,D,0
-1.5774,30.5235,318.6,1,1,2019-06-20,0831,Terra,MODIS,62,6.03,298.5,9.1,D,0
-1.5892,30.5403,328.4,1,1,2019-06-20,0831,Terra,MODIS,82,6.03,300.1,18.9,D,0
-1.5397,30.4116,321.5,1.7,1.3,2019-06-22,1114,Aqua,MODIS,78,6.03,295.6,26.9,D,0
-1.5503,30.5577,315.6,2.2,1.5,2019-07-01,1108,Aqua,MODIS,62,6.03,299.1,21.8,D,0
-1.5123,30.4519,317.1,2.3,1.5,2019-07-01,1108,Aqua,MODIS,74,6.03,297.6,29.2,D,0
-1.4114,30.1035,305.6,2.4,1.5,2019-07-02,0856,Terra,MODIS,24,6.03,294.6,12.1,D,0
-1.5913,30.574,365,1.6,1.2,2019-07-02,1151,Aqua,MODIS,100,6.03,307.4,167.5,D,0
-1.5893,30.5878,326.4,1.6,1.2,2019-07-02,1151,Aqua,MODIS,77,6.03,307.5,23.2,D,0
-1.8913,30.8181,315.1,1.1,1,2019-07-06,1127,Aqua,MODIS,60,6.03,286.7,12.1,D,0
-1.9209,30.8011,300.7,1.2,1.1,2019-07-08,2039,Terra,MODIS,20,6.03,285.4,6.2,N,0
-2.0379,30.8538,323.9,1.6,1.3,2019-07-10,0807,Terra,MODIS,80,6.03,289.4,38.5,D,0
-2.0401,30.8682,319.7,1.6,1.3,2019-07-10,0807,Terra,MODIS,76,6.03,286.2,29.7,D,0
-2.0427,30.8602,301.9,1,1,2019-07-10,2027,Terra,MODIS,45,6.03,282.1,6.7,N,0
-2.1433,30.2631,318.9,1.2,1.1,2019-07-11,1145,Aqua,MODIS,56,6.03,296.7,10,D,0
-1.5942,30.7896,301.4,2.2,1.4,2019-07-14,2003,Terra,MODIS,41,6.03,287,18.2,N,0
-1.3591,30.589,329.5,1,1,2019-07-15,0825,Terra,MODIS,73,6.03,301.9,17.7,D,0
-1.9458,30.8183,312.6,1.3,1.1,2019-07-15,1120,Aqua,MODIS,24,6.03,298.6,8,D,0
-1.9357,30.8168,328.2,1.3,1.1,2019-07-15,1120,Aqua,MODIS,80,6.03,297.9,29.5,D,0
-1.3556,30.5856,352.9,1.3,1.1,2019-07-15,1120,Aqua,MODIS,97,6.03,300.8,89.3,D,0
-1.9348,30.7887,302.8,1.6,1.2,2019-07-15,2045,Terra,MODIS,51,6.03,287.8,12.2,N,0
-1.9217,30.8011,311.7,1.6,1.2,2019-07-15,2045,Terra,MODIS,83,6.03,287.9,23.1,N,0
-1.9212,30.7952,303.4,1.6,1.2,2019-07-15,2045,Terra,MODIS,39,6.03,287.9,12,N,0
-1.9349,30.7896,303.3,1.3,1.1,2019-07-15,2343,Aqua,MODIS,54,6.03,287.2,10.2,N,0
-1.5662,30.6235,307.6,1,1,2019-07-17,2033,Terra,MODIS,72,6.03,288.1,9.2,N,0
-1.557,30.6222,300.3,1,1,2019-07-17,2033,Terra,MODIS,21,6.03,287.8,4.5,N,0
-1.551,30.7716,339.1,1.6,1.2,2019-07-18,1151,Aqua,MODIS,89,6.03,298.6,70.9,D,0
