latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
0.4008,6.6306,322.1,1,1,2019-06-20,1306,Aqua,MODIS,57,6.03,298.1,13.2,D,0
0.3883,6.6404,310.4,1.4,1.2,2019-06-22,1254,Aqua,MODIS,32,6.03,294.4,6.4,D,0
0.3865,6.6281,317.2,1.4,1.2,2019-06-22,1254,Aqua,MODIS,67,6.03,295.6,15.7,D,0
0.4009,6.662,314.6,1.3,1.1,2019-06-27,1016,Terra,MODIS,40,6.03,295.8,8.7,D,0
0.3941,6.6211,320.8,1.4,1.2,2019-07-24,1254,Aqua,MODIS,64,6.03,297.4,17.8,D,0
0.3682,6.6977,313.6,2.3,1.5,2019-09-12,1241,Aqua,MODIS,28,6.03,292,21.7,D,0
0.3653,6.6774,337.7,2.4,1.5,2019-09-12,1241,Aqua,MODIS,88,6.03,294,121.4,D,0
0.3785,6.6752,326.7,2.4,1.5,2019-09-12,1241,Aqua,MODIS,75,6.03,295.2,66.2,D,0
0.377,6.6915,330.5,2.3,1.5,2019-09-12,1241,Aqua,MODIS,0,6.03,293,78.9,D,0
0.3739,6.6712,337.2,2.4,1.5,2019-09-12,1241,Aqua,MODIS,83,6.03,295.2,115.8,D,0
