latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
44.5969,20.9724,300.8,1.1,1.1,2019-02-07,2046,Terra,MODIS,33,6.03,271.8,11.4,N,2
44.5951,20.9774,301.9,1.5,1.2,2019-02-13,2009,Terra,MODIS,45,6.03,271,18.8,N,2
45.8016,20.4524,302.5,1.9,1.3,2019-02-15,1211,Aqua,MODIS,52,6.03,282.5,13.1,D,0
45.0342,21.2342,301,1.4,1.2,2019-02-16,1115,Aqua,MODIS,44,6.03,284.3,8.7,D,0
44.6375,22.4533,318.1,1.6,1.2,2019-02-17,1158,Aqua,MODIS,78,6.03,283.7,34.5,D,0
44.5786,20.8836,305.9,1.3,1.1,2019-02-17,1158,Aqua,MODIS,62,6.03,287.9,10.4,D,0
45.6633,20.3832,302.4,1.3,1.1,2019-02-17,1158,Aqua,MODIS,52,6.03,290.6,4.7,D,0
43.2383,21.4564,302.4,1.4,1.2,2019-02-17,1158,Aqua,MODIS,52,6.03,288.8,6.3,D,0
43.2414,21.4628,302.8,1.4,1.2,2019-02-17,1158,Aqua,MODIS,54,6.03,288.9,7,D,0
44.8089,20.0029,301.2,2.4,1.5,2019-02-18,1103,Aqua,MODIS,45,6.03,289.7,13.1,D,0
44.5974,20.9756,302.8,1,1,2019-02-18,2028,Terra,MODIS,52,6.03,273.9,10.7,N,2
44.4074,20.1676,300.4,1.4,1.2,2019-02-19,1003,Terra,MODIS,36,6.03,287.5,7.2,D,0
42.9175,21.5894,312.5,1,1,2019-02-19,1145,Aqua,MODIS,73,6.03,291.3,10.9,D,0
43.3574,22.4012,305.2,1.1,1.1,2019-02-19,1145,Aqua,MODIS,61,6.03,288.8,7.5,D,0
43.3614,21.7562,311,1.1,1,2019-02-19,1145,Aqua,MODIS,71,6.03,289.5,10.1,D,0
43.3598,21.7431,304.1,1.1,1,2019-02-19,1145,Aqua,MODIS,58,6.03,290.1,5.2,D,0
42.9307,21.547,301.3,1,1,2019-02-19,1145,Aqua,MODIS,46,6.03,290.5,3.5,D,0
43.2816,22.3688,302.4,1.1,1,2019-02-19,1145,Aqua,MODIS,41,6.03,291.1,4.6,D,0
43.359,22.4148,303.3,1.1,1.1,2019-02-19,1145,Aqua,MODIS,52,6.03,287.3,6.1,D,0
42.344,21.712,302.6,1,1,2019-02-19,1145,Aqua,MODIS,53,6.03,289.2,4.4,D,0
45.2982,19.6056,311.2,1,1,2019-02-19,1146,Aqua,MODIS,71,6.03,294.3,7.5,D,0
45.9135,18.9908,319.3,1,1,2019-02-19,1146,Aqua,MODIS,79,6.03,292.6,15.2,D,0
44.541,21.7192,301,1.1,1,2019-02-19,1146,Aqua,MODIS,28,6.03,289,4.6,D,0
44.1123,20.8678,300.5,1,1,2019-02-19,1146,Aqua,MODIS,38,6.03,290.4,3,D,0
44.181,21.0414,303.7,1,1,2019-02-19,1146,Aqua,MODIS,57,6.03,290.5,5,D,0
44.5152,21.7874,302.1,1.1,1,2019-02-19,1146,Aqua,MODIS,51,6.03,290.1,5,D,0
44.5971,20.978,306.6,1,1,2019-02-19,1146,Aqua,MODIS,64,6.03,290.8,6.3,D,2
45.0594,21.0732,309.9,1.1,1,2019-02-19,1146,Aqua,MODIS,69,6.03,291.3,9.2,D,0
45.0389,19.5412,314.6,1,1,2019-02-19,1146,Aqua,MODIS,75,6.03,295.3,10.1,D,0
45.2999,19.6182,310,1,1,2019-02-19,1146,Aqua,MODIS,69,6.03,294.2,6.5,D,0
45.9561,19.4985,303,1,1,2019-02-21,0951,Terra,MODIS,54,6.03,279.5,7,D,0
45.8667,20.1118,319.4,1,1,2019-02-21,0951,Terra,MODIS,60,6.03,279.8,19.8,D,0
43.0865,21.5786,303.7,1.3,1.1,2019-02-21,0951,Terra,MODIS,52,6.03,285,9.1,D,0
43.0026,22.8223,300.3,1,1,2019-02-21,1133,Aqua,MODIS,29,6.03,286.7,4.5,D,0
42.3319,21.7566,302.1,1,1,2019-02-21,1133,Aqua,MODIS,51,6.03,289.6,4.2,D,0
43.0543,21.9253,304,1,1,2019-02-21,1133,Aqua,MODIS,58,6.03,287.1,5.6,D,2
43.0748,21.5812,323.9,1,1,2019-02-21,1133,Aqua,MODIS,83,6.03,288.2,22.3,D,0
43.0837,21.5786,307.8,1,1,2019-02-21,1133,Aqua,MODIS,32,6.03,288.4,7.2,D,0
43.1262,21.7328,318.9,1,1,2019-02-21,1133,Aqua,MODIS,79,6.03,290.7,16.5,D,0
43.4558,22.1292,301.1,1,1,2019-02-21,1133,Aqua,MODIS,39,6.03,288.1,4.5,D,0
43.4431,21.7438,304.1,1,1,2019-02-21,1133,Aqua,MODIS,58,6.03,285.9,6,D,0
43.5507,22.2108,301.5,1,1,2019-02-21,1133,Aqua,MODIS,47,6.03,289.6,4.5,D,0
43.8617,22.3068,306.9,1,1,2019-02-21,1133,Aqua,MODIS,64,6.03,290.3,7.2,D,2
43.8433,20.7485,300.4,1,1,2019-02-21,1133,Aqua,MODIS,36,6.03,286.1,4.5,D,0
44.1805,22.46,300.7,1,1,2019-02-21,1133,Aqua,MODIS,40,6.03,285.7,3.6,D,0
44.1787,22.4478,302.3,1,1,2019-02-21,1133,Aqua,MODIS,51,6.03,286,4.5,D,0
44.4006,19.8805,302,1.1,1,2019-02-21,1133,Aqua,MODIS,50,6.03,286.7,5.6,D,0
44.7097,21.2921,303,1,1,2019-02-21,1133,Aqua,MODIS,54,6.03,286.3,5.1,D,0
44.5046,19.5637,302.4,1.1,1.1,2019-02-21,1133,Aqua,MODIS,52,6.03,286.8,6.3,D,0
45.2529,19.6327,305,1.1,1,2019-02-21,1134,Aqua,MODIS,60,6.03,284.6,7.1,D,0
45.6157,19.3405,300.9,1.1,1,2019-02-21,1134,Aqua,MODIS,43,6.03,287.6,3.7,D,0
45.22,20.0576,302.4,1.1,1,2019-02-21,1134,Aqua,MODIS,52,6.03,285.2,4.8,D,0
45.9085,19.5942,339.5,1.1,1,2019-02-21,1134,Aqua,MODIS,91,6.03,286.3,47,D,0
45.6134,19.3268,309.6,1.1,1,2019-02-21,1134,Aqua,MODIS,69,6.03,288.3,9.6,D,0
44.7967,20.609,328.6,1.9,1.3,2019-02-25,1109,Aqua,MODIS,0,6.03,281.5,73.3,D,0
46.0287,19.6187,302.5,1.1,1,2019-02-26,1152,Aqua,MODIS,45,6.03,287.3,4,D,0
45.2415,20.356,318.3,2.7,1.6,2019-02-27,1057,Aqua,MODIS,57,6.03,284.3,68.8,D,0
45.2516,20.3549,325.9,2.7,1.6,2019-02-27,1057,Aqua,MODIS,0,6.03,282.5,99.1,D,0
45.2324,20.3769,306.7,1.2,1.1,2019-02-28,0032,Aqua,MODIS,69,6.03,270.9,17.3,N,0
44.5108,20.4669,300.3,1.2,1.1,2019-02-28,0957,Terra,MODIS,34,6.03,288.1,5.1,D,0
44.5937,20.9706,301.1,1.3,1.1,2019-02-28,0957,Terra,MODIS,42,6.03,290,4.3,D,2
45.8725,20.1267,307.8,1.2,1.1,2019-02-28,0957,Terra,MODIS,66,6.03,291.5,8.5,D,0
45.87,20.1411,328.2,1.2,1.1,2019-02-28,0957,Terra,MODIS,86,6.03,292.4,31.8,D,0
45.5378,19.364,318,1.1,1,2019-02-28,0957,Terra,MODIS,78,6.03,292.3,16.6,D,0
45.5354,19.3778,326.8,1.1,1,2019-02-28,0957,Terra,MODIS,85,6.03,292.6,27.1,D,0
45.2456,20.3766,375.5,1.2,1.1,2019-02-28,0957,Terra,MODIS,87,6.03,294.2,177.3,D,0
45.236,20.3731,337.6,1.2,1.1,2019-02-28,0957,Terra,MODIS,79,6.03,290.3,51.2,D,0
45.1248,20.247,300.6,1.2,1.1,2019-02-28,0957,Terra,MODIS,36,6.03,289.4,4,D,2
44.7911,20.3556,307.6,1.2,1.1,2019-02-28,0957,Terra,MODIS,0,6.03,290.3,10.1,D,2
