latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
48.3477,17.9747,303.4,1.1,1,2019-02-05,1134,Aqua,MODIS,53,6.03,276.7,10,D,0
48.3502,17.9892,301.8,1.1,1,2019-02-05,1134,Aqua,MODIS,46,6.03,276.6,8.9,D,0
48.6086,21.1858,304.7,1,1,2019-02-07,0938,Terra,MODIS,60,6.03,277.6,9.8,D,2
48.6073,21.1802,302.3,1.1,1,2019-02-16,0932,Terra,MODIS,52,6.03,281.1,8.6,D,2
48.6055,21.1948,300.3,1.1,1,2019-02-16,0932,Terra,MODIS,34,6.03,281.3,7.3,D,2
48.6059,21.1781,304.1,1.2,1.1,2019-02-16,1116,Aqua,MODIS,55,6.03,285.3,9.2,D,2
48.606,21.1728,300.4,1.2,1.1,2019-02-16,1116,Aqua,MODIS,26,6.03,284.8,6.4,D,2
48.0143,17.9416,300.9,1,1,2019-02-19,1147,Aqua,MODIS,40,6.03,290.1,4.3,D,0
48.6064,21.175,307.5,1.1,1.1,2019-02-19,1147,Aqua,MODIS,66,6.03,285.7,11.3,D,2
48.6089,21.1844,304.2,1.2,1.1,2019-02-25,0925,Terra,MODIS,58,6.03,278.4,10.8,D,2
48.7312,18.2589,322.3,1.2,1.1,2019-02-26,0043,Aqua,MODIS,100,6.03,270.8,33.6,N,0
48.3874,19.2964,304.6,1.1,1.1,2019-02-26,1153,Aqua,MODIS,59,6.03,280.2,8.9,D,0
48.6024,21.1757,303.2,1.3,1.1,2019-02-26,1153,Aqua,MODIS,52,6.03,283.3,9.9,D,2
48.3968,19.2938,309.3,1.1,1.1,2019-02-26,1153,Aqua,MODIS,68,6.03,281.8,12.8,D,0
48.6063,21.1809,305.3,1.1,1.1,2019-02-28,0956,Terra,MODIS,48,6.03,285.5,9.1,D,2
48.3218,19.293,306.9,1,1,2019-02-28,0956,Terra,MODIS,64,6.03,284.5,9.8,D,0
48.6049,21.1768,307.5,1,1,2019-02-28,1141,Aqua,MODIS,65,6.03,289.1,7.9,D,2
47.8619,18.1751,321.5,1,1,2019-02-28,1141,Aqua,MODIS,81,6.03,292.9,18.1,D,0
48.6077,21.1878,301.9,1.2,1.1,2019-03-04,1116,Aqua,MODIS,50,6.03,287.1,5.5,D,2
48.6048,21.1719,306.1,1.2,1.1,2019-03-04,1116,Aqua,MODIS,63,6.03,285.7,9,D,2
48.6051,21.1781,312.7,1.5,1.2,2019-03-05,1159,Aqua,MODIS,73,6.03,291.5,19.9,D,2
48.1128,17.1938,303.4,1.7,1.3,2019-03-06,0133,Aqua,MODIS,55,6.03,275.6,21.4,N,2
48.4072,22.0672,300.5,1.3,1.1,2019-03-06,0919,Terra,MODIS,34,6.03,287,4.7,D,0
48.6122,21.1975,306.6,1,1,2019-03-09,1135,Aqua,MODIS,38,6.03,290.5,5.6,D,2
48.6021,21.183,303.4,1.1,1,2019-03-11,1122,Aqua,MODIS,45,6.03,282.6,8.3,D,2
48.6085,21.1891,300.2,1,1,2019-03-12,0056,Aqua,MODIS,21,6.03,272.3,9.8,N,2
48.6083,21.1788,304.9,1.2,1.1,2019-03-17,2011,Terra,MODIS,62,6.03,282.2,13.2,N,2
48.6068,21.1832,303.3,1.1,1,2019-03-20,0932,Terra,MODIS,54,6.03,288.9,5.3,D,2
48.6074,21.1789,300.5,1.1,1.1,2019-03-20,2041,Terra,MODIS,28,6.03,273.4,11.3,N,2
48.4069,19.2972,300.3,1.5,1.2,2019-03-21,1015,Terra,MODIS,33,6.03,277.3,9.7,D,0
48.6016,21.1844,306.1,1.4,1.2,2019-03-22,0919,Terra,MODIS,47,6.03,290.4,7.2,D,2
48.5324,21.634,320.2,1.4,1.2,2019-03-23,1002,Terra,MODIS,80,6.03,295,22.8,D,0
48.5362,21.63,316.2,1.4,1.2,2019-03-23,1002,Terra,MODIS,76,6.03,294.5,16.8,D,0
48.6032,21.1726,309,1.3,1.1,2019-03-23,1002,Terra,MODIS,67,6.03,294.4,8.5,D,2
48.607,21.8434,323,1.2,1.1,2019-03-23,1147,Aqua,MODIS,81,6.03,299.3,18.5,D,0
48.6027,21.1718,310.9,1.1,1.1,2019-03-23,1147,Aqua,MODIS,60,6.03,299.5,5.6,D,2
49.2426,19.3357,306.3,1,1,2019-03-23,1147,Aqua,MODIS,51,6.03,293.2,8,D,2
48.606,21.1781,305.8,1,1,2019-03-27,0938,Terra,MODIS,58,6.03,290.8,5.3,D,2
48.4288,21.9122,313.6,1,1,2019-03-27,1122,Aqua,MODIS,74,6.03,292,10.7,D,0
48.4378,21.9089,311.9,1,1,2019-03-27,1122,Aqua,MODIS,72,6.03,292.9,9.3,D,0
48.7194,21.7395,309.3,1.1,1,2019-03-27,1123,Aqua,MODIS,68,6.03,291.7,7.6,D,0
48.7283,21.7361,307,1.1,1,2019-03-27,1123,Aqua,MODIS,60,6.03,293.1,6,D,0
48.6057,21.1834,306.5,1,1,2019-03-29,2035,Terra,MODIS,68,6.03,279.9,12,N,2
48.6083,21.1932,308,1.5,1.2,2019-03-30,1008,Terra,MODIS,59,6.03,295.8,7.7,D,2
48.6045,21.1779,314.1,1.3,1.1,2019-03-30,1153,Aqua,MODIS,68,6.03,301.4,9.8,D,2
48.6084,21.1874,309.6,1.7,1.3,2019-03-31,0913,Terra,MODIS,62,6.03,298.4,9.9,D,2
48.6039,21.1794,311.2,1.9,1.4,2019-03-31,1058,Aqua,MODIS,57,6.03,300.6,13.3,D,2
48.6044,21.1817,307.4,1,1,2019-03-31,2023,Terra,MODIS,71,6.03,283.3,11.4,N,2
48.6099,21.1846,308.1,1.1,1.1,2019-04-01,0956,Terra,MODIS,63,6.03,293.1,7.5,D,2
48.6192,21.1884,304.2,1.1,1.1,2019-04-01,0956,Terra,MODIS,24,6.03,292.1,4.5,D,2
48.7044,21.7946,309.6,1.1,1,2019-04-01,1141,Aqua,MODIS,68,6.03,294.6,6.4,D,0
48.865,21.4513,303.3,1.1,1,2019-04-01,1141,Aqua,MODIS,29,6.03,290.9,4.5,D,0
48.6062,21.1774,301.6,1.2,1.1,2019-04-02,2011,Terra,MODIS,42,6.03,280.3,11.3,N,2
49.2179,21.2826,302.1,1,1,2019-04-03,0944,Terra,MODIS,43,6.03,288.9,3,D,0
49.0104,21.2416,309.3,1,1,2019-04-03,0944,Terra,MODIS,68,6.03,289.5,7.8,D,2
48.7298,22.2713,304,1,1,2019-04-03,0944,Terra,MODIS,52,6.03,289.2,4.6,D,0
48.6046,21.181,306.1,1,1,2019-04-03,1129,Aqua,MODIS,57,6.03,284.8,6.9,D,2
48.8863,21.7497,306.2,1,1,2019-04-03,1129,Aqua,MODIS,57,6.03,288.8,5.6,D,0
48.9982,21.0241,300.3,1,1,2019-04-03,1129,Aqua,MODIS,31,6.03,272.4,5.6,D,0
48.6377,21.921,310,2.4,1.5,2019-04-04,1212,Aqua,MODIS,69,6.03,295.7,18.6,D,0
49.3274,18.818,305.4,1.7,1.3,2019-04-04,1212,Aqua,MODIS,61,6.03,291,10.8,D,0
49.3708,18.8022,315.1,1.7,1.3,2019-04-04,1212,Aqua,MODIS,75,6.03,288.8,27,D,0
48.6087,21.1813,319.5,1.1,1,2019-04-05,0932,Terra,MODIS,75,6.03,299.1,12.8,D,2
48.6039,21.174,312.6,1.1,1,2019-04-05,0932,Terra,MODIS,62,6.03,298.1,7.8,D,2
48.6021,21.1886,311.2,1.1,1,2019-04-05,0932,Terra,MODIS,60,6.03,298.4,6,D,2
