latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.7332,-175.065,305.7,1,1,2019-01-28,1305,Aqua,MODIS,36,6.03,291.7,6,N,1
-19.7302,-175.0779,319,1,1,2019-02-03,2153,Terra,MODIS,57,6.03,296.5,10.5,D,1
-19.7317,-175.0681,343.6,1,1,2019-02-03,2153,Terra,MODIS,69,6.03,302.3,45.6,D,1
-19.7328,-175.0685,383.9,1.2,1.1,2019-06-20,2147,Terra,MODIS,100,6.03,296.5,0,D,1
-19.7285,-175.0787,326.5,1.9,1.4,2019-06-21,0958,Terra,MODIS,96,6.03,289.4,0,N,1
-19.7279,-175.0757,349.8,1,1,2019-06-21,1305,Aqua,MODIS,100,6.03,290.4,62,N,1
-19.7292,-175.0661,390.8,1,1,2019-06-21,1305,Aqua,MODIS,100,6.03,296.4,204,N,1
-19.7288,-175.0677,325.6,1.2,1.1,2019-06-23,1253,Aqua,MODIS,100,6.03,291.4,30.5,N,1
-19.7326,-175.0692,315.9,1,1,2019-10-01,2153,Terra,MODIS,43,6.03,299.9,7.9,D,1
-19.7342,-175.0709,320.5,1,1,2019-11-09,2159,Terra,MODIS,0,6.03,302.8,10.9,D,1
