latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
33.9675,9.7209,321.8,1,1,2019-02-18,1238,Aqua,MODIS,74,6.03,297.3,13.9,D,0
33.4069,8.5533,316.1,1.1,1,2019-02-27,1232,Aqua,MODIS,61,6.03,297,9,D,0
35.7851,10.6615,314.7,1.2,1.1,2019-04-27,1214,Aqua,MODIS,23,6.03,301.2,7.7,D,0
36.703,10.1442,327.9,1.5,1.2,2019-05-23,1251,Aqua,MODIS,78,6.03,306.5,24.9,D,2
36.7007,10.1517,322.9,1.5,1.2,2019-05-23,1251,Aqua,MODIS,71,6.03,306.2,16,D,2
36.3539,10.2066,313.3,1.1,1.1,2019-05-31,1024,Terra,MODIS,38,6.03,299,6.2,D,2
35.7939,10.6634,323.9,1,1,2019-06-02,1012,Terra,MODIS,47,6.03,304.8,9,D,2
33.2923,11.2541,313.9,1,1,2019-06-04,1001,Terra,MODIS,60,6.03,303.6,10.4,D,3
36.7429,10.0788,316.8,1,1,2019-06-05,0117,Aqua,MODIS,94,6.03,291.1,15.9,N,0
36.7336,10.0768,329.4,1.9,1.4,2019-06-05,1043,Terra,MODIS,78,6.03,311.8,31.9,D,0
36.3608,10.1965,328.2,1,1,2019-06-09,1018,Terra,MODIS,58,6.03,313.2,8.9,D,0
36.359,10.2078,327.4,1,1,2019-06-09,1018,Terra,MODIS,53,6.03,313.5,7.3,D,2
36.107,10.3989,330.1,1,1,2019-06-09,1018,Terra,MODIS,72,6.03,313.1,11,D,0
33.8535,7.923,331.8,3.3,1.7,2019-06-10,1102,Terra,MODIS,66,6.03,304.6,117.2,D,0
36.3559,10.2028,323.9,1.1,1.1,2019-06-16,1024,Terra,MODIS,48,6.03,307.9,8.1,D,2
36.6372,10.662,325.2,1,1,2019-06-18,1012,Terra,MODIS,61,6.03,307.8,11,D,0
35.207,8.6725,322.3,1,1,2019-06-23,2133,Terra,MODIS,100,6.03,297.2,17.5,N,0
35.2062,8.6657,331.8,1.2,1.1,2019-06-24,1251,Aqua,MODIS,56,6.03,316.6,11.8,D,0
36.3611,10.1987,326.7,1.1,1.1,2019-07-02,1024,Terra,MODIS,50,6.03,312.5,8.5,D,2
35.2241,8.7104,303.5,2.9,1.6,2019-07-03,2210,Terra,MODIS,55,6.03,292.1,21.9,N,0
35.2176,8.7106,330.2,1,1,2019-07-04,1012,Terra,MODIS,67,6.03,310.4,11.4,D,0
35.2094,8.6838,334,4.7,2,2019-07-04,1328,Aqua,MODIS,79,6.03,300,184.6,D,0
36.078,8.6056,326.8,4.7,2,2019-07-04,1328,Aqua,MODIS,59,6.03,301.9,76.4,D,0
36.0759,8.6011,325.9,4.7,2,2019-07-04,1328,Aqua,MODIS,56,6.03,301.9,67.8,D,0
35.2086,8.6918,343.7,4.7,2,2019-07-04,1328,Aqua,MODIS,89,6.03,300.1,333,D,0
35.2311,8.7134,316.7,1.4,1.2,2019-07-04,2115,Terra,MODIS,94,6.03,296,18.3,N,0
35.2087,8.707,308.4,1.4,1.2,2019-07-04,2115,Terra,MODIS,74,6.03,294.4,9.4,N,0
35.2212,8.7175,314.6,1.4,1.2,2019-07-04,2115,Terra,MODIS,90,6.03,296.5,15.7,N,0
35.2187,8.7036,316.6,1.4,1.2,2019-07-04,2115,Terra,MODIS,93,6.03,295.9,18.8,N,0
35.216,8.6889,306.3,1.4,1.2,2019-07-04,2115,Terra,MODIS,61,6.03,294.6,7.2,N,0
35.2176,8.7136,326.8,2.7,1.6,2019-07-05,1055,Terra,MODIS,46,6.03,309.1,29.9,D,0
35.2142,8.7045,347.8,2.7,1.6,2019-07-05,1055,Terra,MODIS,91,6.03,310.3,172.9,D,0
35.2004,8.7005,356.2,2.7,1.6,2019-07-05,1055,Terra,MODIS,97,6.03,307.7,257.1,D,0
35.2037,8.6928,421.7,1,1,2019-07-05,1232,Aqua,MODIS,100,6.03,333,402.1,D,0
35.1964,8.7056,344.2,1,1,2019-07-05,1232,Aqua,MODIS,86,6.03,315.9,29,D,0
35.1947,8.6946,379,1,1,2019-07-05,1232,Aqua,MODIS,100,6.03,318.5,132.7,D,0
35.2071,8.7148,366.5,1,1,2019-07-05,1232,Aqua,MODIS,100,6.03,320.4,84.5,D,0
