latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
37.0197,40.4046,300.7,1.1,1,2019-01-05,1035,Aqua,MODIS,40,6.03,285.7,5.5,D,0
36.9932,40.1986,304,1.2,1.1,2019-01-12,1042,Aqua,MODIS,58,6.03,285.8,8,D,0
37.2954,39.4316,300.7,1.1,1,2019-01-12,1042,Aqua,MODIS,41,6.03,284.2,6.4,D,0
36.9313,30.6482,307.4,1.1,1,2019-01-17,1100,Aqua,MODIS,65,6.03,287.7,9.4,D,2
37.1656,39.0726,302.6,1.2,1.1,2019-01-19,1048,Aqua,MODIS,53,6.03,286.3,7.2,D,0
37.1641,39.059,306.9,1.2,1.1,2019-01-19,1048,Aqua,MODIS,64,6.03,287,10.6,D,0
37.177,40.4827,300.2,1.4,1.2,2019-01-19,1048,Aqua,MODIS,28,6.03,285.9,6.5,D,0
37.1809,40.4168,300.4,1.4,1.2,2019-01-19,1048,Aqua,MODIS,35,6.03,286.2,6.3,D,0
37.2,40.3362,300.8,2.5,1.5,2019-01-20,0953,Aqua,MODIS,38,6.03,285.7,17,D,0
37.1341,40.5538,305.1,1.1,1,2019-01-21,1035,Aqua,MODIS,60,6.03,284.1,8.2,D,0
37.1325,40.5419,301.5,1.1,1,2019-01-21,1035,Aqua,MODIS,43,6.03,284.7,5.8,D,0
37.1525,40.4049,318.5,1.1,1,2019-01-21,1035,Aqua,MODIS,79,6.03,283,18.1,D,0
37.0891,40.5574,317.9,1.1,1,2019-01-21,1035,Aqua,MODIS,78,6.03,284.4,18.4,D,0
37.1752,40.3826,300.9,1.1,1,2019-01-21,1035,Aqua,MODIS,35,6.03,283.9,4.7,D,0
37.1753,40.2387,302.9,1,1,2019-01-21,1035,Aqua,MODIS,54,6.03,279.7,7.7,D,0
37.1827,40.4414,301.7,1.1,1,2019-01-21,1035,Aqua,MODIS,42,6.03,283.6,5.4,D,0
37.2395,39.6755,318.4,1,1,2019-01-21,1036,Aqua,MODIS,78,6.03,278.9,20.2,D,0
37.2163,40.3381,300.8,1.1,1,2019-01-21,1036,Aqua,MODIS,42,6.03,280,5.2,D,0
37.2148,40.3264,305,1.1,1,2019-01-21,1036,Aqua,MODIS,60,6.03,280.9,7.9,D,0
37.0822,40.6204,310.8,4.5,1.9,2019-01-22,1118,Aqua,MODIS,70,6.03,283.8,90.6,D,0
37.0802,40.6296,307.2,4.5,1.9,2019-01-22,1118,Aqua,MODIS,65,6.03,283.5,69.6,D,0
37.0165,40.3055,325.3,1,1,2019-01-23,1023,Aqua,MODIS,0,6.03,283,24.3,D,0
37.1016,40.3136,305,1,1,2019-01-23,1023,Aqua,MODIS,60,6.03,285.9,7.4,D,0
37.1232,40.2724,310.9,1,1,2019-01-23,1023,Aqua,MODIS,71,6.03,287.1,10.6,D,0
37.1477,40.1411,301.7,1,1,2019-01-23,1023,Aqua,MODIS,30,6.03,282.8,5.7,D,0
37.2363,39.6556,312.8,1.1,1,2019-01-23,1023,Aqua,MODIS,63,6.03,278.9,12.6,D,0
37.2042,39.7924,301.3,1.1,1,2019-01-23,1023,Aqua,MODIS,19,6.03,281.2,5.3,D,0
36.936,40.2593,304.4,1,1,2019-01-23,1023,Aqua,MODIS,59,6.03,284.5,7.2,D,0
37.198,42.3486,300.8,1.3,1.1,2019-01-24,0750,Terra,MODIS,40,6.03,285.7,7.3,D,0
37.3969,40.1621,300.1,1.7,1.3,2019-01-24,0750,Terra,MODIS,29,6.03,282.9,11.2,D,0
37.0512,40.3164,306.4,2.7,1.6,2019-01-24,1106,Aqua,MODIS,38,6.03,278.2,32,D,0
37.0558,40.3419,306.1,2.7,1.6,2019-01-24,1106,Aqua,MODIS,56,6.03,277.1,31.6,D,0
37.0539,40.3112,307.9,2.7,1.6,2019-01-24,1106,Aqua,MODIS,56,6.03,279.4,37,D,0
41.2409,36.4602,301.1,1,1,2019-01-25,0832,Terra,MODIS,34,6.03,287,4.7,D,2
37.2723,39.6687,302.7,1.3,1.1,2019-01-25,0833,Terra,MODIS,53,6.03,286,7.4,D,0
37.4548,39.3494,306.5,1.2,1.1,2019-01-25,0833,Terra,MODIS,64,6.03,284.5,11,D,0
37.4551,39.3431,300.4,1.2,1.1,2019-01-25,0833,Terra,MODIS,34,6.03,284.5,6.3,D,0
37.1564,40.7307,300.9,1.5,1.2,2019-01-25,0833,Terra,MODIS,43,6.03,285.7,8,D,0
37.3083,39.6395,303.1,1.3,1.1,2019-01-25,0833,Terra,MODIS,55,6.03,286.6,7.9,D,0
37.3073,39.6484,305.9,1.3,1.1,2019-01-25,0833,Terra,MODIS,62,6.03,286.2,10.2,D,0
37.3279,39.4761,302.6,1.3,1.1,2019-01-25,0833,Terra,MODIS,53,6.03,286.6,7.5,D,0
