latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.2782,166.6379,317.1,1,1,2019-03-26,0217,Aqua,MODIS,63,6.03,302.1,9.7,D,3
16.7279,-169.5341,310.7,1.5,1.2,2019-05-25,0101,Aqua,MODIS,41,6.03,298,12.1,D,3
19.2806,166.6351,310.4,2.1,1.4,2019-06-02,0152,Aqua,MODIS,33,6.03,296.1,17.7,D,3
16.727,-169.5406,310.6,1.5,1.2,2019-06-26,0101,Aqua,MODIS,41,6.03,293.5,12.9,D,3
16.7255,-169.5438,311.3,1.6,1.3,2019-07-02,0024,Aqua,MODIS,34,6.03,296.9,10.9,D,3
16.7276,-169.5341,313.9,1.6,1.2,2019-07-02,0024,Aqua,MODIS,60,6.03,298.1,16,D,3
16.7233,-169.5433,312.3,1.2,1.1,2019-07-05,0055,Aqua,MODIS,53,6.03,298.1,9.5,D,3
28.2046,-177.3819,310.3,2.1,1.4,2019-07-16,0040,Aqua,MODIS,36,6.03,295,19.6,D,3
19.2783,166.6398,311.3,1.5,1.2,2019-07-21,0234,Aqua,MODIS,38,6.03,297.1,10.7,D,3
28.2032,-177.3727,311.7,1.1,1,2019-08-06,2230,Terra,MODIS,50,6.03,299.6,8,D,3
16.7315,-169.5275,314.5,1.1,1.1,2019-08-21,2149,Terra,MODIS,61,6.03,301.4,9.6,D,3
16.7266,-169.5394,312.7,1.5,1.2,2019-08-29,0101,Aqua,MODIS,55,6.03,300.5,13.3,D,3
-0.3779,-160.0116,312.6,1.2,1.1,2019-09-11,0025,Aqua,MODIS,52,6.03,302.5,10.1,D,3
16.727,-169.5371,313.5,1,1,2019-09-29,2155,Terra,MODIS,58,6.03,301.5,7.1,D,3
16.7302,-169.5299,311,1.3,1.1,2019-10-01,2143,Terra,MODIS,46,6.03,299.8,9.5,D,3
-0.3778,-160.0109,310.3,1.5,1.2,2019-10-04,0032,Aqua,MODIS,27,6.03,293.5,12.9,D,3
16.7266,-169.5361,310.1,1.5,1.2,2019-10-16,0101,Aqua,MODIS,27,6.03,297.4,11.2,D,3
