latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-34.3813,-55.2382,317.7,1.6,1.2,2019-01-01,1716,Aqua,MODIS,64,6.03,301.4,12.9,D,2
-34.0004,-58.2825,315.7,1,1,2019-01-04,1747,Aqua,MODIS,24,6.03,301.7,6.6,D,2
-30.404,-56.4691,315.8,1.4,1.2,2019-01-05,1413,Terra,MODIS,41,6.03,302,10.8,D,2
-31.719,-55.9816,315.4,1.5,1.2,2019-01-05,1413,Terra,MODIS,31,6.03,301.7,11.6,D,2
-32.3763,-54.1568,311.8,2,1.4,2019-01-05,1413,Terra,MODIS,58,6.03,301.5,13.5,D,2
-34.3353,-56.7095,315.4,1.5,1.2,2019-01-05,1414,Terra,MODIS,54,6.03,304.1,12.6,D,2
-33.5216,-56.9017,313.5,1.4,1.2,2019-01-05,1414,Terra,MODIS,44,6.03,303.5,8.4,D,2
-33.3799,-56.5223,314.1,1.5,1.2,2019-01-05,1414,Terra,MODIS,43,6.03,302.6,10.8,D,2
-34.3462,-56.7111,314.3,1.5,1.2,2019-01-05,1414,Terra,MODIS,45,6.03,303.3,10.6,D,2
-34.313,-57.3524,314.1,1.3,1.2,2019-01-05,1414,Terra,MODIS,61,6.03,302.8,9.9,D,2
-34.5283,-56.2795,311.9,1.6,1.2,2019-01-05,1414,Terra,MODIS,53,6.03,301.2,9.6,D,2
-34.7208,-55.9565,312.3,1.6,1.3,2019-01-05,1414,Terra,MODIS,49,6.03,300.9,10.1,D,2
-34.7181,-55.962,312,1.6,1.3,2019-01-05,1414,Terra,MODIS,53,6.03,301.1,10.5,D,2
-34.7277,-56.2156,314.7,1.6,1.2,2019-01-05,1414,Terra,MODIS,50,6.03,301.4,11.8,D,2
-33.5345,-58.2144,316.3,1.2,1.1,2019-01-05,1414,Terra,MODIS,58,6.03,303,6.8,D,2
-34.1022,-56.213,322.5,1.1,1,2019-01-06,1735,Aqua,MODIS,55,6.03,303.7,10.2,D,2
-33.7895,-53.6901,314.4,1,1,2019-01-06,1735,Aqua,MODIS,46,6.03,301.4,5.5,D,0
-33.3907,-56.5244,321.8,1.1,1,2019-01-06,1735,Aqua,MODIS,34,6.03,303.7,8.8,D,2
-33.3813,-56.5262,323.5,1.1,1,2019-01-06,1735,Aqua,MODIS,45,6.03,303.7,11.5,D,2
-34.7968,-54.9161,317.2,1.3,1.1,2019-01-08,1722,Aqua,MODIS,64,6.03,301.8,11.5,D,2
-34.486,-54.3289,317,1.2,1.1,2019-01-08,1722,Aqua,MODIS,37,6.03,302.1,8.4,D,2
-34.379,-55.2462,314.1,1.3,1.1,2019-01-08,1722,Aqua,MODIS,43,6.03,298.4,7.4,D,2
-33.2348,-54.3801,320.8,1.2,1.1,2019-01-08,1723,Aqua,MODIS,38,6.03,304.6,12.4,D,2
-32.3684,-54.1701,318.8,1.1,1.1,2019-01-08,1723,Aqua,MODIS,25,6.03,297.6,9.5,D,2
-32.3638,-54.1653,316.1,1.1,1.1,2019-01-08,1723,Aqua,MODIS,67,6.03,298,8.8,D,2
-33.4359,-57.9888,313.9,1,1,2019-01-11,1753,Aqua,MODIS,18,6.03,301.4,4,D,0
-34.3415,-56.7184,315.6,1.2,1.1,2019-01-14,1408,Terra,MODIS,48,6.03,298.2,10.5,D,2
-34.3431,-56.7052,315.3,1.2,1.1,2019-01-14,1408,Terra,MODIS,42,6.03,297.6,10.3,D,2
-34.5248,-56.275,310.6,1.3,1.1,2019-01-14,1408,Terra,MODIS,53,6.03,294,8.7,D,2
-32.3178,-58.0747,311.4,1.8,1.3,2019-01-19,1426,Terra,MODIS,19,6.03,298.3,12.4,D,2
-30.4052,-56.4645,310.4,1.3,1.2,2019-01-21,1413,Terra,MODIS,38,6.03,294.4,6,D,2
-31.7124,-55.984,313.4,1.5,1.2,2019-01-21,1413,Terra,MODIS,38,6.03,299.9,10.4,D,2
-31.9589,-55.4784,314.4,1.6,1.3,2019-01-21,1413,Terra,MODIS,66,6.03,302.3,15,D,0
-33.5337,-58.2149,309.3,1.2,1.1,2019-01-21,1414,Terra,MODIS,19,6.03,291.7,6.1,D,2
-34.7319,-56.2153,311.9,1.6,1.2,2019-01-21,1414,Terra,MODIS,57,6.03,297.2,11.6,D,2
-34.7308,-56.2208,312.2,1.6,1.2,2019-01-21,1414,Terra,MODIS,34,6.03,297.5,10.4,D,2
-34.3791,-55.2421,319,1.3,1.1,2019-01-24,1722,Aqua,MODIS,68,6.03,305.1,12.7,D,2
-33.2361,-54.3813,317.6,1.2,1.1,2019-01-24,1723,Aqua,MODIS,44,6.03,303.9,9.7,D,2
-33.2376,-54.3939,317,1.2,1.1,2019-01-24,1723,Aqua,MODIS,31,6.03,304.3,9,D,2
-32.3771,-54.1711,315.4,1.1,1.1,2019-01-24,1723,Aqua,MODIS,37,6.03,299.5,6.9,D,2
-32.8156,-56.0526,320.3,1.2,1.1,2019-01-27,1753,Aqua,MODIS,33,6.03,300,8.8,D,0
-30.6975,-57.77,323.6,1.1,1,2019-01-27,1754,Aqua,MODIS,50,6.03,301.3,12.7,D,0
-31.9277,-54.6091,315.2,2.3,1.5,2019-01-28,1419,Terra,MODIS,43,6.03,295.7,18.9,D,0
-33.6338,-57.873,319.7,1.1,1,2019-01-29,1741,Aqua,MODIS,31,6.03,302.1,8.2,D,0
-33.3806,-56.5254,320.4,1,1,2019-01-29,1741,Aqua,MODIS,31,6.03,303.1,7.9,D,2
-31.7137,-55.9861,319.5,1,1,2019-01-29,1742,Aqua,MODIS,49,6.03,301.3,8.2,D,2
-33.9144,-54.1645,319.2,1.2,1.1,2019-02-05,1331,Terra,MODIS,71,6.03,300.2,13.1,D,0
-34.813,-55.2642,313.9,1.1,1,2019-02-05,1747,Aqua,MODIS,50,6.03,302,5.1,D,0
-30.4026,-56.4691,314,1.3,1.1,2019-02-06,1413,Terra,MODIS,26,6.03,301.1,8.7,D,2
-33.3786,-56.5262,311.4,1.5,1.2,2019-02-06,1414,Terra,MODIS,46,6.03,299.3,8.7,D,2
-33.2508,-58.0278,315,1.2,1.1,2019-02-06,1414,Terra,MODIS,53,6.03,300.5,8.4,D,2
-33.3815,-56.5259,320.1,1.1,1,2019-02-07,1735,Aqua,MODIS,43,6.03,305.2,11.3,D,2
-31.7135,-55.9799,318.2,1.1,1,2019-02-08,1401,Terra,MODIS,19,6.03,304.6,7.7,D,2
-32.368,-54.1719,316,1.3,1.1,2019-02-08,1401,Terra,MODIS,31,6.03,303.1,7.8,D,2
-32.3343,-55.4371,316.8,1.1,1.1,2019-02-08,1401,Terra,MODIS,62,6.03,306.1,10.4,D,0
-33.2346,-54.3845,317.3,1.3,1.1,2019-02-08,1401,Terra,MODIS,56,6.03,302.6,10.1,D,2
