latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.1775,-59.611,352,1,1,2020-02-03,1438,Terra,MODIS,96,6.03,299.9,62.8,D,0
13.1761,-59.6018,334.8,1,1,2020-02-03,1438,Terra,MODIS,86,6.03,297.4,31.3,D,0
13.1739,-59.6093,331.4,1.4,1.2,2020-02-03,1741,Aqua,MODIS,84,6.03,296.7,39.9,D,0
13.1726,-59.5291,314.8,1.1,1.1,2020-02-07,1717,Aqua,MODIS,54,6.03,300.7,9.8,D,0
13.2377,-59.582,317.4,1,1,2020-03-08,1729,Aqua,MODIS,57,6.03,303.9,7.1,D,0
13.1579,-59.5064,315.1,1.4,1.2,2020-03-20,1451,Terra,MODIS,63,6.03,297.2,13.1,D,0
13.1558,-59.4937,317.9,1.4,1.2,2020-03-20,1451,Terra,MODIS,63,6.03,296.4,18.3,D,0
13.1141,-59.5966,328.7,1,1,2020-04-02,1723,Aqua,MODIS,82,6.03,300.6,15.2,D,2
13.1634,-59.4663,326.4,1.4,1.2,2020-04-18,1420,Terra,MODIS,69,6.03,302.8,21.1,D,0
13.3042,-59.6402,330.3,1.8,1.3,2020-04-30,1748,Aqua,MODIS,0,6.03,305.7,39.9,D,0
13.1341,-59.4848,307.5,1.2,1.1,2020-05-16,0230,Terra,MODIS,54,6.03,293.8,7.6,N,0
13.1217,-59.5838,315.4,1,1,2020-05-18,0217,Terra,MODIS,88,6.03,294.4,12.5,N,0
13.1177,-59.6117,307.9,1,1,2020-05-18,0217,Terra,MODIS,57,6.03,294.7,6.6,N,2
