latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
16.3839,-88.6525,316.6,1.2,1.1,2020-01-04,1909,Aqua,MODIS,71,6.03,299.1,10.6,D,0
16.854,-88.3123,319.5,1,1,2020-01-07,1634,Terra,MODIS,71,6.03,295.1,13.4,D,0
16.4202,-88.4993,319.9,1.1,1,2020-01-14,1640,Terra,MODIS,78,6.03,288.4,16.7,D,0
16.4218,-88.5093,323.8,1.1,1,2020-01-14,1640,Terra,MODIS,81,6.03,291.3,20.7,D,0
16.4214,-88.5035,319.6,2.2,1.4,2020-01-14,1946,Aqua,MODIS,76,6.03,294.2,39.6,D,0
17.1924,-88.8993,316,1.6,1.3,2020-01-23,1940,Aqua,MODIS,63,6.03,294.3,18.6,D,0
16.4153,-88.5017,302.3,1,1,2020-01-25,0409,Terra,MODIS,48,6.03,291.1,3.9,N,0
16.4139,-88.5112,312.3,1,1,2020-01-25,0409,Terra,MODIS,85,6.03,291.1,10.9,N,0
16.423,-88.5127,301.6,1,1,2020-01-25,0409,Terra,MODIS,36,6.03,290.6,3.5,N,0
16.4186,-88.4732,303.3,1.5,1.2,2020-01-27,0357,Terra,MODIS,55,6.03,292.1,8.6,N,0
17.8376,-88.8944,316,1,1,2020-01-27,1915,Aqua,MODIS,70,6.03,294.9,9.7,D,0
16.0109,-89.2143,319.4,1.1,1,2020-01-27,1915,Aqua,MODIS,73,6.03,297.9,13.8,D,0
17.1554,-88.7721,313.8,1,1,2020-01-27,1915,Aqua,MODIS,63,6.03,298.7,6.6,D,0
16.9922,-88.7615,305.1,1.3,1.1,2020-01-30,0428,Terra,MODIS,61,6.03,289.9,9,N,0
16.9916,-88.7548,306.6,1.3,1.1,2020-01-30,0428,Terra,MODIS,68,6.03,290.1,10.4,N,0
16.3857,-88.6232,312.1,4.3,1.9,2020-01-31,0333,Terra,MODIS,77,6.03,290.9,88.1,N,0
16.3721,-88.6248,308.4,4.3,1.9,2020-01-31,0333,Terra,MODIS,61,6.03,290.9,68,N,0
16.4109,-88.509,316.4,2.5,1.5,2020-01-31,1851,Aqua,MODIS,66,6.03,296.1,34.9,D,0
16.4068,-88.5316,309.8,2.5,1.5,2020-01-31,1851,Aqua,MODIS,52,6.03,295.1,16.4,D,0
16.525,-88.5258,317.9,1.2,1.1,2020-02-05,1909,Aqua,MODIS,66,6.03,302.4,9.4,D,0
18.0642,-88.6125,315,1.8,1.3,2020-02-08,1940,Aqua,MODIS,60,6.03,295.4,12.4,D,0
18.0624,-88.6289,315.3,1.8,1.3,2020-02-08,1940,Aqua,MODIS,62,6.03,297.8,13,D,0
18.291,-88.6003,313.2,1.1,1.1,2020-02-10,1928,Aqua,MODIS,39,6.03,298,6.2,D,0
17.8359,-88.7556,318.7,1.1,1.1,2020-02-10,1928,Aqua,MODIS,66,6.03,300.3,11.9,D,0
16.4292,-88.655,342.5,1,1,2020-02-12,1915,Aqua,MODIS,91,6.03,303.6,43.9,D,0
16.4278,-88.6646,324.6,1,1,2020-02-12,1915,Aqua,MODIS,78,6.03,301,16.7,D,0
16.5482,-88.4177,316.2,1,1,2020-02-12,1915,Aqua,MODIS,42,6.03,301.5,6.2,D,0
16.6703,-88.3368,339.9,1,1,2020-02-12,1915,Aqua,MODIS,68,6.03,302.6,37.8,D,0
16.6689,-88.3463,320,1,1,2020-02-12,1915,Aqua,MODIS,69,6.03,301.9,11.2,D,0
17.235,-89.1307,315.4,1.1,1,2020-02-12,1915,Aqua,MODIS,62,6.03,299.9,8.9,D,0
18.2367,-88.4716,327.2,1.1,1,2020-02-17,1628,Terra,MODIS,81,6.03,302.3,20.7,D,0
18.1953,-88.5789,317.1,1.1,1,2020-02-17,1628,Terra,MODIS,52,6.03,301.3,7.8,D,0
17.3211,-88.5702,315.4,1,1,2020-02-17,1628,Terra,MODIS,62,6.03,298.3,8.2,D,0
17.3253,-88.5765,320.5,1.4,1.2,2020-02-17,1934,Aqua,MODIS,73,6.03,302,17.3,D,0
17.3237,-88.5891,333,1.4,1.2,2020-02-17,1934,Aqua,MODIS,85,6.03,300.9,40.8,D,0
17.5818,-88.6833,347.8,1.6,1.2,2020-02-19,1616,Terra,MODIS,94,6.03,298.4,99.4,D,0
17.58,-88.6687,326.4,1.6,1.2,2020-02-19,1616,Terra,MODIS,81,6.03,297.5,35,D,0
17.5708,-88.6848,352.2,1.6,1.2,2020-02-19,1616,Terra,MODIS,96,6.03,296.9,117.5,D,0
17.5829,-88.3832,315,1,1,2020-02-19,1922,Aqua,MODIS,46,6.03,301.6,6.4,D,0
17.5784,-88.677,327.2,1,1,2020-02-19,1922,Aqua,MODIS,81,6.03,300.4,18.7,D,0
18.3013,-88.377,314.2,1,1,2020-02-19,1922,Aqua,MODIS,0,6.03,299.4,5.6,D,0
18.4605,-88.4236,318.8,1,1,2020-02-19,1922,Aqua,MODIS,66,6.03,300.9,8.8,D,0
16.5177,-88.4367,314.3,1.8,1.3,2020-02-23,1857,Aqua,MODIS,71,6.03,298.1,16,D,0
16.5115,-88.4405,313.2,1.8,1.3,2020-02-23,1857,Aqua,MODIS,69,6.03,297.5,14.6,D,0
