latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
27.2339,91.2113,301.9,4.3,1.9,2020-01-25,0758,Aqua,MODIS,47,6.03,289.5,44.2,D,0
27.2329,91.2155,301.6,4.3,1.9,2020-01-25,0758,Aqua,MODIS,38,6.03,289.4,41.5,D,0
27.2548,91.2047,328.4,1.2,1.1,2020-01-26,0703,Aqua,MODIS,86,6.03,291.6,32.2,D,0
27.2606,91.2106,307,1.2,1.1,2020-01-26,0703,Aqua,MODIS,64,6.03,286.5,9.2,D,0
27.2582,91.1963,314.3,1.2,1.1,2020-01-26,0703,Aqua,MODIS,75,6.03,291.7,15.9,D,0
27.5267,91.1605,309.1,1.1,1,2020-01-27,0434,Terra,MODIS,56,6.03,285.3,10.3,D,0
26.9912,91.5801,310,1,1,2020-01-27,0435,Terra,MODIS,69,6.03,288.4,10.7,D,0
26.8648,91.1589,312.9,1.1,1,2020-01-27,0435,Terra,MODIS,73,6.03,287.5,14.1,D,0
27.5234,91.1386,305.6,1,1,2020-02-02,0709,Aqua,MODIS,48,6.03,284.4,8.2,D,0
27.3107,91.5182,314.6,1,1,2020-02-09,0715,Aqua,MODIS,62,6.03,296.9,10.9,D,0
27.1938,89.546,303.2,1,1,2020-02-10,0447,Terra,MODIS,39,6.03,293.2,7.5,D,0
27.252,90.0361,305.5,1.2,1.1,2020-02-10,2005,Aqua,MODIS,64,6.03,281,14.6,N,0
26.8543,91.1621,320.8,1.2,1.1,2020-02-11,0703,Aqua,MODIS,78,6.03,293.1,22.8,D,0
27.3272,91.7019,301,1.1,1,2020-02-11,0703,Aqua,MODIS,0,6.03,287.4,5,D,0
27.2333,90.038,340.7,1.3,1.1,2020-02-11,0703,Aqua,MODIS,92,6.03,296.3,64.5,D,0
27.2314,90.0271,327.2,1.3,1.1,2020-02-11,0703,Aqua,MODIS,78,6.03,291.7,37.2,D,0
27.2334,90.0443,311.3,1.3,1.1,2020-02-11,0703,Aqua,MODIS,18,6.03,294.8,11,D,0
27.2314,90.033,333.9,1.3,1.1,2020-02-11,0703,Aqua,MODIS,89,6.03,294.7,48.5,D,0
27.2434,90.0421,348.4,1.3,1.1,2020-02-11,0703,Aqua,MODIS,95,6.03,298,85.2,D,0
27.2415,90.0309,315.5,1.3,1.1,2020-02-11,0703,Aqua,MODIS,57,6.03,293.2,16.5,D,0
27.828,90.0241,308.1,1.3,1.1,2020-02-11,0703,Aqua,MODIS,67,6.03,281.7,15.7,D,0
