latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-3.3403,29.3908,313,4.1,1.9,2020-02-09,0909,Terra,MODIS,29,6.03,294.5,49.6,D,2
-3.3633,30.4446,317,1.1,1,2020-02-15,0832,Terra,MODIS,70,6.03,295.3,10.3,D,0
-4.1958,29.8014,314.6,1.3,1.1,2020-02-15,1126,Aqua,MODIS,67,6.03,292.1,10.5,D,0
-2.9062,29.8309,304.6,1.9,1.3,2020-03-07,0850,Terra,MODIS,24,6.03,283.9,8.1,D,0
-3.3462,29.3769,307.9,3.9,1.8,2020-03-22,1102,Aqua,MODIS,23,6.03,282.5,43.2,D,2
-3.3343,29.3839,309.3,4.6,2,2020-05-04,0749,Terra,MODIS,22,6.03,291.1,39.4,D,2
-2.8188,29.0801,314.4,1,1,2020-05-05,0831,Terra,MODIS,42,6.03,298.4,7.4,D,0
-3.1941,30.5481,313.4,1.9,1.4,2020-05-24,1157,Aqua,MODIS,44,6.03,296.6,17.8,D,0
-2.3748,30.1987,310.4,1,1,2020-05-30,0825,Terra,MODIS,35,6.03,295.5,3.8,D,0
-3.1442,30.4026,302.4,1.1,1.1,2020-06-08,2039,Terra,MODIS,49,6.03,287.8,6.9,N,0
-3.1317,30.4218,301.6,1.1,1.1,2020-06-08,2039,Terra,MODIS,43,6.03,288,6.6,N,0
-3.7045,30.3155,326,1.8,1.3,2020-06-09,1157,Aqua,MODIS,79,6.03,299,38.8,D,0
-2.9503,29.1405,319.1,1.5,1.2,2020-06-09,1157,Aqua,MODIS,67,6.03,301.1,13.1,D,0
-3.2788,30.2541,304.2,4.6,2,2020-06-16,0908,Terra,MODIS,39,6.03,284,29.7,D,0
-3.2786,30.2472,304.5,4.6,2,2020-06-16,0908,Terra,MODIS,42,6.03,284.2,30.7,D,0
-3.2451,30.2757,310.9,2.5,1.5,2020-06-17,1108,Aqua,MODIS,56,6.03,295,24.6,D,0
-3.2742,29.274,319.5,1.2,1.1,2020-06-18,1151,Aqua,MODIS,76,6.03,287.8,16,D,0
-3.2758,29.2633,320,1.2,1.1,2020-06-18,1151,Aqua,MODIS,76,6.03,288.9,16.6,D,0
-3.1536,30.4114,314.4,1,1,2020-06-20,1139,Aqua,MODIS,54,6.03,297.3,7.1,D,0
-3.2371,29.2582,311.1,1.2,1.1,2020-06-24,0819,Terra,MODIS,63,6.03,295.3,5.9,D,0
-3.6929,30.2987,320.7,1.1,1,2020-06-24,0819,Terra,MODIS,75,6.03,296.7,14.4,D,0
-3.731,30.3624,317.3,1.1,1,2020-06-24,0819,Terra,MODIS,71,6.03,296.1,10,D,0
-3.1016,30.4628,346.3,1.8,1.3,2020-06-24,1114,Aqua,MODIS,94,6.03,300.3,119.3,D,0
-3.2401,29.2559,329.4,2.3,1.5,2020-06-24,1114,Aqua,MODIS,84,6.03,297.7,69.1,D,0
-3.0957,30.4561,321.6,1.8,1.3,2020-06-24,1114,Aqua,MODIS,77,6.03,297.1,33.5,D,0
-3.2432,29.2511,324.7,2.3,1.5,2020-06-24,1114,Aqua,MODIS,80,6.03,296.8,53.3,D,0
-3.1039,30.4456,326.7,1.8,1.3,2020-06-24,1114,Aqua,MODIS,81,6.03,293.3,48.8,D,0
-3.0717,30.4527,303.1,1.2,1.1,2020-06-24,2039,Terra,MODIS,53,6.03,287.4,7.9,N,0
-3.2445,29.2479,314.4,1,1,2020-06-24,2039,Terra,MODIS,89,6.03,290.7,13.4,N,0
-3.2354,29.2465,335.4,1,1,2020-06-24,2039,Terra,MODIS,100,6.03,291.4,38.3,N,0
-3.2367,29.2373,301.2,1,1,2020-06-24,2039,Terra,MODIS,39,6.03,290.2,4.3,N,0
-3.0671,30.4644,300,1.1,1,2020-06-24,2337,Aqua,MODIS,10,6.03,285.4,5.6,N,0
-3.76,30.2719,313.6,1.8,1.3,2020-06-25,1157,Aqua,MODIS,51,6.03,295.7,13.6,D,0
-3.137,30.4147,310.8,1.7,1.3,2020-06-26,0807,Terra,MODIS,42,6.03,296.4,10.7,D,0
-3.1416,30.3503,316,2,1.4,2020-06-27,0850,Terra,MODIS,61,6.03,291.3,24.4,D,0
-3.154,30.3488,325.6,2,1.4,2020-06-27,0850,Terra,MODIS,79,6.03,293.3,48.8,D,0
-3.1565,30.3662,328.4,2,1.4,2020-06-27,0850,Terra,MODIS,79,6.03,294.2,57.3,D,0
-3.1442,30.3441,317.8,2,1.4,2020-06-27,0850,Terra,MODIS,70,6.03,292.5,29,D,0
-3.1467,30.3622,335.1,2,1.4,2020-06-27,0850,Terra,MODIS,87,6.03,291.9,85,D,0
-3.2356,29.278,323.3,1,1,2020-06-27,1145,Aqua,MODIS,52,6.03,299.4,11.7,D,0
-2.9423,30.5249,327.7,1.2,1.1,2020-06-27,1145,Aqua,MODIS,69,6.03,298.2,24.4,D,0
-3.7812,30.2529,317.3,1.2,1.1,2020-06-29,0838,Terra,MODIS,70,6.03,298.9,10.7,D,0
-3.9116,29.8782,319.2,1.1,1,2020-06-29,1132,Aqua,MODIS,68,6.03,300.9,10.5,D,0
-3.7885,30.2328,319.7,1,1,2020-06-29,1132,Aqua,MODIS,63,6.03,304.2,7.6,D,0
-3.7076,30.3453,326.6,1,1,2020-06-29,1132,Aqua,MODIS,78,6.03,306.2,14.8,D,0
-3.0883,30.4367,322.6,1,1,2020-07-01,0825,Terra,MODIS,74,6.03,283.6,16.8,D,0
-3.0972,30.4354,324.5,1,1,2020-07-01,0825,Terra,MODIS,82,6.03,284,19.3,D,0
-3.1924,30.3333,314.2,1,1,2020-07-01,0825,Terra,MODIS,71,6.03,281.6,10.7,D,0
-3.1937,30.3423,316.9,1,1,2020-07-01,0825,Terra,MODIS,74,6.03,282.5,12.7,D,0
-3.2546,30.2545,372.8,1,1,2020-07-01,0825,Terra,MODIS,100,6.03,283.4,122.4,D,0
-3.2599,30.2903,309.3,1,1,2020-07-01,0825,Terra,MODIS,63,6.03,278.1,7.5,D,0
-3.2636,30.2533,323.7,1,1,2020-07-01,0825,Terra,MODIS,46,6.03,281.3,17.9,D,0
-3.2473,30.2873,323.3,1.5,1.2,2020-07-01,1120,Aqua,MODIS,80,6.03,279.8,30.9,D,0
-3.212,30.3075,319.6,1.4,1.2,2020-07-01,1120,Aqua,MODIS,72,6.03,282.5,24.1,D,0
-3.1815,30.3371,322.7,1.4,1.2,2020-07-01,1120,Aqua,MODIS,64,6.03,282.2,25.2,D,0
-3.1631,30.4733,311,1.3,1.1,2020-07-03,0813,Terra,MODIS,40,6.03,297.3,6.8,D,0
-3.1632,30.3604,310.4,2.3,1.5,2020-07-05,0801,Terra,MODIS,52,6.03,295.1,17.4,D,0
-3.1516,30.5058,315.6,1.6,1.2,2020-07-06,0844,Terra,MODIS,64,6.03,296.6,16.4,D,0
-3.4181,30.0629,316.8,1,1,2020-07-06,1138,Aqua,MODIS,68,6.03,300.1,7.2,D,0
-3.2205,30.3281,308.7,1.9,1.4,2020-07-07,2008,Terra,MODIS,75,6.03,286,27.1,N,0
-3.1239,30.3552,311.3,1,1,2020-07-08,0831,Terra,MODIS,47,6.03,292.5,6.3,D,0
-3.1252,30.3645,310.5,1,1,2020-07-08,0831,Terra,MODIS,43,6.03,291.4,5.6,D,0
-3.1597,30.4732,323.6,1,1,2020-07-08,0831,Terra,MODIS,74,6.03,293.1,18.8,D,0
-3.2686,30.2715,309.6,1,1,2020-07-08,0831,Terra,MODIS,30,6.03,285.8,5.7,D,0
-3.9802,29.7873,310.1,1,1,2020-07-08,0832,Terra,MODIS,55,6.03,295.4,4.5,D,0
-3.3099,30.2225,311.9,1.7,1.3,2020-07-12,0807,Terra,MODIS,40,6.03,296.1,13.1,D,0
-3.2922,29.2799,320.2,2.1,1.4,2020-07-12,0807,Terra,MODIS,75,6.03,296.8,30.5,D,0
-4.1893,29.576,303.6,1.1,1,2020-07-12,2026,Terra,MODIS,56,6.03,290.1,6,N,0
-4.1799,29.5748,304.9,1.1,1,2020-07-12,2026,Terra,MODIS,62,6.03,290,6.9,N,0
-4.1705,29.5736,323.5,1.1,1,2020-07-12,2026,Terra,MODIS,100,6.03,290.8,24,N,0
-2.8637,29.4436,302.7,1.1,1,2020-07-12,2027,Terra,MODIS,51,6.03,283.7,8.7,N,0
-4.1915,29.5692,325.3,1.8,1.3,2020-07-13,0850,Terra,MODIS,66,6.03,297.1,36.9,D,0
-4.1864,29.5645,318,1.8,1.3,2020-07-13,0850,Terra,MODIS,67,6.03,297.5,23.8,D,0
-4.1883,29.5783,323.5,1.8,1.3,2020-07-13,0850,Terra,MODIS,78,6.03,296.7,37.1,D,0
-3.9574,30.0757,320.4,1.1,1,2020-07-13,1144,Aqua,MODIS,73,6.03,297.7,10.5,D,0
-3.9588,30.0661,322.4,1.1,1,2020-07-13,1144,Aqua,MODIS,73,6.03,299.7,12.9,D,0
-2.854,30.4031,320.7,1.2,1.1,2020-07-13,1145,Aqua,MODIS,68,6.03,292,15,D,0
-3.3202,30.2151,311.3,3.1,1.7,2020-07-14,0755,Terra,MODIS,53,6.03,290.5,31.9,D,0
-2.9463,30.5348,317.9,1.2,1.1,2020-07-15,0837,Terra,MODIS,70,6.03,297.7,12.4,D,0
-3.0158,29.3176,314.1,1.1,1,2020-07-15,0838,Terra,MODIS,65,6.03,297.5,6.5,D,0
-3.0172,29.3274,314.4,1.1,1,2020-07-15,0838,Terra,MODIS,66,6.03,297.6,6.7,D,0
-3.6287,30.3526,321.4,1,1,2020-07-15,1132,Aqua,MODIS,73,6.03,292.2,11.9,D,0
-3.63,30.3435,312.7,1,1,2020-07-15,1132,Aqua,MODIS,49,6.03,291.7,3.9,D,0
-3.0228,29.3223,311,1.1,1,2020-07-15,1133,Aqua,MODIS,55,6.03,285.7,5.7,D,0
-3.9254,30.0753,318,2.3,1.5,2020-07-18,1203,Aqua,MODIS,71,6.03,297.4,31.7,D,0
-3.2804,30.4416,304.3,1,1,2020-07-19,2033,Terra,MODIS,59,6.03,283.9,8.1,N,0
-3.31,30.1711,311.2,1,1,2020-07-19,2033,Terra,MODIS,82,6.03,283.9,13,N,0
-3.6842,30.3574,323.2,1.4,1.2,2020-07-20,1151,Aqua,MODIS,65,6.03,299.8,17.1,D,0
-2.9626,29.1676,321.4,1.2,1.1,2020-07-20,1151,Aqua,MODIS,64,6.03,303.5,7.7,D,0
-3.0104,30.6814,318,2.1,1.4,2020-07-21,0801,Terra,MODIS,67,6.03,293.7,33.9,D,0
-3.3107,30.2477,310.4,2.3,1.5,2020-07-21,0801,Terra,MODIS,48,6.03,293.7,18.1,D,0
-3.3879,30.6148,313.4,1.1,1.1,2020-07-21,2021,Terra,MODIS,87,6.03,287.3,16.6,N,0
-3.3893,30.6044,302.3,1.1,1.1,2020-07-21,2021,Terra,MODIS,48,6.03,286.7,7.7,N,0
-3.3299,30.2309,300.9,1.2,1.1,2020-07-21,2021,Terra,MODIS,36,6.03,286.1,7.2,N,0
-3.2811,30.207,300.4,1.2,1.1,2020-07-21,2021,Terra,MODIS,26,6.03,279.6,8.4,N,0
-3.2768,30.2169,304.1,1.3,1.1,2020-07-21,2319,Aqua,MODIS,58,6.03,283.7,12.9,N,0
-3.2599,30.239,315.5,1.5,1.2,2020-07-22,0844,Terra,MODIS,61,6.03,294.6,13.7,D,0
-3.3815,30.6133,315,1.6,1.3,2020-07-22,0844,Terra,MODIS,60,6.03,297.6,12.9,D,0
-3.3271,30.1421,317.2,1.5,1.2,2020-07-22,0844,Terra,MODIS,71,6.03,294.1,17.8,D,0
-3.9346,29.6631,317.8,1,1,2020-07-22,1138,Aqua,MODIS,64,6.03,296.8,8.7,D,0
-3.4037,30.6056,327,1,1,2020-07-22,1139,Aqua,MODIS,67,6.03,302.7,13.9,D,0
-3.392,30.6227,320.8,1,1,2020-07-22,1139,Aqua,MODIS,41,6.03,302.8,7.2,D,0
-3.3947,30.6045,320.8,1,1,2020-07-22,1139,Aqua,MODIS,36,6.03,303.3,7.9,D,0
-3.3325,30.1405,325.2,1,1,2020-07-22,1139,Aqua,MODIS,75,6.03,301.9,14.9,D,0
-3.3338,30.1315,315.8,1,1,2020-07-22,1139,Aqua,MODIS,35,6.03,300.2,4.7,D,0
-3.3376,30.1046,315.8,1,1,2020-07-22,1139,Aqua,MODIS,48,6.03,299.7,5.1,D,0
-3.3222,30.148,325.5,1,1,2020-07-22,1139,Aqua,MODIS,75,6.03,301.7,14.4,D,0
-3.3235,30.1391,331.1,1,1,2020-07-22,1139,Aqua,MODIS,81,6.03,302.5,21.3,D,0
-3.2542,30.239,321.3,1,1,2020-07-22,1139,Aqua,MODIS,54,6.03,302.1,8.6,D,0
-3.177,30.3868,322,1,1,2020-07-22,1139,Aqua,MODIS,29,6.03,305.8,8.9,D,0
-3.1538,30.4204,324.3,1,1,2020-07-22,1139,Aqua,MODIS,70,6.03,303.3,12.2,D,0
-3.7035,30.3386,302.3,1.9,1.4,2020-07-23,2008,Terra,MODIS,48,6.03,289.7,14,N,0
-3.6913,30.3368,300.7,1.9,1.4,2020-07-23,2008,Terra,MODIS,33,6.03,289.7,11.7,N,0
-3.6996,30.3317,310.2,1.9,1.4,2020-07-23,2008,Terra,MODIS,79,6.03,289.8,28.2,N,0
-3.3036,30.6938,318.9,1.1,1,2020-07-24,0831,Terra,MODIS,68,6.03,299.5,10,D,0
-3.2537,30.2892,341.2,1,1,2020-07-24,0831,Terra,MODIS,90,6.03,299,38.7,D,0
-3.4001,30.5959,316.9,1.1,1,2020-07-24,0831,Terra,MODIS,55,6.03,300.7,8,D,0
-3.4092,30.5943,314.9,1.1,1,2020-07-24,0831,Terra,MODIS,41,6.03,299.2,6.2,D,0
-3.552,30.128,316.6,1,1,2020-07-24,0832,Terra,MODIS,67,6.03,296.9,10,D,0
-3.1185,30.6239,317.5,1.1,1.1,2020-07-24,1126,Aqua,MODIS,37,6.03,299.3,9.1,D,0
-3.1726,30.31,336.1,1.2,1.1,2020-07-24,1126,Aqua,MODIS,86,6.03,301.1,35.4,D,0
-3.5618,30.1058,321.8,3,1.7,2020-07-25,1209,Aqua,MODIS,75,6.03,298.3,62.7,D,0
-3.5592,30.1285,321.1,3.1,1.7,2020-07-25,1209,Aqua,MODIS,75,6.03,297.8,59.4,D,0
-2.9718,30.4981,317.2,3.4,1.7,2020-07-25,1209,Aqua,MODIS,69,6.03,297.4,51,D,0
-3.5633,30.1012,317.5,3,1.7,2020-07-25,1209,Aqua,MODIS,70,6.03,298.2,41.3,D,0
-2.9664,30.5022,319,3.4,1.7,2020-07-25,1209,Aqua,MODIS,72,6.03,297.3,61.2,D,0
-2.9674,30.5273,313.1,3.4,1.7,2020-07-25,1209,Aqua,MODIS,61,6.03,297.1,31,D,0
-3.5574,30.1333,317.2,3.1,1.7,2020-07-25,1209,Aqua,MODIS,68,6.03,297.7,40.9,D,0
-2.9781,30.5159,336.2,1.1,1,2020-07-26,0819,Terra,MODIS,87,6.03,302.7,33.8,D,0
-2.8203,30.3955,313.2,1.1,1,2020-07-26,0819,Terra,MODIS,43,6.03,299.4,4.6,D,0
-2.8218,30.4053,332.7,1.1,1,2020-07-26,0819,Terra,MODIS,84,6.03,301.1,29,D,0
-2.8312,30.4041,316.8,1.1,1,2020-07-26,0819,Terra,MODIS,65,6.03,301.5,8.7,D,0
-2.9766,30.5062,349.7,1.1,1,2020-07-26,0819,Terra,MODIS,95,6.03,302.2,62.1,D,0
-2.982,30.4989,325.5,1.1,1,2020-07-26,0819,Terra,MODIS,77,6.03,298.4,20.1,D,0
-2.9835,30.5086,325.8,1.1,1,2020-07-26,0819,Terra,MODIS,78,6.03,300.5,20,D,0
-3.3321,30.1224,317.9,1.1,1.1,2020-07-26,0819,Terra,MODIS,68,6.03,301.4,10.4,D,0
-3.5696,30.4151,320.2,1.1,1,2020-07-26,0819,Terra,MODIS,71,6.03,302.3,11,D,0
-3.2048,30.3214,323.8,1.9,1.3,2020-07-26,1114,Aqua,MODIS,68,6.03,304.8,29.5,D,0
-3.2692,30.4681,326.8,1.8,1.3,2020-07-26,1114,Aqua,MODIS,78,6.03,301.2,41.9,D,0
-3.2023,30.3393,326.6,1.9,1.3,2020-07-26,1114,Aqua,MODIS,78,6.03,303.1,37.3,D,0
-3.442,30.5899,315.6,1.8,1.3,2020-07-26,1114,Aqua,MODIS,53,6.03,301.9,10.3,D,0
-3.384,30.5254,315.4,1.8,1.3,2020-07-26,1114,Aqua,MODIS,54,6.03,302.5,14.4,D,0
-3.2629,30.4727,325.5,1.8,1.3,2020-07-26,1114,Aqua,MODIS,77,6.03,301.4,39.1,D,0
-3.2653,30.4556,318,1.8,1.3,2020-07-26,1114,Aqua,MODIS,64,6.03,302.1,20.3,D,0
-2.9948,30.511,319.4,1.2,1.1,2020-07-26,2039,Terra,MODIS,98,6.03,286.4,23.8,N,0
-3.27,30.7194,303.2,1.2,1.1,2020-07-26,2039,Terra,MODIS,54,6.03,287.8,8.6,N,0
-2.99,30.4951,312.2,3.6,1.8,2020-07-27,0902,Terra,MODIS,65,6.03,294.5,37.8,D,0
-2.9943,30.5256,312.8,3.6,1.8,2020-07-27,0902,Terra,MODIS,66,6.03,295.9,42.9,D,0
-3.0025,30.5183,313.3,3.6,1.8,2020-07-27,0902,Terra,MODIS,39,6.03,295.4,43.1,D,0
-2.9973,30.5037,336,1.9,1.3,2020-07-27,1157,Aqua,MODIS,75,6.03,296.3,77.4,D,0
-2.9998,30.487,323.8,1.9,1.3,2020-07-27,1157,Aqua,MODIS,63,6.03,296.2,38.4,D,0
-3.0086,30.4974,314.2,1.7,1.3,2020-07-28,0807,Terra,MODIS,39,6.03,295.7,14.4,D,0
-3.006,30.4908,310.4,1.7,1.3,2020-07-28,0807,Terra,MODIS,24,6.03,295.2,9.9,D,0
-3.0084,30.5059,312.1,1.7,1.3,2020-07-28,0807,Terra,MODIS,44,6.03,296.4,11.5,D,0
-3.1225,30.4222,311.1,1.7,1.3,2020-07-28,0807,Terra,MODIS,26,6.03,295.6,7.7,D,0
-3.1249,30.438,323.3,1.7,1.3,2020-07-28,0807,Terra,MODIS,76,6.03,298,32,D,0
-3.2021,30.3423,316.4,1.7,1.3,2020-07-28,0807,Terra,MODIS,61,6.03,299.9,16.1,D,0
-3.8334,30.1877,317.4,1.7,1.3,2020-07-28,0807,Terra,MODIS,70,6.03,298.1,20.4,D,0
-3.2486,30.4796,305.1,1,1,2020-07-28,2027,Terra,MODIS,63,6.03,288.4,7.9,N,0
-3.6998,30.2753,320.1,2,1.4,2020-07-29,0850,Terra,MODIS,74,6.03,299.4,26.9,D,0
-3.7022,30.2928,315.7,2,1.4,2020-07-29,0850,Terra,MODIS,65,6.03,300.3,15.3,D,0
-2.8882,29.8315,322.4,1.1,1,2020-07-29,1145,Aqua,MODIS,68,6.03,302.3,11.5,D,0
-2.7033,29.9309,316.3,1.1,1.1,2020-07-31,0837,Terra,MODIS,61,6.03,299.2,8.9,D,0
-3.3464,30.1994,322.2,1.2,1.1,2020-07-31,0838,Terra,MODIS,69,6.03,300.5,13.6,D,0
-3.3561,30.1977,321.2,1.2,1.1,2020-07-31,0838,Terra,MODIS,51,6.03,301.2,12.6,D,0
-3.417,30.6265,330,1.3,1.1,2020-07-31,0838,Terra,MODIS,80,6.03,302.7,25.9,D,0
-3.4187,30.6382,332,1.3,1.1,2020-07-31,0838,Terra,MODIS,82,6.03,304.6,29.1,D,0
-3.5917,30.4201,340.3,1.2,1.1,2020-07-31,0838,Terra,MODIS,89,6.03,304.2,44.6,D,0
-4.0239,29.7235,333.3,1.2,1.1,2020-07-31,0838,Terra,MODIS,85,6.03,299.8,33.1,D,0
-4.0253,29.7335,313.9,1.2,1.1,2020-07-31,0838,Terra,MODIS,54,6.03,300.1,7.2,D,0
-3.6003,30.4277,327.7,1,1,2020-07-31,1132,Aqua,MODIS,64,6.03,309.8,12.7,D,0
-3.381,30.0227,326.2,1,1,2020-07-31,1132,Aqua,MODIS,75,6.03,300.5,15.3,D,0
-3.3729,30.0254,326.5,1,1,2020-07-31,1132,Aqua,MODIS,63,6.03,300.8,16.9,D,0
-3.3547,30.4351,318.7,4.3,1.9,2020-08-01,1215,Aqua,MODIS,60,6.03,293.9,76.5,D,0
-3.3724,30.4458,315.4,4.3,1.9,2020-08-01,1215,Aqua,MODIS,62,6.03,296.2,57.8,D,0
-3.3558,30.4404,326.4,4.3,1.9,2020-08-01,1215,Aqua,MODIS,80,6.03,294,146.8,D,0
-3.3714,30.4404,318.5,4.3,1.9,2020-08-01,1215,Aqua,MODIS,42,6.03,295.8,73.8,D,0
-2.9224,30.4252,337.5,4.4,1.9,2020-08-01,1215,Aqua,MODIS,88,6.03,293.8,274.7,D,0
-2.9196,30.4165,329.4,4.4,1.9,2020-08-01,1215,Aqua,MODIS,83,6.03,295,178.2,D,0
-3.0201,30.381,304.1,2.5,1.5,2020-08-01,2002,Terra,MODIS,58,6.03,286.5,28.2,N,0
-4.0141,29.6901,306,3.2,1.7,2020-08-01,2301,Aqua,MODIS,66,6.03,284.4,53.6,N,0
-4.0181,29.6968,302.5,3.2,1.7,2020-08-01,2301,Aqua,MODIS,50,6.03,284.3,42.4,N,0
-3.2713,30.6999,316.6,1,1,2020-08-02,0825,Terra,MODIS,55,6.03,302.2,5.7,D,0
-3.2284,30.2816,322.8,1,1,2020-08-02,0825,Terra,MODIS,58,6.03,305.1,10.1,D,0
-3.2835,30.2829,348.2,1,1,2020-08-02,0825,Terra,MODIS,94,6.03,302.5,49.5,D,0
-3.2911,30.2727,322.1,1,1,2020-08-02,0825,Terra,MODIS,62,6.03,300.5,10.6,D,0
-3.2822,30.274,375.8,1,1,2020-08-02,0825,Terra,MODIS,100,6.03,304.2,127.3,D,0
-2.7043,29.1153,323.8,1.1,1,2020-08-02,0825,Terra,MODIS,76,6.03,300.1,16.7,D,0
-2.7058,29.1252,347.5,1.1,1,2020-08-02,0825,Terra,MODIS,89,6.03,297.4,57,D,0
-3.8242,29.7672,314,1,1,2020-08-02,0826,Terra,MODIS,59,6.03,299.1,6.1,D,0
-4.2416,29.6006,318.3,1,1,2020-08-02,0826,Terra,MODIS,65,6.03,302.4,7.9,D,0
-3.2815,30.695,318.6,1.4,1.2,2020-08-02,1120,Aqua,MODIS,47,6.03,305.7,8.1,D,0
-3.293,30.2704,335.6,1.5,1.2,2020-08-02,1120,Aqua,MODIS,85,6.03,307.2,44,D,0
-3.2805,30.2815,328.9,1.5,1.2,2020-08-02,1120,Aqua,MODIS,79,6.03,305.2,28.6,D,0
-3.2824,30.2684,324.7,1.5,1.2,2020-08-02,1120,Aqua,MODIS,71,6.03,307.5,20.1,D,0
-3.2449,30.303,322.1,1.4,1.2,2020-08-02,1120,Aqua,MODIS,22,6.03,307.9,12.9,D,0
-2.9733,30.4263,342.3,1.4,1.2,2020-08-02,1120,Aqua,MODIS,90,6.03,305.2,61.2,D,0
-2.9506,30.5118,328,1.4,1.2,2020-08-02,1120,Aqua,MODIS,75,6.03,304,27,D,0
-2.9524,30.4994,322.6,1.4,1.2,2020-08-02,1120,Aqua,MODIS,38,6.03,303.7,17.7,D,0
-3.2912,30.2829,325.4,1.5,1.2,2020-08-02,1120,Aqua,MODIS,61,6.03,304.4,21.8,D,0
-2.7896,29.9518,304.9,1.3,1.1,2020-08-02,2045,Terra,MODIS,62,6.03,287.8,11.2,N,0
-2.9763,29.8596,300.4,1.3,1.1,2020-08-02,2045,Terra,MODIS,26,6.03,286.7,8.9,N,0
-2.6229,30.2034,301.1,1.2,1.1,2020-08-02,2343,Aqua,MODIS,38,6.03,287.6,7.4,N,0
-3.5292,30.437,324.9,4.8,2,2020-08-03,0908,Terra,MODIS,82,6.03,296.2,166.6,D,0
-3.5276,30.4311,321.3,4.8,2,2020-08-03,0908,Terra,MODIS,79,6.03,296,132.1,D,0
-3.214,30.797,319.6,2.6,1.6,2020-08-03,1203,Aqua,MODIS,68,6.03,301.5,33,D,0
-2.8073,30.417,317.2,2.5,1.5,2020-08-03,1203,Aqua,MODIS,61,6.03,294.9,28,D,0
-3.7722,30.2956,324.8,1.3,1.1,2020-08-04,0813,Terra,MODIS,77,6.03,300,20.5,D,0
-3.0032,30.4234,317,1.3,1.1,2020-08-04,0813,Terra,MODIS,44,6.03,300.2,11.8,D,0
-3.005,30.435,320,1.3,1.1,2020-08-04,0813,Terra,MODIS,66,6.03,298.8,17,D,0
-3.4256,30.228,329,1.3,1.2,2020-08-04,0813,Terra,MODIS,81,6.03,298.3,31.6,D,0
-3.4222,30.2222,320.2,1.3,1.2,2020-08-04,0813,Terra,MODIS,71,6.03,297.8,17.9,D,0
-3.424,30.2343,318.4,1.3,1.1,2020-08-04,0813,Terra,MODIS,68,6.03,297.8,15.4,D,0
-3.6137,29.5358,314.1,1.5,1.2,2020-08-04,0813,Terra,MODIS,62,6.03,296.2,12.3,D,0
-3.7704,30.2835,327.3,1.3,1.1,2020-08-04,0813,Terra,MODIS,80,6.03,296.6,24.7,D,0
-3.7596,30.1416,319,1.4,1.2,2020-08-04,0813,Terra,MODIS,70,6.03,298,14.5,D,0
-3.9818,29.8541,320.2,1.4,1.2,2020-08-04,0813,Terra,MODIS,73,6.03,298.3,17.6,D,0
-3.3389,30.1166,321.5,1.4,1.2,2020-08-05,1151,Aqua,MODIS,51,6.03,303.3,11,D,0
