latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-23.8255,-70.3137,302.6,1.4,1.2,2020-01-01,0309,Terra,MODIS,50,6.03,288.6,11.9,N,2
-22.4507,-68.9399,317.6,1.1,1.1,2020-01-01,0309,Terra,MODIS,35,6.03,283.8,19.2,N,2
-22.3184,-68.8803,305.5,1.1,1.1,2020-01-01,0309,Terra,MODIS,65,6.03,284.5,11.9,N,2
-35.4757,-71.86,313,1.6,1.2,2020-01-01,0621,Aqua,MODIS,86,6.03,290.9,25.6,N,0
-37.8109,-72.6831,312.1,4.5,2,2020-01-01,1547,Terra,MODIS,35,6.03,301.8,49.2,D,2
-37.2617,-73.4896,312.9,4,1.9,2020-01-01,1547,Terra,MODIS,44,6.03,294.4,68.2,D,0
-37.2668,-73.4509,312.2,4,1.9,2020-01-01,1547,Terra,MODIS,53,6.03,294.8,68.3,D,0
-37.4696,-72.3723,313.9,4.7,2,2020-01-01,1547,Terra,MODIS,33,6.03,301.5,48.8,D,2
-38.4431,-71.8926,315.6,1.7,1.3,2020-01-01,1823,Aqua,MODIS,41,6.03,302.2,15.1,D,0
-37.2666,-73.4891,369.9,2.1,1.4,2020-01-01,1823,Aqua,MODIS,100,6.03,299.5,329.7,D,0
-37.2647,-73.4656,345.5,2.1,1.4,2020-01-01,1823,Aqua,MODIS,87,6.03,298.1,144.3,D,0
-27.4189,-70.2527,330.6,1.1,1,2020-01-01,1826,Aqua,MODIS,61,6.03,316.9,10,D,2
-22.3236,-68.8822,335.3,1,1,2020-01-01,1827,Aqua,MODIS,73,6.03,316.8,17.8,D,2
-37.2648,-73.482,302.6,1,1,2020-01-02,0348,Terra,MODIS,50,6.03,286.3,7.5,N,0
-34.1053,-70.4572,314.2,1.3,1.1,2020-01-02,0349,Terra,MODIS,89,6.03,288.5,21,N,2
-33.9997,-70.6749,300.3,1.2,1.1,2020-01-02,0349,Terra,MODIS,25,6.03,288.4,7.1,N,0
-33.8037,-70.7924,303.1,1.2,1.1,2020-01-02,0349,Terra,MODIS,53,6.03,286.6,10.2,N,0
-36.4238,-71.959,318.1,1,1,2020-01-02,1451,Terra,MODIS,25,6.03,304.3,5.1,D,2
-37.0895,-72.4314,318.2,1,1,2020-01-02,1451,Terra,MODIS,45,6.03,305.4,6.2,D,2
-37.268,-73.4755,328.5,1.1,1,2020-01-02,1451,Terra,MODIS,80,6.03,303.8,20.6,D,0
-39.5378,-72.9559,312.3,1,1,2020-01-02,1452,Terra,MODIS,55,6.03,300.5,6,D,2
-37.4813,-73.34,317.7,1,1,2020-01-02,1452,Terra,MODIS,57,6.03,303.6,8.7,D,2
-37.4832,-73.3283,316.4,1,1,2020-01-02,1452,Terra,MODIS,43,6.03,304.2,8.6,D,2
-37.7185,-72.2412,318.4,1,1,2020-01-02,1452,Terra,MODIS,49,6.03,304.3,6.1,D,2
-37.8198,-71.9302,321,1,1,2020-01-02,1452,Terra,MODIS,66,6.03,310,13.3,D,0
-37.9567,-72.4337,317.3,1,1,2020-01-02,1452,Terra,MODIS,45,6.03,304.9,6.8,D,2
-38.4416,-71.8939,313,1,1,2020-01-02,1452,Terra,MODIS,28,6.03,301.3,6.9,D,0
-38.4433,-71.8825,313.8,1,1,2020-01-02,1452,Terra,MODIS,41,6.03,301.8,7.7,D,0
-38.7441,-72.9498,317.4,1,1,2020-01-02,1452,Terra,MODIS,31,6.03,304.6,4.9,D,2
-38.9857,-72.6376,315.9,1,1,2020-01-02,1452,Terra,MODIS,61,6.03,303.5,6.2,D,0
-39.3661,-72.6233,312.7,1,1,2020-01-02,1452,Terra,MODIS,51,6.03,301.4,6.3,D,0
-39.5413,-72.5041,310.8,1,1,2020-01-02,1452,Terra,MODIS,56,6.03,300.5,5.3,D,0
-39.6598,-72.9444,313.3,1,1,2020-01-02,1452,Terra,MODIS,67,6.03,301.3,6.5,D,0
-39.8657,-72.8021,310.3,1,1,2020-01-02,1452,Terra,MODIS,60,6.03,299.9,5.5,D,2
-40.0668,-72.8707,312.5,1,1,2020-01-02,1452,Terra,MODIS,47,6.03,301.1,5.4,D,2
-40.9089,-73.1649,310.3,1,1,2020-01-02,1452,Terra,MODIS,54,6.03,299.7,4.4,D,2
-41.1566,-73.4207,309.8,1,1,2020-01-02,1453,Terra,MODIS,61,6.03,299.4,4.6,D,2
-41.3335,-72.9708,311.6,1,1,2020-01-02,1453,Terra,MODIS,43,6.03,299.3,4.9,D,2
-41.3947,-72.9092,311.8,1.1,1,2020-01-02,1905,Aqua,MODIS,47,6.03,299.9,5.4,D,0
-39.5407,-72.9588,316.2,1.1,1.1,2020-01-02,1906,Aqua,MODIS,53,6.03,306.1,7.7,D,2
