latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
10.8534,-85.5665,310.5,1,1,2020-01-02,1617,Terra,MODIS,32,6.03,293.6,6.4,D,0
10.4852,-85.5071,320,1,1,2020-01-02,1617,Terra,MODIS,76,6.03,299.5,10.5,D,0
10.4189,-85.5056,304.3,1.3,1.1,2020-01-03,0735,Aqua,MODIS,60,6.03,290,7.8,N,0
10.4198,-85.5104,301.3,1.3,1.1,2020-01-03,0735,Aqua,MODIS,40,6.03,289.9,5.4,N,0
10.4771,-85.4958,311.9,2.7,1.6,2020-01-05,1648,Terra,MODIS,61,6.03,299.3,19.5,D,0
10.5318,-85.5307,316.6,2.7,1.6,2020-01-05,1648,Terra,MODIS,72,6.03,300.5,32.9,D,0
10.4354,-85.1657,306.2,1.4,1.2,2020-01-07,0420,Terra,MODIS,67,6.03,295,9.1,N,0
10.3822,-85.5128,303.3,1.3,1.1,2020-01-07,0711,Aqua,MODIS,55,6.03,293.3,6.3,N,0
10.4298,-85.1733,314.1,1.7,1.3,2020-01-07,1635,Terra,MODIS,66,6.03,298.8,11.7,D,0
10.4284,-85.1677,313.1,1.7,1.3,2020-01-07,1635,Terra,MODIS,65,6.03,298.7,10.7,D,0
9.1404,-83.3141,305.7,1.2,1.1,2020-01-09,0407,Terra,MODIS,65,6.03,292.2,7.9,N,0
9.184,-83.4531,318.1,1.1,1.1,2020-01-09,0407,Terra,MODIS,96,6.03,291.9,18.7,N,0
9.1826,-83.4635,314.7,1.1,1.1,2020-01-09,0407,Terra,MODIS,90,6.03,291.8,15.1,N,0
10.6874,-85.5003,319.9,1.1,1,2020-01-09,1623,Terra,MODIS,74,6.03,301.1,8.5,D,0
10.686,-85.4908,319.8,1.1,1,2020-01-09,1623,Terra,MODIS,67,6.03,302.4,8.7,D,0
10.6264,-85.5831,318.9,1,1,2020-01-09,1623,Terra,MODIS,73,6.03,302.5,8.4,D,0
10.0749,-84.8229,331.7,1.1,1.1,2020-01-09,1623,Terra,MODIS,85,6.03,304.2,24.9,D,0
10.0847,-84.8125,329.2,1.5,1.2,2020-01-09,1925,Aqua,MODIS,82,6.03,305.1,30.8,D,0
10.072,-84.8246,325.9,1.5,1.2,2020-01-09,1925,Aqua,MODIS,78,6.03,306.3,22.8,D,0
10.0829,-84.8262,353.8,1.5,1.2,2020-01-09,1925,Aqua,MODIS,97,6.03,306.2,109.2,D,0
10.0768,-84.8181,350.9,1.5,1.2,2020-01-09,1925,Aqua,MODIS,96,6.03,306.9,97.8,D,0
10.075,-84.8318,327.7,1.5,1.2,2020-01-09,1925,Aqua,MODIS,80,6.03,305.5,27.1,D,0
10.8848,-84.9203,309.7,1.5,1.2,2020-01-09,1926,Aqua,MODIS,33,6.03,293.4,9.9,D,0
10.0894,-84.8048,314.5,3.9,1.8,2020-01-10,1830,Aqua,MODIS,49,6.03,301,45.7,D,0
10.0831,-84.8402,320.1,3.9,1.8,2020-01-10,1830,Aqua,MODIS,72,6.03,300.9,77.7,D,0
10.0889,-84.8456,315.5,3.9,1.8,2020-01-10,1830,Aqua,MODIS,34,6.03,300.6,44.9,D,0
9.179,-83.2278,302.7,1,1,2020-01-11,0355,Terra,MODIS,51,6.03,291.2,4.7,N,0
9.1658,-83.3192,307.4,1,1,2020-01-11,0355,Terra,MODIS,71,6.03,292.6,7.4,N,0
9.2966,-83.6221,302.5,1,1,2020-01-11,0355,Terra,MODIS,49,6.03,292.3,4.9,N,0
9.2952,-83.6314,307,1,1,2020-01-11,0355,Terra,MODIS,70,6.03,292.2,7.7,N,0
10.4444,-85.1602,318.8,1.1,1.1,2020-01-11,0355,Terra,MODIS,98,6.03,295.9,17.3,N,0
10.4429,-85.1705,322.1,1.1,1.1,2020-01-11,0355,Terra,MODIS,100,6.03,296.2,21.2,N,0
10.4481,-85.1666,330.3,1.1,1.1,2020-01-11,0355,Terra,MODIS,100,6.03,296.9,32.7,N,0
9.9746,-84.8346,312.5,1,1,2020-01-11,1913,Aqua,MODIS,54,6.03,302.2,7.4,D,3
10.5528,-85.3649,326.9,1,1,2020-01-11,1913,Aqua,MODIS,80,6.03,306.4,14.2,D,0
9.159,-83.315,303.2,1.4,1.2,2020-01-12,0729,Aqua,MODIS,54,6.03,291.1,8.8,N,0
10.0776,-84.8526,317.9,1.1,1,2020-01-13,1901,Aqua,MODIS,65,6.03,301.5,6.8,D,0
10.1849,-85.1076,321.9,1.1,1.1,2020-01-13,1901,Aqua,MODIS,58,6.03,305.6,9.8,D,0
10.3777,-85.193,327.2,1.8,1.3,2020-01-15,1849,Aqua,MODIS,83,6.03,299.7,42.2,D,0
10.3726,-85.1972,320.7,1.8,1.3,2020-01-15,1849,Aqua,MODIS,70,6.03,299.1,25.8,D,0
10.398,-85.5034,313.1,1.1,1.1,2020-01-16,0414,Terra,MODIS,86,6.03,294.4,12.2,N,0
10.446,-85.365,308.1,1.1,1.1,2020-01-16,0414,Terra,MODIS,74,6.03,295.2,7.7,N,0
10.4507,-85.1682,324.3,2.2,1.4,2020-01-17,0747,Aqua,MODIS,100,6.03,294.1,67.1,N,0
10.0768,-84.816,315.1,4.3,1.9,2020-01-17,1534,Terra,MODIS,63,6.03,294.7,49.3,D,0
10.0739,-84.8223,316.4,4.3,1.9,2020-01-17,1534,Terra,MODIS,66,6.03,294.8,58.1,D,0
9.2561,-83.5114,307.3,1,1,2020-01-18,0401,Terra,MODIS,71,6.03,293,7.2,N,0
10.4727,-85.4763,313.3,2.8,1.6,2020-01-18,0652,Aqua,MODIS,87,6.03,292.6,47,N,0
10.4711,-85.4843,309.1,2.8,1.6,2020-01-18,0652,Aqua,MODIS,76,6.03,293,34.8,N,0
10.4679,-85.4591,303.3,2.8,1.6,2020-01-18,0652,Aqua,MODIS,41,6.03,291.3,19.9,N,0
