latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
57.8492,27.5878,301.4,2,1.4,2020-03-27,1137,Aqua,MODIS,47,6.03,287.3,14.9,D,0
59.3861,25.8216,300.8,1,1,2020-05-07,0941,Terra,MODIS,27,6.03,289.1,4.9,D,0
58.9771,23.8908,300.7,1,1,2020-05-23,0941,Terra,MODIS,36,6.03,283.7,5,D,0
58.7576,25.3389,309.8,1,1,2020-05-23,0941,Terra,MODIS,69,6.03,293.8,7.6,D,0
58.7552,25.3557,319.1,1,1,2020-05-23,0941,Terra,MODIS,79,6.03,295.3,15.3,D,0
58.373,26.4783,303,1.5,1.2,2020-05-26,1011,Terra,MODIS,0,6.03,291.5,7,D,0
59.3677,25.8402,303,1.3,1.1,2020-05-27,0916,Terra,MODIS,48,6.03,270.8,9.6,D,0
59.3659,25.8522,315.8,1.1,1,2020-05-27,1106,Aqua,MODIS,50,6.03,302,10.5,D,0
59.3636,25.8341,321.8,1,1,2020-05-27,1106,Aqua,MODIS,80,6.03,303.1,16.4,D,0
59.3714,25.844,320.4,1.1,1,2020-05-27,1106,Aqua,MODIS,75,6.03,303.1,16.2,D,0
57.8328,26.3174,302.6,1,1,2020-05-29,1054,Aqua,MODIS,26,6.03,290.6,3.3,D,0
59.471,25.0819,310.8,1,1,2020-05-30,0947,Terra,MODIS,70,6.03,289.2,9.5,D,0
58.3865,26.4604,307.6,1.1,1,2020-06-22,0953,Terra,MODIS,45,6.03,296.7,6.4,D,0
59.3711,25.5908,301.5,2.1,1.4,2020-06-22,1005,Aqua,MODIS,25,6.03,290.9,7.5,D,0
58.4322,26.9722,311.8,1.4,1.2,2020-06-27,1023,Aqua,MODIS,51,6.03,296.9,11.6,D,0
58.4746,25.8206,313.3,1.5,1.2,2020-06-27,1023,Aqua,MODIS,29,6.03,299.5,12.6,D,0
58.4622,24.4587,300.6,2.1,1.4,2020-07-15,1149,Aqua,MODIS,32,6.03,284.4,9.5,D,0
58.3765,26.4748,306.4,2.2,1.4,2020-07-18,1030,Terra,MODIS,51,6.03,293.4,13.7,D,0
58.0554,27.4559,307.3,1.1,1,2020-07-18,1042,Aqua,MODIS,45,6.03,294.4,3.8,D,0
59.3703,24.7225,302.2,1,1,2020-08-01,1054,Aqua,MODIS,0,6.03,290.5,3.3,D,2
58.4337,26.9784,312.5,1.1,1.1,2020-08-09,0953,Terra,MODIS,49,6.03,299.1,8.9,D,0
59.1385,27.6564,301.8,1,1,2020-08-10,1048,Aqua,MODIS,24,6.03,291.2,2.8,D,0
59.3436,27.0882,303.1,1,1,2020-08-19,1042,Aqua,MODIS,13,6.03,290.6,3.2,D,0
58.8999,22.6301,303.6,1.3,1.1,2020-08-19,1042,Aqua,MODIS,38,6.03,292.2,4.9,D,0
