latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
9.3277,34.1094,324.8,4.2,1.9,2020-01-01,0858,Terra,MODIS,72,6.03,296.9,118.5,D,0
11.3889,35.342,316.9,4.8,2,2020-01-01,0858,Terra,MODIS,30,6.03,299.9,62.8,D,0
9.3245,34.1019,328.2,4.2,1.9,2020-01-01,0858,Terra,MODIS,78,6.03,297.4,147.9,D,0
11.6681,41.2229,346,1.8,1.3,2020-01-01,1022,Aqua,MODIS,92,6.03,307,92.3,D,0
9.5294,36.2453,313.4,4.7,2,2020-01-01,1022,Aqua,MODIS,42,6.03,296.5,63.6,D,0
10.0598,37.3077,328,3.8,1.8,2020-01-01,1022,Aqua,MODIS,78,6.03,304.8,120.9,D,0
11.6707,41.2389,345.3,1.8,1.3,2020-01-01,1022,Aqua,MODIS,91,6.03,304.8,86.2,D,0
10.0495,37.3032,331.6,3.8,1.8,2020-01-01,1022,Aqua,MODIS,82,6.03,306.1,155.4,D,0
11.5601,35.8489,315.8,4.6,2,2020-01-01,1023,Aqua,MODIS,49,6.03,298,71.2,D,0
11.5597,35.8447,317.8,4.6,2,2020-01-01,1023,Aqua,MODIS,58,6.03,298,80.6,D,0
12.2669,35.6152,319.7,4.7,2,2020-01-01,1023,Aqua,MODIS,59,6.03,304.3,52.3,D,0
12.259,35.573,321.4,4.7,2,2020-01-01,1023,Aqua,MODIS,64,6.03,303.6,68,D,0
12.2662,35.6116,320.7,4.7,2,2020-01-01,1023,Aqua,MODIS,62,6.03,304.2,60.8,D,0
12.2581,35.5694,320.4,4.7,2,2020-01-01,1023,Aqua,MODIS,61,6.03,303.7,58.9,D,0
12.723,37.0143,328,3.6,1.8,2020-01-01,1023,Aqua,MODIS,75,6.03,299.6,115.8,D,0
12.7315,37.0075,327.7,3.6,1.8,2020-01-01,1023,Aqua,MODIS,75,6.03,299.4,115.6,D,0
10.4602,36.518,305.9,1.2,1.1,2020-01-01,1947,Terra,MODIS,66,6.03,292.6,8.2,N,0
10.7295,34.9524,302.8,1.5,1.2,2020-01-01,1947,Terra,MODIS,51,6.03,291.5,9,N,0
11.3331,35.808,300.3,1.3,1.1,2020-01-01,1947,Terra,MODIS,25,6.03,289.1,6.3,N,0
11.8179,35.965,303.9,1.2,1.1,2020-01-01,1947,Terra,MODIS,58,6.03,293.8,6.2,N,0
8.517,35.0072,306.1,1.6,1.2,2020-01-01,1947,Terra,MODIS,67,6.03,290.4,13.2,N,0
10.0481,37.2539,302.8,1.1,1,2020-01-01,1947,Terra,MODIS,52,6.03,292,5.6,N,0
10.386,36.8554,302.6,1.1,1.1,2020-01-01,1947,Terra,MODIS,42,6.03,292.4,4.7,N,0
9.704,34.6482,302,1.6,1.2,2020-01-01,1947,Terra,MODIS,46,6.03,289.3,10.6,N,0
10.3011,36.9681,304.4,1.1,1.1,2020-01-01,1947,Terra,MODIS,31,6.03,293.3,5.3,N,0
10.312,36.9766,303.5,1.1,1.1,2020-01-01,1947,Terra,MODIS,55,6.03,293,4.6,N,0
10.3104,36.9661,307.3,1.1,1.1,2020-01-01,1947,Terra,MODIS,71,6.03,292.8,7.5,N,0
10.347,37.1476,321.2,1.1,1.1,2020-01-01,1947,Terra,MODIS,100,6.03,292.8,21.5,N,0
8.3125,34.4991,300.9,1.7,1.3,2020-01-01,1947,Terra,MODIS,35,6.03,290.6,7,N,0
10.3455,37.1375,308,1.1,1.1,2020-01-01,1947,Terra,MODIS,43,6.03,291.6,8.5,N,0
10.3769,37.1166,303.7,1.1,1.1,2020-01-01,1947,Terra,MODIS,57,6.03,289.9,6.7,N,0
10.3675,37.118,300.4,1.1,1.1,2020-01-01,1947,Terra,MODIS,9,6.03,290.2,4.1,N,0
10.3691,37.1282,310.4,1.1,1.1,2020-01-01,1947,Terra,MODIS,80,6.03,290.2,11.5,N,0
10.3549,37.1363,311,1.1,1.1,2020-01-01,1947,Terra,MODIS,67,6.03,291.4,10.9,N,0
8.3613,34.9695,303.3,1.6,1.2,2020-01-01,1947,Terra,MODIS,54,6.03,291.5,8.7,N,0
13.5625,37.9084,317.9,1,1,2020-01-01,1948,Terra,MODIS,96,6.03,292.2,15.8,N,0
12.8769,36.582,305.9,1.1,1.1,2020-01-01,1948,Terra,MODIS,66,6.03,291.5,7.4,N,0
12.8753,36.5719,305.8,1.1,1.1,2020-01-01,1948,Terra,MODIS,66,6.03,292.6,7.2,N,0
13.0167,36.7072,303.4,1.1,1,2020-01-01,1948,Terra,MODIS,55,6.03,292.6,5.2,N,0
13.0553,36.2253,323.5,1.1,1.1,2020-01-01,1948,Terra,MODIS,100,6.03,295.1,24.2,N,0
13.1277,36.6429,306.8,1.1,1,2020-01-01,1948,Terra,MODIS,69,6.03,294.2,7,N,0
13.0664,36.2342,304.6,1.1,1.1,2020-01-01,1948,Terra,MODIS,61,6.03,293.5,5.4,N,0
13.0648,36.2237,330.5,1.1,1.1,2020-01-01,1948,Terra,MODIS,100,6.03,293.7,34.5,N,0
13.5639,37.9176,307.7,1,1,2020-01-01,1948,Terra,MODIS,72,6.03,292.5,7.6,N,0
13.5791,37.8964,300.4,1,1,2020-01-01,1948,Terra,MODIS,11,6.03,290.1,3.3,N,0
13.5112,37.4996,323.4,1.1,1,2020-01-02,0802,Terra,MODIS,68,6.03,303.8,14.3,D,0
13.6229,36.5906,320.3,1.1,1.1,2020-01-02,0802,Terra,MODIS,56,6.03,305.5,6.6,D,0
13.3553,37.6286,328.3,1,1,2020-01-02,0802,Terra,MODIS,77,6.03,303.2,17.6,D,0
13.5249,37.402,320.1,1.1,1,2020-01-02,0802,Terra,MODIS,51,6.03,306.3,8.7,D,0
13.4524,36.4255,329.3,1.2,1.1,2020-01-02,0802,Terra,MODIS,76,6.03,306.9,19.9,D,0
13.3877,36.3014,321.7,1.2,1.1,2020-01-02,0802,Terra,MODIS,53,6.03,307.6,7.6,D,0
13.0568,36.6227,327.3,1.1,1.1,2020-01-02,0802,Terra,MODIS,64,6.03,303.2,16.7,D,0
13.0379,36.6202,319.4,1.1,1.1,2020-01-02,0802,Terra,MODIS,25,6.03,302.4,8,D,0
13.0365,36.6305,321.8,1.1,1.1,2020-01-02,0802,Terra,MODIS,60,6.03,302.8,11.2,D,0
12.577,36.4911,327.1,1.1,1.1,2020-01-02,0802,Terra,MODIS,73,6.03,306.5,15.7,D,0
12.5932,35.9238,320.8,1.2,1.1,2020-01-02,0802,Terra,MODIS,25,6.03,307.2,6.7,D,0
12.5917,35.9349,333,1.2,1.1,2020-01-02,0802,Terra,MODIS,81,6.03,307.2,25.9,D,0
12.5638,35.6229,325.6,1.3,1.1,2020-01-02,0802,Terra,MODIS,70,6.03,305.5,17,D,0
12.5623,35.6343,343,1.3,1.1,2020-01-02,0802,Terra,MODIS,90,6.03,306.4,52.5,D,0
12.5626,35.6278,338.9,1.3,1.1,2020-01-02,0802,Terra,MODIS,86,6.03,306.4,42.3,D,0
12.5611,35.6392,327.8,1.3,1.1,2020-01-02,0802,Terra,MODIS,74,6.03,305.8,20.9,D,0
