latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
19.2863,-72.1892,323.6,1.3,1.1,2020-01-03,1826,Aqua,MODIS,59,6.03,303.6,17.1,D,0
19.2833,-72.1942,321.2,1.3,1.1,2020-01-03,1826,Aqua,MODIS,43,6.03,302.8,12.9,D,0
19.1665,-71.6644,315.7,1.7,1.3,2020-01-05,1507,Terra,MODIS,61,6.03,301.3,15.6,D,0
18.9859,-71.9568,317.2,1,1,2020-01-05,1814,Aqua,MODIS,67,6.03,304.3,6.1,D,0
18.9646,-72.4312,315.1,1,1,2020-01-05,1814,Aqua,MODIS,55,6.03,304,5.7,D,0
19.2754,-72.5046,313.7,4.6,2,2020-01-06,1857,Aqua,MODIS,48,6.03,298.1,51,D,0
19.3631,-72.4455,328.1,1.1,1,2020-01-08,1537,Terra,MODIS,83,6.03,299.6,22.6,D,0
18.812,-72.1184,313.9,1.1,1.1,2020-01-08,1538,Terra,MODIS,64,6.03,301.4,6,D,0
18.8103,-72.1079,317.3,1.1,1.1,2020-01-08,1538,Terra,MODIS,70,6.03,300.8,9.2,D,0
18.9228,-72.2087,315.7,1.9,1.3,2020-01-09,1749,Aqua,MODIS,69,6.03,303.1,13.5,D,0
18.9197,-72.2264,318,1.9,1.3,2020-01-09,1749,Aqua,MODIS,72,6.03,304,18.3,D,0
18.9273,-72.2142,318.6,1.9,1.3,2020-01-09,1749,Aqua,MODIS,73,6.03,302.7,19.6,D,0
18.8118,-72.0359,325.5,1.1,1,2020-01-10,0314,Terra,MODIS,100,6.03,294.8,26.1,N,0
19.0502,-72.0284,307.2,1.1,1,2020-01-10,0314,Terra,MODIS,71,6.03,291.3,9,N,0
19.3615,-71.9576,310.5,1,1,2020-01-10,1525,Terra,MODIS,49,6.03,297.6,4.5,D,0
19.3617,-72.4806,322.1,1.1,1,2020-01-10,1525,Terra,MODIS,77,6.03,299.8,15.3,D,0
19.0352,-72.519,316,1.1,1,2020-01-10,1525,Terra,MODIS,65,6.03,299.7,8.7,D,0
19.2381,-72.4095,311.3,1.1,1,2020-01-12,0302,Terra,MODIS,82,6.03,292.9,10.8,N,0
18.9567,-72.6816,315.8,1.6,1.2,2020-01-12,1513,Terra,MODIS,39,6.03,302.2,11.2,D,0
18.5635,-72.2454,321.1,1.1,1,2020-01-12,1820,Aqua,MODIS,71,6.03,303.5,8.8,D,2
18.8332,-72.2233,319.4,1.1,1,2020-01-12,1820,Aqua,MODIS,68,6.03,302.2,10.9,D,0
18.9549,-72.6825,321.6,1,1,2020-01-12,1820,Aqua,MODIS,51,6.03,305.2,9.2,D,0
19.2585,-72.0051,328,1.1,1.1,2020-01-12,1820,Aqua,MODIS,82,6.03,300.1,18.5,D,0
19.2637,-72.0011,322.4,1.1,1.1,2020-01-12,1820,Aqua,MODIS,67,6.03,299.8,13.9,D,0
19.2624,-72.0114,321.3,1.1,1.1,2020-01-12,1820,Aqua,MODIS,65,6.03,300.4,12.9,D,0
19.0312,-72.4567,313,2.1,1.4,2020-01-13,1556,Terra,MODIS,66,6.03,299.3,17.6,D,0
18.9469,-72.1132,317.4,1,1,2020-01-14,1808,Aqua,MODIS,53,6.03,300.8,8,D,0
19.3048,-72.5563,324.4,1.1,1,2020-01-14,1808,Aqua,MODIS,57,6.03,310.6,12.2,D,0
18.8381,-72.0769,316.1,1.4,1.2,2020-01-15,1544,Terra,MODIS,70,6.03,298.5,11.4,D,0
18.9699,-72.122,301,2.5,1.5,2020-01-16,0238,Terra,MODIS,36,6.03,289.8,14.1,N,0
18.6638,-72.2057,325.7,1.5,1.2,2020-01-16,1755,Aqua,MODIS,80,6.03,306.5,21.5,D,0
18.7795,-72.3528,319.7,1.5,1.2,2020-01-16,1755,Aqua,MODIS,59,6.03,303.2,14.8,D,0
18.9627,-72.0119,318.4,1.4,1.2,2020-01-16,1756,Aqua,MODIS,72,6.03,302.4,14.8,D,0
19.008,-72.0418,307.7,1.3,1.1,2020-01-17,0320,Terra,MODIS,72,6.03,292.4,11.9,N,0
19.4753,-71.8107,314.3,1,1,2020-01-17,1531,Terra,MODIS,65,6.03,301.6,7.5,D,0
19.1654,-72.3231,311.9,1,1,2020-01-17,1532,Terra,MODIS,60,6.03,300.3,6.1,D,0
19.0585,-72.3526,311.7,1,1,2020-01-17,1532,Terra,MODIS,50,6.03,300.7,5.8,D,0
18.8456,-72.2843,314,1,1,2020-01-17,1532,Terra,MODIS,53,6.03,302,7.3,D,0
18.8314,-72.3731,345.8,1,1,2020-01-17,1532,Terra,MODIS,93,6.03,304,48.3,D,0
19.1496,-71.6854,320.3,2.4,1.5,2020-01-17,1838,Aqua,MODIS,60,6.03,304.4,31.9,D,0
19.1203,-72.4358,319.8,2.1,1.4,2020-01-17,1838,Aqua,MODIS,73,6.03,305.9,21.8,D,0
19.1227,-72.423,322,2.1,1.4,2020-01-17,1838,Aqua,MODIS,76,6.03,306.6,26.9,D,0
19.5937,-71.8965,311.8,2.3,1.5,2020-01-17,1839,Aqua,MODIS,48,6.03,297.9,16.2,D,0
19.1238,-71.6585,317.3,2.2,1.4,2020-01-18,1743,Aqua,MODIS,55,6.03,303,24.6,D,0
18.4868,-72.6369,304,1,1,2020-01-19,0308,Terra,MODIS,58,6.03,292.5,5.4,N,0
19.0786,-72.0319,307.6,1,1,2020-01-19,0308,Terra,MODIS,72,6.03,290.8,8.2,N,0
19.282,-72.2443,322.6,2.8,1.6,2020-01-20,1602,Terra,MODIS,79,6.03,302.1,56.1,D,0
19.2769,-72.2181,328.5,2.8,1.6,2020-01-20,1602,Terra,MODIS,84,6.03,302.8,85.9,D,0
19.2785,-72.24,324.3,4.1,1.9,2020-01-20,1731,Aqua,MODIS,80,6.03,299,121.2,D,0
19.2829,-72.2486,320.4,4.1,1.9,2020-01-20,1731,Aqua,MODIS,73,6.03,297.1,86.2,D,0
19.2031,-71.9361,300.9,1.2,1.1,2020-01-21,0256,Terra,MODIS,27,6.03,286,7.2,N,0
19.2014,-71.947,301.8,1.2,1.1,2020-01-21,0256,Terra,MODIS,35,6.03,283.4,8.5,N,0
19.3044,-72.2306,313.8,1,1,2020-01-21,1814,Aqua,MODIS,47,6.03,289.5,4.1,D,0
19.274,-72.1871,315.5,1,1,2020-01-21,1814,Aqua,MODIS,53,6.03,290.2,6.6,D,0
19.3031,-72.24,330.8,1,1,2020-01-21,1814,Aqua,MODIS,84,6.03,289.8,21.7,D,0
19.4943,-72.7131,322,1,1,2020-01-21,1814,Aqua,MODIS,72,6.03,303,8.5,D,0
19.493,-72.7225,321.5,1,1,2020-01-21,1814,Aqua,MODIS,68,6.03,302.4,8.4,D,0
18.8255,-72.156,327.2,1.7,1.3,2020-01-26,1832,Aqua,MODIS,80,6.03,301.9,33.4,D,0
18.9767,-72.1422,311.8,1,1,2020-01-28,0302,Terra,MODIS,83,6.03,290.8,11.7,N,0
18.977,-72.1977,302.2,1,1,2020-01-28,0302,Terra,MODIS,47,6.03,290.5,5.5,N,0
19.0642,-72.8056,316.3,1,1,2020-01-28,1820,Aqua,MODIS,51,6.03,299.6,9.6,D,0
19.0629,-72.8152,327.9,1,1,2020-01-28,1820,Aqua,MODIS,0,6.03,301.5,21.3,D,0
18.7689,-71.944,311.1,2.3,1.5,2020-01-29,1556,Terra,MODIS,57,6.03,296.3,21.6,D,0
19.0045,-72.3251,322.1,1,1,2020-01-30,1808,Aqua,MODIS,47,6.03,303.8,10.7,D,0
18.8789,-72.539,326.6,1.1,1,2020-01-30,1808,Aqua,MODIS,76,6.03,300.3,18.8,D,0
19.2037,-71.9787,321,1,1,2020-01-30,1808,Aqua,MODIS,66,6.03,306.9,6.5,D,0
18.9264,-72.0508,303.9,1.4,1.2,2020-01-31,0619,Aqua,MODIS,57,6.03,291,9.9,N,0
18.6443,-74.3101,311.1,1.1,1,2020-01-31,1544,Terra,MODIS,51,6.03,298.6,5.1,D,0
18.9142,-72.0564,314.8,1.4,1.2,2020-01-31,1544,Terra,MODIS,36,6.03,301.6,8.3,D,0
18.9226,-72.0625,317.9,1.4,1.2,2020-01-31,1544,Terra,MODIS,70,6.03,302.4,12.8,D,0
19.162,-71.84,317.2,1.4,1.2,2020-01-31,1544,Terra,MODIS,67,6.03,301.7,11.3,D,0
19.1759,-71.9244,327.2,1.4,1.2,2020-02-01,1756,Aqua,MODIS,79,6.03,306.5,23.1,D,0
19.1864,-71.9256,346.7,1.4,1.2,2020-02-01,1756,Aqua,MODIS,93,6.03,305.4,73.5,D,0
19.0007,-72.1076,314.7,1.2,1.1,2020-02-06,0256,Terra,MODIS,90,6.03,292,16.5,N,0
18.9989,-72.1188,309,1.2,1.1,2020-02-06,0256,Terra,MODIS,76,6.03,292.3,11,N,0
19.3751,-72.6247,324.1,1,1,2020-02-06,1814,Aqua,MODIS,47,6.03,308.1,6.3,D,0
19.3738,-72.6341,324.6,1,1,2020-02-06,1814,Aqua,MODIS,63,6.03,308.6,7.6,D,2
18.7918,-71.8743,314.9,1,1,2020-02-06,1814,Aqua,MODIS,31,6.03,301.3,5.4,D,0
18.8756,-72.1238,321.6,1,1,2020-02-06,1814,Aqua,MODIS,70,6.03,306.6,6.9,D,0
18.9708,-72.2993,333,1,1,2020-02-06,1814,Aqua,MODIS,84,6.03,305,19.1,D,0
18.9695,-72.3086,326.4,1,1,2020-02-06,1814,Aqua,MODIS,77,6.03,307.1,10,D,0
19.0337,-72.3725,325.4,1,1,2020-02-06,1814,Aqua,MODIS,54,6.03,307,10.8,D,0
19.2206,-72.0294,329.7,1,1,2020-02-06,1814,Aqua,MODIS,81,6.03,309.1,14.8,D,0
19.2193,-72.0389,323.3,1,1,2020-02-06,1814,Aqua,MODIS,70,6.03,308.6,7.2,D,0
19.3075,-72.5217,327.5,1,1,2020-02-06,1814,Aqua,MODIS,76,6.03,308.2,12,D,0
19.0904,-72.5799,317,1.6,1.2,2020-02-07,1550,Terra,MODIS,66,6.03,304.8,13.9,D,0
18.7334,-71.9977,319,1.8,1.3,2020-02-07,1550,Terra,MODIS,73,6.03,302.6,24.9,D,0
18.7306,-71.9818,317.6,1.8,1.3,2020-02-07,1550,Terra,MODIS,70,6.03,301.8,22.4,D,0
18.3014,-71.9226,313.3,1.9,1.3,2020-02-07,1551,Terra,MODIS,53,6.03,299.8,14.9,D,0
18.2952,-71.9277,313.5,1.9,1.3,2020-02-07,1551,Terra,MODIS,62,6.03,299.8,15.4,D,0
18.497,-72.6336,321.9,1.3,1.1,2020-02-08,1802,Aqua,MODIS,72,6.03,303.1,14.4,D,0
18.6668,-72.2193,323.4,1.2,1.1,2020-02-08,1802,Aqua,MODIS,72,6.03,309.4,10.3,D,0
18.8375,-71.7827,324.2,1.1,1.1,2020-02-08,1802,Aqua,MODIS,64,6.03,304.7,13.9,D,0
18.8668,-72.0616,323.3,1.2,1.1,2020-02-08,1802,Aqua,MODIS,57,6.03,308.7,11.2,D,0
18.8676,-72.1185,324.4,1.2,1.1,2020-02-08,1802,Aqua,MODIS,75,6.03,308.2,11,D,0
19.1269,-72.1025,319.4,1.2,1.1,2020-02-08,1802,Aqua,MODIS,52,6.03,307.5,7.3,D,0
19.1254,-72.4237,326.4,1.2,1.1,2020-02-08,1802,Aqua,MODIS,77,6.03,306.2,15.5,D,0
19.2424,-72.3343,317.5,1.2,1.1,2020-02-08,1802,Aqua,MODIS,60,6.03,303.9,8.3,D,0
19.3636,-72.022,319,1.2,1.1,2020-02-08,1802,Aqua,MODIS,54,6.03,301.6,10.2,D,0
18.3381,-71.9863,315.2,1.2,1.1,2020-02-09,1538,Terra,MODIS,57,6.03,297.9,11.9,D,0
18.3363,-71.9751,312,1.2,1.1,2020-02-09,1538,Terra,MODIS,41,6.03,299.2,8.1,D,0
