latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
13.3156,-87.1613,319.3,3.8,1.8,2020-01-01,1837,Aqua,MODIS,45,6.03,295.9,67.5,D,0
15.9249,-85.8669,310.3,1.1,1,2020-01-02,1616,Terra,MODIS,44,6.03,299.2,4.9,D,0
15.7609,-85.4512,312.2,1.3,1.1,2020-01-02,1921,Aqua,MODIS,66,6.03,291,11,D,0
15.2655,-87.9114,324.3,1,1,2020-01-02,1921,Aqua,MODIS,60,6.03,301.1,15.4,D,0
15.2642,-87.9208,316.1,1,1,2020-01-02,1921,Aqua,MODIS,52,6.03,299.1,7.1,D,0
14.1243,-86.9391,326.9,3.5,1.8,2020-01-03,0445,Terra,MODIS,100,6.03,286.4,169.9,N,0
14.1279,-86.9057,305,3.5,1.8,2020-01-03,0445,Terra,MODIS,59,6.03,278.4,53.1,N,0
14.1336,-86.9458,321.1,3.5,1.8,2020-01-03,0445,Terra,MODIS,99,6.03,286.5,130.1,N,0
14.137,-86.9122,314.2,3.5,1.8,2020-01-03,0445,Terra,MODIS,81,6.03,281.8,89.8,N,0
15.2697,-88.4931,306.2,2.8,1.6,2020-01-03,0446,Terra,MODIS,67,6.03,290.2,31.5,N,0
15.2666,-88.4869,308.5,2.8,1.6,2020-01-03,0446,Terra,MODIS,75,6.03,290.2,37.8,N,0
14.2393,-85.6766,310.1,1,1,2020-01-04,1908,Aqua,MODIS,54,6.03,299,5.1,D,0
15.1292,-87.8852,315,1.1,1.1,2020-01-04,1908,Aqua,MODIS,35,6.03,299.3,6.7,D,0
15.1916,-84.6114,316.1,1,1,2020-01-04,1908,Aqua,MODIS,67,6.03,301.1,8.4,D,0
14.8771,-85.0786,311.6,1,1,2020-01-04,1908,Aqua,MODIS,52,6.03,299.2,4.6,D,0
15.666,-85.4249,320.5,1,1,2020-01-04,1909,Aqua,MODIS,75,6.03,300.9,11.9,D,0
15.6023,-85.3586,311.4,1,1,2020-01-04,1909,Aqua,MODIS,50,6.03,295.3,5.8,D,0
15.6936,-84.503,314.1,1,1,2020-01-04,1909,Aqua,MODIS,65,6.03,301.3,5.5,D,0
15.6301,-85.8682,311.5,1,1,2020-01-04,1909,Aqua,MODIS,50,6.03,298.2,6,D,0
13.4516,-87.4446,319.6,1.8,1.3,2020-01-06,1856,Aqua,MODIS,55,6.03,299.7,17.4,D,0
13.5186,-87.5523,326,1.1,1,2020-01-07,1635,Terra,MODIS,76,6.03,306.2,11.8,D,0
14.1257,-86.9443,307.2,1,1,2020-01-09,0408,Terra,MODIS,48,6.03,288,7.7,N,0
14.127,-86.9352,307.7,1,1,2020-01-09,0408,Terra,MODIS,58,6.03,287.9,8.1,N,0
14.1168,-86.9429,307,1,1,2020-01-09,0408,Terra,MODIS,49,6.03,286.4,7.8,N,0
14.1181,-86.9338,307.1,1,1,2020-01-09,0408,Terra,MODIS,54,6.03,287,7.8,N,0
14.0761,-86.9023,310.6,1,1,2020-01-09,0408,Terra,MODIS,80,6.03,289.6,10.7,N,0
