latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
7.5511,-8.557,315.2,1.3,1.1,2020-01-02,1121,Terra,MODIS,69,6.03,299.7,14.4,D,0
5.705,-9.5636,312.7,1.2,1.1,2020-01-02,1421,Aqua,MODIS,60,6.03,298.6,8.5,D,0
5.8921,-9.9817,319.8,1.2,1.1,2020-01-02,1421,Aqua,MODIS,73,6.03,300.5,13.1,D,0
6.5075,-8.9141,311,1.4,1.2,2020-01-02,1422,Aqua,MODIS,37,6.03,300.1,7.6,D,0
6.8222,-10.3243,315.7,1.2,1.1,2020-01-02,1422,Aqua,MODIS,50,6.03,302.5,7.5,D,0
7.1794,-10.6457,311.9,1.1,1.1,2020-01-02,1422,Aqua,MODIS,53,6.03,301.5,5.4,D,0
7.2093,-10.6397,313.2,1.1,1.1,2020-01-02,1422,Aqua,MODIS,58,6.03,302.7,6.4,D,0
6.5166,-10.8518,318.8,1.1,1,2020-01-02,1422,Aqua,MODIS,69,6.03,302,10.1,D,0
6.5727,-10.143,327.8,1.2,1.1,2020-01-02,1422,Aqua,MODIS,80,6.03,303,24.2,D,0
7.2531,-10.703,312.2,1.1,1.1,2020-01-02,1422,Aqua,MODIS,54,6.03,301.6,5.9,D,0
6.7925,-10.4666,328.5,1.1,1.1,2020-01-02,1422,Aqua,MODIS,81,6.03,302.9,24.4,D,0
7.1111,-10.3261,313.7,1.2,1.1,2020-01-02,1422,Aqua,MODIS,59,6.03,301.6,8.1,D,0
7.1097,-10.3368,310.8,1.2,1.1,2020-01-02,1422,Aqua,MODIS,44,6.03,300.8,5.4,D,0
7.0469,-9.1516,315.1,1.4,1.2,2020-01-02,1422,Aqua,MODIS,60,6.03,302.5,10.6,D,0
6.6312,-11.1457,315,1.1,1,2020-01-02,1422,Aqua,MODIS,46,6.03,300.6,6.2,D,0
6.6345,-10.4215,313.7,1.1,1.1,2020-01-02,1422,Aqua,MODIS,56,6.03,301.7,6.3,D,0
6.8957,-11.4338,324.3,1,1,2020-01-02,1422,Aqua,MODIS,73,6.03,308.1,13.8,D,0
6.9473,-11.1319,318.1,1.1,1,2020-01-02,1422,Aqua,MODIS,69,6.03,302.7,10.3,D,0
7.0452,-9.1638,318,1.4,1.2,2020-01-02,1422,Aqua,MODIS,67,6.03,302.1,14.4,D,0
6.9345,-10.7655,313.2,1.1,1,2020-01-02,1422,Aqua,MODIS,56,6.03,303,5.9,D,0
6.817,-10.2642,307.6,1.1,1,2020-01-04,1109,Terra,MODIS,53,6.03,296.3,4.6,D,0
6.8175,-10.3314,308.2,1.1,1,2020-01-04,1109,Terra,MODIS,54,6.03,296.1,4.4,D,0
7.5076,-10.0106,319.8,1,1,2020-01-04,1109,Terra,MODIS,77,6.03,296.7,15.7,D,0
6.0818,-10.0251,307.3,1,1,2020-01-04,1109,Terra,MODIS,62,6.03,292.4,4.7,D,0
6.7234,-10.1731,315.7,1,1,2020-01-04,1409,Aqua,MODIS,67,6.03,301.8,8,D,0
6.0709,-8.6215,306,1,1,2020-01-04,1409,Aqua,MODIS,38,6.03,288.5,3.4,D,0
6.0696,-8.6306,306.3,1,1,2020-01-04,1409,Aqua,MODIS,43,6.03,288.6,3.7,D,0
6.0799,-8.6228,305.9,1,1,2020-01-04,1409,Aqua,MODIS,21,6.03,289.4,3.2,D,0
6.0786,-8.6319,307.8,1,1,2020-01-04,1409,Aqua,MODIS,37,6.03,290.8,4.5,D,0
6.3728,-9.1509,310.5,1,1,2020-01-04,1409,Aqua,MODIS,62,6.03,295.6,6.4,D,0
6.2573,-10.3986,333.9,1,1,2020-01-04,1409,Aqua,MODIS,87,6.03,303.6,26.5,D,0
6.2853,-10.5877,315.3,1,1,2020-01-04,1409,Aqua,MODIS,40,6.03,303.8,5.4,D,0
6.4153,-9.9469,321.2,1,1,2020-01-04,1409,Aqua,MODIS,76,6.03,300.4,13.5,D,0
6.3176,-10.6209,315.3,1,1,2020-01-04,1409,Aqua,MODIS,28,6.03,302.5,5.3,D,0
6.4192,-10.6796,313.2,1,1,2020-01-04,1409,Aqua,MODIS,57,6.03,301,5.9,D,0
6.4283,-10.6809,333.1,1,1,2020-01-04,1409,Aqua,MODIS,86,6.03,301.2,28.4,D,0
6.427,-10.6902,317,1,1,2020-01-04,1409,Aqua,MODIS,60,6.03,301,9.1,D,0
6.5308,-10.4856,322,1,1,2020-01-04,1409,Aqua,MODIS,76,6.03,301.4,14.3,D,0
6.7549,-9.374,315,1,1,2020-01-04,1409,Aqua,MODIS,66,6.03,299.7,7.8,D,0
6.7536,-9.3829,317,1,1,2020-01-04,1409,Aqua,MODIS,70,6.03,299.9,9.6,D,0
6.6789,-10.0311,316.1,1,1,2020-01-04,1409,Aqua,MODIS,68,6.03,300.7,9,D,0
6.734,-10.481,328.3,1,1,2020-01-04,1409,Aqua,MODIS,82,6.03,302.3,21.9,D,0
6.7399,-10.9424,313,1.1,1,2020-01-04,1409,Aqua,MODIS,60,6.03,302.8,5.4,D,0
6.9227,-10.5774,333.2,1,1,2020-01-04,1410,Aqua,MODIS,86,6.03,300,29.4,D,0
6.862,-10.5496,324.1,1,1,2020-01-04,1410,Aqua,MODIS,79,6.03,300.7,17.9,D,0
6.8607,-10.5588,314.5,1,1,2020-01-04,1410,Aqua,MODIS,65,6.03,300,8.2,D,0
7.1361,-9.0899,316.6,1,1,2020-01-04,1410,Aqua,MODIS,68,6.03,299.6,9.8,D,0
6.8975,-10.8059,311.7,1,1,2020-01-04,1410,Aqua,MODIS,58,6.03,301.5,5.3,D,0
7.1928,-8.9464,312.1,1,1,2020-01-04,1410,Aqua,MODIS,58,6.03,299.5,5.5,D,0
7.1915,-8.9555,310.1,1,1,2020-01-04,1410,Aqua,MODIS,40,6.03,299.4,3.7,D,0
7.2557,-9.3496,315.1,1,1,2020-01-04,1410,Aqua,MODIS,67,6.03,302.8,7.8,D,0
7.5213,-10.6988,314.8,1,1,2020-01-04,1410,Aqua,MODIS,66,6.03,300.1,8.9,D,0
7.5199,-10.708,310.5,1,1,2020-01-04,1410,Aqua,MODIS,54,6.03,299.7,5.4,D,0
7.9433,-10.073,310.2,1,1,2020-01-04,1410,Aqua,MODIS,51,6.03,299.7,4.7,D,0
6.1004,-9.3312,323.7,1.2,1.1,2020-01-06,1357,Aqua,MODIS,78,6.03,299.4,22.7,D,0
6.1029,-9.5233,315.7,1.3,1.1,2020-01-06,1357,Aqua,MODIS,67,6.03,299.1,12.6,D,0
6.2705,-9.2897,311.9,1.2,1.1,2020-01-06,1357,Aqua,MODIS,55,6.03,299.2,8.3,D,0
6.5741,-9.451,310.8,1.3,1.1,2020-01-06,1357,Aqua,MODIS,50,6.03,299.8,6.2,D,0
6.9794,-8.9266,310.7,1.2,1.1,2020-01-06,1357,Aqua,MODIS,48,6.03,299.7,5.2,D,0
6.9779,-8.937,310.8,1.2,1.1,2020-01-06,1357,Aqua,MODIS,48,6.03,299.7,5.3,D,0
6.8716,-10.7953,317.4,1.5,1.2,2020-01-06,1357,Aqua,MODIS,70,6.03,299.1,16.9,D,0
6.9304,-11.0077,309.1,1.6,1.2,2020-01-06,1357,Aqua,MODIS,47,6.03,297.3,8.2,D,0
6.9283,-11.0218,316.1,1.6,1.2,2020-01-06,1357,Aqua,MODIS,69,6.03,297.5,18.6,D,0
6.1021,-9.3201,313.7,1.2,1.1,2020-01-06,1357,Aqua,MODIS,62,6.03,299.4,9.8,D,0
5.6958,-9.0273,323.9,1.2,1.1,2020-01-06,1357,Aqua,MODIS,78,6.03,300.9,22.1,D,0
8.4042,-9.7508,310.5,2.3,1.5,2020-01-07,1139,Terra,MODIS,57,6.03,297.5,17.8,D,0
8.4056,-9.7657,319.7,2.3,1.5,2020-01-07,1139,Terra,MODIS,74,6.03,297.7,42.4,D,0
8.4075,-9.771,316.2,2.3,1.5,2020-01-07,1139,Terra,MODIS,70,6.03,297.7,32.4,D,0
5.8394,-9.8958,309.1,2.4,1.5,2020-01-07,1140,Terra,MODIS,57,6.03,294.2,14.2,D,0
6.6906,-10.1983,319.6,2.5,1.5,2020-01-07,1440,Aqua,MODIS,72,6.03,297.4,42.6,D,0
6.6993,-10.1816,323.7,2.5,1.5,2020-01-07,1440,Aqua,MODIS,77,6.03,296,54.6,D,0
6.8032,-11.3055,321.5,2.1,1.4,2020-01-07,1440,Aqua,MODIS,75,6.03,297.6,38.3,D,0
6.8008,-11.324,314,2.1,1.4,2020-01-07,1440,Aqua,MODIS,63,6.03,297.9,18.5,D,0
8.1189,-10.2077,316.7,2.6,1.6,2020-01-07,1440,Aqua,MODIS,67,6.03,298.3,38.8,D,0
8.1327,-10.2102,325,2.6,1.6,2020-01-07,1440,Aqua,MODIS,78,6.03,300,71,D,0
6.6936,-10.1757,320.1,2.5,1.5,2020-01-07,1440,Aqua,MODIS,73,6.03,295.9,44.4,D,0
6.5724,-10.9877,312.4,2.2,1.4,2020-01-07,1440,Aqua,MODIS,54,6.03,296.8,16.8,D,0
6.5945,-10.388,311.8,2.5,1.5,2020-01-08,1345,Aqua,MODIS,56,6.03,296.8,18.1,D,0
6.6017,-10.3939,312.7,2.5,1.5,2020-01-08,1345,Aqua,MODIS,59,6.03,296.4,20.5,D,0
