latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
3.745,101.5211,314.1,1.6,1.2,2020-01-01,0403,Terra,MODIS,52,6.03,301.1,12.6,D,2
2.9053,101.2927,318.6,1.6,1.2,2020-01-01,0404,Terra,MODIS,0,6.03,301.8,18.8,D,2
6.6755,100.2387,320.4,1,1,2020-01-03,0350,Terra,MODIS,74,6.03,297.6,10.8,D,0
3.37,101.5859,318.9,1.1,1,2020-01-03,0351,Terra,MODIS,46,6.03,300.6,8.8,D,2
4.3804,101.113,311.1,1,1,2020-01-03,0351,Terra,MODIS,44,6.03,290.3,4.4,D,0
3.6708,100.9888,317.3,1,1,2020-01-03,0351,Terra,MODIS,19,6.03,300.7,7.9,D,2
6.0125,100.7941,309.1,1,1,2020-01-03,0351,Terra,MODIS,55,6.03,295.2,4.2,D,0
3.0508,101.3801,316,1.1,1,2020-01-03,0351,Terra,MODIS,24,6.03,296.5,7.2,D,2
6.0139,100.7851,310.4,1,1,2020-01-03,0351,Terra,MODIS,59,6.03,294.5,5.1,D,0
1.3762,104.1584,312.9,1.6,1.2,2020-01-03,0352,Terra,MODIS,17,6.03,294.2,9.4,D,2
3.3521,102.2556,317.8,1.1,1,2020-01-03,0650,Aqua,MODIS,72,6.03,293.8,11.4,D,0
6.3225,99.8575,311.6,1,1,2020-01-03,0651,Aqua,MODIS,0,6.03,292.8,4.7,D,2
1.3719,104.155,325.7,1.3,1.1,2020-01-04,1519,Terra,MODIS,100,6.03,293,33.6,N,2
1.3821,104.1534,321,1.3,1.1,2020-01-04,1519,Terra,MODIS,100,6.03,292.1,25.9,N,2
1.3844,104.157,321.6,2.1,1.4,2020-01-04,1815,Aqua,MODIS,100,6.03,293.3,55.4,N,2
1.3817,104.1762,303.6,2.1,1.4,2020-01-04,1815,Aqua,MODIS,56,6.03,293.2,12.6,N,2
1.3772,104.1632,320.5,1.1,1,2020-01-05,0339,Terra,MODIS,26,6.03,300,10.3,D,2
1.3778,104.157,328.2,1,1,2020-01-05,0637,Aqua,MODIS,61,6.03,299.3,19,D,2
3.4441,102.3437,318.8,1.1,1,2020-01-05,0637,Aqua,MODIS,73,6.03,299.9,12,D,2
1.3765,104.148,319,1,1,2020-01-05,0637,Aqua,MODIS,42,6.03,299.4,9.6,D,2
6.0162,100.7888,321.1,1.2,1.1,2020-01-05,0638,Aqua,MODIS,76,6.03,299.6,16.8,D,0
1.3767,104.1365,301.3,2.7,1.6,2020-01-05,1602,Terra,MODIS,40,6.03,289.3,13.5,N,2
1.3758,104.1665,308,2.7,1.6,2020-01-05,1602,Terra,MODIS,73,6.03,289.7,30.3,N,2
1.3723,104.1427,305.2,2.7,1.6,2020-01-05,1602,Terra,MODIS,63,6.03,289.6,22.5,N,2
1.38,104.1604,314.7,2.7,1.6,2020-01-05,1602,Terra,MODIS,90,6.03,289.6,52,N,2
1.3811,104.1569,323.9,1.6,1.3,2020-01-05,1857,Aqua,MODIS,100,6.03,292.2,40.9,N,2
1.3789,104.1712,313.7,1.6,1.3,2020-01-05,1857,Aqua,MODIS,83,6.03,292.3,22,N,2
1.382,104.1501,305.6,1.6,1.3,2020-01-05,1857,Aqua,MODIS,33,6.03,291.5,10.5,N,2
1.38,104.1644,325.2,1.6,1.3,2020-01-05,1857,Aqua,MODIS,100,6.03,292.6,44.5,N,2
6.6773,100.2422,311,2.6,1.5,2020-01-06,0421,Terra,MODIS,34,6.03,296.4,20.4,D,0
4.8161,101.0819,311,3.2,1.7,2020-01-06,0421,Terra,MODIS,35,6.03,295.8,29.8,D,2
4.2766,115.49,304.5,1.1,1.1,2020-01-06,0542,Aqua,MODIS,28,6.03,284.4,4.3,D,0
5.5751,116.193,305.6,1,1,2020-01-06,0542,Aqua,MODIS,47,6.03,287.8,4.8,D,0
1.3749,104.1555,312,1.1,1,2020-01-07,0327,Terra,MODIS,47,6.03,278.6,8.8,D,2
3.7438,101.5178,311.3,1.9,1.3,2020-01-07,0625,Aqua,MODIS,35,6.03,290.2,11.6,D,2
1.381,104.1594,311.1,1.1,1,2020-01-07,1845,Aqua,MODIS,74,6.03,273.3,14.2,N,2
