latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.2206,17.7232,322.7,1,1,2020-01-01,0907,Terra,MODIS,71,6.03,301,9,D,0
-21.5278,16.0095,325.3,1,1,2020-01-08,0913,Terra,MODIS,64,6.03,307.1,8.2,D,0
-21.5292,16.0191,323.5,1,1,2020-01-08,0913,Terra,MODIS,57,6.03,306.8,6.5,D,0
-21.9855,16.8975,321.3,1,1,2020-01-08,0913,Terra,MODIS,20,6.03,304.6,6.9,D,2
-21.5264,15.9999,332.4,1,1,2020-01-08,0913,Terra,MODIS,78,6.03,307.9,16.7,D,0
-22.6273,17.0782,328.7,1.1,1,2020-01-08,0914,Terra,MODIS,15,6.03,309.1,9.5,D,0
-23.2473,18.6938,324.4,1.6,1.2,2020-01-15,0920,Terra,MODIS,49,6.03,307.1,14.3,D,0
-21.4141,18.1791,319.5,1,1,2020-01-17,0907,Terra,MODIS,44,6.03,303.8,7.3,D,0
-21.2528,18.0783,326,1,1,2020-01-17,0907,Terra,MODIS,72,6.03,305.4,12.5,D,0
-22.7566,17.8606,328.8,1,1,2020-01-17,0908,Terra,MODIS,61,6.03,306.5,11.7,D,0
-22.7552,17.8508,344.2,1,1,2020-01-17,0908,Terra,MODIS,89,6.03,309.6,34.4,D,0
-24.7662,17.8707,368.6,1,1,2020-01-18,1234,Aqua,MODIS,100,6.03,320.8,84.9,D,0
-24.7845,17.8737,336,1,1,2020-01-18,1234,Aqua,MODIS,43,6.03,317.8,6.8,D,0
-24.7739,17.8823,342.1,1,1,2020-01-18,1234,Aqua,MODIS,82,6.03,315.6,17.6,D,0
-24.7753,17.8722,414.3,1,1,2020-01-18,1234,Aqua,MODIS,100,6.03,323.1,332.9,D,0
-24.7648,17.8808,353.1,1,1,2020-01-18,1234,Aqua,MODIS,94,6.03,317.5,41.1,D,0
-24.7794,17.8742,319.4,2,1.4,2020-01-18,2159,Terra,MODIS,99,6.03,294.7,45.8,N,0
-24.7831,17.8544,321.3,2,1.4,2020-01-18,2159,Terra,MODIS,100,6.03,294.9,50.3,N,0
-19.2244,17.7235,325.9,1.5,1.2,2020-01-22,0925,Terra,MODIS,60,6.03,308.8,21.3,D,2
-19.2259,17.7187,327.4,1.1,1,2020-01-24,0913,Terra,MODIS,68,6.03,309.1,13.4,D,2
-19.2273,17.7286,326.6,1.1,1,2020-01-24,0913,Terra,MODIS,69,6.03,306.6,12.9,D,0
-19.5792,15.065,332.6,1,1,2020-01-25,1242,Aqua,MODIS,29,6.03,316.6,7.6,D,0
-21.6264,19.2664,331.6,1.2,1.1,2020-01-28,0849,Terra,MODIS,75,6.03,316.2,16.5,D,0
-21.636,19.2646,361,1.2,1.1,2020-01-28,0849,Terra,MODIS,100,6.03,316.5,88.5,D,0
-21.6378,19.2757,332.8,1.2,1.1,2020-01-28,0849,Terra,MODIS,77,6.03,315.2,17.2,D,0
