latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.4857,4.5968,301.5,1,1,2020-01-07,0202,Aqua,MODIS,42,6.03,278.7,8.3,N,2
52.4898,4.6105,303.6,1,1,2020-01-10,2131,Terra,MODIS,56,6.03,276.5,10.5,N,2
52.4957,4.6184,301.4,1.1,1.1,2020-01-18,1109,Terra,MODIS,47,6.03,279.9,9.7,D,2
52.4792,4.5833,300.7,1,1,2020-02-07,1231,Aqua,MODIS,0,6.03,281.5,6.2,D,2
52.4923,4.6085,305.5,1,1,2020-02-07,1231,Aqua,MODIS,52,6.03,281.9,8.8,D,2
51.6818,4.5633,300.9,1.1,1.1,2020-03-03,1039,Terra,MODIS,33,6.03,280.8,7.5,D,2
51.9641,4.2518,309.5,1.3,1.1,2020-03-21,1213,Aqua,MODIS,65,6.03,281.9,16.3,D,2
51.8697,5.7429,316.6,1.2,1.1,2020-03-21,1213,Aqua,MODIS,73,6.03,282.7,20.9,D,2
51.8346,4.607,305.3,1.2,1.1,2020-03-22,1110,Terra,MODIS,59,6.03,282.9,10.1,D,2
51.8376,4.5906,304.9,1.2,1.1,2020-03-22,1110,Terra,MODIS,60,6.03,282.9,9.8,D,2
52.4942,4.6212,307,1,1,2020-03-24,1057,Terra,MODIS,57,6.03,289.7,7.1,D,2
51.4611,6.0172,306.8,1.1,1,2020-03-24,1057,Terra,MODIS,64,6.03,286.7,9.6,D,0
51.9237,6.0587,301.6,1.1,1,2020-03-24,1057,Terra,MODIS,48,6.03,285.4,6.1,D,2
52.5095,4.6429,300.5,1,1,2020-03-24,1057,Terra,MODIS,25,6.03,285.9,4,D,2
52.4875,4.6134,306.7,1.1,1,2020-03-24,1244,Aqua,MODIS,60,6.03,291.6,7.4,D,2
52.4901,4.6126,311.1,1.1,1,2020-03-26,1045,Terra,MODIS,71,6.03,288.8,10.6,D,2
51.3187,6.0673,301.3,1,1,2020-03-26,1045,Terra,MODIS,46,6.03,286.7,4.7,D,0
51.5648,4.7088,300.2,1,1,2020-03-26,1231,Aqua,MODIS,31,6.03,285.9,3.7,D,0
51.8471,4.6076,303.2,1,1,2020-03-26,1231,Aqua,MODIS,55,6.03,286.7,5.3,D,2
51.9832,4.2802,302,1,1,2020-03-26,1231,Aqua,MODIS,50,6.03,284.5,5.4,D,2
51.3151,3.4952,300.3,1.1,1,2020-03-26,1231,Aqua,MODIS,35,6.03,286,3.9,D,2
51.9809,4.2658,300.2,1,1,2020-03-26,1231,Aqua,MODIS,30,6.03,284.4,4.2,D,2
