latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
11.9604,3.4629,324.6,1.3,1.1,2020-01-01,1037,Terra,MODIS,72,6.03,307.3,18.6,D,0
12.5634,2.4562,328.8,1.9,1.3,2020-01-01,1340,Aqua,MODIS,70,6.03,310.6,32,D,0
12.5715,2.4656,330.1,1.9,1.3,2020-01-01,1340,Aqua,MODIS,76,6.03,308.7,37.9,D,0
12.4751,2.6673,340.7,1.9,1.4,2020-01-01,1340,Aqua,MODIS,87,6.03,312.1,79.2,D,0
12.4873,2.6659,339.4,1.9,1.4,2020-01-01,1340,Aqua,MODIS,86,6.03,310.8,74.8,D,0
12.5694,2.4483,326.2,1.9,1.3,2020-01-01,1340,Aqua,MODIS,69,6.03,309.9,25.7,D,0
12.5754,2.4546,324.5,1.9,1.3,2020-01-01,1340,Aqua,MODIS,24,6.03,310.3,19.2,D,0
14.1398,13.3784,324.3,1,1,2020-01-02,0941,Terra,MODIS,66,6.03,296.1,18.9,D,0
12.7927,3.1049,314.9,2.7,1.6,2020-01-02,1245,Aqua,MODIS,47,6.03,301.4,19.9,D,0
12.2762,2.5388,314.9,3,1.7,2020-01-02,1245,Aqua,MODIS,45,6.03,300.1,20.9,D,0
12.3313,2.3117,330.9,1,1,2020-01-03,1024,Terra,MODIS,83,6.03,298.6,23.9,D,0
12.3299,2.3209,325.2,1,1,2020-01-03,1024,Terra,MODIS,78,6.03,298.7,16.8,D,0
12.2886,2.5591,316.7,1.2,1.1,2020-01-03,1328,Aqua,MODIS,55,6.03,301.1,6.3,D,0
14.2083,13.359,317.9,1.4,1.2,2020-01-04,0928,Terra,MODIS,67,6.03,294.7,17.3,D,0
14.2066,13.3723,317.2,1.4,1.2,2020-01-04,0928,Terra,MODIS,65,6.03,294.6,16.3,D,0
14.1705,13.2795,326.9,1.5,1.2,2020-01-04,0928,Terra,MODIS,79,6.03,297.1,31.9,D,0
14.1687,13.2929,314.7,1.5,1.2,2020-01-04,0928,Terra,MODIS,54,6.03,296.2,11.3,D,0
14.1598,13.2781,315.7,1.5,1.2,2020-01-04,0928,Terra,MODIS,61,6.03,296,12.8,D,0
14.1407,13.3793,316.1,1,1,2020-01-04,1233,Aqua,MODIS,32,6.03,298.5,7.7,D,0
14.0543,13.2239,317.6,1,1,2020-01-04,1233,Aqua,MODIS,54,6.03,298.3,7.7,D,0
14.1393,13.3702,318,1,1,2020-01-04,1233,Aqua,MODIS,40,6.03,298.8,9.2,D,0
14.1649,13.2848,325,1,1,2020-01-04,1233,Aqua,MODIS,73,6.03,300,13.1,D,0
14.1636,13.2756,317.8,1,1,2020-01-04,1233,Aqua,MODIS,46,6.03,299.7,5.8,D,0
14.2049,13.3723,341.6,1,1,2020-01-04,1233,Aqua,MODIS,89,6.03,300.2,36.9,D,0
12.3869,2.3299,324,1,1,2020-01-05,1315,Aqua,MODIS,67,6.03,306.6,9.7,D,0
12.3883,2.3392,320.4,1,1,2020-01-05,1315,Aqua,MODIS,54,6.03,306.5,6.5,D,0
13.0109,3.207,322.5,1,1,2020-01-05,1316,Aqua,MODIS,62,6.03,305.8,7.5,D,0
12.4064,2.3592,315.8,2.4,1.5,2020-01-06,1055,Terra,MODIS,63,6.03,289.9,29.3,D,0
12.3932,2.3568,313.8,2.4,1.5,2020-01-06,1055,Terra,MODIS,55,6.03,290.1,22.9,D,0
12.3977,2.352,315,2.4,1.5,2020-01-06,1055,Terra,MODIS,47,6.03,289.9,24.7,D,0
14.8897,6.6845,319.7,1,1,2020-01-07,1304,Aqua,MODIS,65,6.03,299,9.4,D,0
14.8911,6.694,322.8,1,1,2020-01-07,1304,Aqua,MODIS,71,6.03,299.9,12.7,D,0
14.9738,2.5862,331.6,1.2,1.1,2020-01-07,1304,Aqua,MODIS,81,6.03,297.7,28.9,D,0
14.972,2.5748,342.2,1.2,1.1,2020-01-07,1304,Aqua,MODIS,90,6.03,301.1,51.4,D,0
13.0068,6.9707,329.4,3.1,1.7,2020-01-08,1042,Terra,MODIS,80,6.03,298,103.9,D,0
14.1283,13.3329,317.8,2.1,1.4,2020-01-08,1208,Aqua,MODIS,17,6.03,301.5,21.4,D,0
