latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.0872,57.3106,320.7,1.8,1.3,2020-01-01,0716,Terra,MODIS,66,6.03,302.2,20,D,0
22.0957,57.33,320.9,1.8,1.3,2020-01-01,0716,Terra,MODIS,66,6.03,303.2,20.4,D,0
22.0841,57.3276,326.8,1.8,1.3,2020-01-01,0716,Terra,MODIS,76,6.03,302.2,34.9,D,0
22.0988,57.313,317.7,1.8,1.3,2020-01-01,0716,Terra,MODIS,57,6.03,302.8,13.8,D,0
22.089,57.3222,337.3,1.8,1.3,2020-01-01,0716,Terra,MODIS,86,6.03,302.3,67.4,D,0
18.0308,54.6377,305.3,2.5,1.5,2020-01-01,1810,Terra,MODIS,64,6.03,284.8,30.9,N,2
19.3784,56.1584,304.2,1.8,1.3,2020-01-01,1811,Terra,MODIS,59,6.03,285.8,17.7,N,2
18.0333,54.6439,344.4,1.3,1.1,2020-01-02,1853,Terra,MODIS,100,6.03,291.6,74.3,N,2
18.0318,54.632,307.4,1.3,1.1,2020-01-02,1853,Terra,MODIS,71,6.03,290,11.9,N,2
19.3725,56.1462,300.9,1.7,1.3,2020-01-02,1854,Terra,MODIS,35,6.03,288,11.4,N,2
18.0365,54.6413,317.9,2.3,1.5,2020-01-02,2140,Aqua,MODIS,96,6.03,288.8,57.1,N,2
18.0341,54.6625,304.1,2.3,1.5,2020-01-02,2140,Aqua,MODIS,58,6.03,287.8,23.3,N,2
24.505,56.6048,315.7,1,1,2020-01-03,0703,Terra,MODIS,42,6.03,301.9,6.1,D,2
18.3207,55.1071,300.5,3.9,1.8,2020-01-03,1758,Terra,MODIS,29,6.03,287.4,37.3,N,2
18.041,54.6494,305.8,1.4,1.2,2020-01-03,2223,Aqua,MODIS,66,6.03,288.2,14.2,N,2
17.9965,54.5084,328.7,1,1,2020-01-04,1841,Terra,MODIS,100,6.03,289.3,28,N,0
19.3729,56.1535,307,1.1,1,2020-01-04,1841,Terra,MODIS,70,6.03,289.4,9,N,2
19.3793,56.1568,304.2,1.1,1,2020-01-04,1841,Terra,MODIS,59,6.03,289.3,7.8,N,2
19.3779,56.1464,301.6,1.1,1,2020-01-04,1841,Terra,MODIS,43,6.03,289.1,6.1,N,2
19.3788,56.1509,310.1,1.1,1.1,2020-01-05,2210,Aqua,MODIS,79,6.03,289.7,12.2,N,2
19.3771,56.1613,310.9,1.1,1.1,2020-01-05,2210,Aqua,MODIS,81,6.03,289.9,12.9,N,2
17.9994,54.5122,329.8,1,1,2020-01-05,2211,Aqua,MODIS,100,6.03,280,30.5,N,0
18.0334,54.6509,312.4,1.2,1.1,2020-01-06,1829,Terra,MODIS,85,6.03,291.6,14.1,N,2
18.0316,54.6396,335.5,1.2,1.1,2020-01-06,1829,Terra,MODIS,100,6.03,293,47.8,N,2
18.0344,54.645,326.2,1.2,1.1,2020-01-06,1829,Terra,MODIS,100,6.03,292.6,31.5,N,2
18.0326,54.6337,312.2,1.2,1.1,2020-01-06,1829,Terra,MODIS,84,6.03,292.2,13.9,N,2
19.3764,56.1535,328.2,1,1,2020-01-06,1829,Terra,MODIS,100,6.03,291.1,27.9,N,2
21.406,56.4198,302.9,1,1,2020-01-06,1830,Terra,MODIS,52,6.03,290,5.4,N,0
21.4502,56.279,326.7,1,1,2020-01-06,1830,Terra,MODIS,100,6.03,290.9,25.5,N,0
24.5005,56.6042,314.6,1.6,1.2,2020-01-07,0639,Terra,MODIS,0,6.03,300.4,12.6,D,2
18.003,54.5149,304.4,2.7,1.6,2020-01-07,1912,Terra,MODIS,60,6.03,286.9,28.8,N,0
18.0308,54.6406,306.9,2.7,1.6,2020-01-07,1912,Terra,MODIS,70,6.03,288.1,36.3,N,2
17.9934,54.5093,303.4,2.7,1.6,2020-01-07,1912,Terra,MODIS,55,6.03,286.9,26.2,N,0
18.0345,54.6335,302.4,2.7,1.6,2020-01-07,1912,Terra,MODIS,49,6.03,288,25.1,N,2
18.0405,54.6414,314.4,1.1,1.1,2020-01-07,2158,Aqua,MODIS,89,6.03,289.2,16.7,N,2
21.375,56.7244,303,1,1,2020-01-07,2158,Aqua,MODIS,53,6.03,285.5,8,N,0
19.3841,56.1514,304.4,1,1,2020-01-07,2158,Aqua,MODIS,60,6.03,285.5,8.2,N,2
19.3827,56.161,309.1,1,1,2020-01-07,2158,Aqua,MODIS,77,6.03,286.2,11.3,N,2
18.0391,54.6519,314.6,1.1,1.1,2020-01-07,2158,Aqua,MODIS,89,6.03,288.8,16.8,N,2
18.0008,54.5067,320.5,1.1,1.1,2020-01-07,2158,Aqua,MODIS,100,6.03,286.4,23.9,N,0
17.9994,54.5173,322.5,1.1,1.1,2020-01-07,2158,Aqua,MODIS,100,6.03,286.3,26.2,N,0
19.379,56.1464,303,1.4,1.2,2020-01-08,1817,Terra,MODIS,53,6.03,289.3,9.6,N,2
19.3803,56.1546,305.5,1.4,1.2,2020-01-09,2146,Aqua,MODIS,64,6.03,288.1,13.5,N,2
19.3774,56.1505,300.3,2.4,1.5,2020-01-10,1805,Terra,MODIS,24,6.03,289.5,14,N,2
19.3729,56.1584,307,1.3,1.1,2020-01-11,1847,Terra,MODIS,70,6.03,288.2,12.2,N,2
19.3714,56.146,304,1.3,1.1,2020-01-11,1847,Terra,MODIS,58,6.03,287.8,9.4,N,2
19.3831,56.157,300.5,1.3,1.1,2020-01-11,1847,Terra,MODIS,5,6.03,287.7,6,N,2
23.1551,55.4488,304.3,1,1,2020-01-12,0657,Terra,MODIS,34,6.03,288.5,4.7,D,2
19.3824,56.1513,301.4,1.3,1.1,2020-01-12,2216,Aqua,MODIS,40,6.03,276.8,12.2,N,2
21.8962,56.8521,302.7,1.3,1.2,2020-01-12,2216,Aqua,MODIS,51,6.03,280.4,13.6,N,0
19.3803,56.1638,301.6,1.3,1.1,2020-01-12,2216,Aqua,MODIS,43,6.03,277.5,12.5,N,2
19.3786,56.1517,313.5,1,1,2020-01-13,1835,Terra,MODIS,87,6.03,282.2,15.3,N,2
24.4979,56.6085,312.4,1.7,1.3,2020-01-14,0955,Aqua,MODIS,0,6.03,297.5,13.9,D,2
24.4966,56.6017,312.5,1.7,1.3,2020-01-14,0955,Aqua,MODIS,32,6.03,297.8,12.6,D,2
18.0354,54.631,300.4,3.6,1.8,2020-01-14,1918,Terra,MODIS,27,6.03,278.9,43.6,N,2
19.3785,56.1527,304.9,1,1,2020-01-14,2204,Aqua,MODIS,62,6.03,277.9,10.4,N,2
18.0344,54.6418,318.4,1,1,2020-01-14,2205,Aqua,MODIS,97,6.03,281.4,20.3,N,2
18.033,54.6512,313.2,1,1,2020-01-14,2205,Aqua,MODIS,86,6.03,280.1,15.7,N,2
19.3734,56.1491,303,1.2,1.1,2020-01-15,1823,Terra,MODIS,53,6.03,274.8,11.1,N,2
24.5023,56.6073,314.8,1.1,1.1,2020-01-16,0942,Aqua,MODIS,0,6.03,299.3,10.1,D,2
19.3746,56.1602,304.4,1.2,1.1,2020-01-16,2152,Aqua,MODIS,60,6.03,282,11,N,2
19.3773,56.1575,303.4,1.8,1.3,2020-01-17,1811,Terra,MODIS,55,6.03,284.2,18.9,N,2
24.508,56.6029,304.6,1.4,1.2,2020-01-17,1812,Terra,MODIS,61,6.03,287.9,12.9,N,2
19.3811,56.1499,308.7,1.7,1.3,2020-01-18,1854,Terra,MODIS,75,6.03,285.6,23,N,2
19.3793,56.1614,304.2,1.8,1.3,2020-01-18,2140,Aqua,MODIS,59,6.03,284.6,19.1,N,2
19.3839,56.1564,307,1.8,1.3,2020-01-18,2140,Aqua,MODIS,70,6.03,284.3,24.6,N,2
19.3819,56.1589,303.3,1.7,1.3,2020-01-19,2223,Aqua,MODIS,54,6.03,284.8,17.3,N,2
24.5019,56.6021,313.3,1.4,1.2,2020-01-20,0918,Aqua,MODIS,35,6.03,299.6,8.3,D,2
18.0116,54.574,306.4,1,1,2020-01-20,1841,Terra,MODIS,68,6.03,287.7,8.5,N,0
18.0312,54.6473,306.6,1,1,2020-01-20,1841,Terra,MODIS,69,6.03,288,8.4,N,2
18.0298,54.638,305.4,1,1,2020-01-20,1841,Terra,MODIS,64,6.03,289.4,7.7,N,2
21.4081,56.4195,301.5,1.2,1.1,2020-01-20,1842,Terra,MODIS,42,6.03,286,8.6,N,0
19.3763,56.1541,319.1,1.1,1,2020-01-20,1842,Terra,MODIS,98,6.03,287.3,21.9,N,2
18.0108,54.5667,304.1,4.7,2,2020-01-21,1924,Terra,MODIS,59,6.03,286.6,69,N,0
18.0103,54.5599,302,4.7,2,2020-01-21,1924,Terra,MODIS,46,6.03,286.4,58.3,N,0
19.3817,56.1601,312.6,1.1,1.1,2020-01-21,2210,Aqua,MODIS,85,6.03,287.1,15.8,N,2
18.0129,54.5791,310.6,1,1,2020-01-21,2211,Aqua,MODIS,80,6.03,287.2,12.2,N,0
18.0144,54.5696,303.7,1,1,2020-01-21,2211,Aqua,MODIS,56,6.03,286.8,7.6,N,0
24.4964,56.5953,313.9,2.2,1.4,2020-01-22,0906,Aqua,MODIS,40,6.03,300.5,17.7,D,2
18.015,54.5677,311,1.2,1.1,2020-01-22,1829,Terra,MODIS,81,6.03,288.3,15.4,N,0
19.3749,56.1541,328.2,1,1,2020-01-22,1829,Terra,MODIS,100,6.03,289,29,N,2
21.4034,56.414,307,1,1,2020-01-22,1830,Terra,MODIS,70,6.03,288.8,8.7,N,0
22.4056,56.9905,300.9,1,1,2020-01-22,1830,Terra,MODIS,35,6.03,289.1,4.7,N,2
24.1157,56.8149,312.9,1.5,1.2,2020-01-23,0639,Terra,MODIS,63,6.03,297.3,8.5,D,0
24.5035,56.6022,323.6,1.3,1.1,2020-01-23,0949,Aqua,MODIS,57,6.03,301,21.2,D,2
19.3771,56.1594,303.6,1,1,2020-01-23,2158,Aqua,MODIS,56,6.03,286.9,7.3,N,2
18.0169,54.5667,306.9,2,1.4,2020-01-24,1817,Terra,MODIS,70,6.03,290.8,18.4,N,0
19.3752,56.1564,318.7,1.4,1.2,2020-01-24,1817,Terra,MODIS,97,6.03,290.4,28.2,N,2
19.373,56.1431,304.8,1.4,1.2,2020-01-24,1817,Terra,MODIS,62,6.03,289.9,10.6,N,2
21.2946,57.0959,307.4,1.2,1.1,2020-01-24,1818,Terra,MODIS,71,6.03,289.3,10.6,N,0
19.3717,56.1554,320.5,1,1,2020-01-25,0935,Aqua,MODIS,48,6.03,298.7,7.7,D,2
19.3764,56.1596,316.1,1.4,1.2,2020-01-25,2146,Aqua,MODIS,92,6.03,289,25,N,2
19.3813,56.1546,318.6,1.4,1.2,2020-01-25,2146,Aqua,MODIS,97,6.03,288.8,28.8,N,2
18.0139,54.5776,302.9,1.8,1.3,2020-01-25,2146,Aqua,MODIS,52,6.03,289.4,12.2,N,0
19.3771,56.1482,304.5,2.4,1.5,2020-01-26,1805,Terra,MODIS,60,6.03,284.1,28.4,N,2
23.1554,55.4582,301,1.6,1.3,2020-01-26,2228,Aqua,MODIS,37,6.03,281.6,16.5,N,2
19.3791,56.1595,308.9,2.2,1.4,2020-01-26,2229,Aqua,MODIS,76,6.03,280.5,38.6,N,2
19.3796,56.1546,306.9,2.2,1.4,2020-01-26,2229,Aqua,MODIS,70,6.03,280.2,32.4,N,2
18.0334,54.6466,305.5,1.1,1,2020-01-27,1847,Terra,MODIS,65,6.03,283.6,10.7,N,2
22.1315,56.0514,303.9,1.4,1.2,2020-01-27,1849,Terra,MODIS,57,6.03,284.6,13.9,N,0
24.5019,56.6075,320.4,1,1,2020-01-28,0657,Terra,MODIS,56,6.03,301,12,D,2
19.3757,56.1535,300,1.3,1.1,2020-01-28,2217,Aqua,MODIS,5,6.03,280.1,9.8,N,2
19.3773,56.1601,304.8,1.3,1.1,2020-01-28,2217,Aqua,MODIS,62,6.03,280.7,14,N,2
18.0402,54.6489,306.4,1.2,1.1,2020-01-28,2217,Aqua,MODIS,68,6.03,281,13.6,N,2
18.0124,54.5781,306.7,1.1,1.1,2020-01-28,2217,Aqua,MODIS,69,6.03,280.4,13.7,N,0
19.3749,56.1567,318.2,1,1,2020-01-29,1836,Terra,MODIS,96,6.03,284.4,18.9,N,2
19.3736,56.1472,308.9,1,1,2020-01-29,1836,Terra,MODIS,76,6.03,283.1,11.5,N,2
23.188,55.4631,302.8,1,1,2020-01-29,1837,Terra,MODIS,51,6.03,285.1,8.4,N,0
19.3835,56.1525,302.2,1,1,2020-01-30,2204,Aqua,MODIS,47,6.03,280.8,8,N,2
19.382,56.162,301,1,1,2020-01-30,2204,Aqua,MODIS,36,6.03,281.9,7.4,N,2
18.0345,54.6447,302.3,1.5,1.2,2020-01-31,1823,Terra,MODIS,48,6.03,284.9,12.2,N,2
19.3757,56.1594,305.1,1.2,1.1,2020-01-31,1823,Terra,MODIS,63,6.03,283.5,11.1,N,2
19.374,56.1485,311.4,1.2,1.1,2020-01-31,1823,Terra,MODIS,82,6.03,282.7,16.5,N,2
21.0021,56.5323,315.7,1.1,1,2020-01-31,1824,Terra,MODIS,92,6.03,285.7,18.2,N,0
18.0336,54.6552,306.9,1.4,1.2,2020-02-01,2152,Aqua,MODIS,69,6.03,284.1,15.2,N,2
18.0353,54.6424,324.6,1.4,1.2,2020-02-01,2152,Aqua,MODIS,100,6.03,286.7,39,N,2
22.0939,57.3186,334.6,1.8,1.3,2020-02-02,0716,Terra,MODIS,83,6.03,298.5,60.8,D,0
22.0907,57.336,319.3,1.8,1.3,2020-02-02,0716,Terra,MODIS,57,6.03,298.8,17.2,D,0
22.0848,57.3291,326.5,1.8,1.3,2020-02-02,0716,Terra,MODIS,73,6.03,298.9,34.1,D,0
19.3789,56.1496,303.5,1.8,1.3,2020-02-02,1811,Terra,MODIS,56,6.03,287.6,15.8,N,2
24.4927,56.6142,300.1,1.4,1.2,2020-02-02,1813,Terra,MODIS,6,6.03,288.3,6.2,N,2
21.8857,56.8489,321.6,1,1,2020-02-03,0929,Aqua,MODIS,53,6.03,306.8,7.1,D,0
19.3729,56.1514,312.3,1.7,1.3,2020-02-03,1854,Terra,MODIS,85,6.03,285.6,27.7,N,2
23.1967,55.48,301.7,2.3,1.5,2020-02-03,2139,Aqua,MODIS,44,6.03,282.8,28,N,0
24.5061,56.6012,321.3,1,1,2020-02-04,0704,Terra,MODIS,55,6.03,302.1,12.6,D,2
23.1526,55.4534,303.9,1.3,1.1,2020-02-04,2222,Aqua,MODIS,57,6.03,282.6,13.2,N,2
19.382,56.1649,300.8,1.7,1.3,2020-02-04,2223,Aqua,MODIS,33,6.03,279.2,16.2,N,2
18.0378,54.647,310.8,1.4,1.2,2020-02-04,2223,Aqua,MODIS,81,6.03,285.4,21.3,N,2
19.3789,56.1526,311.2,1.1,1.1,2020-02-05,1842,Terra,MODIS,82,6.03,285.8,14.8,N,2
22.4427,56.697,318.6,1.3,1.1,2020-02-05,1843,Terra,MODIS,97,6.03,285.9,27.2,N,0
23.8529,57.3024,315.5,1,1,2020-02-06,0652,Terra,MODIS,35,6.03,301.4,6.1,D,0
19.3756,56.1625,303.1,1.1,1.1,2020-02-06,2210,Aqua,MODIS,53,6.03,286.4,8.5,N,2
19.3772,56.1521,309.6,1.1,1.1,2020-02-06,2210,Aqua,MODIS,78,6.03,285.8,13.4,N,2
19.3765,56.1548,322.5,1,1,2020-02-07,1830,Terra,MODIS,100,6.03,289.8,21.8,N,2
19.3751,56.1452,303.6,1,1,2020-02-07,1830,Terra,MODIS,56,6.03,289.1,6.4,N,2
22.1591,56.0254,305.3,1,1,2020-02-07,1830,Terra,MODIS,64,6.03,288.7,8.2,N,0
23.1526,55.4488,318.5,1,1,2020-02-07,1831,Terra,MODIS,97,6.03,289.2,18.9,N,2
24.5052,56.6037,303.6,1,1,2020-02-07,1831,Terra,MODIS,56,6.03,291.5,6.5,N,2
19.3817,56.159,309.5,1,1,2020-02-08,2158,Aqua,MODIS,78,6.03,286.7,11.7,N,2
19.3765,56.1544,315.8,1.4,1.2,2020-02-09,1817,Terra,MODIS,92,6.03,288.6,25.1,N,2
23.1521,55.45,306.9,1.3,1.2,2020-02-09,1819,Terra,MODIS,70,6.03,288.5,14.4,N,2
21.8917,56.8471,323.1,1,1,2020-02-10,0936,Aqua,MODIS,45,6.03,308.3,5.3,D,0
21.3383,56.6982,303.5,1.4,1.2,2020-02-10,2145,Aqua,MODIS,56,6.03,286,11.8,N,0
19.3822,56.1582,302,1.4,1.2,2020-02-10,2146,Aqua,MODIS,46,6.03,283.5,11.3,N,2
24.4983,56.6076,324.1,1.1,1.1,2020-02-12,0924,Aqua,MODIS,57,6.03,303.5,14.6,D,2
19.377,56.1557,312.3,1.4,1.2,2020-02-12,1848,Terra,MODIS,85,6.03,286.6,19.7,N,2
19.3786,56.1573,303.8,2.4,1.5,2020-02-12,2134,Aqua,MODIS,57,6.03,284.2,27.9,N,2
