latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.3761,50.7976,312.8,1,1,2020-01-02,1855,Terra,MODIS,86,6.03,288.8,13.3,N,0
25.3775,50.8078,304.3,1,1,2020-01-02,1855,Terra,MODIS,59,6.03,288.6,7.3,N,0
25.8888,51.5435,303.6,1.1,1,2020-01-02,1855,Terra,MODIS,33,6.03,290.7,6.3,N,2
25.5046,51.378,325.4,1.4,1.2,2020-01-03,0703,Terra,MODIS,81,6.03,295.4,32,D,0
25.8934,51.5522,305.3,1,1,2020-01-03,2221,Aqua,MODIS,19,6.03,291.9,6,N,2
25.3792,50.8088,303.6,1.1,1,2020-01-03,2221,Aqua,MODIS,56,6.03,288.4,7.3,N,0
25.8935,51.5445,308.8,1,1,2020-01-04,1843,Terra,MODIS,75,6.03,291.9,8.1,N,2
25.9057,51.5047,303.2,1,1,2020-01-04,1843,Terra,MODIS,54,6.03,292.8,6,N,2
25.8839,51.5462,301.1,1.4,1.2,2020-01-05,2209,Aqua,MODIS,31,6.03,280.2,10.3,N,2
24.9943,51.4935,311,1.5,1.2,2020-01-06,1831,Terra,MODIS,81,6.03,286.4,21,N,0
24.9241,51.5587,302.7,1.4,1.2,2020-01-06,1831,Terra,MODIS,51,6.03,287.4,12.1,N,2
24.9881,51.4865,302.7,1.5,1.2,2020-01-06,1831,Terra,MODIS,51,6.03,285.5,12.3,N,0
25.3783,50.7976,302.4,1.6,1.2,2020-01-06,1831,Terra,MODIS,49,6.03,285.5,13.6,N,0
25.8896,51.5458,312.2,1,1,2020-01-07,0949,Aqua,MODIS,43,6.03,297.6,6.9,D,2
25.8912,51.542,313.3,1,1,2020-01-08,0721,Terra,MODIS,58,6.03,297.1,7.7,D,2
25.8951,51.55,308.4,2.2,1.4,2020-01-11,0925,Aqua,MODIS,39,6.03,291.5,19.8,D,2
25.8945,51.5408,303.4,1,1,2020-01-11,1849,Terra,MODIS,32,6.03,285.7,6.6,N,2
25.9048,51.5491,305.7,1,1,2020-01-11,1849,Terra,MODIS,37,6.03,285.3,7.7,N,2
25.8919,51.5498,300.2,1.1,1.1,2020-01-12,2215,Aqua,MODIS,20,6.03,287,7,N,2
25.8863,51.5411,312,1,1,2020-01-14,0955,Aqua,MODIS,64,6.03,297.7,6.9,D,2
25.893,51.5443,312.1,1.1,1,2020-01-15,0728,Terra,MODIS,40,6.03,294.7,8,D,2
25.8887,51.5411,311.3,1.1,1.1,2020-01-16,0943,Aqua,MODIS,30,6.03,295.2,7.5,D,2
25.9128,51.558,309.7,1,1,2020-01-17,0715,Terra,MODIS,29,6.03,295.3,5.5,D,2
25.8934,51.5437,304.1,1.1,1,2020-01-18,1856,Terra,MODIS,55,6.03,285.1,7.7,N,2
25.8909,51.545,307.8,1,1,2020-01-20,1843,Terra,MODIS,73,6.03,290.7,8.8,N,2
24.9132,51.5456,301.5,1,1,2020-01-20,1843,Terra,MODIS,41,6.03,286.5,6.4,N,2
25.9102,51.526,323.3,4.7,2,2020-01-22,0906,Aqua,MODIS,54,6.03,292.3,148.9,D,0
25.91,51.5185,329.8,4.7,2,2020-01-22,0906,Aqua,MODIS,0,6.03,292.5,231.7,D,2
25.921,51.5104,311.6,1.4,1.2,2020-01-22,1831,Terra,MODIS,83,6.03,283.3,19.9,N,0
25.9215,51.5146,317.8,1,1,2020-01-24,0722,Terra,MODIS,69,6.03,293.8,13.4,D,0
25.9042,51.5049,307.6,1,1,2020-01-24,0722,Terra,MODIS,48,6.03,294.3,6.1,D,2
25.8892,51.5429,310.9,1,1,2020-01-24,0722,Terra,MODIS,66,6.03,295,7,D,2
25.9254,51.5171,307.2,1.3,1.1,2020-01-24,2239,Aqua,MODIS,66,6.03,283.7,14.4,N,0
25.8914,51.5474,308.7,1.1,1.1,2020-01-26,0709,Terra,MODIS,66,6.03,291.1,8.1,D,2
25.9063,51.5028,300.7,1,1,2020-01-27,1850,Terra,MODIS,33,6.03,288.9,6.3,N,0
25.8931,51.5416,306.1,1,1,2020-01-27,1850,Terra,MODIS,67,6.03,286.7,8.6,N,2
24.9099,51.5488,309.7,1.2,1.1,2020-01-29,1837,Terra,MODIS,78,6.03,285.6,14,N,2
25.896,51.5419,300.3,1.1,1.1,2020-01-29,1838,Terra,MODIS,13,6.03,286.9,6.1,N,2
25.8899,51.5411,316.6,1,1,2020-01-30,0955,Aqua,MODIS,66,6.03,301.3,7.9,D,2
25.8889,51.5487,311,1,1,2020-02-02,0716,Terra,MODIS,42,6.03,294.6,6.6,D,2
25.895,51.5412,302.4,1.1,1,2020-02-03,1856,Terra,MODIS,46,6.03,287,7.1,N,2
24.9299,51.5664,309.3,1,1,2020-02-04,2221,Aqua,MODIS,77,6.03,285.6,11.4,N,2
24.9286,51.5601,306.9,1,1,2020-02-05,1844,Terra,MODIS,70,6.03,287.7,9.6,N,2
25.894,51.5409,305.2,1,1,2020-02-05,1844,Terra,MODIS,61,6.03,287.6,7.5,N,2
25.9045,51.5492,312.6,1,1,2020-02-05,1844,Terra,MODIS,84,6.03,287.2,12,N,2
25.8904,51.5461,301.8,1.4,1.2,2020-02-07,1832,Terra,MODIS,29,6.03,290.3,7.2,N,2
