latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-9.5226,160.2282,320.3,1,1,2020-02-24,0304,Aqua,MODIS,68,6.03,299.9,8.7,D,0
-9.4537,160.1925,318.4,1,1,2020-02-24,0304,Aqua,MODIS,66,6.03,300.6,7.2,D,0
-9.701,160.6339,322.7,1.1,1,2020-02-26,0252,Aqua,MODIS,75,6.03,296.4,16,D,0
-9.3433,159.7905,317.4,1,1,2020-04-28,0304,Aqua,MODIS,68,6.03,296,9.6,D,0
-9.4407,160.2395,312.1,1.5,1.2,2020-04-30,0000,Terra,MODIS,52,6.03,294.6,9.1,D,0
-9.4297,160.3196,314.1,1.3,1.1,2020-05-09,0246,Aqua,MODIS,46,6.03,296.3,9.9,D,0
-9.5097,160.4024,313,1,1,2020-05-10,2342,Terra,MODIS,63,6.03,297.7,5.6,D,0
-9.511,160.4114,313.2,1,1,2020-05-10,2342,Terra,MODIS,64,6.03,296.8,5.9,D,0
-9.5052,160.2399,313.6,1.1,1.1,2020-08-04,0252,Aqua,MODIS,54,6.03,297,6.8,D,0
-9.5067,160.2298,316.4,1.1,1.1,2020-08-04,0252,Aqua,MODIS,71,6.03,297.3,9.5,D,0
-9.4692,160.3092,313.7,1,1,2020-09-12,0258,Aqua,MODIS,65,6.03,295.6,5.7,D,0
-9.4435,160.2313,316.8,1,1,2020-09-12,0258,Aqua,MODIS,70,6.03,299.1,8,D,0
-9.4893,160.2874,314.9,1.3,1.1,2020-09-14,0246,Aqua,MODIS,62,6.03,295.1,11.9,D,0
-9.4739,160.172,316.2,1.4,1.2,2020-10-16,0245,Aqua,MODIS,65,6.03,299,10.5,D,0
-9.473,160.1744,315.5,1,1,2020-10-17,2342,Terra,MODIS,34,6.03,294.9,5.6,D,0
-9.4756,160.1898,314,1.1,1.1,2020-10-23,0251,Aqua,MODIS,54,6.03,292.5,8.8,D,0
