latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-26.7448,31.9622,329.6,1,1,2020-01-03,1138,Aqua,MODIS,75,6.03,313.1,15.3,D,0
-26.5163,30.8716,309.6,1.7,1.3,2020-01-07,0831,Terra,MODIS,18,6.03,293,6.8,D,0
-25.9235,31.434,321.8,2.5,1.5,2020-01-07,1114,Aqua,MODIS,71,6.03,298.6,46.6,D,0
-25.9258,31.4091,383.5,2.5,1.5,2020-01-07,1114,Aqua,MODIS,100,6.03,302.3,624.4,D,0
-26.5264,31.11,317.6,2.6,1.5,2020-01-08,0736,Terra,MODIS,66,6.03,295,41.4,D,0
-26.5225,31.1005,362.2,1.1,1.1,2020-01-08,1157,Aqua,MODIS,100,6.03,306.4,99.4,D,0
-26.5207,31.1119,321.6,1.1,1.1,2020-01-08,1157,Aqua,MODIS,37,6.03,301.1,13.2,D,0
-26.5079,30.9476,344.3,1.1,1.1,2020-01-08,1157,Aqua,MODIS,90,6.03,298.6,47.4,D,0
-26.4348,30.8235,343.9,1.1,1,2020-01-08,1157,Aqua,MODIS,90,6.03,303.4,44.4,D,0
-26.5038,31.3074,323.7,1.3,1.1,2020-01-12,1132,Aqua,MODIS,46,6.03,305.9,13,D,2
-26.5837,30.8384,353.9,2.1,1.4,2020-01-15,0742,Terra,MODIS,97,6.03,299,194,D,0
-26.5878,30.8591,320.7,2.1,1.4,2020-01-15,0742,Terra,MODIS,75,6.03,296.4,40,D,0
-26.6502,30.9032,332.1,2.1,1.4,2020-01-15,0742,Terra,MODIS,85,6.03,293.2,77.4,D,0
-26.6073,30.8703,327,1.3,1.1,2020-01-15,1203,Aqua,MODIS,77,6.03,304.7,24.1,D,0
-26.5802,31.0288,318.4,1.3,1.1,2020-01-15,1203,Aqua,MODIS,55,6.03,299,13.7,D,0
-26.6052,30.8828,323.9,1.3,1.1,2020-01-15,1203,Aqua,MODIS,62,6.03,300.3,19.7,D,0
-26.5951,30.8807,325.7,1.3,1.1,2020-01-15,1203,Aqua,MODIS,57,6.03,299.4,21.3,D,0
-26.5972,30.8682,332.2,1.3,1.1,2020-01-15,1203,Aqua,MODIS,82,6.03,299.8,32.1,D,0
-25.9866,31.317,336.7,1.4,1.2,2020-01-15,1203,Aqua,MODIS,86,6.03,301.3,51.6,D,0
-25.989,31.3035,369.9,1.4,1.2,2020-01-15,1203,Aqua,MODIS,100,6.03,307.4,180.1,D,0
-25.8882,31.2308,331.6,1.4,1.2,2020-01-15,1203,Aqua,MODIS,82,6.03,300.6,39.3,D,0
-26.4604,30.9792,312.9,1.4,1.2,2020-01-16,0825,Terra,MODIS,24,6.03,294.5,12,D,0
-26.4709,30.9776,329.7,1.4,1.2,2020-01-16,0825,Terra,MODIS,84,6.03,292.9,38,D,0
-26.5188,31.1131,323.2,1.4,1.2,2020-01-16,0825,Terra,MODIS,78,6.03,291.6,30.1,D,0
-26.6497,30.8575,361.9,1.4,1.2,2020-01-16,0825,Terra,MODIS,94,6.03,292.5,139.1,D,0
-26.6566,30.8255,311.6,3.7,1.8,2020-01-16,1107,Aqua,MODIS,59,6.03,290.4,53.2,D,0
-26.6625,30.8548,309.7,3.6,1.8,2020-01-16,1108,Aqua,MODIS,54,6.03,286.9,42.1,D,0
-26.4661,30.9834,312.7,3.6,1.8,2020-01-16,1108,Aqua,MODIS,68,6.03,287.4,57.1,D,0
-26.4735,30.9766,319.1,3.6,1.8,2020-01-16,1108,Aqua,MODIS,76,6.03,289.1,90.7,D,0
-26.5113,30.8367,316.2,1.4,1.2,2020-01-28,1132,Aqua,MODIS,32,6.03,298.8,14.4,D,0
-26.4579,30.961,326.9,1.3,1.1,2020-01-29,0755,Terra,MODIS,66,6.03,300.7,20.8,D,0
-26.4557,30.9481,371.4,1.3,1.1,2020-01-29,0755,Terra,MODIS,100,6.03,304.6,163.5,D,0
-26.4531,30.9425,350.6,1.3,1.1,2020-01-29,0755,Terra,MODIS,95,6.03,302.7,79.4,D,0
-26.4554,30.9556,347.3,1.3,1.1,2020-01-29,0755,Terra,MODIS,93,6.03,301.1,67.5,D,0
-26.6163,30.8993,332.3,2.1,1.4,2020-01-29,1215,Aqua,MODIS,82,6.03,297.7,76.1,D,0
-26.604,30.8957,335.5,2.1,1.4,2020-01-29,1215,Aqua,MODIS,84,6.03,297.7,88.5,D,0
-25.9835,31.2952,319.1,2.3,1.5,2020-01-29,1215,Aqua,MODIS,62,6.03,299.3,29.6,D,0
-26.4709,31.0397,310.6,2.1,1.4,2020-01-30,1120,Aqua,MODIS,46,6.03,278.4,26,D,0
-26.4729,31.0193,319.4,2.1,1.4,2020-01-30,1120,Aqua,MODIS,73,6.03,284.1,46.4,D,0
-26.4575,30.9415,341,1.3,1.1,2020-01-31,1203,Aqua,MODIS,88,6.03,313.1,45.5,D,0
-26.7317,31.5926,322.6,1.5,1.2,2020-02-01,0826,Terra,MODIS,66,6.03,306.6,21.1,D,0
-26.7335,31.6081,321.3,1.5,1.2,2020-02-01,0826,Terra,MODIS,65,6.03,305,17.1,D,0
-26.7343,31.602,323.2,1.5,1.2,2020-02-01,0826,Terra,MODIS,46,6.03,305.3,19.9,D,0
-26.4543,30.9571,356.9,1,1,2020-02-03,0813,Terra,MODIS,98,6.03,306.4,71,D,0
-26.4557,30.9674,331.7,1,1,2020-02-03,0813,Terra,MODIS,72,6.03,307.8,21.3,D,0
-26.6224,30.9793,348.9,1,1,2020-02-03,0813,Terra,MODIS,94,6.03,297.9,58.2,D,0
-26.462,30.9723,326,4.4,1.9,2020-02-03,1233,Aqua,MODIS,75,6.03,305.7,137,D,0
-26.4717,30.931,322.9,4.3,1.9,2020-02-03,1233,Aqua,MODIS,70,6.03,306.4,104.9,D,0
-26.4624,30.9674,327.7,4.4,1.9,2020-02-03,1233,Aqua,MODIS,77,6.03,306.1,158.3,D,0
-26.3979,30.938,325.7,4.7,2,2020-02-04,0856,Terra,MODIS,78,6.03,293.5,178.1,D,0
-26.3955,30.9301,315.6,4.7,2,2020-02-04,0856,Terra,MODIS,59,6.03,293.4,85.9,D,0
-26.4137,30.9294,314.6,4.7,2,2020-02-04,0856,Terra,MODIS,45,6.03,293.5,76.2,D,0
-26.8633,30.9549,339.1,1.1,1.1,2020-02-04,1138,Aqua,MODIS,87,6.03,304.1,39.4,D,0
-26.8647,30.9435,328.9,1.1,1.1,2020-02-04,1138,Aqua,MODIS,76,6.03,303.8,22,D,0
-26.8608,30.9491,336.3,1.1,1.1,2020-02-04,1138,Aqua,MODIS,84,6.03,304.6,34.4,D,0
-26.5925,30.9298,324.9,1.1,1.1,2020-02-04,1138,Aqua,MODIS,65,6.03,303.5,18.4,D,0
-26.5874,30.9338,323.2,1.1,1.1,2020-02-04,1138,Aqua,MODIS,58,6.03,303.5,15.2,D,0
-26.4631,30.966,342.4,1.1,1.1,2020-02-04,1138,Aqua,MODIS,89,6.03,310.2,41.2,D,0
-26.4088,30.9348,341.8,1.1,1.1,2020-02-04,1138,Aqua,MODIS,89,6.03,307.8,45.7,D,0
-26.4036,30.9387,329.3,1.1,1.1,2020-02-04,1138,Aqua,MODIS,74,6.03,303.9,24,D,0
-26.4051,30.9275,327,1.1,1.1,2020-02-04,1138,Aqua,MODIS,63,6.03,303.8,20.6,D,0
-25.9324,31.1538,372.5,1.1,1,2020-02-04,1138,Aqua,MODIS,100,6.03,308.5,133.9,D,0
-25.923,31.1525,342.7,1.1,1,2020-02-04,1138,Aqua,MODIS,89,6.03,304.4,46.4,D,0
-25.9961,31.353,340.7,1.1,1,2020-02-05,0801,Terra,MODIS,89,6.03,302.1,38.6,D,0
-25.9978,31.3635,397.4,1.1,1,2020-02-05,0801,Terra,MODIS,100,6.03,309.2,251.1,D,0
-26.0054,31.3513,328.3,1.1,1,2020-02-05,0801,Terra,MODIS,77,6.03,299.1,19,D,0
-26.0071,31.3619,371.4,1.1,1,2020-02-05,0801,Terra,MODIS,100,6.03,299.2,122.5,D,0
-26.3437,31.0403,323.5,1.1,1,2020-02-05,0801,Terra,MODIS,70,6.03,303.5,13.3,D,0
-26.3454,31.0511,419.3,1.1,1,2020-02-05,0801,Terra,MODIS,100,6.03,312.4,430.3,D,0
-26.3472,31.0621,320.9,1.1,1,2020-02-05,0801,Terra,MODIS,52,6.03,301.6,10.8,D,0
-26.3994,30.9344,329.6,1.1,1,2020-02-05,0801,Terra,MODIS,78,6.03,306.2,22.4,D,0
-26.4532,30.9684,348.9,1.1,1,2020-02-05,0801,Terra,MODIS,94,6.03,310.8,53.1,D,0
-26.4549,30.9791,327.6,1.1,1,2020-02-05,0801,Terra,MODIS,44,6.03,308.3,15.3,D,0
-26.4625,30.9666,405.4,1.1,1,2020-02-05,0801,Terra,MODIS,100,6.03,318.7,310.4,D,0
-26.4642,30.9773,382.9,1.1,1,2020-02-05,0801,Terra,MODIS,100,6.03,310.5,172.9,D,0
-26.4634,30.9378,336.3,1.1,1,2020-02-05,0801,Terra,MODIS,86,6.03,309.7,31.6,D,0
-26.4688,30.9705,344.9,1.1,1,2020-02-05,0801,Terra,MODIS,92,6.03,309.7,47.2,D,0
-26.6393,31.2175,321.3,1.1,1,2020-02-05,0801,Terra,MODIS,66,6.03,301.1,10.2,D,0
-26.6263,31.0766,320.2,1.1,1,2020-02-05,0801,Terra,MODIS,40,6.03,304.2,8.7,D,0
-26.6356,31.0752,325.4,1.1,1,2020-02-05,0801,Terra,MODIS,60,6.03,303.8,15.4,D,0
-26.7282,31.5994,326.3,1,1,2020-02-05,0801,Terra,MODIS,69,6.03,309.2,11.7,D,0
-26.6758,30.8709,346.8,1.1,1,2020-02-05,0801,Terra,MODIS,93,6.03,301.7,53.5,D,0
-26.6776,30.8822,320.8,1.1,1,2020-02-05,0801,Terra,MODIS,58,6.03,302.3,11.7,D,0
-26.6852,30.869,363.4,1.1,1,2020-02-05,0801,Terra,MODIS,100,6.03,302.5,97.6,D,0
-26.687,30.8802,318.9,1.1,1,2020-02-05,0801,Terra,MODIS,34,6.03,299.4,7.6,D,0
-27.1723,31.2575,309.2,4,1.9,2020-02-13,0851,Terra,MODIS,43,6.03,292.9,33.1,D,0
-26.9825,31.0378,317,1.3,1.1,2020-02-13,1132,Aqua,MODIS,63,6.03,297,10.9,D,0
-26.6514,31.0973,320.7,1.4,1.2,2020-02-17,0826,Terra,MODIS,71,6.03,303.4,20.4,D,0
-26.4089,30.9533,318.2,1.4,1.2,2020-02-17,0826,Terra,MODIS,53,6.03,302.5,16,D,0
-26.4194,30.9516,350.5,1.4,1.2,2020-02-17,0826,Terra,MODIS,95,6.03,307.4,91.8,D,0
-26.6606,30.9088,318.3,3.6,1.8,2020-02-17,1108,Aqua,MODIS,64,6.03,299.7,66.1,D,0
-26.6533,30.9037,317.2,3.6,1.8,2020-02-17,1108,Aqua,MODIS,62,6.03,300,59.7,D,0
-26.422,30.9477,320.3,3.6,1.8,2020-02-17,1108,Aqua,MODIS,70,6.03,304,68.4,D,0
-26.426,30.9414,341.2,1,1,2020-02-18,1151,Aqua,MODIS,85,6.03,295.9,36.3,D,0
-26.4155,30.9498,411.9,1,1,2020-02-18,1151,Aqua,MODIS,100,6.03,308.8,327.1,D,0
-26.417,30.9397,442.1,1,1,2020-02-18,1151,Aqua,MODIS,87,6.03,318.3,615.3,D,0
-26.3724,30.9362,330.6,1,1,2020-02-18,1151,Aqua,MODIS,82,6.03,299.8,23.6,D,0
-25.8937,31.4198,350.5,1,1,2020-02-18,1151,Aqua,MODIS,95,6.03,302,57.9,D,0
-25.8952,31.4097,354.1,1,1,2020-02-18,1151,Aqua,MODIS,97,6.03,301.5,66.2,D,0
-26.631,30.8166,310.1,4.7,2,2020-02-20,0857,Terra,MODIS,64,6.03,286.1,64.1,D,0
-26.6314,30.8562,316.8,4.8,2,2020-02-20,0857,Terra,MODIS,64,6.03,284.9,117.9,D,0
-26.4267,30.9789,322.2,1.2,1.1,2020-02-26,0820,Terra,MODIS,64,6.03,300.9,17.6,D,0
-25.9907,31.2224,377.9,1.2,1.1,2020-02-26,0820,Terra,MODIS,100,6.03,302.6,179.6,D,0
