latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.0709,8.2664,300.1,1.1,1,2020-03-01,1236,Aqua,MODIS,28,6.03,288.3,4.6,D,2
47.175,7.5599,300.2,1,1,2020-03-01,1236,Aqua,MODIS,31,6.03,286.8,5.3,D,2
47.5655,8.8471,303.5,1.1,1,2020-03-19,1040,Terra,MODIS,56,6.03,290,5.2,D,0
47.2688,8.1724,301.8,1,1,2020-03-19,1040,Terra,MODIS,42,6.03,290.4,4.2,D,0
47.0676,8.2606,302.4,1.1,1,2020-03-19,1040,Terra,MODIS,51,6.03,290.7,4.5,D,0
47.0654,8.2742,302,1.1,1,2020-03-19,1040,Terra,MODIS,50,6.03,290.6,4.1,D,2
47.1716,7.564,305.6,1,1,2020-03-19,1040,Terra,MODIS,62,6.03,291.2,6.3,D,2
47.069,8.2619,306.7,1,1,2020-03-19,1224,Aqua,MODIS,63,6.03,293.3,5.8,D,0
47.2598,8.173,307,1,1,2020-03-19,1224,Aqua,MODIS,60,6.03,292.8,6.4,D,0
47.3936,7.5332,305,1,1,2020-03-19,1224,Aqua,MODIS,60,6.03,293.2,5.3,D,0
46.169,8.9581,316.2,1,1,2020-03-21,1028,Terra,MODIS,76,6.03,290.5,12.5,D,0
45.8834,8.9819,309.3,1.2,1.1,2020-03-21,1211,Aqua,MODIS,67,6.03,290.8,10.1,D,2
45.8808,8.9673,305.9,1.2,1.1,2020-03-21,1211,Aqua,MODIS,54,6.03,290.9,6.9,D,0
47.2672,8.1657,305.1,1,1,2020-03-28,1034,Terra,MODIS,59,6.03,289.2,6.3,D,0
47.2652,8.1786,318.4,1,1,2020-03-28,1034,Terra,MODIS,78,6.03,289.2,16.2,D,0
47.1705,7.5664,303.3,1,1,2020-03-28,1034,Terra,MODIS,49,6.03,289.9,4.7,D,2
46.5429,6.8425,303.2,1,1,2020-03-28,1034,Terra,MODIS,55,6.03,282.3,5.9,D,0
47.5619,8.8353,314.7,1,1,2020-03-28,1218,Aqua,MODIS,75,6.03,292.3,12.1,D,0
47.3923,8.6509,315,1.4,1.2,2020-04-02,1052,Terra,MODIS,75,6.03,290.6,18.6,D,2
47.3888,8.6682,309.1,1.4,1.2,2020-04-02,1052,Terra,MODIS,62,6.03,290.4,12.1,D,2
47.5835,7.6044,307.4,1.2,1.1,2020-04-02,1052,Terra,MODIS,49,6.03,290.6,8.3,D,2
47.173,7.5652,302.5,1.2,1.1,2020-04-02,1052,Terra,MODIS,50,6.03,291.3,6.2,D,2
47.0637,8.2645,305.9,1.1,1,2020-04-02,1236,Aqua,MODIS,41,6.03,293.4,6.4,D,2
47.168,7.5579,305.3,1,1,2020-04-02,1236,Aqua,MODIS,50,6.03,294.3,5,D,2
47.1771,7.5603,304.9,1,1,2020-04-04,1040,Terra,MODIS,60,6.03,292.4,5.9,D,2
47.0674,8.2664,307.7,1,1,2020-04-04,1224,Aqua,MODIS,64,6.03,294.9,6.2,D,2
47.1717,7.5557,305.4,1,1,2020-04-04,1224,Aqua,MODIS,55,6.03,294.6,5.1,D,2
47.1779,7.5633,308.1,1,1,2020-04-06,1028,Terra,MODIS,65,6.03,296.5,5.8,D,2
47.4157,9.6382,311.5,1.1,1,2020-04-06,1211,Aqua,MODIS,71,6.03,297.1,7.6,D,2
47.298,8.8228,318.8,1.5,1.2,2020-04-08,1159,Aqua,MODIS,78,6.03,297.7,25,D,2
47.1725,7.5635,311.6,1.1,1.1,2020-04-09,1242,Aqua,MODIS,67,6.03,300.9,7.2,D,2
47.4412,8.4645,309.1,1.2,1.1,2020-04-11,1046,Terra,MODIS,53,6.03,298.9,7.1,D,2
47.1753,7.5661,312.4,1.1,1,2020-04-11,1046,Terra,MODIS,71,6.03,299.4,8.6,D,2
47.1705,7.5661,310.9,1,1,2020-04-13,1034,Terra,MODIS,63,6.03,297.7,6.4,D,2
47.1718,7.5695,306.7,1.1,1.1,2020-04-15,1022,Terra,MODIS,53,6.03,295.5,6.6,D,2
46.8527,9.5162,313.4,1,1,2020-04-15,1022,Terra,MODIS,65,6.03,298,10.1,D,2
46.1508,6.0476,307,1.8,1.3,2020-04-15,1205,Aqua,MODIS,64,6.03,295.2,12.6,D,0
47.0677,8.2706,311,1,1,2020-04-22,1028,Terra,MODIS,63,6.03,298.2,6.5,D,2
47.1723,7.5685,309.5,1.1,1,2020-04-27,1046,Terra,MODIS,59,6.03,296.7,7.5,D,2
47.067,8.263,314,1,1,2020-04-27,1230,Aqua,MODIS,35,6.03,301.1,7.4,D,0
47.2075,7.5489,309.4,1.4,1.2,2020-05-27,1058,Terra,MODIS,50,6.03,294.3,9.9,D,2
47.2039,7.5669,307.1,1.4,1.2,2020-05-27,1058,Terra,MODIS,41,6.03,292.8,7.4,D,2
47.176,7.5619,311,1.1,1,2020-05-29,1046,Terra,MODIS,64,6.03,298.6,7.6,D,2
47.0656,8.2654,314.6,1,1,2020-05-29,1230,Aqua,MODIS,72,6.03,300.8,7.7,D,2
47.17,7.5669,312.2,1,1,2020-05-31,1033,Terra,MODIS,48,6.03,299,7.6,D,2
47.067,8.2657,314.5,1,1,2020-05-31,1033,Terra,MODIS,64,6.03,299.4,7.3,D,2
46.2321,6.1215,315,1.3,1.1,2020-05-31,1217,Aqua,MODIS,57,6.03,301.5,8.5,D,2
47.2109,7.5623,312.8,1.4,1.2,2020-06-12,1058,Terra,MODIS,65,6.03,297.5,12,D,2
47.48,9.4681,315,1.2,1.1,2020-06-21,1236,Aqua,MODIS,52,6.03,298.9,9.3,D,2
47.1773,7.5653,315.7,1,1,2020-06-23,1040,Terra,MODIS,64,6.03,303.2,7.9,D,2
46.3293,6.8978,312.2,1.1,1,2020-06-23,1223,Aqua,MODIS,44,6.03,298.8,6.6,D,0
47.1734,7.5626,317.6,1,1,2020-06-23,1224,Aqua,MODIS,58,6.03,305.6,8.8,D,2
47.1773,7.5668,317.9,1,1,2020-06-25,1027,Terra,MODIS,47,6.03,304.2,9.7,D,2
47.1694,7.5616,310.3,1.1,1,2020-06-30,1046,Terra,MODIS,19,6.03,298.1,5.6,D,2
46.9965,6.926,305.9,1.1,1,2020-06-30,1046,Terra,MODIS,0,6.03,294.6,5.3,D,0
47.172,7.5671,313.5,1.2,1.1,2020-07-07,1052,Terra,MODIS,62,6.03,300.8,10.6,D,2
47.0696,8.267,316,1.1,1,2020-07-07,1236,Aqua,MODIS,47,6.03,304.4,8.1,D,2
47.1738,7.5613,318.5,1,1,2020-07-07,1236,Aqua,MODIS,60,6.03,305.8,10.2,D,2
46.4836,8.6131,311.2,1,1,2020-07-09,1223,Aqua,MODIS,62,6.03,295.5,8,D,0
47.1715,7.5621,300.5,1,1,2020-07-13,2124,Terra,MODIS,29,6.03,287.5,5.4,N,2
47.1735,7.5593,312.7,1,1,2020-07-18,1034,Terra,MODIS,51,6.03,300.4,6.7,D,2
46.2278,6.1204,317.2,1.3,1.1,2020-07-18,1217,Aqua,MODIS,71,6.03,303.6,9.2,D,2
47.1758,7.5689,307.8,1.2,1.1,2020-08-05,1021,Terra,MODIS,51,6.03,296.6,6.3,D,2
47.2668,7.6946,335.2,1,1,2020-08-08,1236,Aqua,MODIS,86,6.03,308.4,27.6,D,2
47.2645,8.1738,317.4,1,1,2020-08-12,1027,Terra,MODIS,47,6.03,301,7.4,D,0
47.1714,7.5648,301.2,1,1,2020-08-14,2124,Terra,MODIS,38,6.03,288.1,4.9,N,2
47.1713,7.5607,303.9,1,1,2020-08-21,2130,Terra,MODIS,58,6.03,291,5.7,N,2
47.1703,7.5607,314.7,1,1,2020-08-24,1236,Aqua,MODIS,60,6.03,300.5,8.8,D,2
47.1722,7.5648,310.7,1,1,2020-08-26,1040,Terra,MODIS,70,6.03,295.4,7.2,D,2
46.6231,7.0356,305,1,1,2020-09-02,1230,Aqua,MODIS,27,6.03,292.8,3.4,D,0
47.4938,8.542,311.6,1,1,2020-09-02,1230,Aqua,MODIS,71,6.03,295.2,7.7,D,2
47.4147,9.6341,314.8,1,1,2020-09-04,1033,Terra,MODIS,73,6.03,298.2,8.6,D,2
47.1742,7.5581,309.5,1,1,2020-09-04,1034,Terra,MODIS,48,6.03,298.1,5.3,D,2
47.0693,8.2701,312.3,1,1,2020-09-04,1034,Terra,MODIS,68,6.03,298.5,6.4,D,2
47.0656,8.2677,312.1,1.1,1,2020-09-04,1217,Aqua,MODIS,67,6.03,300.8,6.3,D,2
47.0672,8.2651,306.4,1.5,1.2,2020-09-08,1009,Terra,MODIS,58,6.03,292.9,7.9,D,2
47.3871,8.6628,313.6,1.3,1.1,2020-09-09,1052,Terra,MODIS,62,6.03,297.4,12.2,D,2
46.6258,7.0415,310.8,1.2,1.1,2020-09-09,1052,Terra,MODIS,61,6.03,297,8.2,D,0
47.1756,7.5632,312.3,1,1,2020-09-13,1027,Terra,MODIS,65,6.03,300.3,7.2,D,2
47.0722,8.2725,311.8,1,1,2020-09-13,1027,Terra,MODIS,66,6.03,299.3,6.2,D,2
47.2653,8.1784,309.7,1.2,1.1,2020-09-13,1211,Aqua,MODIS,45,6.03,299.7,6.7,D,0
46.5308,6.5764,316.8,1,1,2020-09-16,1242,Aqua,MODIS,62,6.03,302.2,6.6,D,2
46.1863,6.0272,311.5,1,1,2020-09-18,1046,Terra,MODIS,64,6.03,297.2,4.9,D,0
47.2605,8.1761,309.6,1.1,1,2020-09-20,1217,Aqua,MODIS,55,6.03,297,6.6,D,0
47.0676,8.2682,302.5,1.1,1,2020-10-08,1021,Terra,MODIS,47,6.03,289.2,5.5,D,2
45.8419,8.9184,303.8,1,1,2020-10-08,1022,Terra,MODIS,57,6.03,290.6,5.1,D,0
45.8401,8.9315,301.9,1,1,2020-10-08,1022,Terra,MODIS,49,6.03,290.1,3.8,D,0
