latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
22.5389,120.3467,314.8,1,1,2020-01-03,0516,Aqua,MODIS,0,6.03,298.3,5.9,D,2
23.7107,121.4788,309.6,1.5,1.2,2020-01-11,0256,Terra,MODIS,62,6.03,297.9,10.8,D,0
23.0881,120.1656,309.7,1.2,1.1,2020-01-12,0510,Aqua,MODIS,39,6.03,293.8,6.3,D,0
23.0863,120.1545,318.5,1.2,1.1,2020-01-12,0510,Aqua,MODIS,78,6.03,293.8,15.2,D,2
23.0916,120.1583,322.9,1.2,1.1,2020-01-12,0510,Aqua,MODIS,82,6.03,294.1,21.3,D,0
23.7514,120.3185,311.4,1,1,2020-01-13,0244,Terra,MODIS,71,6.03,292.1,8.3,D,0
22.5414,120.3541,303.2,1,1,2020-01-16,1410,Terra,MODIS,54,6.03,293,5.4,N,2
23.0621,120.3445,310.3,1,1,2020-01-19,0516,Aqua,MODIS,60,6.03,296.7,6.1,D,0
23.4672,120.2283,317.3,1.1,1.1,2020-02-02,0529,Aqua,MODIS,77,6.03,296.6,11.4,D,0
23.4658,120.2175,310.8,1.1,1.1,2020-02-02,0529,Aqua,MODIS,62,6.03,296.9,5.8,D,0
23.7111,121.4789,306.5,2,1.4,2020-02-03,0303,Terra,MODIS,52,6.03,294.3,14.2,D,0
23.5948,120.2956,306.8,1.1,1,2020-02-05,0251,Terra,MODIS,64,6.03,292.1,4.6,D,0
22.543,120.3554,314.5,1.1,1.1,2020-02-05,0251,Terra,MODIS,49,6.03,298,6.8,D,2
23.7109,121.4743,309.8,1,1,2020-02-07,0238,Terra,MODIS,60,6.03,297.1,5.9,D,2
22.7692,120.5854,317.1,2.3,1.5,2020-02-07,0547,Aqua,MODIS,67,6.03,298,28.9,D,0
22.5415,120.3568,323.1,1,1,2020-02-14,0245,Terra,MODIS,72,6.03,300.8,10.9,D,2
22.5806,120.3732,319.2,1.8,1.3,2020-02-15,0458,Aqua,MODIS,71,6.03,295.5,18.8,D,2
22.584,120.3796,314.9,1.8,1.3,2020-02-15,0458,Aqua,MODIS,58,6.03,295.4,11,D,2
22.5466,120.3489,307.3,1.1,1.1,2020-02-15,1423,Terra,MODIS,53,6.03,295.2,6.7,N,2
24.2904,120.7279,311.7,1.1,1.1,2020-02-21,0251,Terra,MODIS,29,6.03,295.1,7.7,D,2
23.5792,119.6102,308.4,1.5,1.2,2020-02-22,0505,Aqua,MODIS,0,6.03,292.6,7.5,D,0
24.0219,120.5803,316.2,1.4,1.2,2020-02-25,0226,Terra,MODIS,72,6.03,297.2,14.5,D,0
22.0794,120.7292,312.5,1.3,1.1,2020-02-25,0227,Terra,MODIS,43,6.03,295.3,8.8,D,0
22.5414,120.3602,306.2,1,1,2020-02-25,1744,Aqua,MODIS,42,6.03,292.7,6.6,N,2
23.7131,121.4744,316.5,1.1,1,2020-03-01,0245,Terra,MODIS,58,6.03,302.6,9.3,D,2
23.4483,120.2469,311.8,1.2,1.1,2020-03-03,0233,Terra,MODIS,57,6.03,297.8,5.8,D,2
23.3643,120.6608,309.9,1.1,1,2020-03-03,0233,Terra,MODIS,50,6.03,296,6.7,D,0
23.672,120.4451,316.3,1,1,2020-03-07,0517,Aqua,MODIS,68,6.03,300.1,5.6,D,2
23.995,120.5815,320.1,1.1,1.1,2020-03-08,0251,Terra,MODIS,77,6.03,297.2,13.2,D,2
23.9932,120.5922,316.7,1.1,1.1,2020-03-08,0251,Terra,MODIS,70,6.03,296.5,9.9,D,0
23.9021,120.6756,315.4,1.1,1.1,2020-03-08,0251,Terra,MODIS,45,6.03,295.8,7.5,D,0
23.3366,120.2927,316.2,1.1,1,2020-03-08,0251,Terra,MODIS,66,6.03,299.3,7.2,D,0
23.3348,120.3034,313.7,1.1,1,2020-03-08,0251,Terra,MODIS,26,6.03,298.3,5,D,0
22.5428,120.3546,322.4,1.1,1.1,2020-03-08,0251,Terra,MODIS,41,6.03,303,9.6,D,2
22.5186,120.3837,319.1,1.1,1.1,2020-03-08,0251,Terra,MODIS,17,6.03,301.1,7,D,2
22.5445,120.353,304.2,1,1,2020-03-11,1417,Terra,MODIS,4,6.03,292,5.8,N,2
24.866,121.0135,310.4,1.4,1.2,2020-03-15,0257,Terra,MODIS,35,6.03,296.8,9.2,D,2
24.2628,120.5827,313.3,1.3,1.1,2020-03-15,0257,Terra,MODIS,49,6.03,295.7,9.7,D,0
23.5882,120.4292,313.7,1.1,1.1,2020-03-16,0511,Aqua,MODIS,67,6.03,299,6.1,D,2
23.7553,120.2788,313,1.1,1.1,2020-03-16,0511,Aqua,MODIS,60,6.03,299.8,5.2,D,0
24.0689,120.3896,320.6,1.1,1,2020-03-16,0511,Aqua,MODIS,0,6.03,304.6,11.4,D,2
25.1254,121.7455,310.4,1,1,2020-03-16,0511,Aqua,MODIS,18,6.03,295.9,4.7,D,2
23.7636,120.3045,314.7,1,1,2020-03-17,0245,Terra,MODIS,72,6.03,299.6,6.1,D,0
24.1832,120.8216,309.4,1,1,2020-03-17,0245,Terra,MODIS,48,6.03,296.1,6.7,D,0
22.5414,120.3522,308.7,1.1,1.1,2020-03-18,1423,Terra,MODIS,62,6.03,293,8.8,N,2
24.2249,120.4938,306.8,1,1,2020-03-20,1412,Terra,MODIS,69,6.03,283.8,8.7,N,2
23.9008,120.7029,313.8,1.7,1.3,2020-03-22,0303,Terra,MODIS,49,6.03,293.2,13.2,D,2
23.3448,120.3601,318,1,1,2020-03-23,0517,Aqua,MODIS,65,6.03,300.3,7.3,D,2
24.715,120.9132,313.6,1.1,1.1,2020-03-24,0250,Terra,MODIS,37,6.03,295.5,6.6,D,0
24.0689,120.3962,318.9,1.1,1,2020-03-24,0251,Terra,MODIS,34,6.03,297.7,9.8,D,2
23.5976,120.1734,317.4,1.1,1,2020-03-24,0251,Terra,MODIS,73,6.03,296.6,9.3,D,0
25.0639,121.6568,312.8,1.1,1,2020-03-25,0505,Aqua,MODIS,16,6.03,295.5,6.5,D,2
24.6589,121.6018,314,1,1,2020-03-26,0238,Terra,MODIS,27,6.03,299.9,5.9,D,0
24.1722,120.5723,318.5,1,1,2020-03-26,0238,Terra,MODIS,33,6.03,302.6,6.4,D,2
23.4963,120.3371,316.6,1,1,2020-03-26,0239,Terra,MODIS,53,6.03,300.2,4.9,D,0
22.5413,120.359,321.5,1.4,1.2,2020-03-28,0227,Terra,MODIS,24,6.03,301.6,11.9,D,2
24.0663,120.4024,317.7,1.1,1,2020-04-01,0511,Aqua,MODIS,28,6.03,296.6,9.6,D,2
23.6377,120.2382,313.7,1.2,1.1,2020-04-04,0232,Terra,MODIS,50,6.03,295.4,7.1,D,0
