latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-8.4265,127.1834,319.5,1,1,2020-01-14,0157,Terra,MODIS,0,6.03,300.4,12,D,0
-9.1627,125.6781,312,3.1,1.7,2020-01-24,0234,Terra,MODIS,27,6.03,293.4,29.9,D,0
-8.5607,125.5492,315.5,2.5,1.5,2020-01-30,0449,Aqua,MODIS,37,6.03,295.7,25.5,D,2
-8.5601,125.5561,310.9,3.9,1.8,2020-01-31,0240,Terra,MODIS,0,6.03,287.1,61.7,D,2
-8.7471,125.1672,318.9,1.6,1.2,2020-02-01,0145,Terra,MODIS,44,6.03,294.7,15.9,D,0
-9.2442,124.2495,314.1,1.9,1.3,2020-02-13,0502,Aqua,MODIS,19,6.03,291.2,14.3,D,0
-8.5628,125.5672,311,4,1.9,2020-02-16,0241,Terra,MODIS,0,6.03,291.6,39.1,D,2
-9.1049,125.9497,316.8,1.4,1.2,2020-03-16,0502,Aqua,MODIS,58,6.03,298.3,13.1,D,0
-8.5594,125.5528,313,4,1.9,2020-03-19,0241,Terra,MODIS,0,6.03,294.8,50.9,D,2
-8.5542,125.5589,312.5,4,1.9,2020-03-19,0241,Terra,MODIS,0,6.03,295,44.3,D,2
-8.3377,126.9841,313.8,1.7,1.3,2020-03-19,0533,Aqua,MODIS,43,6.03,293.7,13.6,D,0
-8.9727,126.0983,315.7,1,1,2020-03-30,0514,Aqua,MODIS,65,6.03,299.2,6.6,D,0
-8.5604,125.5556,311.7,3.4,1.7,2020-03-31,0127,Terra,MODIS,0,6.03,295.3,30.9,D,2
-9.1605,125.6654,318.1,1.5,1.2,2020-04-01,0502,Aqua,MODIS,64,6.03,299.9,13.1,D,0
-8.5646,125.5666,311.4,4,1.9,2020-04-04,0241,Terra,MODIS,39,6.03,295.5,45.8,D,2
-8.5594,125.5729,312.6,4,1.9,2020-04-04,0241,Terra,MODIS,36,6.03,295.9,49.6,D,2
-8.5589,125.5595,315.8,2.3,1.5,2020-04-06,0228,Terra,MODIS,37,6.03,294.3,25.3,D,2
-8.5583,125.5647,312.9,3,1.6,2020-04-13,0234,Terra,MODIS,42,6.03,293.4,29.5,D,2
-8.5583,125.5714,313.3,3,1.6,2020-04-13,0234,Terra,MODIS,52,6.03,293.3,31,D,2
-8.5507,125.5377,313.5,2,1.4,2020-04-14,0139,Terra,MODIS,0,6.03,293.3,18.5,D,2
-8.5565,125.573,314.5,2,1.4,2020-04-14,0139,Terra,MODIS,28,6.03,293.1,19.8,D,2
-8.5536,125.5554,314.4,2,1.4,2020-04-14,0139,Terra,MODIS,33,6.03,293,20.2,D,2
-8.729,125.4923,310.7,1,1,2020-04-22,0520,Aqua,MODIS,50,6.03,300.1,4.5,D,0
-8.6501,125.8541,315.9,1.1,1.1,2020-05-03,0210,Terra,MODIS,45,6.03,299.8,8.2,D,0
-8.7486,125.1788,318.5,1.1,1,2020-05-31,0526,Aqua,MODIS,64,6.03,303,7.7,D,0
-9.0772,125.9989,317,1,1,2020-06-02,0514,Aqua,MODIS,62,6.03,298.2,10.4,D,0
-8.4721,126.3892,315.1,1.1,1,2020-06-25,0520,Aqua,MODIS,52,6.03,299.5,5.8,D,0
-8.7455,125.2027,315.5,3.6,1.8,2020-07-01,0443,Aqua,MODIS,48,6.03,298,47,D,0
-8.5085,126.417,313.8,1.3,1.1,2020-07-06,0502,Aqua,MODIS,46,6.03,291.6,9.5,D,0
-9.0967,125.1782,320.7,1.3,1.1,2020-07-13,0508,Aqua,MODIS,58,6.03,300,15.7,D,0
-8.527,125.774,319,3.2,1.7,2020-07-14,0551,Aqua,MODIS,62,6.03,295.3,52.7,D,0
-8.524,125.7939,316.3,3.2,1.7,2020-07-14,0551,Aqua,MODIS,61,6.03,296.8,46.5,D,0
-8.5285,125.7669,315.3,3.2,1.7,2020-07-14,0551,Aqua,MODIS,53,6.03,295.1,40.7,D,0
-8.5191,125.7874,319.4,1.8,1.3,2020-07-15,0456,Aqua,MODIS,53,6.03,302.2,19,D,0
-9.0516,125.206,333.4,1.1,1,2020-07-18,0526,Aqua,MODIS,86,6.03,303.8,25.9,D,0
-9.053,125.1967,328.2,1.1,1,2020-07-18,0526,Aqua,MODIS,82,6.03,301.8,18.1,D,0
