latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
15.8201,45.8369,300.4,1.2,1.1,2020-01-10,2230,Aqua,MODIS,27,6.03,289.1,7.6,N,0
15.3447,46.8257,303.4,1.1,1,2020-01-10,2230,Aqua,MODIS,55,6.03,290.6,7.1,N,2
15.5814,45.8035,322.2,1.1,1,2020-01-13,0743,Terra,MODIS,67,6.03,305.4,7.8,D,2
15.5786,45.8042,325.3,2.1,1.4,2020-01-13,1048,Aqua,MODIS,70,6.03,310.9,18.3,D,2
15.5778,45.8076,301.3,1.7,1.3,2020-01-13,2301,Aqua,MODIS,39,6.03,281.8,18,N,2
15.5787,45.8026,301.5,1.7,1.3,2020-01-13,2301,Aqua,MODIS,42,6.03,281.6,17.4,N,2
15.3415,46.8236,300.9,1,1,2020-01-14,1917,Terra,MODIS,34,6.03,285.3,7,N,2
15.5652,45.7959,320.8,1,1,2020-01-14,1917,Terra,MODIS,100,6.03,284.4,21.6,N,2
15.5786,45.8049,324.7,1,1,2020-01-15,0731,Terra,MODIS,73,6.03,304.4,10.9,D,2
15.5774,45.7988,303.6,1.2,1.1,2020-01-16,1905,Terra,MODIS,56,6.03,280.9,13.5,N,2
15.3427,46.8253,301,1.7,1.3,2020-01-18,1853,Terra,MODIS,36,6.03,285.1,15,N,2
15.575,45.7994,330.4,1.2,1.1,2020-01-19,1011,Aqua,MODIS,68,6.03,318.8,8.5,D,2
15.5774,45.8045,324.9,1.3,1.1,2020-01-20,0749,Terra,MODIS,67,6.03,311.4,8.5,D,2
15.3417,46.8194,301.1,1.2,1.1,2020-01-21,1924,Terra,MODIS,37,6.03,288.1,7.7,N,2
15.5776,45.8069,326.4,1,1,2020-01-22,0737,Terra,MODIS,67,6.03,311.5,6.9,D,2
15.3461,46.8241,305.4,1,1,2020-01-23,1911,Terra,MODIS,64,6.03,290.9,7.2,N,2
15.5751,45.8015,322.9,1.1,1,2020-01-29,0743,Terra,MODIS,63,6.03,307.5,5.9,D,2
15.5786,45.8048,302.9,1,1,2020-01-30,1918,Terra,MODIS,52,6.03,286.7,7.6,N,2
15.5773,45.7955,304.8,1,1,2020-01-30,1918,Terra,MODIS,62,6.03,287,8.7,N,2
