latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
26.0356,50.5523,305.9,1.1,1,2022-01-25,1837,Terra,MODIS,66,6.03,286.9,10.2,N,0
26.0345,50.5563,305.4,1.2,1.1,2022-01-29,2240,Aqua,MODIS,64,6.03,283.3,11.4,N,0
25.9686,50.5432,303.1,1,1,2022-02-17,1842,Terra,MODIS,53,6.03,283.7,7.6,N,0
25.9504,50.5425,304,1.4,1.2,2022-03-10,1900,Terra,MODIS,58,6.03,290,9.2,N,0
25.9503,50.5467,300.2,1,1,2022-03-12,1848,Terra,MODIS,20,6.03,289.7,4.6,N,0
26.0602,50.5431,300.9,1,1,2022-03-12,1848,Terra,MODIS,36,6.03,289.6,4.6,N,0
26.0646,50.542,306.3,1.1,1,2022-03-14,1835,Terra,MODIS,67,6.03,291.4,8.4,N,0
25.9751,50.5417,304.9,1.3,1.1,2022-03-23,1829,Terra,MODIS,62,6.03,290.2,8.7,N,0
26.0654,50.5432,310.7,1,1,2022-04-22,1840,Terra,MODIS,81,6.03,293,9,N,0
25.9913,50.5594,304.8,1.3,1.1,2022-05-10,1828,Terra,MODIS,61,6.03,294.2,7,N,0
26.011,50.5473,314,1,1,2022-06-09,1839,Terra,MODIS,83,6.03,303.3,7.1,N,0
26.0096,50.5374,311.9,1,1,2022-06-09,1839,Terra,MODIS,76,6.03,301.4,5.7,N,0
26.0512,50.5518,312.8,1.6,1.2,2022-06-20,1820,Terra,MODIS,79,6.03,301.9,12.7,N,0
26.1003,50.5845,312.4,1,1,2022-09-13,2238,Aqua,MODIS,83,6.03,301.3,7.4,N,2
