latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
25.0431,92.1475,310.5,1.7,1.3,2022-01-02,0733,Aqua,MODIS,66,6.03,300.3,10.5,D,0
24.6735,89.0289,311.4,1.1,1.1,2022-01-02,0733,Aqua,MODIS,64,6.03,297.4,7,D,0
24.6749,89.0399,316.2,1.1,1.1,2022-01-02,0733,Aqua,MODIS,72,6.03,298.1,11.4,D,0
24.6699,89.0351,321.2,1.1,1.1,2022-01-02,0733,Aqua,MODIS,78,6.03,298.1,15.9,D,0
24.6866,89.002,311,1,1,2022-01-04,0721,Aqua,MODIS,60,6.03,297.2,6.5,D,0
23.5363,88.7209,312.2,1,1,2022-01-04,0721,Aqua,MODIS,68,6.03,296.4,9.7,D,0
24.9914,92.055,308.6,1.1,1.1,2022-01-04,0721,Aqua,MODIS,60,6.03,298.2,5.3,D,0
25.0314,91.7979,316.1,1.1,1,2022-01-04,0721,Aqua,MODIS,73,6.03,299.8,10.6,D,0
25.03,91.7871,335.2,1.1,1,2022-01-04,0721,Aqua,MODIS,88,6.03,300.2,35.8,D,0
24.5227,91.3137,312.5,1.1,1,2022-01-06,0709,Aqua,MODIS,28,6.03,299.2,5.7,D,0
24.2075,91.3129,311.7,1.2,1.1,2022-01-11,0727,Aqua,MODIS,67,6.03,295.5,7.2,D,0
24.2065,91.3186,311.1,1.2,1.1,2022-01-11,0727,Aqua,MODIS,41,6.03,295.2,5.8,D,0
23.2353,90.7931,308.8,1.1,1.1,2022-01-11,0727,Aqua,MODIS,57,6.03,296.7,5.9,D,0
24.1887,91.3213,311.7,1,1,2022-01-13,0715,Aqua,MODIS,56,6.03,294.6,5.8,D,0
24.5859,91.5618,309.4,2.6,1.5,2022-01-16,0746,Aqua,MODIS,65,6.03,297.3,22.4,D,0
23.3882,88.9779,310.1,1.1,1,2022-01-18,0733,Aqua,MODIS,62,6.03,296.7,7.4,D,0
24.624,88.0771,302.8,1.3,1.1,2022-01-19,0459,Terra,MODIS,0,6.03,291.6,5.9,D,0
24.1511,89.1204,307.1,1,1,2022-01-20,0721,Aqua,MODIS,58,6.03,296.5,5.2,D,0
25.8613,89.3259,301.5,1,1,2022-01-21,0446,Terra,MODIS,17,6.03,287.4,2.1,D,0
22.7978,92.0407,318.7,1,1,2022-01-22,0708,Aqua,MODIS,59,6.03,279.8,12.6,D,0
24.649,91.5926,309.7,2,1.4,2022-01-25,0739,Aqua,MODIS,60,6.03,294.4,13.2,D,0
26.1634,89.0853,306.1,1.1,1.1,2022-01-28,0452,Terra,MODIS,27,6.03,293.6,6.8,D,0
22.4791,91.7297,304.5,1.9,1.3,2022-01-28,0453,Terra,MODIS,44,6.03,293.7,12,D,0
24.6145,91.5826,306.8,1.7,1.3,2022-01-28,0453,Terra,MODIS,60,6.03,295.6,10.3,D,0
24.6115,91.5989,307.8,1.7,1.3,2022-01-28,0453,Terra,MODIS,66,6.03,295,11.3,D,0
24.6023,91.591,308.2,1.7,1.3,2022-01-28,0453,Terra,MODIS,42,6.03,296.4,11.1,D,0
24.7189,89.6618,305.9,1.3,1.1,2022-01-28,0453,Terra,MODIS,0,6.03,294.8,8.4,D,0
24.5211,88.1612,305.6,1.1,1,2022-01-28,0453,Terra,MODIS,0,6.03,293.7,5.7,D,0
