latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
52.846,29.9932,305.7,1,1,2022-02-10,0910,Terra,MODIS,54,6.03,273.7,11.1,D,2
52.8414,29.9808,304.6,1.1,1,2022-02-26,1104,Aqua,MODIS,59,6.03,281.4,10.4,D,2
51.8117,29.9329,305.3,1.1,1,2022-02-26,1104,Aqua,MODIS,46,6.03,275.6,10.4,D,0
52.8433,29.9968,301.4,1.1,1,2022-02-26,1104,Aqua,MODIS,47,6.03,280.8,8.3,D,2
52.3982,25.268,332.2,1.1,1,2022-02-28,2009,Terra,MODIS,76,6.03,270.8,40.1,N,0
52.4093,25.2807,334.3,1.1,1,2022-02-28,2009,Terra,MODIS,100,6.03,270.2,44.6,N,0
52.3932,25.276,314.5,1.1,1,2022-02-28,2009,Terra,MODIS,65,6.03,269.4,20,N,0
52.3913,25.2604,308.7,1.1,1,2022-02-28,2009,Terra,MODIS,75,6.03,268.1,15.8,N,0
52.8509,29.9928,305,1,1,2022-03-01,0023,Aqua,MODIS,62,6.03,268.3,12.6,N,2
52.849,29.9994,306.5,1.8,1.3,2022-03-01,0940,Terra,MODIS,57,6.03,277.1,23.2,D,2
52.8444,30.002,303.6,1.8,1.3,2022-03-01,0940,Terra,MODIS,56,6.03,275.9,20.8,D,2
52.4126,25.2518,316.3,1.3,1.1,2022-03-01,1135,Aqua,MODIS,67,6.03,278.1,27.5,D,0
52.8451,29.9858,304.2,1.1,1,2022-03-02,1040,Aqua,MODIS,44,6.03,275.2,10.5,D,2
53.8897,29.8551,312.6,1.8,1.3,2022-03-06,1016,Aqua,MODIS,73,6.03,275.2,37.1,D,0
52.5211,25.074,305.3,2.1,1.4,2022-03-06,1153,Aqua,MODIS,61,6.03,274.5,28.1,D,0
54.0791,24.9172,303.2,2.2,1.4,2022-03-06,1154,Aqua,MODIS,55,6.03,277.3,28,D,0
