latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.622,26.5229,301.3,1.1,1,2022-01-05,1127,Aqua,MODIS,46,6.03,285.3,5.9,D,0
43.0803,24.7177,300.2,1,1,2022-01-05,1127,Aqua,MODIS,31,6.03,288.6,4.3,D,0
43.6655,25.0151,301.6,1,1,2022-01-05,1128,Aqua,MODIS,48,6.03,286.5,5.8,D,0
42.1722,24.4581,301.2,1.1,1.1,2022-01-07,0926,Terra,MODIS,39,6.03,280.6,7.8,D,0
43.3383,26.5146,303.5,1,1,2022-01-18,0907,Terra,MODIS,56,6.03,276.2,9.5,D,0
43.8629,23.2533,321.7,2.5,1.5,2022-01-27,1051,Aqua,MODIS,0,6.03,281.7,87.1,D,0
43.4461,26.8723,301.2,1.2,1.1,2022-01-28,1133,Aqua,MODIS,45,6.03,281.8,8.9,D,0
42.2033,24.0553,304.2,1,1,2022-01-28,1133,Aqua,MODIS,37,6.03,280.7,8.2,D,0
43.7798,23.0925,315.9,3,1.7,2022-01-29,1217,Aqua,MODIS,76,6.03,279.8,77.6,D,0
43.7799,23.0846,316.8,3,1.7,2022-01-29,1217,Aqua,MODIS,58,6.03,280.3,87,D,0
43.5791,25.5252,300.1,4.2,1.9,2022-01-29,1217,Aqua,MODIS,29,6.03,280.6,50.2,D,0
44.1334,22.6138,305.8,1.1,1,2022-01-30,0931,Terra,MODIS,62,6.03,281.9,9.9,D,0
42.195,24.9938,300.8,1,1,2022-01-30,1121,Aqua,MODIS,41,6.03,282.5,6.1,D,0
42.7242,26.6357,303.8,1,1,2022-01-30,1121,Aqua,MODIS,57,6.03,272.9,9.4,D,0
42.2553,24.4668,308,2.3,1.5,2022-01-31,1204,Aqua,MODIS,66,6.03,283.8,31.4,D,0
42.3183,25.6074,302.2,2.7,1.6,2022-01-31,1204,Aqua,MODIS,51,6.03,281.4,29.3,D,0
42.2453,24.4762,313,2.3,1.5,2022-01-31,1204,Aqua,MODIS,73,6.03,284.7,42.9,D,0
42.242,24.4685,303.8,2.3,1.5,2022-01-31,1204,Aqua,MODIS,57,6.03,284.6,22,D,0
42.3226,25.5987,300.1,2.7,1.6,2022-01-31,1204,Aqua,MODIS,30,6.03,281.1,24.7,D,0
43.4639,23.2298,309.2,1.8,1.3,2022-02-04,0950,Terra,MODIS,68,6.03,284.4,26.7,D,0
43.4135,24.5175,303.8,1.2,1.1,2022-02-04,1140,Aqua,MODIS,57,6.03,283.9,8.8,D,2
43.437,23.5886,306.8,1.6,1.2,2022-02-05,0855,Terra,MODIS,64,6.03,284.7,16.6,D,0
43.4369,23.5815,304.5,1.6,1.2,2022-02-05,0855,Terra,MODIS,59,6.03,284.7,13,D,0
43.3499,24.0732,302.3,1.4,1.2,2022-02-06,0938,Terra,MODIS,51,6.03,287.8,8.6,D,0
41.5575,23.2613,302.6,1,1,2022-02-06,1127,Aqua,MODIS,53,6.03,287.6,5.4,D,0
42.7083,24.173,301,1,1,2022-02-06,1127,Aqua,MODIS,38,6.03,279,7.6,D,2
43.3417,24.0796,310.1,1,1,2022-02-06,1127,Aqua,MODIS,70,6.03,290.1,9.3,D,0
43.3558,22.8964,300.3,1,1,2022-02-06,1127,Aqua,MODIS,34,6.03,281.6,5.8,D,0
43.7732,23.0126,337.6,1,1,2022-02-06,1127,Aqua,MODIS,91,6.03,288.8,42.1,D,0
43.7713,23.0001,311.4,1,1,2022-02-06,1127,Aqua,MODIS,71,6.03,289.5,11.8,D,0
43.7821,23.0099,365.6,1,1,2022-02-06,1127,Aqua,MODIS,94,6.03,289.1,105.9,D,0
43.7802,22.9974,339.1,1,1,2022-02-06,1127,Aqua,MODIS,91,6.03,293,43.6,D,0
42.3421,24.2716,309.5,1.2,1.1,2022-02-08,1115,Aqua,MODIS,69,6.03,281.3,15.7,D,0
43.7281,24.4923,307.3,2,1.4,2022-02-09,1158,Aqua,MODIS,65,6.03,288.4,19.6,D,0
42.3447,24.8607,300.5,1,1,2022-02-10,0913,Terra,MODIS,38,6.03,282.9,5.4,D,0
42.3291,24.2675,303.7,1,1,2022-02-10,0913,Terra,MODIS,57,6.03,285.7,6.6,D,0
43.4217,23.4225,309,1.8,1.3,2022-02-10,1103,Aqua,MODIS,68,6.03,292.4,18,D,0
43.4257,23.4281,309.9,1.8,1.3,2022-02-10,1103,Aqua,MODIS,69,6.03,292.1,18.2,D,0
43.8714,23.4169,318.2,1.7,1.3,2022-02-10,1103,Aqua,MODIS,68,6.03,290.6,34.8,D,0
43.8671,23.3963,303.6,1.7,1.3,2022-02-10,1103,Aqua,MODIS,0,6.03,291.5,11.5,D,0
42.4301,26.5469,300.4,3.6,1.8,2022-02-11,0956,Terra,MODIS,36,6.03,285.1,33.8,D,2
42.174,25.0569,302,1.4,1.2,2022-02-11,1145,Aqua,MODIS,50,6.03,290.6,5.5,D,0
42.146,24.494,301.9,1.3,1.1,2022-02-11,1145,Aqua,MODIS,47,6.03,289.9,4.4,D,2
42.2156,24.4905,301.8,1.3,1.1,2022-02-11,1145,Aqua,MODIS,49,6.03,290.3,4.5,D,0
42.3409,25.6104,301.1,1.5,1.2,2022-02-11,1145,Aqua,MODIS,43,6.03,290.5,5.7,D,0
42.3151,24.464,318.4,1.3,1.1,2022-02-11,1145,Aqua,MODIS,74,6.03,292.2,20.9,D,0
42.3134,24.4484,305.7,1.3,1.1,2022-02-11,1145,Aqua,MODIS,62,6.03,293.3,7,D,0
42.325,24.2738,304.1,1.3,1.1,2022-02-11,1145,Aqua,MODIS,55,6.03,292.6,5.8,D,0
42.3233,24.2585,301.9,1.3,1.1,2022-02-11,1145,Aqua,MODIS,40,6.03,290.8,4.1,D,0
42.3234,24.2686,305.3,1.3,1.1,2022-02-11,1145,Aqua,MODIS,56,6.03,291.9,6.9,D,0
43.013,23.8853,300.8,1.2,1.1,2022-02-11,1145,Aqua,MODIS,39,6.03,290.2,4.5,D,0
43.1502,24.6027,305.7,1.3,1.1,2022-02-11,1145,Aqua,MODIS,62,6.03,288.7,10.2,D,0
43.1786,23.7316,306.8,1.2,1.1,2022-02-11,1145,Aqua,MODIS,58,6.03,295.2,6.2,D,0
43.4445,25.01,310.2,1.4,1.2,2022-02-11,1145,Aqua,MODIS,70,6.03,290.5,14.3,D,0
43.4648,23.7404,303.1,1.2,1.1,2022-02-11,1146,Aqua,MODIS,50,6.03,292.4,4.9,D,0
43.6318,24.4741,301,1.3,1.1,2022-02-11,1146,Aqua,MODIS,44,6.03,290.6,4.6,D,0
43.6301,24.4576,309.6,1.3,1.1,2022-02-11,1146,Aqua,MODIS,69,6.03,290.9,12.6,D,0
42.5304,26.6493,301.2,1.8,1.3,2022-02-12,1050,Aqua,MODIS,45,6.03,288.7,9.6,D,0
43.4672,23.7456,301,2.5,1.5,2022-02-12,1051,Aqua,MODIS,44,6.03,281.3,19.7,D,0
43.671,24.3067,309.3,2.3,1.5,2022-02-12,1051,Aqua,MODIS,68,6.03,283.7,36.4,D,0
41.5583,23.8092,315.5,1,1,2022-02-13,1133,Aqua,MODIS,76,6.03,285,14.6,D,0
43.1036,24.4644,305.4,1,1,2022-02-13,1133,Aqua,MODIS,17,6.03,284.1,7.1,D,0
43.1126,24.4622,309.6,1,1,2022-02-13,1133,Aqua,MODIS,69,6.03,284.5,10.2,D,0
44.1074,26.7563,301.4,1.2,1.1,2022-02-13,1133,Aqua,MODIS,36,6.03,278.4,8.3,D,0
44.1077,26.7492,303.7,1.2,1.1,2022-02-13,1133,Aqua,MODIS,54,6.03,278.5,10.3,D,0
42.3272,24.274,301.2,1.3,1.1,2022-02-15,0931,Terra,MODIS,45,6.03,284.6,7.6,D,0
42.3124,24.6003,303.1,1,1,2022-02-15,1121,Aqua,MODIS,55,6.03,291.3,4.5,D,0
42.3236,24.2753,301.1,1.1,1,2022-02-15,1121,Aqua,MODIS,45,6.03,289.1,4.4,D,0
42.5765,24.8684,310.2,1,1,2022-02-15,1121,Aqua,MODIS,70,6.03,289.2,10.1,D,0
42.5855,24.8658,301.9,1,1,2022-02-15,1121,Aqua,MODIS,30,6.03,288.5,4.2,D,0
42.5757,24.804,302,1,1,2022-02-15,1121,Aqua,MODIS,50,6.03,288.8,4.7,D,0
43.2974,25.5173,312.5,1,1,2022-02-15,1121,Aqua,MODIS,73,6.03,289.9,10.4,D,0
43.5185,24.5398,302.9,1,1,2022-02-15,1121,Aqua,MODIS,41,6.03,289.6,2.7,D,0
43.7123,27.0212,308.2,3.3,1.7,2022-02-16,1204,Aqua,MODIS,67,6.03,288.7,41.3,D,0
43.7087,27.0129,310.4,3.3,1.7,2022-02-16,1204,Aqua,MODIS,70,6.03,288.8,49.8,D,0
42.9589,24.3823,300.2,1,1,2022-02-17,0919,Terra,MODIS,30,6.03,287.6,5,D,0
43.9437,27.0771,305.4,1.2,1.1,2022-02-17,0919,Terra,MODIS,61,6.03,290.4,7.6,D,0
43.9412,27.0911,315.5,1.2,1.1,2022-02-17,0919,Terra,MODIS,76,6.03,289,16.9,D,0
42.5846,25.4998,305.1,1.1,1,2022-02-17,0919,Terra,MODIS,57,6.03,288.7,6.3,D,0
42.714,24.1672,302.6,1,1,2022-02-17,0919,Terra,MODIS,50,6.03,284.9,6.7,D,2
42.7122,24.1793,301.2,1,1,2022-02-17,0919,Terra,MODIS,41,6.03,285.2,6.1,D,2
42.3468,24.2616,300.1,1,1,2022-02-17,0919,Terra,MODIS,29,6.03,286.8,3.7,D,0
42.0786,25.6279,302.1,1.1,1,2022-02-17,0919,Terra,MODIS,51,6.03,286.4,6.4,D,0
42.0764,25.6409,301.4,1.1,1,2022-02-17,0919,Terra,MODIS,47,6.03,286.6,6,D,0
42.1098,25.3272,313.8,1.1,1,2022-02-17,0919,Terra,MODIS,70,6.03,284.9,13.8,D,0
41.6124,25.403,312,1.1,1,2022-02-17,0919,Terra,MODIS,54,6.03,285.5,13.1,D,0
42.3358,27.2575,301.5,1.1,1,2022-02-17,1108,Aqua,MODIS,48,6.03,289.5,4.4,D,2
42.1091,25.6577,303.5,1.2,1.1,2022-02-17,1108,Aqua,MODIS,56,6.03,292.8,5.8,D,0
42.1064,25.643,301.6,1.2,1.1,2022-02-17,1108,Aqua,MODIS,48,6.03,291.3,4.6,D,0
42.5843,27.5819,306.7,1,1,2022-02-17,1108,Aqua,MODIS,64,6.03,292,6.2,D,0
42.1739,24.9872,303,1.3,1.1,2022-02-17,1108,Aqua,MODIS,55,6.03,290.8,5.8,D,0
42.5894,27.262,303.4,1.1,1,2022-02-17,1108,Aqua,MODIS,53,6.03,288.7,4.8,D,0
42.2803,24.9456,307.6,1.3,1.1,2022-02-17,1108,Aqua,MODIS,66,6.03,289.2,10.1,D,2
42.2775,24.93,357.6,1.3,1.1,2022-02-17,1108,Aqua,MODIS,99,6.03,290.9,118.6,D,0
42.2746,24.9145,302.2,1.3,1.1,2022-02-17,1108,Aqua,MODIS,33,6.03,289.3,4.9,D,0
42.2781,24.9398,334.6,1.3,1.1,2022-02-17,1108,Aqua,MODIS,89,6.03,289.7,50.6,D,0
42.2751,24.9243,333.6,1.3,1.1,2022-02-17,1108,Aqua,MODIS,89,6.03,290.5,48.4,D,0
42.5039,26.1186,312.1,1.2,1.1,2022-02-17,1108,Aqua,MODIS,72,6.03,291.5,13,D,0
42.5015,26.1048,304.1,1.2,1.1,2022-02-17,1108,Aqua,MODIS,58,6.03,292.5,6.2,D,0
43.033,27.3105,302.6,1.1,1,2022-02-17,1108,Aqua,MODIS,53,6.03,290.7,4.3,D,2
43.2282,27.7715,313.2,1,1,2022-02-17,1108,Aqua,MODIS,73,6.03,291.5,11.1,D,0
43.4374,27.5738,305.2,1,1,2022-02-17,1108,Aqua,MODIS,60,6.03,291.9,5.7,D,0
43.4623,27.5529,304.3,1,1,2022-02-17,1108,Aqua,MODIS,58,6.03,292.5,4.5,D,0
43.1049,24.7986,300.5,1.3,1.1,2022-02-17,1108,Aqua,MODIS,30,6.03,289.7,4.1,D,0
43.3041,25.667,310.2,1.2,1.1,2022-02-17,1109,Aqua,MODIS,70,6.03,291.8,10.6,D,0
43.3016,25.6528,302.9,1.2,1.1,2022-02-17,1109,Aqua,MODIS,45,6.03,291.9,4.2,D,0
43.5348,25.9186,317.3,1.1,1.1,2022-02-17,1109,Aqua,MODIS,77,6.03,291.6,17.2,D,0
43.5325,25.9051,357,1.1,1.1,2022-02-17,1109,Aqua,MODIS,98,6.03,295.6,94.7,D,0
43.3926,25.1174,335.7,1.2,1.1,2022-02-17,1109,Aqua,MODIS,90,6.03,292.6,47.5,D,0
43.3462,24.0396,312,1.4,1.2,2022-02-17,1109,Aqua,MODIS,72,6.03,288.7,17,D,0
43.9973,27.0645,305.9,1,1,2022-02-17,1109,Aqua,MODIS,62,6.03,292.5,5.5,D,0
43.5682,24.0963,314.6,4.1,1.9,2022-02-18,0824,Terra,MODIS,75,6.03,285.1,102.8,D,0
43.5644,24.0909,312.1,4.1,1.9,2022-02-18,0824,Terra,MODIS,72,6.03,285.1,92.3,D,0
43.4909,24.7522,306.2,3.2,1.7,2022-02-18,1001,Terra,MODIS,49,6.03,285.4,39.1,D,0
43.4796,24.7392,319.2,3.2,1.7,2022-02-18,1001,Terra,MODIS,79,6.03,285.8,100.4,D,0
43.0701,24.2187,301.3,3.1,1.7,2022-02-18,1002,Terra,MODIS,46,6.03,284.7,30.5,D,0
43.0606,24.2554,303,3.1,1.7,2022-02-18,1002,Terra,MODIS,54,6.03,284.1,35.6,D,0
43.0627,24.2491,306.6,3.1,1.7,2022-02-18,1002,Terra,MODIS,64,6.03,284.2,48.2,D,0
42.184,24.9687,303.4,3.6,1.8,2022-02-18,1002,Terra,MODIS,47,6.03,286.6,36.5,D,0
42.1761,24.9596,304.7,3.6,1.8,2022-02-18,1002,Terra,MODIS,59,6.03,286.5,44.9,D,0
42.1651,25.0012,301.6,3.7,1.8,2022-02-18,1002,Terra,MODIS,48,6.03,286.3,34.3,D,0
41.4177,23.383,311.5,1.3,1.1,2022-02-18,1151,Aqua,MODIS,71,6.03,291,14.3,D,0
42.2141,25.9123,314.6,1.8,1.3,2022-02-18,1151,Aqua,MODIS,75,6.03,290.4,30,D,0
42.2123,25.8901,313.9,1.8,1.3,2022-02-18,1151,Aqua,MODIS,74,6.03,290.8,28.2,D,0
42.1326,24.2576,306.5,1.5,1.2,2022-02-18,1151,Aqua,MODIS,64,6.03,290.6,10.4,D,0
42.2267,24.9011,305.7,1.6,1.2,2022-02-18,1151,Aqua,MODIS,62,6.03,289.4,12.1,D,0
42.2234,24.3626,302.5,1.5,1.2,2022-02-18,1151,Aqua,MODIS,52,6.03,290.6,6.5,D,0
42.2935,24.5178,336.7,1.5,1.2,2022-02-18,1151,Aqua,MODIS,90,6.03,291.9,68.9,D,0
42.2959,24.5309,316.9,1.5,1.2,2022-02-18,1151,Aqua,MODIS,77,6.03,289.6,25.1,D,0
42.2942,24.5124,327.1,1.5,1.2,2022-02-18,1151,Aqua,MODIS,85,6.03,292,44.4,D,0
42.3558,24.5771,302.4,1.5,1.2,2022-02-18,1151,Aqua,MODIS,51,6.03,290.5,7.8,D,0
42.7137,24.1693,300.2,1.5,1.2,2022-02-18,1151,Aqua,MODIS,32,6.03,286.8,8.2,D,2
43.0741,24.3656,303.2,1.5,1.2,2022-02-18,1151,Aqua,MODIS,55,6.03,284.3,12.3,D,0
43.0723,24.3463,325.6,1.5,1.2,2022-02-18,1151,Aqua,MODIS,84,6.03,284.6,47.2,D,0
43.0619,24.2357,311.5,1.5,1.2,2022-02-18,1151,Aqua,MODIS,57,6.03,288.5,20.3,D,0
43.1175,24.4477,308.6,1.6,1.2,2022-02-18,1151,Aqua,MODIS,65,6.03,286.9,16.5,D,0
