latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-1.5247,9.9585,304.4,1,1,2022-01-01,0058,Aqua,MODIS,60,6.03,290.5,4.8,N,2
-1.9554,9.8751,305.8,1.1,1.1,2022-01-05,0951,Terra,MODIS,38,6.03,282.1,6.4,D,2
-1.5247,9.9548,308.5,1,1,2022-01-07,0939,Terra,MODIS,52,6.03,284,6,D,2
0.3843,9.6034,315.7,1.4,1.2,2022-01-07,1242,Aqua,MODIS,64,6.03,295.4,11.4,D,0
-0.8653,12.6634,318.4,1,1,2022-01-07,1242,Aqua,MODIS,69,6.03,297.9,11.6,D,2
-1.2897,13.94,316.2,1,1,2022-01-07,1242,Aqua,MODIS,42,6.03,299.2,7.3,D,0
-1.0098,10.2726,307.6,1.3,1.1,2022-01-07,1242,Aqua,MODIS,52,6.03,289.1,4.4,D,0
0.386,9.6025,319.6,1,1,2022-01-14,0944,Terra,MODIS,75,6.03,297.8,10.3,D,0
-1.94,13.6659,311.4,1.1,1,2022-01-14,1248,Aqua,MODIS,49,6.03,281.9,8.7,D,0
-2.2101,11.3431,311.5,1,1,2022-01-14,1248,Aqua,MODIS,62,6.03,294,4.9,D,0
-1.7288,14.3566,314,1.1,1.1,2022-01-14,1248,Aqua,MODIS,0,6.03,282,8.3,D,0
-1.7303,14.3467,316.2,1.1,1.1,2022-01-14,1248,Aqua,MODIS,62,6.03,284.2,10.2,D,0
-0.7829,11.9181,312.6,1,1,2022-01-14,1248,Aqua,MODIS,69,6.03,293.7,6.5,D,0
-0.6228,14.21,316,1.5,1.2,2022-01-18,1223,Aqua,MODIS,29,6.03,294.3,13.3,D,0
-0.9748,14.3403,310.3,1.4,1.2,2022-01-18,2141,Terra,MODIS,80,6.03,286.9,16,N,0
-0.9765,14.3281,304.6,1.4,1.2,2022-01-18,2141,Terra,MODIS,61,6.03,287,9.8,N,0
-0.9763,14.3323,303.8,1.1,1,2022-01-19,0045,Aqua,MODIS,57,6.03,285,7,N,0
-0.9777,14.3421,309.6,1.1,1,2022-01-19,0045,Aqua,MODIS,78,6.03,285.6,11.4,N,0
-0.9791,14.3518,300.7,1.1,1,2022-01-19,0045,Aqua,MODIS,32,6.03,285.2,4.9,N,0
-0.8942,14.282,318.4,2.5,1.5,2022-01-20,1211,Aqua,MODIS,76,6.03,291.2,45.3,D,0
-0.8818,14.4252,314.7,2.2,1.5,2022-01-21,0950,Terra,MODIS,59,6.03,285,24.3,D,0
-0.8798,14.4198,313.7,2.2,1.5,2022-01-21,0950,Terra,MODIS,69,6.03,285.1,23.5,D,0
-0.9388,14.3705,313.4,2.2,1.4,2022-01-21,0950,Terra,MODIS,69,6.03,281.5,25.7,D,0
-0.9453,14.3645,319.4,1.4,1.2,2022-01-21,1254,Aqua,MODIS,66,6.03,298.6,10,D,0
-0.8941,14.4217,336,1.4,1.2,2022-01-21,1254,Aqua,MODIS,87,6.03,303,41.4,D,0
-0.863,12.6629,312.8,1.1,1.1,2022-01-21,1254,Aqua,MODIS,54,6.03,288.5,9.2,D,2
-0.2743,10.424,319.6,1,1,2022-01-21,1254,Aqua,MODIS,76,6.03,286,13.3,D,0
2.2916,11.4318,320.1,1.1,1,2022-01-21,1255,Aqua,MODIS,76,6.03,291.2,15.1,D,0
-0.7733,11.9197,310.6,1,1,2022-01-23,0938,Terra,MODIS,54,6.03,296.2,5.3,D,0
-1.5047,13.2702,314.1,1.2,1.1,2022-01-23,0938,Terra,MODIS,64,6.03,300.2,8.3,D,0
-1.7912,9.823,311.4,1,1,2022-01-23,0938,Terra,MODIS,63,6.03,296.5,6,D,0
-1.9563,9.8776,316,1,1,2022-01-23,0938,Terra,MODIS,71,6.03,298.2,9.3,D,2
-1.6826,13.6755,315.3,1,1,2022-01-23,1241,Aqua,MODIS,28,6.03,300.9,5.5,D,0
-2.8109,10.1515,311.7,1.4,1.2,2022-01-23,1241,Aqua,MODIS,36,6.03,293,9.5,D,0
-2.8021,10.137,313.5,1.4,1.2,2022-01-23,1241,Aqua,MODIS,48,6.03,294.1,11.9,D,0
-2.5234,11.5301,318.6,1.2,1.1,2022-01-23,1241,Aqua,MODIS,74,6.03,293.5,14,D,0
-2.5137,11.5287,313.1,1.2,1.1,2022-01-23,1241,Aqua,MODIS,39,6.03,294.3,7.6,D,0
-1.5136,14.3356,327.7,1,1,2022-01-23,1241,Aqua,MODIS,37,6.03,308.3,13,D,0
-1.4983,13.9964,326.2,1,1,2022-01-23,1241,Aqua,MODIS,53,6.03,308.1,12.9,D,0
-0.6512,14.3212,333.7,1,1,2022-01-23,1242,Aqua,MODIS,85,6.03,306,21.8,D,0
-1.9644,9.8783,312.9,1.5,1.2,2022-01-23,1242,Aqua,MODIS,60,6.03,298,9.9,D,2
-0.6089,14.2259,315.6,1,1,2022-01-23,1242,Aqua,MODIS,62,6.03,301.1,6.5,D,0
-1.7666,10.3932,313.6,1.3,1.1,2022-01-23,1242,Aqua,MODIS,62,6.03,300.3,7.9,D,0
-1.7981,9.8919,303.4,1.4,1.2,2022-01-23,2159,Terra,MODIS,55,6.03,292.7,6.7,N,0
-2.6888,10.1598,304.8,1.4,1.2,2022-01-23,2159,Terra,MODIS,62,6.03,292.2,8.7,N,0
-1.9548,9.8762,312.2,1.5,1.2,2022-01-25,0926,Terra,MODIS,61,6.03,292.3,11,D,2
