latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
14.7381,-91.5687,335.4,1.3,1.1,2022-01-01,0433,Terra,MODIS,100,6.03,289.5,54.7,N,1
14.7368,-91.5789,308.6,1.3,1.1,2022-01-01,0433,Terra,MODIS,75,6.03,287.2,15.3,N,1
14.7423,-91.5685,306,1.8,1.3,2022-01-01,0729,Aqua,MODIS,66,6.03,284.4,23.4,N,1
14.3803,-91.4847,326.8,1.1,1.1,2022-01-01,1647,Terra,MODIS,78,6.03,301.7,20.8,D,0
14.3824,-91.7484,316.5,1.1,1.1,2022-01-01,1647,Terra,MODIS,58,6.03,303.3,7.2,D,0
14.7427,-91.5683,329.5,1.1,1.1,2022-01-01,1647,Terra,MODIS,68,6.03,296.4,30.4,D,1
14.5458,-91.4253,319.3,1.1,1.1,2022-01-01,1647,Terra,MODIS,73,6.03,300.7,13.7,D,0
14.7407,-91.5602,317.2,1.8,1.3,2022-01-02,0812,Aqua,MODIS,95,6.03,285.7,42,N,1
14.7381,-91.5686,319,1.8,1.3,2022-01-02,0812,Aqua,MODIS,98,6.03,287.2,46.1,N,1
14.7354,-91.5531,300.8,1.8,1.3,2022-01-02,0812,Aqua,MODIS,34,6.03,283.2,15.8,N,1
14.7431,-91.5748,306.8,1.8,1.3,2022-01-02,0812,Aqua,MODIS,69,6.03,284.5,23.3,N,1
14.0615,-90.742,324.6,2.3,1.5,2022-01-02,1903,Aqua,MODIS,67,6.03,302.1,44,D,0
14.0651,-90.7208,320.3,2.3,1.5,2022-01-02,1903,Aqua,MODIS,41,6.03,302.1,28.2,D,0
14.0622,-90.7269,323.8,2.3,1.5,2022-01-02,1903,Aqua,MODIS,36,6.03,302.1,34.7,D,0
14.1371,-90.7622,315.6,2.3,1.5,2022-01-02,1903,Aqua,MODIS,53,6.03,297,15.2,D,0
15.3691,-89.5578,312.2,1.8,1.3,2022-01-02,1903,Aqua,MODIS,48,6.03,297.5,11.8,D,0
15.5462,-88.6224,312.4,1.5,1.2,2022-01-02,1903,Aqua,MODIS,39,6.03,295.7,8.9,D,0
15.6817,-88.2891,312,1.4,1.2,2022-01-02,1903,Aqua,MODIS,61,6.03,297.5,9.2,D,0
15.6795,-88.3024,313,1.4,1.2,2022-01-02,1903,Aqua,MODIS,64,6.03,297.3,10,D,0
16.9179,-90.91,310.4,2.1,1.4,2022-01-02,1904,Aqua,MODIS,57,6.03,297.2,15.1,D,0
16.9177,-90.9049,310.8,2.1,1.4,2022-01-02,1904,Aqua,MODIS,58,6.03,297.2,15.5,D,0
17.7993,-90.9206,313.2,2,1.4,2022-01-02,1904,Aqua,MODIS,65,6.03,298.8,17.1,D,0
14.5241,-91.6872,323.3,1,1,2022-01-03,1635,Terra,MODIS,76,6.03,299.9,14.8,D,0
14.5439,-91.9556,315.2,1,1,2022-01-03,1635,Terra,MODIS,57,6.03,301.2,7.6,D,0
14.3752,-91.0366,313.4,1,1,2022-01-03,1635,Terra,MODIS,31,6.03,296,5.2,D,0
14.3739,-91.0274,314.7,1,1,2022-01-03,1635,Terra,MODIS,22,6.03,297.9,5.6,D,0
14.391,-91.4653,327,1,1,2022-01-03,1635,Terra,MODIS,80,6.03,302,17.3,D,0
14.4209,-91.7378,321.5,1,1,2022-01-03,1635,Terra,MODIS,73,6.03,302.4,11.2,D,0
14.3259,-91.0788,316.7,1,1,2022-01-03,1635,Terra,MODIS,66,6.03,300,8.7,D,0
14.3209,-91.1077,312.3,1,1,2022-01-03,1635,Terra,MODIS,48,6.03,297.6,5.2,D,0
14.366,-91.6117,320.2,1,1,2022-01-03,1635,Terra,MODIS,71,6.03,302.1,10.2,D,0
14.3363,-91.597,331.7,1,1,2022-01-03,1635,Terra,MODIS,84,6.03,300.7,21.4,D,0
14.2071,-90.8966,318.2,1,1,2022-01-03,1635,Terra,MODIS,51,6.03,297.8,6.9,D,0
14.2719,-91.7273,323.6,1,1,2022-01-03,1635,Terra,MODIS,71,6.03,302.4,11.3,D,0
14.067,-90.9427,329,1,1,2022-01-03,1635,Terra,MODIS,81,6.03,298,20.3,D,0
13.9851,-90.5779,380.3,1,1,2022-01-03,1635,Terra,MODIS,100,6.03,300.8,146.1,D,0
13.9838,-90.5688,366.6,1,1,2022-01-03,1635,Terra,MODIS,100,6.03,298.2,96.9,D,0
14.0065,-91.2571,316,4.3,1.9,2022-01-04,1717,Terra,MODIS,65,6.03,291.1,63.5,D,0
13.999,-91.2181,330.9,4.3,1.9,2022-01-04,1717,Terra,MODIS,83,6.03,290.4,198.4,D,0
13.997,-91.2254,335.4,4.3,1.9,2022-01-04,1717,Terra,MODIS,87,6.03,290.6,251.3,D,0
14.3723,-91.4718,305.2,1.3,1.1,2022-01-05,0409,Terra,MODIS,63,6.03,291.8,7.6,N,0
14.3705,-91.4833,337.8,1.3,1.1,2022-01-05,0409,Terra,MODIS,100,6.03,292.5,54.7,N,0
14.7359,-91.5705,324.1,1.3,1.1,2022-01-05,0409,Terra,MODIS,100,6.03,288.9,34,N,1
14.4768,-90.5322,310.6,1.2,1.1,2022-01-05,1622,Terra,MODIS,23,6.03,297.5,7.2,D,2
14.2651,-90.2499,311.4,1.2,1.1,2022-01-05,1622,Terra,MODIS,21,6.03,298.8,6.3,D,0
14.2555,-90.2514,316.1,1.2,1.1,2022-01-05,1622,Terra,MODIS,61,6.03,296.8,11.8,D,0
14.4747,-92.0167,315.2,1.5,1.2,2022-01-05,1622,Terra,MODIS,46,6.03,299.2,10.7,D,0
14.3477,-91.6513,323.2,1.4,1.2,2022-01-05,1622,Terra,MODIS,75,6.03,300.3,19.2,D,0
